,URI US Equity
,RETURN_COM_EQY
2020-01-01,32.4623
2020-01-02,32.4623
2020-01-03,32.4623
2020-01-04,32.4623
2020-01-05,32.4623
2020-01-06,32.4623
2020-01-07,32.4623
2020-01-08,32.4623
2020-01-09,32.4623
2020-01-10,32.4623
2020-01-11,32.4623
2020-01-12,32.4623
2020-01-13,32.4623
2020-01-14,32.4623
2020-01-15,32.4623
2020-01-16,32.4623
2020-01-17,32.4623
2020-01-18,32.4623
2020-01-19,32.4623
2020-01-20,32.4623
2020-01-21,32.4623
2020-01-22,32.4623
2020-01-23,32.4623
2020-01-24,32.4623
2020-01-25,32.4623
2020-01-26,32.4623
2020-01-27,32.4623
2020-01-28,32.4623
2020-01-29,32.4623
2020-01-30,32.4623
2020-01-31,32.4623
2020-02-01,32.4623
2020-02-02,32.4623
2020-02-03,32.4623
2020-02-04,32.4623
2020-02-05,32.4623
2020-02-06,32.4623
2020-02-07,32.4623
2020-02-08,32.4623
2020-02-09,32.4623
2020-02-10,32.4623
2020-02-11,32.4623
2020-02-12,32.4623
2020-02-13,32.4623
2020-02-14,32.4623
2020-02-15,32.4623
2020-02-16,32.4623
2020-02-17,32.4623
2020-02-18,32.4623
2020-02-19,32.4623
2020-02-20,32.4623
2020-02-21,32.4623
2020-02-22,32.4623
2020-02-23,32.4623
2020-02-24,32.4623
2020-02-25,32.4623
2020-02-26,32.4623
2020-02-27,32.4623
2020-02-28,32.4623
2020-02-29,32.4623
2020-03-01,32.4623
2020-03-02,32.4623
2020-03-03,32.4623
2020-03-04,32.4623
2020-03-05,32.4623
2020-03-06,32.4623
2020-03-07,32.4623
2020-03-08,32.4623
2020-03-09,32.4623
2020-03-10,32.4623
2020-03-11,32.4623
2020-03-12,32.4623
2020-03-13,32.4623
2020-03-14,32.4623
2020-03-15,32.4623
2020-03-16,32.4623
2020-03-17,32.4623
2020-03-18,32.4623
2020-03-19,32.4623
2020-03-20,32.4623
2020-03-21,32.4623
2020-03-22,32.4623
2020-03-23,32.4623
2020-03-24,32.4623
2020-03-25,32.4623
2020-03-26,32.4623
2020-03-27,32.4623
2020-03-28,32.4623
2020-03-29,32.4623
2020-03-30,32.4623
2020-03-31,33.4379
2020-04-01,33.4379
2020-04-02,33.4379
2020-04-03,33.4379
2020-04-04,33.4379
2020-04-05,33.4379
2020-04-06,33.4379
2020-04-07,33.4379
2020-04-08,33.4379
2020-04-09,33.4379
2020-04-10,33.4379
2020-04-11,33.4379
2020-04-12,33.4379
2020-04-13,33.4379
2020-04-14,33.4379
2020-04-15,33.4379
2020-04-16,33.4379
2020-04-17,33.4379
2020-04-18,33.4379
2020-04-19,33.4379
2020-04-20,33.4379
2020-04-21,33.4379
2020-04-22,33.4379
2020-04-23,33.4379
2020-04-24,33.4379
2020-04-25,33.4379
2020-04-26,33.4379
2020-04-27,33.4379
2020-04-28,33.4379
2020-04-29,33.4379
2020-04-30,33.4379
2020-05-01,33.4379
2020-05-02,33.4379
2020-05-03,33.4379
2020-05-04,33.4379
2020-05-05,33.4379
2020-05-06,33.4379
2020-05-07,33.4379
2020-05-08,33.4379
2020-05-09,33.4379
2020-05-10,33.4379
2020-05-11,33.4379
2020-05-12,33.4379
2020-05-13,33.4379
2020-05-14,33.4379
2020-05-15,33.4379
2020-05-16,33.4379
2020-05-17,33.4379
2020-05-18,33.4379
2020-05-19,33.4379
2020-05-20,33.4379
2020-05-21,33.4379
2020-05-22,33.4379
2020-05-23,33.4379
2020-05-24,33.4379
2020-05-25,33.4379
2020-05-26,33.4379
2020-05-27,33.4379
2020-05-28,33.4379
2020-05-29,33.4379
2020-05-30,33.4379
2020-05-31,33.4379
2020-06-01,33.4379
2020-06-02,33.4379
2020-06-03,33.4379
2020-06-04,33.4379
2020-06-05,33.4379
2020-06-06,33.4379
2020-06-07,33.4379
2020-06-08,33.4379
2020-06-09,33.4379
2020-06-10,33.4379
2020-06-11,33.4379
2020-06-12,33.4379
2020-06-13,33.4379
2020-06-14,33.4379
2020-06-15,33.4379
2020-06-16,33.4379
2020-06-17,33.4379
2020-06-18,33.4379
2020-06-19,33.4379
2020-06-20,33.4379
2020-06-21,33.4379
2020-06-22,33.4379
2020-06-23,33.4379
2020-06-24,33.4379
2020-06-25,33.4379
2020-06-26,33.4379
2020-06-27,33.4379
2020-06-28,33.4379
2020-06-29,33.4379
2020-06-30,30.1693
2020-07-01,30.1693
2020-07-02,30.1693
2020-07-03,30.1693
2020-07-04,30.1693
2020-07-05,30.1693
2020-07-06,30.1693
2020-07-07,30.1693
2020-07-08,30.1693
2020-07-09,30.1693
2020-07-10,30.1693
2020-07-11,30.1693
2020-07-12,30.1693
2020-07-13,30.1693
2020-07-14,30.1693
2020-07-15,30.1693
2020-07-16,30.1693
2020-07-17,30.1693
2020-07-18,30.1693
2020-07-19,30.1693
2020-07-20,30.1693
2020-07-21,30.1693
2020-07-22,30.1693
2020-07-23,30.1693
