,LILA US Equity
,RETURN_COM_EQY
2020-01-01,-2.5746
2020-01-02,-2.5746
2020-01-03,-2.5746
2020-01-04,-2.5746
2020-01-05,-2.5746
2020-01-06,-2.5746
2020-01-07,-2.5746
2020-01-08,-2.5746
2020-01-09,-2.5746
2020-01-10,-2.5746
2020-01-11,-2.5746
2020-01-12,-2.5746
2020-01-13,-2.5746
2020-01-14,-2.5746
2020-01-15,-2.5746
2020-01-16,-2.5746
2020-01-17,-2.5746
2020-01-18,-2.5746
2020-01-19,-2.5746
2020-01-20,-2.5746
2020-01-21,-2.5746
2020-01-22,-2.5746
2020-01-23,-2.5746
2020-01-24,-2.5746
2020-01-25,-2.5746
2020-01-26,-2.5746
2020-01-27,-2.5746
2020-01-28,-2.5746
2020-01-29,-2.5746
2020-01-30,-2.5746
2020-01-31,-2.5746
2020-02-01,-2.5746
2020-02-02,-2.5746
2020-02-03,-2.5746
2020-02-04,-2.5746
2020-02-05,-2.5746
2020-02-06,-2.5746
2020-02-07,-2.5746
2020-02-08,-2.5746
2020-02-09,-2.5746
2020-02-10,-2.5746
2020-02-11,-2.5746
2020-02-12,-2.5746
2020-02-13,-2.5746
2020-02-14,-2.5746
2020-02-15,-2.5746
2020-02-16,-2.5746
2020-02-17,-2.5746
2020-02-18,-2.5746
2020-02-19,-2.5746
2020-02-20,-2.5746
2020-02-21,-2.5746
2020-02-22,-2.5746
2020-02-23,-2.5746
2020-02-24,-2.5746
2020-02-25,-2.5746
2020-02-26,-2.5746
2020-02-27,-2.5746
2020-02-28,-2.5746
2020-02-29,-2.5746
2020-03-01,-2.5746
2020-03-02,-2.5746
2020-03-03,-2.5746
2020-03-04,-2.5746
2020-03-05,-2.5746
2020-03-06,-2.5746
2020-03-07,-2.5746
2020-03-08,-2.5746
2020-03-09,-2.5746
2020-03-10,-2.5746
2020-03-11,-2.5746
2020-03-12,-2.5746
2020-03-13,-2.5746
2020-03-14,-2.5746
2020-03-15,-2.5746
2020-03-16,-2.5746
2020-03-17,-2.5746
2020-03-18,-2.5746
2020-03-19,-2.5746
2020-03-20,-2.5746
2020-03-21,-2.5746
2020-03-22,-2.5746
2020-03-23,-2.5746
2020-03-24,-2.5746
2020-03-25,-2.5746
2020-03-26,-2.5746
2020-03-27,-2.5746
2020-03-28,-2.5746
2020-03-29,-2.5746
2020-03-30,-2.5746
2020-03-31,-7.2569
2020-04-01,-7.2569
2020-04-02,-7.2569
2020-04-03,-7.2569
2020-04-04,-7.2569
2020-04-05,-7.2569
2020-04-06,-7.2569
2020-04-07,-7.2569
2020-04-08,-7.2569
2020-04-09,-7.2569
2020-04-10,-7.2569
2020-04-11,-7.2569
2020-04-12,-7.2569
2020-04-13,-7.2569
2020-04-14,-7.2569
2020-04-15,-7.2569
2020-04-16,-7.2569
2020-04-17,-7.2569
2020-04-18,-7.2569
2020-04-19,-7.2569
2020-04-20,-7.2569
2020-04-21,-7.2569
2020-04-22,-7.2569
2020-04-23,-7.2569
2020-04-24,-7.2569
2020-04-25,-7.2569
2020-04-26,-7.2569
2020-04-27,-7.2569
2020-04-28,-7.2569
2020-04-29,-7.2569
2020-04-30,-7.2569
2020-05-01,-7.2569
2020-05-02,-7.2569
2020-05-03,-7.2569
2020-05-04,-7.2569
2020-05-05,-7.2569
2020-05-06,-7.2569
2020-05-07,-7.2569
2020-05-08,-7.2569
2020-05-09,-7.2569
2020-05-10,-7.2569
2020-05-11,-7.2569
2020-05-12,-7.2569
2020-05-13,-7.2569
2020-05-14,-7.2569
2020-05-15,-7.2569
2020-05-16,-7.2569
2020-05-17,-7.2569
2020-05-18,-7.2569
2020-05-19,-7.2569
2020-05-20,-7.2569
2020-05-21,-7.2569
2020-05-22,-7.2569
2020-05-23,-7.2569
2020-05-24,-7.2569
2020-05-25,-7.2569
2020-05-26,-7.2569
2020-05-27,-7.2569
2020-05-28,-7.2569
2020-05-29,-7.2569
2020-05-30,-7.2569
2020-05-31,-7.2569
2020-06-01,-7.2569
2020-06-02,-7.2569
2020-06-03,-7.2569
2020-06-04,-7.2569
2020-06-05,-7.2569
2020-06-06,-7.2569
2020-06-07,-7.2569
2020-06-08,-7.2569
2020-06-09,-7.2569
2020-06-10,-7.2569
2020-06-11,-7.2569
2020-06-12,-7.2569
2020-06-13,-7.2569
2020-06-14,-7.2569
2020-06-15,-7.2569
2020-06-16,-7.2569
2020-06-17,-7.2569
2020-06-18,-7.2569
2020-06-19,-7.2569
2020-06-20,-7.2569
2020-06-21,-7.2569
2020-06-22,-7.2569
2020-06-23,-7.2569
2020-06-24,-7.2569
2020-06-25,-7.2569
2020-06-26,-7.2569
2020-06-27,-7.2569
2020-06-28,-7.2569
2020-06-29,-7.2569
2020-06-30,-18.0377
2020-07-01,-18.0377
2020-07-02,-18.0377
2020-07-03,-18.0377
2020-07-04,-18.0377
2020-07-05,-18.0377
2020-07-06,-18.0377
2020-07-07,-18.0377
2020-07-08,-18.0377
2020-07-09,-18.0377
2020-07-10,-18.0377
2020-07-11,-18.0377
2020-07-12,-18.0377
2020-07-13,-18.0377
2020-07-14,-18.0377
2020-07-15,-18.0377
2020-07-16,-18.0377
2020-07-17,-18.0377
2020-07-18,-18.0377
2020-07-19,-18.0377
2020-07-20,-18.0377
2020-07-21,-18.0377
2020-07-22,-18.0377
2020-07-23,-18.0377
2020-07-24,-18.0377
2020-07-25,-18.0377
2020-07-26,-18.0377
2020-07-27,-18.0377
2020-07-28,-18.0377
2020-07-29,-18.0377
2020-07-30,-18.0377
2020-07-31,-18.0377
2020-08-01,-18.0377
2020-08-02,-18.0377
2020-08-03,-18.0377
2020-08-04,-18.0377
2020-08-05,-18.0377
2020-08-06,-18.0377
2020-08-07,-18.0377
2020-08-08,-18.0377
2020-08-09,-18.0377
2020-08-10,-18.0377
2020-08-11,-18.0377
2020-08-12,-18.0377
2020-08-13,-18.0377
2020-08-14,-18.0377
2020-08-15,-18.0377
2020-08-16,-18.0377
2020-08-17,-18.0377
2020-08-18,-18.0377
2020-08-19,-18.0377
2020-08-20,-18.0377
2020-08-21,-18.0377
2020-08-22,-18.0377
2020-08-23,-18.0377
2020-08-24,-18.0377
2020-08-25,-18.0377
2020-08-26,-18.0377
2020-08-27,-18.0377
2020-08-28,-18.0377
2020-08-29,-18.0377
2020-08-30,-18.0377
2020-08-31,-18.0377
2020-09-01,-18.0377
2020-09-02,-18.0377
2020-09-03,-18.0377
2020-09-04,-18.0377
2020-09-05,-18.0377
2020-09-06,-18.0377
2020-09-07,-18.0377
2020-09-08,-18.0377
2020-09-09,-18.0377
2020-09-10,-18.0377
2020-09-11,-18.0377
2020-09-12,-18.0377
2020-09-13,-18.0377
2020-09-14,-18.0377
2020-09-15,-18.0377
2020-09-16,-18.0377
2020-09-17,-18.0377
2020-09-18,-18.0377
2020-09-19,-18.0377
2020-09-20,-18.0377
2020-09-21,-18.0377
2020-09-22,-18.0377
2020-09-23,-18.0377
2020-09-24,-18.0377
2020-09-25,-18.0377
2020-09-26,-18.0377
2020-09-27,-18.0377
2020-09-28,-18.0377
2020-09-29,-18.0377
2020-09-30,-21.2395
2020-10-01,-21.2395
2020-10-02,-21.2395
2020-10-03,-21.2395
2020-10-04,-21.2395
2020-10-05,-21.2395
2020-10-06,-21.2395
2020-10-07,-21.2395
2020-10-08,-21.2395
2020-10-09,-21.2395
2020-10-10,-21.2395
2020-10-11,-21.2395
2020-10-12,-21.2395
2020-10-13,-21.2395
2020-10-14,-21.2395
2020-10-15,-21.2395
2020-10-16,-21.2395
2020-10-17,-21.2395
2020-10-18,-21.2395
2020-10-19,-21.2395
2020-10-20,-21.2395
2020-10-21,-21.2395
2020-10-22,-21.2395
2020-10-23,-21.2395
2020-10-24,-21.2395
2020-10-25,-21.2395
2020-10-26,-21.2395
2020-10-27,-21.2395
2020-10-28,-21.2395
2020-10-29,-21.2395
2020-10-30,-21.2395
2020-10-31,-21.2395
2020-11-01,-21.2395
2020-11-02,-21.2395
2020-11-03,-21.2395
2020-11-04,-21.2395
2020-11-05,-21.2395
2020-11-06,-21.2395
2020-11-07,-21.2395
2020-11-08,-21.2395
2020-11-09,-21.2395
2020-11-10,-21.2395
2020-11-11,-21.2395
2020-11-12,-21.2395
2020-11-13,-21.2395
2020-11-14,-21.2395
2020-11-15,-21.2395
2020-11-16,-21.2395
2020-11-17,-21.2395
2020-11-18,-21.2395
2020-11-19,-21.2395
2020-11-20,-21.2395
2020-11-21,-21.2395
2020-11-22,-21.2395
2020-11-23,-21.2395
2020-11-24,-21.2395
2020-11-25,-21.2395
2020-11-26,-21.2395
2020-11-27,-21.2395
2020-11-28,-21.2395
2020-11-29,-21.2395
2020-11-30,-21.2395
2020-12-01,-21.2395
2020-12-02,-21.2395
2020-12-03,-21.2395
2020-12-04,-21.2395
2020-12-05,-21.2395
2020-12-06,-21.2395
2020-12-07,-21.2395
2020-12-08,-21.2395
2020-12-09,-21.2395
2020-12-10,-21.2395
2020-12-11,-21.2395
2020-12-12,-21.2395
2020-12-13,-21.2395
2020-12-14,-21.2395
2020-12-15,-21.2395
2020-12-16,-21.2395
2020-12-17,-21.2395
2020-12-18,-21.2395
2020-12-19,-21.2395
2020-12-20,-21.2395
2020-12-21,-21.2395
2020-12-22,-21.2395
2020-12-23,-21.2395
2020-12-24,-21.2395
2020-12-25,-21.2395
2020-12-26,-21.2395
2020-12-27,-21.2395
2020-12-28,-21.2395
2020-12-29,-21.2395
2020-12-30,-21.2395
2020-12-31,-23.8481
2021-01-01,-23.8481
2021-01-02,-23.8481
2021-01-03,-23.8481
2021-01-04,-23.8481
2021-01-05,-23.8481
2021-01-06,-23.8481
2021-01-07,-23.8481
2021-01-08,-23.8481
2021-01-09,-23.8481
2021-01-10,-23.8481
2021-01-11,-23.8481
2021-01-12,-23.8481
2021-01-13,-23.8481
2021-01-14,-23.8481
2021-01-15,-23.8481
2021-01-16,-23.8481
2021-01-17,-23.8481
2021-01-18,-23.8481
2021-01-19,-23.8481
2021-01-20,-23.8481
2021-01-21,-23.8481
2021-01-22,-23.8481
2021-01-23,-23.8481
2021-01-24,-23.8481
2021-01-25,-23.8481
2021-01-26,-23.8481
2021-01-27,-23.8481
2021-01-28,-23.8481
2021-01-29,-23.8481
2021-01-30,-23.8481
2021-01-31,-23.8481
2021-02-01,-23.8481
2021-02-02,-23.8481
2021-02-03,-23.8481
2021-02-04,-23.8481
2021-02-05,-23.8481
2021-02-06,-23.8481
2021-02-07,-23.8481
2021-02-08,-23.8481
2021-02-09,-23.8481
2021-02-10,-23.8481
2021-02-11,-23.8481
2021-02-12,-23.8481
2021-02-13,-23.8481
2021-02-14,-23.8481
2021-02-15,-23.8481
2021-02-16,-23.8481
2021-02-17,-23.8481
2021-02-18,-23.8481
2021-02-19,-23.8481
2021-02-20,-23.8481
2021-02-21,-23.8481
2021-02-22,-23.8481
2021-02-23,-23.8481
2021-02-24,-23.8481
2021-02-25,-23.8481
2021-02-26,-23.8481
2021-02-27,-23.8481
2021-02-28,-23.8481
2021-03-01,-23.8481
2021-03-02,-23.8481
2021-03-03,-23.8481
2021-03-04,-23.8481
2021-03-05,-23.8481
2021-03-06,-23.8481
2021-03-07,-23.8481
2021-03-08,-23.8481
2021-03-09,-23.8481
2021-03-10,-23.8481
2021-03-11,-23.8481
2021-03-12,-23.8481
2021-03-13,-23.8481
2021-03-14,-23.8481
2021-03-15,-23.8481
2021-03-16,-23.8481
2021-03-17,-23.8481
2021-03-18,-23.8481
2021-03-19,-23.8481
2021-03-20,-23.8481
2021-03-21,-23.8481
2021-03-22,-23.8481
2021-03-23,-23.8481
2021-03-24,-23.8481
2021-03-25,-23.8481
2021-03-26,-23.8481
2021-03-27,-23.8481
2021-03-28,-23.8481
2021-03-29,-23.8481
2021-03-30,-23.8481
2021-03-31,-14.3463
2021-04-01,-14.3463
2021-04-02,-14.3463
2021-04-03,-14.3463
2021-04-04,-14.3463
2021-04-05,-14.3463
2021-04-06,-14.3463
2021-04-07,-14.3463
2021-04-08,-14.3463
2021-04-09,-14.3463
2021-04-10,-14.3463
2021-04-11,-14.3463
2021-04-12,-14.3463
2021-04-13,-14.3463
2021-04-14,-14.3463
2021-04-15,-14.3463
2021-04-16,-14.3463
2021-04-17,-14.3463
2021-04-18,-14.3463
2021-04-19,-14.3463
2021-04-20,-14.3463
2021-04-21,-14.3463
2021-04-22,-14.3463
2021-04-23,-14.3463
2021-04-24,-14.3463
2021-04-25,-14.3463
2021-04-26,-14.3463
2021-04-27,-14.3463
2021-04-28,-14.3463
2021-04-29,-14.3463
2021-04-30,-14.3463
2021-05-01,-14.3463
2021-05-02,-14.3463
2021-05-03,-14.3463
2021-05-04,-14.3463
2021-05-05,-14.3463
2021-05-06,-14.3463
2021-05-07,-14.3463
2021-05-08,-14.3463
2021-05-09,-14.3463
2021-05-10,-14.3463
2021-05-11,-14.3463
2021-05-12,-14.3463
2021-05-13,-14.3463
2021-05-14,-14.3463
2021-05-15,-14.3463
2021-05-16,-14.3463
2021-05-17,-14.3463
2021-05-18,-14.3463
2021-05-19,-14.3463
2021-05-20,-14.3463
2021-05-21,-14.3463
2021-05-22,-14.3463
2021-05-23,-14.3463
2021-05-24,-14.3463
2021-05-25,-14.3463
2021-05-26,-14.3463
2021-05-27,-14.3463
2021-05-28,-14.3463
2021-05-29,-14.3463
2021-05-30,-14.3463
2021-05-31,-14.3463
2021-06-01,-14.3463
2021-06-02,-14.3463
2021-06-03,-14.3463
2021-06-04,-14.3463
2021-06-05,-14.3463
2021-06-06,-14.3463
2021-06-07,-14.3463
2021-06-08,-14.3463
2021-06-09,-14.3463
2021-06-10,-14.3463
2021-06-11,-14.3463
2021-06-12,-14.3463
2021-06-13,-14.3463
2021-06-14,-14.3463
2021-06-15,-14.3463
2021-06-16,-14.3463
2021-06-17,-14.3463
2021-06-18,-14.3463
2021-06-19,-14.3463
2021-06-20,-14.3463
2021-06-21,-14.3463
2021-06-22,-14.3463
2021-06-23,-14.3463
2021-06-24,-14.3463
2021-06-25,-14.3463
2021-06-26,-14.3463
2021-06-27,-14.3463
2021-06-28,-14.3463
2021-06-29,-14.3463
2021-06-30,-0.2513
2021-07-01,-0.2513
2021-07-02,-0.2513
2021-07-03,-0.2513
2021-07-04,-0.2513
2021-07-05,-0.2513
2021-07-06,-0.2513
2021-07-07,-0.2513
2021-07-08,-0.2513
2021-07-09,-0.2513
2021-07-10,-0.2513
2021-07-11,-0.2513
2021-07-12,-0.2513
2021-07-13,-0.2513
2021-07-14,-0.2513
2021-07-15,-0.2513
2021-07-16,-0.2513
2021-07-17,-0.2513
2021-07-18,-0.2513
2021-07-19,-0.2513
2021-07-20,-0.2513
2021-07-21,-0.2513
2021-07-22,-0.2513
2021-07-23,-0.2513
2021-07-24,-0.2513
2021-07-25,-0.2513
2021-07-26,-0.2513
2021-07-27,-0.2513
2021-07-28,-0.2513
2021-07-29,-0.2513
2021-07-30,-0.2513
2021-07-31,-0.2513
2021-08-01,-0.2513
2021-08-02,-0.2513
2021-08-03,-0.2513
2021-08-04,-0.2513
2021-08-05,-0.2513
2021-08-06,-0.2513
2021-08-07,-0.2513
2021-08-08,-0.2513
2021-08-09,-0.2513
2021-08-10,-0.2513
2021-08-11,-0.2513
2021-08-12,-0.2513
2021-08-13,-0.2513
2021-08-14,-0.2513
2021-08-15,-0.2513
2021-08-16,-0.2513
2021-08-17,-0.2513
2021-08-18,-0.2513
2021-08-19,-0.2513
2021-08-20,-0.2513
2021-08-21,-0.2513
2021-08-22,-0.2513
2021-08-23,-0.2513
2021-08-24,-0.2513
2021-08-25,-0.2513
2021-08-26,-0.2513
2021-08-27,-0.2513
2021-08-28,-0.2513
2021-08-29,-0.2513
2021-08-30,-0.2513
2021-08-31,-0.2513
2021-09-01,-0.2513
2021-09-02,-0.2513
2021-09-03,-0.2513
2021-09-04,-0.2513
2021-09-05,-0.2513
2021-09-06,-0.2513
2021-09-07,-0.2513
2021-09-08,-0.2513
2021-09-09,-0.2513
2021-09-10,-0.2513
2021-09-11,-0.2513
2021-09-12,-0.2513
2021-09-13,-0.2513
2021-09-14,-0.2513
2021-09-15,-0.2513
2021-09-16,-0.2513
2021-09-17,-0.2513
2021-09-18,-0.2513
2021-09-19,-0.2513
2021-09-20,-0.2513
2021-09-21,-0.2513
2021-09-22,-0.2513
2021-09-23,-0.2513
2021-09-24,-0.2513
2021-09-25,-0.2513
2021-09-26,-0.2513
2021-09-27,-0.2513
2021-09-28,-0.2513
2021-09-29,-0.2513
2021-09-30,5.3728
2021-10-01,5.3728
2021-10-02,5.3728
2021-10-03,5.3728
2021-10-04,5.3728
2021-10-05,5.3728
2021-10-06,5.3728
2021-10-07,5.3728
2021-10-08,5.3728
2021-10-09,5.3728
2021-10-10,5.3728
2021-10-11,5.3728
2021-10-12,5.3728
2021-10-13,5.3728
2021-10-14,5.3728
2021-10-15,5.3728
2021-10-16,5.3728
2021-10-17,5.3728
2021-10-18,5.3728
2021-10-19,5.3728
2021-10-20,5.3728
2021-10-21,5.3728
2021-10-22,5.3728
2021-10-23,5.3728
2021-10-24,5.3728
2021-10-25,5.3728
2021-10-26,5.3728
2021-10-27,5.3728
2021-10-28,5.3728
2021-10-29,5.3728
2021-10-30,5.3728
2021-10-31,5.3728
2021-11-01,5.3728
2021-11-02,5.3728
2021-11-03,5.3728
2021-11-04,5.3728
2021-11-05,5.3728
2021-11-06,5.3728
2021-11-07,5.3728
2021-11-08,5.3728
2021-11-09,5.3728
2021-11-10,5.3728
2021-11-11,5.3728
2021-11-12,5.3728
2021-11-13,5.3728
2021-11-14,5.3728
2021-11-15,5.3728
2021-11-16,5.3728
2021-11-17,5.3728
2021-11-18,5.3728
2021-11-19,5.3728
2021-11-20,5.3728
2021-11-21,5.3728
2021-11-22,5.3728
2021-11-23,5.3728
2021-11-24,5.3728
2021-11-25,5.3728
2021-11-26,5.3728
2021-11-27,5.3728
2021-11-28,5.3728
2021-11-29,5.3728
2021-11-30,5.3728
2021-12-01,5.3728
2021-12-02,5.3728
2021-12-03,5.3728
2021-12-04,5.3728
2021-12-05,5.3728
2021-12-06,5.3728
2021-12-07,5.3728
2021-12-08,5.3728
2021-12-09,5.3728
2021-12-10,5.3728
2021-12-11,5.3728
2021-12-12,5.3728
2021-12-13,5.3728
2021-12-14,5.3728
2021-12-15,5.3728
2021-12-16,5.3728
2021-12-17,5.3728
2021-12-18,5.3728
2021-12-19,5.3728
2021-12-20,5.3728
2021-12-21,5.3728
2021-12-22,5.3728
2021-12-23,5.3728
2021-12-24,5.3728
2021-12-25,5.3728
2021-12-26,5.3728
2021-12-27,5.3728
2021-12-28,5.3728
2021-12-29,5.3728
2021-12-30,5.3728
2021-12-31,-17.8665
2022-01-01,-17.8665
2022-01-02,-17.8665
2022-01-03,-17.8665
2022-01-04,-17.8665
2022-01-05,-17.8665
2022-01-06,-17.8665
2022-01-07,-17.8665
2022-01-08,-17.8665
2022-01-09,-17.8665
2022-01-10,-17.8665
2022-01-11,-17.8665
2022-01-12,-17.8665
2022-01-13,-17.8665
2022-01-14,-17.8665
2022-01-15,-17.8665
2022-01-16,-17.8665
2022-01-17,-17.8665
2022-01-18,-17.8665
2022-01-19,-17.8665
2022-01-20,-17.8665
2022-01-21,-17.8665
2022-01-22,-17.8665
2022-01-23,-17.8665
2022-01-24,-17.8665
2022-01-25,-17.8665
2022-01-26,-17.8665
2022-01-27,-17.8665
2022-01-28,-17.8665
2022-01-29,-17.8665
2022-01-30,-17.8665
2022-01-31,-17.8665
2022-02-01,-17.8665
2022-02-02,-17.8665
2022-02-03,-17.8665
2022-02-04,-17.8665
2022-02-05,-17.8665
2022-02-06,-17.8665
2022-02-07,-17.8665
2022-02-08,-17.8665
2022-02-09,-17.8665
2022-02-10,-17.8665
2022-02-11,-17.8665
2022-02-12,-17.8665
2022-02-13,-17.8665
2022-02-14,-17.8665
2022-02-15,-17.8665
2022-02-16,-17.8665
2022-02-17,-17.8665
2022-02-18,-17.8665
2022-02-19,-17.8665
2022-02-20,-17.8665
2022-02-21,-17.8665
2022-02-22,-17.8665
2022-02-23,-17.8665
2022-02-24,-17.8665
2022-02-25,-17.8665
2022-02-26,-17.8665
2022-02-27,-17.8665
2022-02-28,-17.8665
2022-03-01,-17.8665
2022-03-02,-17.8665
2022-03-03,-17.8665
2022-03-04,-17.8665
2022-03-05,-17.8665
2022-03-06,-17.8665
2022-03-07,-17.8665
2022-03-08,-17.8665
2022-03-09,-17.8665
2022-03-10,-17.8665
2022-03-11,-17.8665
2022-03-12,-17.8665
2022-03-13,-17.8665
2022-03-14,-17.8665
