,ECVT US Equity
,RETURN_COM_EQY
2020-01-01,4.6257
2020-01-02,4.6257
2020-01-03,4.6257
2020-01-04,4.6257
2020-01-05,4.6257
2020-01-06,4.6257
2020-01-07,4.6257
2020-01-08,4.6257
2020-01-09,4.6257
2020-01-10,4.6257
2020-01-11,4.6257
2020-01-12,4.6257
2020-01-13,4.6257
2020-01-14,4.6257
2020-01-15,4.6257
2020-01-16,4.6257
2020-01-17,4.6257
2020-01-18,4.6257
2020-01-19,4.6257
2020-01-20,4.6257
2020-01-21,4.6257
2020-01-22,4.6257
2020-01-23,4.6257
2020-01-24,4.6257
2020-01-25,4.6257
2020-01-26,4.6257
2020-01-27,4.6257
2020-01-28,4.6257
2020-01-29,4.6257
2020-01-30,4.6257
2020-01-31,4.6257
2020-02-01,4.6257
2020-02-02,4.6257
2020-02-03,4.6257
2020-02-04,4.6257
2020-02-05,4.6257
2020-02-06,4.6257
2020-02-07,4.6257
2020-02-08,4.6257
2020-02-09,4.6257
2020-02-10,4.6257
2020-02-11,4.6257
2020-02-12,4.6257
2020-02-13,4.6257
2020-02-14,4.6257
2020-02-15,4.6257
2020-02-16,4.6257
2020-02-17,4.6257
2020-02-18,4.6257
2020-02-19,4.6257
2020-02-20,4.6257
2020-02-21,4.6257
2020-02-22,4.6257
2020-02-23,4.6257
2020-02-24,4.6257
2020-02-25,4.6257
2020-02-26,4.6257
2020-02-27,4.6257
2020-02-28,4.6257
2020-02-29,4.6257
2020-03-01,4.6257
2020-03-02,4.6257
2020-03-03,4.6257
2020-03-04,4.6257
2020-03-05,4.6257
2020-03-06,4.6257
2020-03-07,4.6257
2020-03-08,4.6257
2020-03-09,4.6257
2020-03-10,4.6257
2020-03-11,4.6257
2020-03-12,4.6257
2020-03-13,4.6257
2020-03-14,4.6257
2020-03-15,4.6257
2020-03-16,4.6257
2020-03-17,4.6257
2020-03-18,4.6257
2020-03-19,4.6257
2020-03-20,4.6257
2020-03-21,4.6257
2020-03-22,4.6257
2020-03-23,4.6257
2020-03-24,4.6257
2020-03-25,4.6257
2020-03-26,4.6257
2020-03-27,4.6257
2020-03-28,4.6257
2020-03-29,4.6257
2020-03-30,4.6257
2020-03-31,4.4953
2020-04-01,4.4953
2020-04-02,4.4953
2020-04-03,4.4953
2020-04-04,4.4953
2020-04-05,4.4953
2020-04-06,4.4953
2020-04-07,4.4953
2020-04-08,4.4953
2020-04-09,4.4953
2020-04-10,4.4953
2020-04-11,4.4953
2020-04-12,4.4953
2020-04-13,4.4953
2020-04-14,4.4953
2020-04-15,4.4953
2020-04-16,4.4953
2020-04-17,4.4953
2020-04-18,4.4953
2020-04-19,4.4953
2020-04-20,4.4953
2020-04-21,4.4953
2020-04-22,4.4953
2020-04-23,4.4953
2020-04-24,4.4953
2020-04-25,4.4953
2020-04-26,4.4953
2020-04-27,4.4953
2020-04-28,4.4953
2020-04-29,4.4953
2020-04-30,4.4953
2020-05-01,4.4953
2020-05-02,4.4953
2020-05-03,4.4953
2020-05-04,4.4953
2020-05-05,4.4953
2020-05-06,4.4953
2020-05-07,4.4953
2020-05-08,4.4953
2020-05-09,4.4953
2020-05-10,4.4953
2020-05-11,4.4953
2020-05-12,4.4953
2020-05-13,4.4953
2020-05-14,4.4953
2020-05-15,4.4953
2020-05-16,4.4953
2020-05-17,4.4953
2020-05-18,4.4953
