,GD US Equity
,RETURN_COM_EQY
2020-01-01,27.1023
2020-01-02,27.1023
2020-01-03,27.1023
2020-01-04,27.1023
2020-01-05,27.1023
2020-01-06,27.1023
2020-01-07,27.1023
2020-01-08,27.1023
2020-01-09,27.1023
2020-01-10,27.1023
2020-01-11,27.1023
2020-01-12,27.1023
2020-01-13,27.1023
2020-01-14,27.1023
2020-01-15,27.1023
2020-01-16,27.1023
2020-01-17,27.1023
2020-01-18,27.1023
2020-01-19,27.1023
2020-01-20,27.1023
2020-01-21,27.1023
2020-01-22,27.1023
2020-01-23,27.1023
2020-01-24,27.1023
2020-01-25,27.1023
2020-01-26,27.1023
2020-01-27,27.1023
2020-01-28,27.1023
2020-01-29,27.1023
2020-01-30,27.1023
2020-01-31,27.1023
2020-02-01,27.1023
2020-02-02,27.1023
2020-02-03,27.1023
2020-02-04,27.1023
2020-02-05,27.1023
2020-02-06,27.1023
2020-02-07,27.1023
2020-02-08,27.1023
2020-02-09,27.1023
2020-02-10,27.1023
2020-02-11,27.1023
2020-02-12,27.1023
2020-02-13,27.1023
2020-02-14,27.1023
2020-02-15,27.1023
2020-02-16,27.1023
2020-02-17,27.1023
2020-02-18,27.1023
2020-02-19,27.1023
2020-02-20,27.1023
2020-02-21,27.1023
2020-02-22,27.1023
2020-02-23,27.1023
2020-02-24,27.1023
2020-02-25,27.1023
2020-02-26,27.1023
2020-02-27,27.1023
2020-02-28,27.1023
2020-02-29,27.1023
2020-03-01,27.1023
2020-03-02,27.1023
2020-03-03,27.1023
2020-03-04,27.1023
2020-03-05,27.1023
2020-03-06,27.1023
2020-03-07,27.1023
2020-03-08,27.1023
2020-03-09,27.1023
2020-03-10,27.1023
2020-03-11,27.1023
2020-03-12,27.1023
2020-03-13,27.1023
2020-03-14,27.1023
2020-03-15,27.1023
2020-03-16,27.1023
2020-03-17,27.1023
2020-03-18,27.1023
2020-03-19,27.1023
2020-03-20,27.1023
2020-03-21,27.1023
2020-03-22,27.1023
2020-03-23,27.1023
2020-03-24,27.1023
2020-03-25,27.1023
2020-03-26,27.1023
2020-03-27,27.1023
2020-03-28,27.1023
2020-03-29,27.0897
2020-03-30,27.0897
2020-03-31,27.0897
2020-04-01,27.0897
2020-04-02,27.0897
2020-04-03,27.0897
2020-04-04,27.0897
2020-04-05,27.0897
2020-04-06,27.0897
2020-04-07,27.0897
2020-04-08,27.0897
2020-04-09,27.0897
2020-04-10,27.0897
2020-04-11,27.0897
2020-04-12,27.0897
2020-04-13,27.0897
2020-04-14,27.0897
2020-04-15,27.0897
2020-04-16,27.0897
2020-04-17,27.0897
2020-04-18,27.0897
2020-04-19,27.0897
2020-04-20,27.0897
2020-04-21,27.0897
2020-04-22,27.0897
2020-04-23,27.0897
2020-04-24,27.0897
2020-04-25,27.0897
2020-04-26,27.0897
2020-04-27,27.0897
2020-04-28,27.0897
2020-04-29,27.0897
2020-04-30,27.0897
2020-05-01,27.0897
2020-05-02,27.0897
2020-05-03,27.0897
2020-05-04,27.0897
2020-05-05,27.0897
2020-05-06,27.0897
2020-05-07,27.0897
2020-05-08,27.0897
2020-05-09,27.0897
2020-05-10,27.0897
2020-05-11,27.0897
2020-05-12,27.0897
2020-05-13,27.0897
2020-05-14,27.0897
2020-05-15,27.0897
2020-05-16,27.0897
2020-05-17,27.0897
2020-05-18,27.0897
2020-05-19,27.0897
2020-05-20,27.0897
2020-05-21,27.0897
2020-05-22,27.0897
2020-05-23,27.0897
2020-05-24,27.0897
2020-05-25,27.0897
2020-05-26,27.0897
2020-05-27,27.0897
2020-05-28,27.0897
2020-05-29,27.0897
2020-05-30,27.0897
2020-05-31,27.0897
2020-06-01,27.0897
2020-06-02,27.0897
2020-06-03,27.0897
2020-06-04,27.0897
2020-06-05,27.0897
2020-06-06,27.0897
2020-06-07,27.0897
2020-06-08,27.0897
2020-06-09,27.0897
2020-06-10,27.0897
2020-06-11,27.0897
2020-06-12,27.0897
2020-06-13,27.0897
