,SMG US Equity
,RETURN_COM_EQY
2020-01-01,107.435
2020-01-02,107.435
2020-01-03,107.435
2020-01-04,107.435
2020-01-05,107.435
2020-01-06,107.435
2020-01-07,107.435
2020-01-08,107.435
2020-01-09,107.435
2020-01-10,107.435
2020-01-11,107.435
2020-01-12,107.435
2020-01-13,107.435
2020-01-14,107.435
2020-01-15,107.435
2020-01-16,107.435
2020-01-17,107.435
2020-01-18,107.435
2020-01-19,107.435
2020-01-20,107.435
2020-01-21,107.435
2020-01-22,107.435
2020-01-23,107.435
2020-01-24,107.435
2020-01-25,107.435
2020-01-26,107.435
2020-01-27,107.435
2020-01-28,107.435
2020-01-29,107.435
2020-01-30,107.435
2020-01-31,107.435
2020-02-01,107.435
2020-02-02,107.435
2020-02-03,107.435
2020-02-04,107.435
2020-02-05,107.435
2020-02-06,107.435
2020-02-07,107.435
2020-02-08,107.435
2020-02-09,107.435
2020-02-10,107.435
2020-02-11,107.435
2020-02-12,107.435
2020-02-13,107.435
2020-02-14,107.435
2020-02-15,107.435
2020-02-16,107.435
2020-02-17,107.435
2020-02-18,107.435
2020-02-19,107.435
2020-02-20,107.435
2020-02-21,107.435
2020-02-22,107.435
2020-02-23,107.435
2020-02-24,107.435
2020-02-25,107.435
2020-02-26,107.435
2020-02-27,107.435
2020-02-28,107.435
2020-02-29,107.435
2020-03-01,107.435
2020-03-02,107.435
2020-03-03,107.435
2020-03-04,107.435
2020-03-05,107.435
2020-03-06,107.435
2020-03-07,107.435
2020-03-08,107.435
2020-03-09,107.435
2020-03-10,107.435
2020-03-11,107.435
2020-03-12,107.435
2020-03-13,107.435
2020-03-14,107.435
2020-03-15,107.435
2020-03-16,107.435
2020-03-17,107.435
2020-03-18,107.435
2020-03-19,107.435
2020-03-20,107.435
2020-03-21,107.435
2020-03-22,107.435
2020-03-23,107.435
2020-03-24,107.435
2020-03-25,107.435
2020-03-26,107.435
2020-03-27,107.435
2020-03-28,46.144
2020-03-29,46.144
2020-03-30,46.144
2020-03-31,46.144
2020-04-01,46.144
2020-04-02,46.144
2020-04-03,46.144
2020-04-04,46.144
2020-04-05,46.144
2020-04-06,46.144
2020-04-07,46.144
2020-04-08,46.144
2020-04-09,46.144
2020-04-10,46.144
2020-04-11,46.144
2020-04-12,46.144
2020-04-13,46.144
2020-04-14,46.144
2020-04-15,46.144
2020-04-16,46.144
2020-04-17,46.144
2020-04-18,46.144
2020-04-19,46.144
2020-04-20,46.144
2020-04-21,46.144
2020-04-22,46.144
2020-04-23,46.144
2020-04-24,46.144
2020-04-25,46.144
2020-04-26,46.144
2020-04-27,46.144
2020-04-28,46.144
2020-04-29,46.144
2020-04-30,46.144
2020-05-01,46.144
2020-05-02,46.144
2020-05-03,46.144
2020-05-04,46.144
2020-05-05,46.144
2020-05-06,46.144
2020-05-07,46.144
2020-05-08,46.144
2020-05-09,46.144
2020-05-10,46.144
2020-05-11,46.144
2020-05-12,46.144
2020-05-13,46.144
2020-05-14,46.144
2020-05-15,46.144
2020-05-16,46.144
2020-05-17,46.144
2020-05-18,46.144
2020-05-19,46.144
2020-05-20,46.144
2020-05-21,46.144
2020-05-22,46.144
2020-05-23,46.144
2020-05-24,46.144
2020-05-25,46.144
2020-05-26,46.144
2020-05-27,46.144
2020-05-28,46.144
2020-05-29,46.144
2020-05-30,46.144
2020-05-31,46.144
2020-06-01,46.144
2020-06-02,46.144
2020-06-03,46.144
2020-06-04,46.144
2020-06-05,46.144
2020-06-06,46.144
2020-06-07,46.144
2020-06-08,46.144
2020-06-09,46.144
2020-06-10,46.144
2020-06-11,46.144
2020-06-12,46.144
