,HZNP US Equity
,RETURN_COM_EQY
2020-01-01,33.9512
2020-01-02,33.9512
2020-01-03,33.9512
2020-01-04,33.9512
2020-01-05,33.9512
2020-01-06,33.9512
2020-01-07,33.9512
2020-01-08,33.9512
2020-01-09,33.9512
2020-01-10,33.9512
2020-01-11,33.9512
2020-01-12,33.9512
2020-01-13,33.9512
2020-01-14,33.9512
2020-01-15,33.9512
2020-01-16,33.9512
2020-01-17,33.9512
2020-01-18,33.9512
2020-01-19,33.9512
2020-01-20,33.9512
2020-01-21,33.9512
2020-01-22,33.9512
2020-01-23,33.9512
2020-01-24,33.9512
2020-01-25,33.9512
2020-01-26,33.9512
2020-01-27,33.9512
2020-01-28,33.9512
2020-01-29,33.9512
2020-01-30,33.9512
2020-01-31,33.9512
2020-02-01,33.9512
2020-02-02,33.9512
2020-02-03,33.9512
2020-02-04,33.9512
2020-02-05,33.9512
2020-02-06,33.9512
2020-02-07,33.9512
2020-02-08,33.9512
2020-02-09,33.9512
2020-02-10,33.9512
2020-02-11,33.9512
2020-02-12,33.9512
2020-02-13,33.9512
2020-02-14,33.9512
2020-02-15,33.9512
2020-02-16,33.9512
2020-02-17,33.9512
2020-02-18,33.9512
2020-02-19,33.9512
2020-02-20,33.9512
2020-02-21,33.9512
2020-02-22,33.9512
2020-02-23,33.9512
2020-02-24,33.9512
2020-02-25,33.9512
2020-02-26,33.9512
2020-02-27,33.9512
2020-02-28,33.9512
2020-02-29,33.9512
2020-03-01,33.9512
2020-03-02,33.9512
2020-03-03,33.9512
2020-03-04,33.9512
2020-03-05,33.9512
2020-03-06,33.9512
2020-03-07,33.9512
2020-03-08,33.9512
2020-03-09,33.9512
2020-03-10,33.9512
2020-03-11,33.9512
2020-03-12,33.9512
2020-03-13,33.9512
2020-03-14,33.9512
2020-03-15,33.9512
2020-03-16,33.9512
2020-03-17,33.9512
2020-03-18,33.9512
2020-03-19,33.9512
2020-03-20,33.9512
2020-03-21,33.9512
2020-03-22,33.9512
2020-03-23,33.9512
2020-03-24,33.9512
2020-03-25,33.9512
2020-03-26,33.9512
2020-03-27,33.9512
2020-03-28,33.9512
2020-03-29,33.9512
2020-03-30,33.9512
2020-03-31,32.0814
2020-04-01,32.0814
2020-04-02,32.0814
2020-04-03,32.0814
2020-04-04,32.0814
2020-04-05,32.0814
2020-04-06,32.0814
2020-04-07,32.0814
2020-04-08,32.0814
2020-04-09,32.0814
2020-04-10,32.0814
2020-04-11,32.0814
2020-04-12,32.0814
2020-04-13,32.0814
2020-04-14,32.0814
2020-04-15,32.0814
2020-04-16,32.0814
2020-04-17,32.0814
2020-04-18,32.0814
2020-04-19,32.0814
2020-04-20,32.0814
2020-04-21,32.0814
2020-04-22,32.0814
2020-04-23,32.0814
2020-04-24,32.0814
2020-04-25,32.0814
2020-04-26,32.0814
2020-04-27,32.0814
2020-04-28,32.0814
2020-04-29,32.0814
2020-04-30,32.0814
2020-05-01,32.0814
2020-05-02,32.0814
2020-05-03,32.0814
2020-05-04,32.0814
2020-05-05,32.0814
2020-05-06,32.0814
2020-05-07,32.0814
2020-05-08,32.0814
2020-05-09,32.0814
2020-05-10,32.0814
2020-05-11,32.0814
2020-05-12,32.0814
2020-05-13,32.0814
2020-05-14,32.0814
2020-05-15,32.0814
2020-05-16,32.0814
2020-05-17,32.0814
2020-05-18,32.0814
2020-05-19,32.0814
2020-05-20,32.0814
2020-05-21,32.0814
2020-05-22,32.0814
2020-05-23,32.0814
2020-05-24,32.0814
2020-05-25,32.0814
2020-05-26,32.0814
2020-05-27,32.0814
2020-05-28,32.0814
2020-05-29,32.0814
2020-05-30,32.0814
2020-05-31,32.0814
2020-06-01,32.0814
2020-06-02,32.0814
2020-06-03,32.0814
2020-06-04,32.0814
2020-06-05,32.0814
2020-06-06,32.0814
2020-06-07,32.0814
2020-06-08,32.0814
2020-06-09,32.0814
2020-06-10,32.0814
2020-06-11,32.0814
2020-06-12,32.0814
2020-06-13,32.0814
2020-06-14,32.0814
2020-06-15,32.0814
2020-06-16,32.0814
2020-06-17,32.0814
2020-06-18,32.0814
2020-06-19,32.0814
2020-06-20,32.0814
2020-06-21,32.0814
2020-06-22,32.0814
2020-06-23,32.0814
2020-06-24,32.0814
2020-06-25,32.0814
2020-06-26,32.0814
2020-06-27,32.0814
2020-06-28,32.0814
2020-06-29,32.0814
2020-06-30,26.6515
2020-07-01,26.6515
2020-07-02,26.6515
2020-07-03,26.6515
2020-07-04,26.6515
2020-07-05,26.6515
2020-07-06,26.6515
2020-07-07,26.6515
2020-07-08,26.6515
2020-07-09,26.6515
2020-07-10,26.6515
2020-07-11,26.6515
2020-07-12,26.6515
2020-07-13,26.6515
2020-07-14,26.6515
