,KFRC US Equity
,RETURN_COM_EQY
2020-01-01,77.9883
2020-01-02,77.9883
2020-01-03,77.9883
2020-01-04,77.9883
2020-01-05,77.9883
2020-01-06,77.9883
2020-01-07,77.9883
2020-01-08,77.9883
2020-01-09,77.9883
2020-01-10,77.9883
2020-01-11,77.9883
2020-01-12,77.9883
2020-01-13,77.9883
2020-01-14,77.9883
2020-01-15,77.9883
2020-01-16,77.9883
2020-01-17,77.9883
2020-01-18,77.9883
2020-01-19,77.9883
2020-01-20,77.9883
2020-01-21,77.9883
2020-01-22,77.9883
2020-01-23,77.9883
2020-01-24,77.9883
2020-01-25,77.9883
2020-01-26,77.9883
2020-01-27,77.9883
2020-01-28,77.9883
2020-01-29,77.9883
2020-01-30,77.9883
2020-01-31,77.9883
2020-02-01,77.9883
2020-02-02,77.9883
2020-02-03,77.9883
2020-02-04,77.9883
2020-02-05,77.9883
2020-02-06,77.9883
2020-02-07,77.9883
2020-02-08,77.9883
2020-02-09,77.9883
2020-02-10,77.9883
2020-02-11,77.9883
2020-02-12,77.9883
2020-02-13,77.9883
2020-02-14,77.9883
2020-02-15,77.9883
2020-02-16,77.9883
2020-02-17,77.9883
2020-02-18,77.9883
2020-02-19,77.9883
2020-02-20,77.9883
2020-02-21,77.9883
2020-02-22,77.9883
2020-02-23,77.9883
2020-02-24,77.9883
2020-02-25,77.9883
2020-02-26,77.9883
2020-02-27,77.9883
2020-02-28,77.9883
2020-02-29,77.9883
2020-03-01,77.9883
2020-03-02,77.9883
2020-03-03,77.9883
2020-03-04,77.9883
2020-03-05,77.9883
2020-03-06,77.9883
2020-03-07,77.9883
2020-03-08,77.9883
2020-03-09,77.9883
2020-03-10,77.9883
2020-03-11,77.9883
2020-03-12,77.9883
2020-03-13,77.9883
2020-03-14,77.9883
2020-03-15,77.9883
2020-03-16,77.9883
2020-03-17,77.9883
2020-03-18,77.9883
2020-03-19,77.9883
2020-03-20,77.9883
2020-03-21,77.9883
2020-03-22,77.9883
2020-03-23,77.9883
2020-03-24,77.9883
2020-03-25,77.9883
2020-03-26,77.9883
2020-03-27,77.9883
2020-03-28,77.9883
2020-03-29,77.9883
