,LNTH US Equity
,RETURN_COM_EQY
2020-01-01,34.1234
2020-01-02,34.1234
2020-01-03,34.1234
2020-01-04,34.1234
2020-01-05,34.1234
2020-01-06,34.1234
2020-01-07,34.1234
2020-01-08,34.1234
2020-01-09,34.1234
2020-01-10,34.1234
2020-01-11,34.1234
2020-01-12,34.1234
2020-01-13,34.1234
2020-01-14,34.1234
2020-01-15,34.1234
2020-01-16,34.1234
2020-01-17,34.1234
2020-01-18,34.1234
2020-01-19,34.1234
2020-01-20,34.1234
2020-01-21,34.1234
2020-01-22,34.1234
2020-01-23,34.1234
2020-01-24,34.1234
2020-01-25,34.1234
2020-01-26,34.1234
2020-01-27,34.1234
2020-01-28,34.1234
2020-01-29,34.1234
2020-01-30,34.1234
2020-01-31,34.1234
2020-02-01,34.1234
2020-02-02,34.1234
2020-02-03,34.1234
2020-02-04,34.1234
2020-02-05,34.1234
2020-02-06,34.1234
2020-02-07,34.1234
2020-02-08,34.1234
2020-02-09,34.1234
2020-02-10,34.1234
2020-02-11,34.1234
2020-02-12,34.1234
2020-02-13,34.1234
2020-02-14,34.1234
2020-02-15,34.1234
2020-02-16,34.1234
2020-02-17,34.1234
2020-02-18,34.1234
2020-02-19,34.1234
2020-02-20,34.1234
2020-02-21,34.1234
2020-02-22,34.1234
2020-02-23,34.1234
2020-02-24,34.1234
2020-02-25,34.1234
2020-02-26,34.1234
2020-02-27,34.1234
2020-02-28,34.1234
2020-02-29,34.1234
2020-03-01,34.1234
2020-03-02,34.1234
2020-03-03,34.1234
2020-03-04,34.1234
2020-03-05,34.1234
2020-03-06,34.1234
2020-03-07,34.1234
2020-03-08,34.1234
2020-03-09,34.1234
2020-03-10,34.1234
2020-03-11,34.1234
2020-03-12,34.1234
2020-03-13,34.1234
2020-03-14,34.1234
2020-03-15,34.1234
2020-03-16,34.1234
2020-03-17,34.1234
2020-03-18,34.1234
2020-03-19,34.1234
2020-03-20,34.1234
2020-03-21,34.1234
2020-03-22,34.1234
2020-03-23,34.1234
2020-03-24,34.1234
2020-03-25,34.1234
2020-03-26,34.1234
2020-03-27,34.1234
2020-03-28,34.1234
2020-03-29,34.1234
2020-03-30,34.1234
2020-03-31,24.8548
2020-04-01,24.8548
2020-04-02,24.8548
2020-04-03,24.8548
2020-04-04,24.8548
2020-04-05,24.8548
2020-04-06,24.8548
2020-04-07,24.8548
2020-04-08,24.8548
2020-04-09,24.8548
2020-04-10,24.8548
2020-04-11,24.8548
2020-04-12,24.8548
2020-04-13,24.8548
2020-04-14,24.8548
2020-04-15,24.8548
2020-04-16,24.8548
2020-04-17,24.8548
2020-04-18,24.8548
2020-04-19,24.8548
2020-04-20,24.8548
2020-04-21,24.8548
2020-04-22,24.8548
2020-04-23,24.8548
2020-04-24,24.8548
2020-04-25,24.8548
2020-04-26,24.8548
2020-04-27,24.8548
2020-04-28,24.8548
2020-04-29,24.8548
2020-04-30,24.8548
2020-05-01,24.8548
2020-05-02,24.8548
2020-05-03,24.8548
2020-05-04,24.8548
2020-05-05,24.8548
2020-05-06,24.8548
2020-05-07,24.8548
2020-05-08,24.8548
2020-05-09,24.8548
2020-05-10,24.8548
2020-05-11,24.8548
2020-05-12,24.8548
2020-05-13,24.8548
2020-05-14,24.8548
2020-05-15,24.8548
