,BGS US Equity
,RETURN_COM_EQY
2020-10-10,15.4228
2020-10-11,15.4228
2020-10-12,15.4228
2020-10-13,15.4228
2020-10-14,15.4228
2020-10-15,15.4228
2020-10-16,15.4228
2020-10-17,15.4228
2020-10-18,15.4228
2020-10-19,15.4228
2020-10-20,15.4228
2020-10-21,15.4228
2020-10-22,15.4228
2020-10-23,15.4228
2020-10-24,15.4228
2020-10-25,15.4228
2020-10-26,15.4228
2020-10-27,15.4228
2020-10-28,15.4228
2020-10-29,15.4228
2020-10-30,15.4228
2020-10-31,15.4228
2020-11-01,15.4228
2020-11-02,15.4228
2020-11-03,15.4228
2020-11-04,15.4228
2020-11-05,15.4228
2020-11-06,15.4228
2020-11-07,15.4228
2020-11-08,15.4228
2020-11-09,15.4228
2020-11-10,15.4228
2020-11-11,15.4228
2020-11-12,15.4228
2020-11-13,15.4228
2020-11-14,15.4228
2020-11-15,15.4228
2020-11-16,15.4228
2020-11-17,15.4228
2020-11-18,15.4228
2020-11-19,15.4228
2020-11-20,15.4228
2020-11-21,15.4228
2020-11-22,15.4228
2020-11-23,15.4228
2020-11-24,15.4228
2020-11-25,15.4228
2020-11-26,15.4228
2020-11-27,15.4228
2020-11-28,15.4228
2020-11-29,15.4228
2020-11-30,15.4228
2020-12-01,15.4228
2020-12-02,15.4228
2020-12-03,15.4228
2020-12-04,15.4228
2020-12-05,15.4228
2020-12-06,15.4228
2020-12-07,15.4228
2020-12-08,15.4228
2020-12-09,15.4228
2020-12-10,15.4228
2020-12-11,15.4228
2020-12-12,15.4228
2020-12-13,15.4228
2020-12-14,15.4228
2020-12-15,15.4228
2020-12-16,15.4228
2020-12-17,15.4228
2020-12-18,15.4228
2020-12-19,15.4228
2020-12-20,15.4228
2020-12-21,15.4228
2020-12-22,15.4228
2020-12-23,15.4228
2020-12-24,15.4228
2020-12-25,15.4228
2020-12-26,15.4228
2020-12-27,15.4228
2020-12-28,15.4228
2020-12-29,15.4228
2020-12-30,15.4228
2020-12-31,15.4228
2021-01-01,15.4228
2021-01-02,16.0528
2021-01-03,16.0528
2021-01-04,16.0528
2021-01-05,16.0528
2021-01-06,16.0528
2021-01-07,16.0528
2021-01-08,16.0528
2021-01-09,16.0528
2021-01-10,16.0528
2021-01-11,16.0528
2021-01-12,16.0528
2021-01-13,16.0528
2021-01-14,16.0528
2021-01-15,16.0528
2021-01-16,16.0528
2021-01-17,16.0528
2021-01-18,16.0528
2021-01-19,16.0528
2021-01-20,16.0528
2021-01-21,16.0528
2021-01-22,16.0528
2021-01-23,16.0528
2021-01-24,16.0528
2021-01-25,16.0528
2021-01-26,16.0528
2021-01-27,16.0528
2021-01-28,16.0528
2021-01-29,16.0528
2021-01-30,16.0528
2021-01-31,16.0528
2021-02-01,16.0528
2021-02-02,16.0528
2021-02-03,16.0528
2021-02-04,16.0528
2021-02-05,16.0528
2021-02-06,16.0528
2021-02-07,16.0528
2021-02-08,16.0528
2021-02-09,16.0528
2021-02-10,16.0528
2021-02-11,16.0528
2021-02-12,16.0528
2021-02-13,16.0528
2021-02-14,16.0528
2021-02-15,16.0528
2021-02-16,16.0528
2021-02-17,16.0528
2021-02-18,16.0528
2021-02-19,16.0528
2021-02-20,16.0528
2021-02-21,16.0528
2021-02-22,16.0528
2021-02-23,16.0528
2021-02-24,16.0528
2021-02-25,16.0528
2021-02-26,16.0528
2021-02-27,16.0528
2021-02-28,16.0528
2021-03-01,16.0528
2021-03-02,16.0528
2021-03-03,16.0528
2021-03-04,16.0528
2021-03-05,16.0528
2021-03-06,16.0528
2021-03-07,16.0528
2021-03-08,16.0528
2021-03-09,16.0528
2021-03-10,16.0528
2021-03-11,16.0528
2021-03-12,16.0528
2021-03-13,16.0528
2021-03-14,16.0528
2021-03-15,16.0528
2021-03-16,16.0528
2021-03-17,16.0528
2021-03-18,16.0528
2021-03-19,16.0528
2021-03-20,16.0528
2021-03-21,16.0528
2021-03-22,16.0528
2021-03-23,16.0528
2021-03-24,16.0528
2021-03-25,16.0528
2021-03-26,16.0528
2021-03-27,16.0528
2021-03-28,16.0528
2021-03-29,16.0528
2021-03-30,16.0528
2021-03-31,16.0528
2021-04-01,16.0528
2021-04-02,16.0528
2021-04-03,15.9782
2021-04-04,15.9782
2021-04-05,15.9782
2021-04-06,15.9782
2021-04-07,15.9782
2021-04-08,15.9782
2021-04-09,15.9782
2021-04-10,15.9782
2021-04-11,15.9782
2021-04-12,15.9782
2021-04-13,15.9782
2021-04-14,15.9782
2021-04-15,15.9782
2021-04-16,15.9782
2021-04-17,15.9782
2021-04-18,15.9782
2021-04-19,15.9782
2021-04-20,15.9782
2021-04-21,15.9782
2021-04-22,15.9782
2021-04-23,15.9782
2021-04-24,15.9782
2021-04-25,15.9782
2021-04-26,15.9782
2021-04-27,15.9782
2021-04-28,15.9782
2021-04-29,15.9782
2021-04-30,15.9782
2021-05-01,15.9782
2021-05-02,15.9782
2021-05-03,15.9782
2021-05-04,15.9782
2021-05-05,15.9782
2021-05-06,15.9782
2021-05-07,15.9782
2021-05-08,15.9782
2021-05-09,15.9782
2021-05-10,15.9782
2021-05-11,15.9782
2021-05-12,15.9782
2021-05-13,15.9782
2021-05-14,15.9782
2021-05-15,15.9782
2021-05-16,15.9782
2021-05-17,15.9782
2021-05-18,15.9782
2021-05-19,15.9782
2021-05-20,15.9782
2021-05-21,15.9782
2021-05-22,15.9782
2021-05-23,15.9782
2021-05-24,15.9782
2021-05-25,15.9782
2021-05-26,15.9782
2021-05-27,15.9782
2021-05-28,15.9782
2021-05-29,15.9782
2021-05-30,15.9782
2021-05-31,15.9782
2021-06-01,15.9782
2021-06-02,15.9782
2021-06-03,15.9782
2021-06-04,15.9782
2021-06-05,15.9782
2021-06-06,15.9782
2021-06-07,15.9782
2021-06-08,15.9782
2021-06-09,15.9782
2021-06-10,15.9782
2021-06-11,15.9782
2021-06-12,15.9782
2021-06-13,15.9782
2021-06-14,15.9782
2021-06-15,15.9782
2021-06-16,15.9782
2021-06-17,15.9782
2021-06-18,15.9782
2021-06-19,15.9782
2021-06-20,15.9782
2021-06-21,15.9782
2021-06-22,15.9782
2021-06-23,15.9782
2021-06-24,15.9782
2021-06-25,15.9782
2021-06-26,15.9782
2021-06-27,15.9782
2021-06-28,15.9782
2021-06-29,15.9782
2021-06-30,15.9782
2021-07-01,15.9782
2021-07-02,15.9782
2021-07-03,13.3129
2021-07-04,13.3129
2021-07-05,13.3129
2021-07-06,13.3129
2021-07-07,13.3129
2021-07-08,13.3129
2021-07-09,13.3129
2021-07-10,13.3129
2021-07-11,13.3129
2021-07-12,13.3129
2021-07-13,13.3129
2021-07-14,13.3129
2021-07-15,13.3129
2021-07-16,13.3129
2021-07-17,13.3129
2021-07-18,13.3129
2021-07-19,13.3129
2021-07-20,13.3129
2021-07-21,13.3129
2021-07-22,13.3129
2021-07-23,13.3129
2021-07-24,13.3129
2021-07-25,13.3129
2021-07-26,13.3129
2021-07-27,13.3129
2021-07-28,13.3129
2021-07-29,13.3129
2021-07-30,13.3129
2021-07-31,13.3129
2021-08-01,13.3129
2021-08-02,13.3129
2021-08-03,13.3129
2021-08-04,13.3129
2021-08-05,13.3129
2021-08-06,13.3129
2021-08-07,13.3129
2021-08-08,13.3129
2021-08-09,13.3129
2021-08-10,13.3129
2021-08-11,13.3129
2021-08-12,13.3129
2021-08-13,13.3129
2021-08-14,13.3129
2021-08-15,13.3129
