,NBL US Equity
,RETURN_COM_EQY
2020-01-01,-16.9545
2020-01-02,-16.9545
2020-01-03,-16.9545
2020-01-04,-16.9545
2020-01-05,-16.9545
2020-01-06,-16.9545
2020-01-07,-16.9545
2020-01-08,-16.9545
2020-01-09,-16.9545
2020-01-10,-16.9545
2020-01-11,-16.9545
2020-01-12,-16.9545
2020-01-13,-16.9545
2020-01-14,-16.9545
2020-01-15,-16.9545
2020-01-16,-16.9545
2020-01-17,-16.9545
2020-01-18,-16.9545
2020-01-19,-16.9545
2020-01-20,-16.9545
2020-01-21,-16.9545
2020-01-22,-16.9545
2020-01-23,-16.9545
2020-01-24,-16.9545
2020-01-25,-16.9545
2020-01-26,-16.9545
2020-01-27,-16.9545
2020-01-28,-16.9545
2020-01-29,-16.9545
2020-01-30,-16.9545
2020-01-31,-16.9545
2020-02-01,-16.9545
2020-02-02,-16.9545
2020-02-03,-16.9545
2020-02-04,-16.9545
2020-02-05,-16.9545
2020-02-06,-16.9545
2020-02-07,-16.9545
2020-02-08,-16.9545
2020-02-09,-16.9545
2020-02-10,-16.9545
2020-02-11,-16.9545
2020-02-12,-16.9545
2020-02-13,-16.9545
2020-02-14,-16.9545
2020-02-15,-16.9545
2020-02-16,-16.9545
2020-02-17,-16.9545
2020-02-18,-16.9545
2020-02-19,-16.9545
2020-02-20,-16.9545
2020-02-21,-16.9545
2020-02-22,-16.9545
2020-02-23,-16.9545
2020-02-24,-16.9545
2020-02-25,-16.9545
2020-02-26,-16.9545
2020-02-27,-16.9545
2020-02-28,-16.9545
2020-02-29,-16.9545
2020-03-01,-16.9545
2020-03-02,-16.9545
2020-03-03,-16.9545
2020-03-04,-16.9545
2020-03-05,-16.9545
2020-03-06,-16.9545
2020-03-07,-16.9545
2020-03-08,-16.9545
2020-03-09,-16.9545
2020-03-10,-16.9545
2020-03-11,-16.9545
2020-03-12,-16.9545
2020-03-13,-16.9545
2020-03-14,-16.9545
2020-03-15,-16.9545
2020-03-16,-16.9545
2020-03-17,-16.9545
2020-03-18,-16.9545
2020-03-19,-16.9545
2020-03-20,-16.9545
2020-03-21,-16.9545
2020-03-22,-16.9545
2020-03-23,-16.9545
2020-03-24,-16.9545
2020-03-25,-16.9545
2020-03-26,-16.9545
2020-03-27,-16.9545
2020-03-28,-16.9545
2020-03-29,-16.9545
2020-03-30,-16.9545
2020-03-31,-76.6558
2020-04-01,-76.6558
2020-04-02,-76.6558
2020-04-03,-76.6558
2020-04-04,-76.6558
2020-04-05,-76.6558
2020-04-06,-76.6558
2020-04-07,-76.6558
2020-04-08,-76.6558
2020-04-09,-76.6558
2020-04-10,-76.6558
2020-04-11,-76.6558
2020-04-12,-76.6558
2020-04-13,-76.6558
2020-04-14,-76.6558
2020-04-15,-76.6558
2020-04-16,-76.6558
2020-04-17,-76.6558
2020-04-18,-76.6558
2020-04-19,-76.6558
2020-04-20,-76.6558
2020-04-21,-76.6558
2020-04-22,-76.6558
2020-04-23,-76.6558
2020-04-24,-76.6558
2020-04-25,-76.6558
2020-04-26,-76.6558
2020-04-27,-76.6558
2020-04-28,-76.6558
2020-04-29,-76.6558
2020-04-30,-76.6558
2020-05-01,-76.6558
2020-05-02,-76.6558
2020-05-03,-76.6558
2020-05-04,-76.6558
2020-05-05,-76.6558
2020-05-06,-76.6558
2020-05-07,-76.6558
2020-05-08,-76.6558
2020-05-09,-76.6558
2020-05-10,-76.6558
2020-05-11,-76.6558
2020-05-12,-76.6558
2020-05-13,-76.6558
2020-05-14,-76.6558
2020-05-15,-76.6558
2020-05-16,-76.6558
2020-05-17,-76.6558
2020-05-18,-76.6558
2020-05-19,-76.6558
2020-05-20,-76.6558
2020-05-21,-76.6558
2020-05-22,-76.6558
2020-05-23,-76.6558
2020-05-24,-76.6558
2020-05-25,-76.6558
2020-05-26,-76.6558
2020-05-27,-76.6558
2020-05-28,-76.6558
2020-05-29,-76.6558
2020-05-30,-76.6558
2020-05-31,-76.6558
2020-06-01,-76.6558
2020-06-02,-76.6558
2020-06-03,-76.6558
2020-06-04,-76.6558
2020-06-05,-76.6558
2020-06-06,-76.6558
2020-06-07,-76.6558
2020-06-08,-76.6558
2020-06-09,-76.6558
2020-06-10,-76.6558
2020-06-11,-76.6558
2020-06-12,-76.6558
2020-06-13,-76.6558
2020-06-14,-76.6558
2020-06-15,-76.6558
2020-06-16,-76.6558
2020-06-17,-76.6558
2020-06-18,-76.6558
2020-06-19,-76.6558
2020-06-20,-76.6558
2020-06-21,-76.6558
2020-06-22,-76.6558
2020-06-23,-76.6558
2020-06-24,-76.6558
2020-06-25,-76.6558
2020-06-26,-76.6558
2020-06-27,-76.6558
2020-06-28,-76.6558
2020-06-29,-76.6558
2020-06-30,-85.3284
2020-07-01,-85.3284
2020-07-02,-85.3284
2020-07-03,-85.3284
2020-07-04,-85.3284
2020-07-05,-85.3284
2020-07-06,-85.3284
2020-07-07,-85.3284
2020-07-08,-85.3284
2020-07-09,-85.3284
2020-07-10,-85.3284
2020-07-11,-85.3284
2020-07-12,-85.3284
2020-07-13,-85.3284
2020-07-14,-85.3284
2020-07-15,-85.3284
2020-07-16,-85.3284
2020-07-17,-85.3284
2020-07-18,-85.3284
2020-07-19,-85.3284
2020-07-20,-85.3284
2020-07-21,-85.3284
2020-07-22,-85.3284
2020-07-23,-85.3284
2020-07-24,-85.3284
2020-07-25,-85.3284
2020-07-26,-85.3284
2020-07-27,-85.3284
2020-07-28,-85.3284
2020-07-29,-85.3284
2020-07-30,-85.3284
2020-07-31,-85.3284
2020-08-01,-85.3284
2020-08-02,-85.3284
2020-08-03,-85.3284
2020-08-04,-85.3284
2020-08-05,-85.3284
2020-08-06,-85.3284
2020-08-07,-85.3284
2020-08-08,-85.3284
2020-08-09,-85.3284
2020-08-10,-85.3284
2020-08-11,-85.3284
2020-08-12,-85.3284
2020-08-13,-85.3284
2020-08-14,-85.3284
2020-08-15,-85.3284
2020-08-16,-85.3284
2020-08-17,-85.3284
2020-08-18,-85.3284
2020-08-19,-85.3284
2020-08-20,-85.3284
2020-08-21,-85.3284
2020-08-22,-85.3284
2020-08-23,-85.3284
2020-08-24,-85.3284
2020-08-25,-85.3284
2020-08-26,-85.3284
2020-08-27,-85.3284
2020-08-28,-85.3284
2020-08-29,-85.3284
2020-08-30,-85.3284
2020-08-31,-85.3284
2020-09-01,-85.3284
2020-09-02,-85.3284
2020-09-03,-85.3284
2020-09-04,-85.3284
2020-09-05,-85.3284
2020-09-06,-85.3284
2020-09-07,-85.3284
2020-09-08,-85.3284
2020-09-09,-85.3284
2020-09-10,-85.3284
2020-09-11,-85.3284
2020-09-12,-85.3284
2020-09-13,-85.3284
2020-09-14,-85.3284
2020-09-15,-85.3284
2020-09-16,-85.3284
2020-09-17,-85.3284
2020-09-18,-85.3284
2020-09-19,-85.3284
2020-09-20,-85.3284
2020-09-21,-85.3284
2020-09-22,-85.3284
2020-09-23,-85.3284
2020-09-24,-85.3284
2020-09-25,-85.3284
2020-09-26,-85.3284
2020-09-27,-85.3284
2020-09-28,-85.3284
2020-09-29,-85.3284
2020-09-30,-85.3284
2020-10-01,-85.3284
2020-10-02,-85.3284
2020-10-03,-85.3284
2020-10-04,-85.3284
2020-10-05,-85.3284
2020-10-06,-85.3284
2020-10-07,-85.3284
2020-10-08,-85.3284
2020-10-09,-85.3284
2020-10-10,-85.3284
2020-10-11,-85.3284
2020-10-12,-85.3284
2020-10-13,-85.3284
2020-10-14,-85.3284
2020-10-15,-85.3284
2020-10-16,-85.3284
2020-10-17,-85.3284
2020-10-18,-85.3284
2020-10-19,-85.3284
2020-10-20,-85.3284
2020-10-21,-85.3284
2020-10-22,-85.3284
2020-10-23,-85.3284
2020-10-24,-85.3284
2020-10-25,-85.3284
2020-10-26,-85.3284
2020-10-27,-85.3284
2020-10-28,-85.3284
2020-10-29,-85.3284
2020-10-30,-85.3284
2020-10-31,-85.3284
2020-11-01,-85.3284
2020-11-02,-85.3284
2020-11-03,-85.3284
2020-11-04,-85.3284
2020-11-05,-85.3284
2020-11-06,-85.3284
2020-11-07,-85.3284
2020-11-08,-85.3284
2020-11-09,-85.3284
2020-11-10,-85.3284
2020-11-11,-85.3284
2020-11-12,-85.3284
2020-11-13,-85.3284
2020-11-14,-85.3284
2020-11-15,-85.3284
2020-11-16,-85.3284
2020-11-17,-85.3284
2020-11-18,-85.3284
2020-11-19,-85.3284
2020-11-20,-85.3284
2020-11-21,-85.3284
2020-11-22,-85.3284
2020-11-23,-85.3284
2020-11-24,-85.3284
2020-11-25,-85.3284
2020-11-26,-85.3284
2020-11-27,-85.3284
2020-11-28,-85.3284
2020-11-29,-85.3284
2020-11-30,-85.3284
2020-12-01,-85.3284
2020-12-02,-85.3284
2020-12-03,-85.3284
2020-12-04,-85.3284
2020-12-05,-85.3284
2020-12-06,-85.3284
2020-12-07,-85.3284
2020-12-08,-85.3284
2020-12-09,-85.3284
2020-12-10,-85.3284
2020-12-11,-85.3284
2020-12-12,-85.3284
2020-12-13,-85.3284
2020-12-14,-85.3284
2020-12-15,-85.3284
2020-12-16,-85.3284
2020-12-17,-85.3284
2020-12-18,-85.3284
2020-12-19,-85.3284
2020-12-20,-85.3284
2020-12-21,-85.3284
2020-12-22,-85.3284
2020-12-23,-85.3284
2020-12-24,-85.3284
2020-12-25,-85.3284
2020-12-26,-85.3284
2020-12-27,-85.3284
2020-12-28,-85.3284
2020-12-29,-85.3284
2020-12-30,-85.3284
2020-12-31,-85.3284
2021-01-01,-85.3284
2021-01-02,-85.3284
2021-01-03,-85.3284
2021-01-04,-85.3284
2021-01-05,-85.3284
2021-01-06,-85.3284
2021-01-07,-85.3284
2021-01-08,-85.3284
2021-01-09,-85.3284
2021-01-10,-85.3284
2021-01-11,-85.3284
2021-01-12,-85.3284
2021-01-13,-85.3284
2021-01-14,-85.3284
2021-01-15,-85.3284
2021-01-16,-85.3284
2021-01-17,-85.3284
2021-01-18,-85.3284
2021-01-19,-85.3284
2021-01-20,-85.3284
2021-01-21,-85.3284
2021-01-22,-85.3284
2021-01-23,-85.3284
2021-01-24,-85.3284
2021-01-25,-85.3284
2021-01-26,-85.3284
2021-01-27,-85.3284
2021-01-28,-85.3284
2021-01-29,-85.3284
2021-01-30,-85.3284
2021-01-31,-85.3284
2021-02-01,-85.3284
2021-02-02,-85.3284
2021-02-03,-85.3284
2021-02-04,-85.3284
2021-02-05,-85.3284
2021-02-06,-85.3284
