,ULTA US Equity
,RETURN_COM_EQY
2020-01-01,37.8996
2020-01-02,37.8996
2020-01-03,37.8996
2020-01-04,37.8996
2020-01-05,37.8996
2020-01-06,37.8996
2020-01-07,37.8996
2020-01-08,37.8996
2020-01-09,37.8996
2020-01-10,37.8996
2020-01-11,37.8996
2020-01-12,37.8996
2020-01-13,37.8996
2020-01-14,37.8996
2020-01-15,37.8996
2020-01-16,37.8996
2020-01-17,37.8996
2020-01-18,37.8996
2020-01-19,37.8996
2020-01-20,37.8996
2020-01-21,37.8996
2020-01-22,37.8996
2020-01-23,37.8996
2020-01-24,37.8996
2020-01-25,37.8996
2020-01-26,37.8996
2020-01-27,37.8996
2020-01-28,37.8996
2020-01-29,37.8996
2020-01-30,37.8996
2020-01-31,37.8996
2020-02-01,37.9305
2020-02-02,37.9305
2020-02-03,37.9305
2020-02-04,37.9305
2020-02-05,37.9305
2020-02-06,37.9305
2020-02-07,37.9305
2020-02-08,37.9305
2020-02-09,37.9305
2020-02-10,37.9305
2020-02-11,37.9305
2020-02-12,37.9305
2020-02-13,37.9305
2020-02-14,37.9305
2020-02-15,37.9305
2020-02-16,37.9305
2020-02-17,37.9305
2020-02-18,37.9305
2020-02-19,37.9305
2020-02-20,37.9305
2020-02-21,37.9305
2020-02-22,37.9305
2020-02-23,37.9305
2020-02-24,37.9305
2020-02-25,37.9305
2020-02-26,37.9305
2020-02-27,37.9305
2020-02-28,37.9305
2020-02-29,37.9305
2020-03-01,37.9305
2020-03-02,37.9305
2020-03-03,37.9305
2020-03-04,37.9305
2020-03-05,37.9305
2020-03-06,37.9305
2020-03-07,37.9305
2020-03-08,37.9305
2020-03-09,37.9305
2020-03-10,37.9305
2020-03-11,37.9305
2020-03-12,37.9305
2020-03-13,37.9305
2020-03-14,37.9305
2020-03-15,37.9305
2020-03-16,37.9305
2020-03-17,37.9305
2020-03-18,37.9305
2020-03-19,37.9305
2020-03-20,37.9305
2020-03-21,37.9305
2020-03-22,37.9305
2020-03-23,37.9305
2020-03-24,37.9305
2020-03-25,37.9305
2020-03-26,37.9305
2020-03-27,37.9305
2020-03-28,37.9305
2020-03-29,37.9305
2020-03-30,37.9305
2020-03-31,37.9305
2020-04-01,37.9305
2020-04-02,37.9305
2020-04-03,37.9305
2020-04-04,37.9305
2020-04-05,37.9305
2020-04-06,37.9305
2020-04-07,37.9305
2020-04-08,37.9305
2020-04-09,37.9305
2020-04-10,37.9305
2020-04-11,37.9305
2020-04-12,37.9305
2020-04-13,37.9305
2020-04-14,37.9305
2020-04-15,37.9305
2020-04-16,37.9305
2020-04-17,37.9305
2020-04-18,37.9305
2020-04-19,37.9305
2020-04-20,37.9305
2020-04-21,37.9305
2020-04-22,37.9305
2020-04-23,37.9305
2020-04-24,37.9305
2020-04-25,37.9305
2020-04-26,37.9305
2020-04-27,37.9305
2020-04-28,37.9305
2020-04-29,37.9305
2020-04-30,37.9305
2020-05-01,37.9305
2020-05-02,23.5536
2020-05-03,23.5536
2020-05-04,23.5536
2020-05-05,23.5536
2020-05-06,23.5536
2020-05-07,23.5536
2020-05-08,23.5536
2020-05-09,23.5536
2020-05-10,23.5536
2020-05-11,23.5536
2020-05-12,23.5536
2020-05-13,23.5536
2020-05-14,23.5536
2020-05-15,23.5536
2020-05-16,23.5536
2020-05-17,23.5536
2020-05-18,23.5536
2020-05-19,23.5536
2020-05-20,23.5536
2020-05-21,23.5536
2020-05-22,23.5536
2020-05-23,23.5536
2020-05-24,23.5536
