,NFG US Equity
,RETURN_COM_EQY
2020-01-01,13.6302
2020-01-02,13.6302
2020-01-03,13.6302
2020-01-04,13.6302
2020-01-05,13.6302
2020-01-06,13.6302
2020-01-07,13.6302
2020-01-08,13.6302
2020-01-09,13.6302
2020-01-10,13.6302
2020-01-11,13.6302
2020-01-12,13.6302
2020-01-13,13.6302
2020-01-14,13.6302
2020-01-15,13.6302
2020-01-16,13.6302
2020-01-17,13.6302
2020-01-18,13.6302
2020-01-19,13.6302
2020-01-20,13.6302
2020-01-21,13.6302
2020-01-22,13.6302
2020-01-23,13.6302
2020-01-24,13.6302
2020-01-25,13.6302
2020-01-26,13.6302
2020-01-27,13.6302
2020-01-28,13.6302
2020-01-29,13.6302
2020-01-30,13.6302
2020-01-31,13.6302
2020-02-01,13.6302
2020-02-02,13.6302
2020-02-03,13.6302
2020-02-04,13.6302
2020-02-05,13.6302
2020-02-06,13.6302
2020-02-07,13.6302
2020-02-08,13.6302
2020-02-09,13.6302
2020-02-10,13.6302
2020-02-11,13.6302
2020-02-12,13.6302
2020-02-13,13.6302
2020-02-14,13.6302
2020-02-15,13.6302
2020-02-16,13.6302
2020-02-17,13.6302
2020-02-18,13.6302
2020-02-19,13.6302
2020-02-20,13.6302
2020-02-21,13.6302
2020-02-22,13.6302
2020-02-23,13.6302
2020-02-24,13.6302
2020-02-25,13.6302
2020-02-26,13.6302
2020-02-27,13.6302
2020-02-28,13.6302
2020-02-29,13.6302
2020-03-01,13.6302
2020-03-02,13.6302
2020-03-03,13.6302
2020-03-04,13.6302
2020-03-05,13.6302
2020-03-06,13.6302
2020-03-07,13.6302
2020-03-08,13.6302
2020-03-09,13.6302
2020-03-10,13.6302
2020-03-11,13.6302
2020-03-12,13.6302
2020-03-13,13.6302
2020-03-14,13.6302
2020-03-15,13.6302
2020-03-16,13.6302
2020-03-17,13.6302
2020-03-18,13.6302
2020-03-19,13.6302
2020-03-20,13.6302
2020-03-21,13.6302
2020-03-22,13.6302
2020-03-23,13.6302
2020-03-24,13.6302
2020-03-25,13.6302
2020-03-26,13.6302
2020-03-27,13.6302
2020-03-28,13.6302
2020-03-29,13.6302
2020-03-30,13.6302
2020-03-31,4.3907
2020-04-01,4.3907
2020-04-02,4.3907
2020-04-03,4.3907
2020-04-04,4.3907
2020-04-05,4.3907
2020-04-06,4.3907
2020-04-07,4.3907
2020-04-08,4.3907
2020-04-09,4.3907
2020-04-10,4.3907
2020-04-11,4.3907
2020-04-12,4.3907
2020-04-13,4.3907
2020-04-14,4.3907
2020-04-15,4.3907
2020-04-16,4.3907
2020-04-17,4.3907
2020-04-18,4.3907
2020-04-19,4.3907
2020-04-20,4.3907
2020-04-21,4.3907
2020-04-22,4.3907
2020-04-23,4.3907
2020-04-24,4.3907
2020-04-25,4.3907
2020-04-26,4.3907
2020-04-27,4.3907
2020-04-28,4.3907
2020-04-29,4.3907
2020-04-30,4.3907
2020-05-01,4.3907
2020-05-02,4.3907
2020-05-03,4.3907
2020-05-04,4.3907
2020-05-05,4.3907
2020-05-06,4.3907
2020-05-07,4.3907
2020-05-08,4.3907
2020-05-09,4.3907
2020-05-10,4.3907
2020-05-11,4.3907
2020-05-12,4.3907
2020-05-13,4.3907
2020-05-14,4.3907
2020-05-15,4.3907
2020-05-16,4.3907
2020-05-17,4.3907
2020-05-18,4.3907
2020-05-19,4.3907
2020-05-20,4.3907
2020-05-21,4.3907
2020-05-22,4.3907
2020-05-23,4.3907
2020-05-24,4.3907
2020-05-25,4.3907
2020-05-26,4.3907
2020-05-27,4.3907
2020-05-28,4.3907
2020-05-29,4.3907
2020-05-30,4.3907
2020-05-31,4.3907
2020-06-01,4.3907
2020-06-02,4.3907
2020-06-03,4.3907
2020-06-04,4.3907
2020-06-05,4.3907
2020-06-06,4.3907
2020-06-07,4.3907
2020-06-08,4.3907
2020-06-09,4.3907
2020-06-10,4.3907
2020-06-11,4.3907
2020-06-12,4.3907
2020-06-13,4.3907
2020-06-14,4.3907
2020-06-15,4.3907
2020-06-16,4.3907
2020-06-17,4.3907
2020-06-18,4.3907
2020-06-19,4.3907
2020-06-20,4.3907
2020-06-21,4.3907
2020-06-22,4.3907
2020-06-23,4.3907
2020-06-24,4.3907
2020-06-25,4.3907
2020-06-26,4.3907
2020-06-27,4.3907
2020-06-28,4.3907
2020-06-29,4.3907
2020-06-30,3.1606
2020-07-01,3.1606
2020-07-02,3.1606
2020-07-03,3.1606
2020-07-04,3.1606
2020-07-05,3.1606
2020-07-06,3.1606
2020-07-07,3.1606
2020-07-08,3.1606
2020-07-09,3.1606
2020-07-10,3.1606
2020-07-11,3.1606
2020-07-12,3.1606
2020-07-13,3.1606
2020-07-14,3.1606
2020-07-15,3.1606
2020-07-16,3.1606
2020-07-17,3.1606
2020-07-18,3.1606
2020-07-19,3.1606
2020-07-20,3.1606
2020-07-21,3.1606
2020-07-22,3.1606
2020-07-23,3.1606
2020-07-24,3.1606
2020-07-25,3.1606
2020-07-26,3.1606
2020-07-27,3.1606
2020-07-28,3.1606
2020-07-29,3.1606
2020-07-30,3.1606
2020-07-31,3.1606
2020-08-01,3.1606
2020-08-02,3.1606
2020-08-03,3.1606
2020-08-04,3.1606
2020-08-05,3.1606
2020-08-06,3.1606
2020-08-07,3.1606
2020-08-08,3.1606
2020-08-09,3.1606
2020-08-10,3.1606
2020-08-11,3.1606
2020-08-12,3.1606
2020-08-13,3.1606
2020-08-14,3.1606
2020-08-15,3.1606
2020-08-16,3.1606
2020-08-17,3.1606
2020-08-18,3.1606
2020-08-19,3.1606
2020-08-20,3.1606
2020-08-21,3.1606
2020-08-22,3.1606
2020-08-23,3.1606
2020-08-24,3.1606
2020-08-25,3.1606
2020-08-26,3.1606
2020-08-27,3.1606
2020-08-28,3.1606
2020-08-29,3.1606
2020-08-30,3.1606
2020-08-31,3.1606
2020-09-01,3.1606
2020-09-02,3.1606
2020-09-03,3.1606
2020-09-04,3.1606
2020-09-05,3.1606
2020-09-06,3.1606
2020-09-07,3.1606
2020-09-08,3.1606
2020-09-09,3.1606
2020-09-10,3.1606
2020-09-11,3.1606
2020-09-12,3.1606
2020-09-13,3.1606
2020-09-14,3.1606
2020-09-15,3.1606
2020-09-16,3.1606
2020-09-17,3.1606
2020-09-18,3.1606
2020-09-19,3.1606
2020-09-20,3.1606
2020-09-21,3.1606
2020-09-22,3.1606
2020-09-23,3.1606
2020-09-24,3.1606
2020-09-25,3.1606
2020-09-26,3.1606
2020-09-27,3.1606
2020-09-28,3.1606
2020-09-29,3.1606
2020-09-30,-6.0215
2020-10-01,-6.0215
2020-10-02,-6.0215
2020-10-03,-6.0215
2020-10-04,-6.0215
2020-10-05,-6.0215
2020-10-06,-6.0215
2020-10-07,-6.0215
2020-10-08,-6.0215
2020-10-09,-6.0215
2020-10-10,-6.0215
2020-10-11,-6.0215
2020-10-12,-6.0215
2020-10-13,-6.0215
2020-10-14,-6.0215
2020-10-15,-6.0215
2020-10-16,-6.0215
2020-10-17,-6.0215
2020-10-18,-6.0215
2020-10-19,-6.0215
2020-10-20,-6.0215
2020-10-21,-6.0215
2020-10-22,-6.0215
2020-10-23,-6.0215
2020-10-24,-6.0215
2020-10-25,-6.0215
2020-10-26,-6.0215
2020-10-27,-6.0215
2020-10-28,-6.0215
2020-10-29,-6.0215
2020-10-30,-6.0215
2020-10-31,-6.0215
2020-11-01,-6.0215
2020-11-02,-6.0215
2020-11-03,-6.0215
2020-11-04,-6.0215
2020-11-05,-6.0215
2020-11-06,-6.0215
2020-11-07,-6.0215
2020-11-08,-6.0215
2020-11-09,-6.0215
2020-11-10,-6.0215
