,GNRC US Equity
,RETURN_COM_EQY
2020-01-01,28.0631
2020-01-02,28.0631
2020-01-03,28.0631
2020-01-04,28.0631
2020-01-05,28.0631
2020-01-06,28.0631
2020-01-07,28.0631
2020-01-08,28.0631
2020-01-09,28.0631
2020-01-10,28.0631
2020-01-11,28.0631
2020-01-12,28.0631
2020-01-13,28.0631
2020-01-14,28.0631
2020-01-15,28.0631
2020-01-16,28.0631
2020-01-17,28.0631
2020-01-18,28.0631
2020-01-19,28.0631
2020-01-20,28.0631
2020-01-21,28.0631
2020-01-22,28.0631
2020-01-23,28.0631
2020-01-24,28.0631
2020-01-25,28.0631
2020-01-26,28.0631
2020-01-27,28.0631
2020-01-28,28.0631
2020-01-29,28.0631
2020-01-30,28.0631
2020-01-31,28.0631
2020-02-01,28.0631
2020-02-02,28.0631
2020-02-03,28.0631
2020-02-04,28.0631
2020-02-05,28.0631
2020-02-06,28.0631
2020-02-07,28.0631
2020-02-08,28.0631
2020-02-09,28.0631
2020-02-10,28.0631
2020-02-11,28.0631
2020-02-12,28.0631
2020-02-13,28.0631
2020-02-14,28.0631
2020-02-15,28.0631
2020-02-16,28.0631
2020-02-17,28.0631
2020-02-18,28.0631
2020-02-19,28.0631
2020-02-20,28.0631
2020-02-21,28.0631
2020-02-22,28.0631
2020-02-23,28.0631
2020-02-24,28.0631
2020-02-25,28.0631
2020-02-26,28.0631
2020-02-27,28.0631
2020-02-28,28.0631
2020-02-29,28.0631
2020-03-01,28.0631
2020-03-02,28.0631
2020-03-03,28.0631
2020-03-04,28.0631
2020-03-05,28.0631
2020-03-06,28.0631
2020-03-07,28.0631
2020-03-08,28.0631
2020-03-09,28.0631
2020-03-10,28.0631
2020-03-11,28.0631
2020-03-12,28.0631
2020-03-13,28.0631
2020-03-14,28.0631
2020-03-15,28.0631
2020-03-16,28.0631
2020-03-17,28.0631
2020-03-18,28.0631
2020-03-19,28.0631
2020-03-20,28.0631
2020-03-21,28.0631
2020-03-22,28.0631
2020-03-23,28.0631
2020-03-24,28.0631
2020-03-25,28.0631
2020-03-26,28.0631
2020-03-27,28.0631
2020-03-28,28.0631
2020-03-29,28.0631
2020-03-30,28.0631
2020-03-31,27.3134
2020-04-01,27.3134
2020-04-02,27.3134
2020-04-03,27.3134
2020-04-04,27.3134
2020-04-05,27.3134
2020-04-06,27.3134
2020-04-07,27.3134
2020-04-08,27.3134
2020-04-09,27.3134
2020-04-10,27.3134
2020-04-11,27.3134
2020-04-12,27.3134
2020-04-13,27.3134
2020-04-14,27.3134
2020-04-15,27.3134
2020-04-16,27.3134
2020-04-17,27.3134
2020-04-18,27.3134
2020-04-19,27.3134
2020-04-20,27.3134
2020-04-21,27.3134
2020-04-22,27.3134
2020-04-23,27.3134
2020-04-24,27.3134
2020-04-25,27.3134
2020-04-26,27.3134
2020-04-27,27.3134
2020-04-28,27.3134
2020-04-29,27.3134
2020-04-30,27.3134
2020-05-01,27.3134
2020-05-02,27.3134
2020-05-03,27.3134
2020-05-04,27.3134
2020-05-05,27.3134
2020-05-06,27.3134
2020-05-07,27.3134
2020-05-08,27.3134
2020-05-09,27.3134
2020-05-10,27.3134
2020-05-11,27.3134
2020-05-12,27.3134
2020-05-13,27.3134
2020-05-14,27.3134
2020-05-15,27.3134
2020-05-16,27.3134
2020-05-17,27.3134
2020-05-18,27.3134
2020-05-19,27.3134
2020-05-20,27.3134
2020-05-21,27.3134
2020-05-22,27.3134
2020-05-23,27.3134
2020-05-24,27.3134
2020-05-25,27.3134
2020-05-26,27.3134
2020-05-27,27.3134
2020-05-28,27.3134
2020-05-29,27.3134
2020-05-30,27.3134
2020-05-31,27.3134
2020-06-01,27.3134
2020-06-02,27.3134
2020-06-03,27.3134
2020-06-04,27.3134
2020-06-05,27.3134
2020-06-06,27.3134
2020-06-07,27.3134
2020-06-08,27.3134
2020-06-09,27.3134
2020-06-10,27.3134
2020-06-11,27.3134
2020-06-12,27.3134
2020-06-13,27.3134
2020-06-14,27.3134
2020-06-15,27.3134
2020-06-16,27.3134
2020-06-17,27.3134
2020-06-18,27.3134
2020-06-19,27.3134
2020-06-20,27.3134
2020-06-21,27.3134
2020-06-22,27.3134
2020-06-23,27.3134
2020-06-24,27.3134
2020-06-25,27.3134
2020-06-26,27.3134
2020-06-27,27.3134
2020-06-28,27.3134
2020-06-29,27.3134
2020-06-30,25.6937
2020-07-01,25.6937
2020-07-02,25.6937
2020-07-03,25.6937
2020-07-04,25.6937
2020-07-05,25.6937
2020-07-06,25.6937
2020-07-07,25.6937
2020-07-08,25.6937
2020-07-09,25.6937
2020-07-10,25.6937
2020-07-11,25.6937
2020-07-12,25.6937
2020-07-13,25.6937
2020-07-14,25.6937
2020-07-15,25.6937
2020-07-16,25.6937
2020-07-17,25.6937
2020-07-18,25.6937
2020-07-19,25.6937
2020-07-20,25.6937
2020-07-21,25.6937
2020-07-22,25.6937
2020-07-23,25.6937
2020-07-24,25.6937
2020-07-25,25.6937
2020-07-26,25.6937
2020-07-27,25.6937
2020-07-28,25.6937
2020-07-29,25.6937
2020-07-30,25.6937
2020-07-31,25.6937
2020-08-01,25.6937
2020-08-02,25.6937
2020-08-03,25.6937
2020-08-04,25.6937
2020-08-05,25.6937
2020-08-06,25.6937
2020-08-07,25.6937
2020-08-08,25.6937
2020-08-09,25.6937
2020-08-10,25.6937
2020-08-11,25.6937
2020-08-12,25.6937
2020-08-13,25.6937
2020-08-14,25.6937
2020-08-15,25.6937
2020-08-16,25.6937
2020-08-17,25.6937
2020-08-18,25.6937
2020-08-19,25.6937
2020-08-20,25.6937
2020-08-21,25.6937
2020-08-22,25.6937
2020-08-23,25.6937
2020-08-24,25.6937
2020-08-25,25.6937
2020-08-26,25.6937
2020-08-27,25.6937
2020-08-28,25.6937
2020-08-29,25.6937
2020-08-30,25.6937
2020-08-31,25.6937
2020-09-01,25.6937
2020-09-02,25.6937
2020-09-03,25.6937
2020-09-04,25.6937
2020-09-05,25.6937
2020-09-06,25.6937
2020-09-07,25.6937
2020-09-08,25.6937
2020-09-09,25.6937
2020-09-10,25.6937
2020-09-11,25.6937
2020-09-12,25.6937
2020-09-13,25.6937
2020-09-14,25.6937
2020-09-15,25.6937
2020-09-16,25.6937
2020-09-17,25.6937
2020-09-18,25.6937
2020-09-19,25.6937
2020-09-20,25.6937
2020-09-21,25.6937
2020-09-22,25.6937
2020-09-23,25.6937
2020-09-24,25.6937
2020-09-25,25.6937
2020-09-26,25.6937
2020-09-27,25.6937
2020-09-28,25.6937
2020-09-29,25.6937
2020-09-30,27.1627
2020-10-01,27.1627
2020-10-02,27.1627
2020-10-03,27.1627
2020-10-04,27.1627
2020-10-05,27.1627
2020-10-06,27.1627
2020-10-07,27.1627
2020-10-08,27.1627
2020-10-09,27.1627
2020-10-10,27.1627
2020-10-11,27.1627
2020-10-12,27.1627
2020-10-13,27.1627
2020-10-14,27.1627
2020-10-15,27.1627
2020-10-16,27.1627
2020-10-17,27.1627
2020-10-18,27.1627
2020-10-19,27.1627
2020-10-20,27.1627
2020-10-21,27.1627
2020-10-22,27.1627
2020-10-23,27.1627
2020-10-24,27.1627
2020-10-25,27.1627
2020-10-26,27.1627
2020-10-27,27.1627
2020-10-28,27.1627
2020-10-29,27.1627
2020-10-30,27.1627
2020-10-31,27.1627
2020-11-01,27.1627
2020-11-02,27.1627
2020-11-03,27.1627
2020-11-04,27.1627
2020-11-05,27.1627
2020-11-06,27.1627
2020-11-07,27.1627
2020-11-08,27.1627
2020-11-09,27.1627
2020-11-10,27.1627
2020-11-11,27.1627
2020-11-12,27.1627
2020-11-13,27.1627
2020-11-14,27.1627
2020-11-15,27.1627
2020-11-16,27.1627
2020-11-17,27.1627
2020-11-18,27.1627
2020-11-19,27.1627
2020-11-20,27.1627
2020-11-21,27.1627
2020-11-22,27.1627
2020-11-23,27.1627
2020-11-24,27.1627
2020-11-25,27.1627
2020-11-26,27.1627
2020-11-27,27.1627
2020-11-28,27.1627
2020-11-29,27.1627
2020-11-30,27.1627
2020-12-01,27.1627
2020-12-02,27.1627
2020-12-03,27.1627
2020-12-04,27.1627
