,VZ US Equity
,RETURN_COM_EQY
2020-01-01,33.6389
2020-01-02,33.6389
2020-01-03,33.6389
2020-01-04,33.6389
2020-01-05,33.6389
2020-01-06,33.6389
2020-01-07,33.6389
2020-01-08,33.6389
2020-01-09,33.6389
2020-01-10,33.6389
2020-01-11,33.6389
2020-01-12,33.6389
2020-01-13,33.6389
2020-01-14,33.6389
2020-01-15,33.6389
2020-01-16,33.6389
2020-01-17,33.6389
2020-01-18,33.6389
2020-01-19,33.6389
2020-01-20,33.6389
2020-01-21,33.6389
2020-01-22,33.6389
2020-01-23,33.6389
2020-01-24,33.6389
2020-01-25,33.6389
2020-01-26,33.6389
2020-01-27,33.6389
2020-01-28,33.6389
2020-01-29,33.6389
2020-01-30,33.6389
2020-01-31,33.6389
2020-02-01,33.6389
2020-02-02,33.6389
2020-02-03,33.6389
2020-02-04,33.6389
2020-02-05,33.6389
2020-02-06,33.6389
2020-02-07,33.6389
2020-02-08,33.6389
2020-02-09,33.6389
2020-02-10,33.6389
2020-02-11,33.6389
2020-02-12,33.6389
2020-02-13,33.6389
2020-02-14,33.6389
2020-02-15,33.6389
2020-02-16,33.6389
2020-02-17,33.6389
2020-02-18,33.6389
2020-02-19,33.6389
2020-02-20,33.6389
2020-02-21,33.6389
2020-02-22,33.6389
2020-02-23,33.6389
2020-02-24,33.6389
2020-02-25,33.6389
2020-02-26,33.6389
2020-02-27,33.6389
2020-02-28,33.6389
2020-02-29,33.6389
2020-03-01,33.6389
2020-03-02,33.6389
2020-03-03,33.6389
2020-03-04,33.6389
2020-03-05,33.6389
2020-03-06,33.6389
2020-03-07,33.6389
2020-03-08,33.6389
2020-03-09,33.6389
2020-03-10,33.6389
2020-03-11,33.6389
2020-03-12,33.6389
2020-03-13,33.6389
2020-03-14,33.6389
2020-03-15,33.6389
2020-03-16,33.6389
2020-03-17,33.6389
2020-03-18,33.6389
2020-03-19,33.6389
2020-03-20,33.6389
2020-03-21,33.6389
2020-03-22,33.6389
2020-03-23,33.6389
2020-03-24,33.6389
2020-03-25,33.6389
2020-03-26,33.6389
2020-03-27,33.6389
2020-03-28,33.6389
2020-03-29,33.6389
2020-03-30,33.6389
2020-03-31,31.6871
2020-04-01,31.6871
2020-04-02,31.6871
2020-04-03,31.6871
2020-04-04,31.6871
2020-04-05,31.6871
2020-04-06,31.6871
2020-04-07,31.6871
2020-04-08,31.6871
2020-04-09,31.6871
2020-04-10,31.6871
2020-04-11,31.6871
2020-04-12,31.6871
2020-04-13,31.6871
2020-04-14,31.6871
2020-04-15,31.6871
2020-04-16,31.6871
2020-04-17,31.6871
2020-04-18,31.6871
2020-04-19,31.6871
2020-04-20,31.6871
2020-04-21,31.6871
2020-04-22,31.6871
2020-04-23,31.6871
2020-04-24,31.6871
2020-04-25,31.6871
2020-04-26,31.6871
2020-04-27,31.6871
2020-04-28,31.6871
2020-04-29,31.6871
2020-04-30,31.6871
2020-05-01,31.6871
2020-05-02,31.6871
2020-05-03,31.6871
2020-05-04,31.6871
2020-05-05,31.6871
2020-05-06,31.6871
2020-05-07,31.6871
2020-05-08,31.6871
2020-05-09,31.6871
2020-05-10,31.6871
2020-05-11,31.6871
2020-05-12,31.6871
2020-05-13,31.6871
2020-05-14,31.6871
2020-05-15,31.6871
2020-05-16,31.6871
2020-05-17,31.6871
2020-05-18,31.6871
2020-05-19,31.6871
2020-05-20,31.6871
2020-05-21,31.6871
2020-05-22,31.6871
2020-05-23,31.6871
2020-05-24,31.6871
2020-05-25,31.6871
2020-05-26,31.6871
2020-05-27,31.6871
2020-05-28,31.6871
2020-05-29,31.6871
2020-05-30,31.6871
2020-05-31,31.6871
2020-06-01,31.6871
2020-06-02,31.6871
2020-06-03,31.6871
2020-06-04,31.6871
2020-06-05,31.6871
2020-06-06,31.6871
2020-06-07,31.6871
2020-06-08,31.6871
2020-06-09,31.6871
2020-06-10,31.6871
2020-06-11,31.6871
2020-06-12,31.6871
2020-06-13,31.6871
2020-06-14,31.6871
2020-06-15,31.6871
2020-06-16,31.6871
2020-06-17,31.6871
2020-06-18,31.6871
2020-06-19,31.6871
2020-06-20,31.6871
2020-06-21,31.6871
2020-06-22,31.6871
2020-06-23,31.6871
2020-06-24,31.6871
2020-06-25,31.6871
2020-06-26,31.6871
2020-06-27,31.6871
2020-06-28,31.6871
2020-06-29,31.6871
2020-06-30,32.1012
2020-07-01,32.1012
2020-07-02,32.1012
2020-07-03,32.1012
2020-07-04,32.1012
2020-07-05,32.1012
2020-07-06,32.1012
2020-07-07,32.1012
2020-07-08,32.1012
2020-07-09,32.1012
2020-07-10,32.1012
2020-07-11,32.1012
2020-07-12,32.1012
2020-07-13,32.1012
2020-07-14,32.1012
2020-07-15,32.1012
2020-07-16,32.1012
2020-07-17,32.1012
2020-07-18,32.1012
2020-07-19,32.1012
2020-07-20,32.1012
2020-07-21,32.1012
2020-07-22,32.1012
2020-07-23,32.1012
2020-07-24,32.1012
2020-07-25,32.1012
2020-07-26,32.1012
2020-07-27,32.1012
2020-07-28,32.1012
2020-07-29,32.1012
2020-07-30,32.1012
2020-07-31,32.1012
2020-08-01,32.1012
2020-08-02,32.1012
2020-08-03,32.1012
2020-08-04,32.1012
2020-08-05,32.1012
2020-08-06,32.1012
2020-08-07,32.1012
2020-08-08,32.1012
2020-08-09,32.1012
2020-08-10,32.1012
2020-08-11,32.1012
2020-08-12,32.1012
2020-08-13,32.1012
2020-08-14,32.1012
2020-08-15,32.1012
2020-08-16,32.1012
2020-08-17,32.1012
2020-08-18,32.1012
2020-08-19,32.1012
2020-08-20,32.1012
2020-08-21,32.1012
2020-08-22,32.1012
2020-08-23,32.1012
2020-08-24,32.1012
2020-08-25,32.1012
2020-08-26,32.1012
2020-08-27,32.1012
2020-08-28,32.1012
2020-08-29,32.1012
2020-08-30,32.1012
2020-08-31,32.1012
2020-09-01,32.1012
2020-09-02,32.1012
2020-09-03,32.1012
2020-09-04,32.1012
2020-09-05,32.1012
2020-09-06,32.1012
2020-09-07,32.1012
2020-09-08,32.1012
2020-09-09,32.1012
2020-09-10,32.1012
2020-09-11,32.1012
2020-09-12,32.1012
2020-09-13,32.1012
2020-09-14,32.1012
2020-09-15,32.1012
2020-09-16,32.1012
2020-09-17,32.1012
2020-09-18,32.1012
2020-09-19,32.1012
2020-09-20,32.1012
2020-09-21,32.1012
2020-09-22,32.1012
2020-09-23,32.1012
2020-09-24,32.1012
2020-09-25,32.1012
2020-09-26,32.1012
2020-09-27,32.1012
2020-09-28,32.1012
2020-09-29,32.1012
2020-09-30,29.5314
2020-10-01,29.5314
2020-10-02,29.5314
2020-10-03,29.5314
2020-10-04,29.5314
2020-10-05,29.5314
2020-10-06,29.5314
2020-10-07,29.5314
2020-10-08,29.5314
2020-10-09,29.5314
2020-10-10,29.5314
2020-10-11,29.5314
2020-10-12,29.5314
2020-10-13,29.5314
2020-10-14,29.5314
2020-10-15,29.5314
2020-10-16,29.5314
2020-10-17,29.5314
2020-10-18,29.5314
2020-10-19,29.5314
2020-10-20,29.5314
2020-10-21,29.5314
2020-10-22,29.5314
2020-10-23,29.5314
2020-10-24,29.5314
2020-10-25,29.5314
2020-10-26,29.5314
2020-10-27,29.5314
2020-10-28,29.5314
2020-10-29,29.5314
2020-10-30,29.5314
2020-10-31,29.5314
2020-11-01,29.5314
2020-11-02,29.5314
2020-11-03,29.5314
2020-11-04,29.5314
2020-11-05,29.5314
2020-11-06,29.5314
2020-11-07,29.5314
2020-11-08,29.5314
2020-11-09,29.5314
2020-11-10,29.5314
2020-11-11,29.5314
2020-11-12,29.5314
2020-11-13,29.5314
2020-11-14,29.5314
2020-11-15,29.5314
2020-11-16,29.5314
2020-11-17,29.5314
2020-11-18,29.5314
2020-11-19,29.5314
2020-11-20,29.5314
2020-11-21,29.5314
2020-11-22,29.5314
2020-11-23,29.5314
2020-11-24,29.5314
2020-11-25,29.5314
2020-11-26,29.5314
2020-11-27,29.5314
2020-11-28,29.5314
2020-11-29,29.5314
2020-11-30,29.5314
2020-12-01,29.5314
2020-12-02,29.5314
2020-12-03,29.5314
2020-12-04,29.5314
2020-12-05,29.5314
2020-12-06,29.5314
2020-12-07,29.5314
2020-12-08,29.5314
2020-12-09,29.5314
2020-12-10,29.5314
2020-12-11,29.5314
2020-12-12,29.5314
2020-12-13,29.5314
2020-12-14,29.5314
2020-12-15,29.5314
2020-12-16,29.5314
2020-12-17,29.5314
2020-12-18,29.5314
2020-12-19,29.5314
2020-12-20,29.5314
2020-12-21,29.5314
2020-12-22,29.5314
2020-12-23,29.5314
2020-12-24,29.5314
2020-12-25,29.5314
2020-12-26,29.5314
2020-12-27,29.5314
2020-12-28,29.5314
2020-12-29,29.5314
2020-12-30,29.5314
2020-12-31,27.5478
2021-01-01,27.5478
2021-01-02,27.5478
2021-01-03,27.5478
2021-01-04,27.5478
2021-01-05,27.5478
2021-01-06,27.5478
2021-01-07,27.5478
2021-01-08,27.5478
2021-01-09,27.5478
2021-01-10,27.5478
2021-01-11,27.5478
2021-01-12,27.5478
2021-01-13,27.5478
2021-01-14,27.5478
2021-01-15,27.5478
2021-01-16,27.5478
2021-01-17,27.5478
2021-01-18,27.5478
2021-01-19,27.5478
2021-01-20,27.5478
2021-01-21,27.5478
2021-01-22,27.5478
2021-01-23,27.5478
2021-01-24,27.5478
2021-01-25,27.5478
2021-01-26,27.5478
2021-01-27,27.5478
2021-01-28,27.5478
2021-01-29,27.5478
2021-01-30,27.5478
2021-01-31,27.5478
2021-02-01,27.5478
2021-02-02,27.5478
2021-02-03,27.5478
2021-02-04,27.5478
2021-02-05,27.5478
2021-02-06,27.5478
2021-02-07,27.5478
2021-02-08,27.5478
2021-02-09,27.5478
2021-02-10,27.5478
2021-02-11,27.5478
2021-02-12,27.5478
2021-02-13,27.5478
2021-02-14,27.5478
2021-02-15,27.5478
2021-02-16,27.5478
2021-02-17,27.5478
2021-02-18,27.5478
2021-02-19,27.5478
2021-02-20,27.5478
2021-02-21,27.5478
2021-02-22,27.5478
2021-02-23,27.5478
2021-02-24,27.5478
2021-02-25,27.5478
2021-02-26,27.5478
2021-02-27,27.5478
2021-02-28,27.5478
2021-03-01,27.5478
2021-03-02,27.5478
2021-03-03,27.5478
2021-03-04,27.5478
2021-03-05,27.5478
2021-03-06,27.5478
2021-03-07,27.5478
2021-03-08,27.5478
2021-03-09,27.5478
2021-03-10,27.5478
2021-03-11,27.5478
2021-03-12,27.5478
2021-03-13,27.5478
2021-03-14,27.5478
2021-03-15,27.5478
2021-03-16,27.5478
2021-03-17,27.5478
2021-03-18,27.5478
2021-03-19,27.5478
2021-03-20,27.5478
2021-03-21,27.5478
2021-03-22,27.5478
2021-03-23,27.5478
2021-03-24,27.5478
2021-03-25,27.5478
2021-03-26,27.5478
2021-03-27,27.5478
2021-03-28,27.5478
2021-03-29,27.5478
2021-03-30,27.5478
2021-03-31,28.7427
2021-04-01,28.7427
2021-04-02,28.7427
2021-04-03,28.7427
2021-04-04,28.7427
2021-04-05,28.7427
2021-04-06,28.7427
2021-04-07,28.7427
2021-04-08,28.7427
2021-04-09,28.7427
2021-04-10,28.7427
2021-04-11,28.7427
2021-04-12,28.7427
2021-04-13,28.7427
2021-04-14,28.7427
2021-04-15,28.7427
2021-04-16,28.7427
2021-04-17,28.7427
2021-04-18,28.7427
2021-04-19,28.7427
2021-04-20,28.7427
2021-04-21,28.7427
2021-04-22,28.7427
2021-04-23,28.7427
2021-04-24,28.7427
2021-04-25,28.7427
2021-04-26,28.7427
2021-04-27,28.7427
2021-04-28,28.7427
2021-04-29,28.7427
2021-04-30,28.7427
2021-05-01,28.7427
2021-05-02,28.7427
2021-05-03,28.7427
2021-05-04,28.7427
2021-05-05,28.7427
2021-05-06,28.7427
2021-05-07,28.7427
2021-05-08,28.7427
2021-05-09,28.7427
2021-05-10,28.7427
2021-05-11,28.7427
2021-05-12,28.7427
2021-05-13,28.7427
2021-05-14,28.7427
2021-05-15,28.7427
2021-05-16,28.7427
2021-05-17,28.7427
2021-05-18,28.7427
2021-05-19,28.7427
2021-05-20,28.7427
2021-05-21,28.7427
2021-05-22,28.7427
