,IBP US Equity
,RETURN_COM_EQY
2020-01-01,31.5165
2020-01-02,31.5165
2020-01-03,31.5165
2020-01-04,31.5165
2020-01-05,31.5165
2020-01-06,31.5165
2020-01-07,31.5165
2020-01-08,31.5165
2020-01-09,31.5165
2020-01-10,31.5165
2020-01-11,31.5165
2020-01-12,31.5165
2020-01-13,31.5165
2020-01-14,31.5165
2020-01-15,31.5165
2020-01-16,31.5165
2020-01-17,31.5165
2020-01-18,31.5165
2020-01-19,31.5165
2020-01-20,31.5165
2020-01-21,31.5165
2020-01-22,31.5165
2020-01-23,31.5165
2020-01-24,31.5165
2020-01-25,31.5165
2020-01-26,31.5165
2020-01-27,31.5165
2020-01-28,31.5165
2020-01-29,31.5165
2020-01-30,31.5165
2020-01-31,31.5165
2020-02-01,31.5165
2020-02-02,31.5165
2020-02-03,31.5165
2020-02-04,31.5165
2020-02-05,31.5165
2020-02-06,31.5165
2020-02-07,31.5165
2020-02-08,31.5165
2020-02-09,31.5165
2020-02-10,31.5165
2020-02-11,31.5165
2020-02-12,31.5165
2020-02-13,31.5165
2020-02-14,31.5165
2020-02-15,31.5165
2020-02-16,31.5165
2020-02-17,31.5165
2020-02-18,31.5165
2020-02-19,31.5165
2020-02-20,31.5165
2020-02-21,31.5165
2020-02-22,31.5165
2020-02-23,31.5165
2020-02-24,31.5165
2020-02-25,31.5165
2020-02-26,31.5165
2020-02-27,31.5165
2020-02-28,31.5165
2020-02-29,31.5165
2020-03-01,31.5165
2020-03-02,31.5165
2020-03-03,31.5165
2020-03-04,31.5165
2020-03-05,31.5165
2020-03-06,31.5165
2020-03-07,31.5165
2020-03-08,31.5165
2020-03-09,31.5165
2020-03-10,31.5165
2020-03-11,31.5165
2020-03-12,31.5165
2020-03-13,31.5165
2020-03-14,31.5165
2020-03-15,31.5165
2020-03-16,31.5165
2020-03-17,31.5165
2020-03-18,31.5165
2020-03-19,31.5165
2020-03-20,31.5165
2020-03-21,31.5165
2020-03-22,31.5165
2020-03-23,31.5165
2020-03-24,31.5165
2020-03-25,31.5165
2020-03-26,31.5165
2020-03-27,31.5165
2020-03-28,31.5165
2020-03-29,31.5165
2020-03-30,31.5165
2020-03-31,34.5157
2020-04-01,34.5157
2020-04-02,34.5157
2020-04-03,34.5157
