,SYNA US Equity
,RETURN_COM_EQY
2020-01-01,-2.2501
2020-01-02,-2.2501
2020-01-03,-2.2501
2020-01-04,-2.2501
2020-01-05,-2.2501
2020-01-06,-2.2501
2020-01-07,-2.2501
2020-01-08,-2.2501
2020-01-09,-2.2501
2020-01-10,-2.2501
2020-01-11,-2.2501
2020-01-12,-2.2501
2020-01-13,-2.2501
2020-01-14,-2.2501
2020-01-15,-2.2501
2020-01-16,-2.2501
2020-01-17,-2.2501
2020-01-18,-2.2501
2020-01-19,-2.2501
2020-01-20,-2.2501
2020-01-21,-2.2501
2020-01-22,-2.2501
2020-01-23,-2.2501
2020-01-24,-2.2501
2020-01-25,-2.2501
2020-01-26,-2.2501
2020-01-27,-2.2501
2020-01-28,-2.2501
2020-01-29,-2.2501
2020-01-30,-2.2501
2020-01-31,-2.2501
2020-02-01,-2.2501
2020-02-02,-2.2501
2020-02-03,-2.2501
2020-02-04,-2.2501
2020-02-05,-2.2501
2020-02-06,-2.2501
2020-02-07,-2.2501
2020-02-08,-2.2501
2020-02-09,-2.2501
2020-02-10,-2.2501
2020-02-11,-2.2501
2020-02-12,-2.2501
2020-02-13,-2.2501
2020-02-14,-2.2501
2020-02-15,-2.2501
2020-02-16,-2.2501
2020-02-17,-2.2501
2020-02-18,-2.2501
2020-02-19,-2.2501
2020-02-20,-2.2501
2020-02-21,-2.2501
2020-02-22,-2.2501
2020-02-23,-2.2501
2020-02-24,-2.2501
2020-02-25,-2.2501
2020-02-26,-2.2501
2020-02-27,-2.2501
2020-02-28,-2.2501
2020-02-29,-2.2501
2020-03-01,-2.2501
2020-03-02,-2.2501
2020-03-03,-2.2501
2020-03-04,-2.2501
2020-03-05,-2.2501
2020-03-06,-2.2501
2020-03-07,-2.2501
2020-03-08,-2.2501
2020-03-09,-2.2501
2020-03-10,-2.2501
2020-03-11,-2.2501
2020-03-12,-2.2501
2020-03-13,-2.2501
2020-03-14,-2.2501
2020-03-15,-2.2501
2020-03-16,-2.2501
2020-03-17,-2.2501
2020-03-18,-2.2501
2020-03-19,-2.2501
2020-03-20,-2.2501
2020-03-21,-2.2501
2020-03-22,-2.2501
2020-03-23,-2.2501
2020-03-24,-2.2501
2020-03-25,-2.2501
2020-03-26,-2.2501
2020-03-27,-2.2501
2020-03-28,-2.2501
2020-03-29,-2.2501
2020-03-30,-2.2501
2020-03-31,-2.4173
2020-04-01,-2.4173
2020-04-02,-2.4173
2020-04-03,-2.4173
2020-04-04,-2.4173
2020-04-05,-2.4173
2020-04-06,-2.4173
2020-04-07,-2.4173
2020-04-08,-2.4173
2020-04-09,-2.4173
2020-04-10,-2.4173
2020-04-11,-2.4173
2020-04-12,-2.4173
2020-04-13,-2.4173
2020-04-14,-2.4173
2020-04-15,-2.4173
2020-04-16,-2.4173
2020-04-17,-2.4173
2020-04-18,-2.4173
2020-04-19,-2.4173
2020-04-20,-2.4173
2020-04-21,-2.4173
2020-04-22,-2.4173
2020-04-23,-2.4173
2020-04-24,-2.4173
2020-04-25,-2.4173
2020-04-26,-2.4173
2020-04-27,-2.4173
2020-04-28,-2.4173
2020-04-29,-2.4173
2020-04-30,-2.4173
2020-05-01,-2.4173
2020-05-02,-2.4173
2020-05-03,-2.4173
2020-05-04,-2.4173
2020-05-05,-2.4173
2020-05-06,-2.4173
2020-05-07,-2.4173
2020-05-08,-2.4173
2020-05-09,-2.4173
2020-05-10,-2.4173
2020-05-11,-2.4173
2020-05-12,-2.4173
2020-05-13,-2.4173
2020-05-14,-2.4173
2020-05-15,-2.4173
2020-05-16,-2.4173
2020-05-17,-2.4173
2020-05-18,-2.4173
2020-05-19,-2.4173
2020-05-20,-2.4173
2020-05-21,-2.4173
2020-05-22,-2.4173
2020-05-23,-2.4173
2020-05-24,-2.4173
2020-05-25,-2.4173
2020-05-26,-2.4173
2020-05-27,-2.4173
2020-05-28,-2.4173
2020-05-29,-2.4173
2020-05-30,-2.4173
2020-05-31,-2.4173
2020-06-01,-2.4173
2020-06-02,-2.4173
2020-06-03,-2.4173
2020-06-04,-2.4173
2020-06-05,-2.4173
2020-06-06,-2.4173
2020-06-07,-2.4173
2020-06-08,-2.4173
2020-06-09,-2.4173
2020-06-10,-2.4173
2020-06-11,-2.4173
2020-06-12,-2.4173
2020-06-13,-2.4173
2020-06-14,-2.4173
2020-06-15,-2.4173
2020-06-16,-2.4173
2020-06-17,-2.4173
2020-06-18,-2.4173
2020-06-19,-2.4173
2020-06-20,-2.4173
2020-06-21,-2.4173
2020-06-22,-2.4173
2020-06-23,-2.4173
2020-06-24,-2.4173
2020-06-25,-2.4173
2020-06-26,-2.4173
2020-06-27,-2.4173
2020-06-28,-2.4173
2020-06-29,-2.4173
2020-06-30,16.0932
2020-07-01,16.0932
2020-07-02,16.0932
2020-07-03,16.0932
2020-07-04,16.0932
2020-07-05,16.0932
2020-07-06,16.0932
2020-07-07,16.0932
2020-07-08,16.0932
2020-07-09,16.0932
2020-07-10,16.0932
2020-07-11,16.0932
2020-07-12,16.0932
2020-07-13,16.0932
2020-07-14,16.0932
2020-07-15,16.0932
2020-07-16,16.0932
2020-07-17,16.0932
2020-07-18,16.0932
2020-07-19,16.0932
2020-07-20,16.0932
2020-07-21,16.0932
2020-07-22,16.0932
2020-07-23,16.0932
2020-07-24,16.0932
2020-07-25,16.0932
2020-07-26,16.0932
2020-07-27,16.0932
2020-07-28,16.0932
2020-07-29,16.0932
2020-07-30,16.0932
2020-07-31,16.0932
2020-08-01,16.0932
2020-08-02,16.0932
2020-08-03,16.0932
2020-08-04,16.0932
2020-08-05,16.0932
2020-08-06,16.0932
2020-08-07,16.0932
2020-08-08,16.0932
2020-08-09,16.0932
2020-08-10,16.0932
2020-08-11,16.0932
2020-08-12,16.0932
2020-08-13,16.0932
2020-08-14,16.0932
2020-08-15,16.0932
2020-08-16,16.0932
2020-08-17,16.0932
2020-08-18,16.0932
2020-08-19,16.0932
2020-08-20,16.0932
2020-08-21,16.0932
2020-08-22,16.0932
2020-08-23,16.0932
2020-08-24,16.0932
2020-08-25,16.0932
2020-08-26,16.0932
2020-08-27,16.0932
2020-08-28,16.0932
2020-08-29,16.0932
2020-08-30,16.0932
2020-08-31,16.0932
2020-09-01,16.0932
2020-09-02,16.0932
2020-09-03,16.0932
2020-09-04,16.0932
2020-09-05,16.0932
2020-09-06,16.0932
2020-09-07,16.0932
2020-09-08,16.0932
2020-09-09,16.0932
2020-09-10,16.0932
2020-09-11,16.0932
2020-09-12,16.0932
2020-09-13,16.0932
2020-09-14,16.0932
2020-09-15,16.0932
2020-09-16,16.0932
2020-09-17,16.0932
2020-09-18,16.0932
2020-09-19,16.0932
2020-09-20,16.0932
2020-09-21,16.0932
2020-09-22,16.0932
2020-09-23,16.0932
2020-09-24,16.0932
2020-09-25,16.0932
2020-09-26,16.0932
2020-09-27,16.0932
2020-09-28,16.0932
2020-09-29,16.0932
2020-09-30,14.9983
2020-10-01,14.9983
2020-10-02,14.9983
2020-10-03,14.9983
2020-10-04,14.9983
2020-10-05,14.9983
2020-10-06,14.9983
2020-10-07,14.9983
2020-10-08,14.9983
2020-10-09,14.9983
2020-10-10,14.9983
2020-10-11,14.9983
2020-10-12,14.9983
2020-10-13,14.9983
2020-10-14,14.9983
2020-10-15,14.9983
2020-10-16,14.9983
2020-10-17,14.9983
2020-10-18,14.9983
2020-10-19,14.9983
2020-10-20,14.9983
2020-10-21,14.9983
2020-10-22,14.9983
2020-10-23,14.9983
2020-10-24,14.9983
2020-10-25,14.9983
2020-10-26,14.9983
2020-10-27,14.9983
2020-10-28,14.9983
2020-10-29,14.9983
2020-10-30,14.9983
2020-10-31,14.9983
2020-11-01,14.9983
2020-11-02,14.9983
2020-11-03,14.9983
2020-11-04,14.9983
2020-11-05,14.9983
2020-11-06,14.9983
2020-11-07,14.9983
2020-11-08,14.9983
2020-11-09,14.9983
2020-11-10,14.9983
2020-11-11,14.9983
2020-11-12,14.9983
2020-11-13,14.9983
2020-11-14,14.9983
2020-11-15,14.9983
