,KLAC US Equity
,RETURN_COM_EQY
2020-01-01,53.3185
2020-01-02,53.3185
2020-01-03,53.3185
2020-01-04,53.3185
2020-01-05,53.3185
2020-01-06,53.3185
2020-01-07,53.3185
2020-01-08,53.3185
2020-01-09,53.3185
2020-01-10,53.3185
2020-01-11,53.3185
2020-01-12,53.3185
2020-01-13,53.3185
2020-01-14,53.3185
2020-01-15,53.3185
2020-01-16,53.3185
2020-01-17,53.3185
2020-01-18,53.3185
2020-01-19,53.3185
2020-01-20,53.3185
2020-01-21,53.3185
2020-01-22,53.3185
2020-01-23,53.3185
2020-01-24,53.3185
2020-01-25,53.3185
2020-01-26,53.3185
2020-01-27,53.3185
2020-01-28,53.3185
2020-01-29,53.3185
2020-01-30,53.3185
2020-01-31,53.3185
2020-02-01,53.3185
2020-02-02,53.3185
2020-02-03,53.3185
2020-02-04,53.3185
2020-02-05,53.3185
2020-02-06,53.3185
2020-02-07,53.3185
2020-02-08,53.3185
2020-02-09,53.3185
2020-02-10,53.3185
2020-02-11,53.3185
2020-02-12,53.3185
2020-02-13,53.3185
2020-02-14,53.3185
2020-02-15,53.3185
2020-02-16,53.3185
2020-02-17,53.3185
2020-02-18,53.3185
2020-02-19,53.3185
2020-02-20,53.3185
2020-02-21,53.3185
2020-02-22,53.3185
2020-02-23,53.3185
2020-02-24,53.3185
2020-02-25,53.3185
2020-02-26,53.3185
2020-02-27,53.3185
2020-02-28,53.3185
2020-02-29,53.3185
2020-03-01,53.3185
2020-03-02,53.3185
2020-03-03,53.3185
2020-03-04,53.3185
2020-03-05,53.3185
2020-03-06,53.3185
2020-03-07,53.3185
2020-03-08,53.3185
2020-03-09,53.3185
2020-03-10,53.3185
2020-03-11,53.3185
2020-03-12,53.3185
2020-03-13,53.3185
2020-03-14,53.3185
2020-03-15,53.3185
2020-03-16,53.3185
2020-03-17,53.3185
2020-03-18,53.3185
2020-03-19,53.3185
2020-03-20,53.3185
2020-03-21,53.3185
2020-03-22,53.3185
2020-03-23,53.3185
2020-03-24,53.3185
2020-03-25,53.3185
2020-03-26,53.3185
2020-03-27,53.3185
2020-03-28,53.3185
2020-03-29,53.3185
2020-03-30,53.3185
2020-03-31,39.6925
2020-04-01,39.6925
2020-04-02,39.6925
2020-04-03,39.6925
2020-04-04,39.6925
2020-04-05,39.6925
2020-04-06,39.6925
2020-04-07,39.6925
2020-04-08,39.6925
2020-04-09,39.6925
2020-04-10,39.6925
2020-04-11,39.6925
2020-04-12,39.6925
2020-04-13,39.6925
2020-04-14,39.6925
2020-04-15,39.6925
2020-04-16,39.6925
2020-04-17,39.6925
2020-04-18,39.6925
2020-04-19,39.6925
2020-04-20,39.6925
