,UCBI US Equity
,RETURN_COM_EQY
2020-01-01,11.9268
2020-01-02,11.9268
2020-01-03,11.9268
2020-01-04,11.9268
2020-01-05,11.9268
2020-01-06,11.9268
2020-01-07,11.9268
2020-01-08,11.9268
2020-01-09,11.9268
2020-01-10,11.9268
2020-01-11,11.9268
2020-01-12,11.9268
2020-01-13,11.9268
2020-01-14,11.9268
2020-01-15,11.9268
2020-01-16,11.9268
2020-01-17,11.9268
2020-01-18,11.9268
2020-01-19,11.9268
2020-01-20,11.9268
2020-01-21,11.9268
2020-01-22,11.9268
2020-01-23,11.9268
2020-01-24,11.9268
2020-01-25,11.9268
2020-01-26,11.9268
2020-01-27,11.9268
2020-01-28,11.9268
2020-01-29,11.9268
2020-01-30,11.9268
2020-01-31,11.9268
2020-02-01,11.9268
2020-02-02,11.9268
2020-02-03,11.9268
2020-02-04,11.9268
2020-02-05,11.9268
2020-02-06,11.9268
2020-02-07,11.9268
2020-02-08,11.9268
2020-02-09,11.9268
2020-02-10,11.9268
2020-02-11,11.9268
2020-02-12,11.9268
2020-02-13,11.9268
2020-02-14,11.9268
2020-02-15,11.9268
2020-02-16,11.9268
2020-02-17,11.9268
2020-02-18,11.9268
2020-02-19,11.9268
2020-02-20,11.9268
2020-02-21,11.9268
2020-02-22,11.9268
2020-02-23,11.9268
2020-02-24,11.9268
2020-02-25,11.9268
2020-02-26,11.9268
2020-02-27,11.9268
2020-02-28,11.9268
2020-02-29,11.9268
2020-03-01,11.9268
2020-03-02,11.9268
2020-03-03,11.9268
2020-03-04,11.9268
2020-03-05,11.9268
2020-03-06,11.9268
2020-03-07,11.9268
2020-03-08,11.9268
2020-03-09,11.9268
2020-03-10,11.9268
2020-03-11,11.9268
2020-03-12,11.9268
2020-03-13,11.9268
2020-03-14,11.9268
2020-03-15,11.9268
2020-03-16,11.9268
2020-03-17,11.9268
2020-03-18,11.9268
2020-03-19,11.9268
2020-03-20,11.9268
2020-03-21,11.9268
2020-03-22,11.9268
2020-03-23,11.9268
2020-03-24,11.9268
2020-03-25,11.9268
2020-03-26,11.9268
2020-03-27,11.9268
2020-03-28,11.9268
2020-03-29,11.9268
2020-03-30,11.9268
2020-03-31,10.9343
2020-04-01,10.9343
2020-04-02,10.9343
2020-04-03,10.9343
2020-04-04,10.9343
2020-04-05,10.9343
2020-04-06,10.9343
2020-04-07,10.9343
2020-04-08,10.9343
2020-04-09,10.9343
2020-04-10,10.9343
2020-04-11,10.9343
2020-04-12,10.9343
2020-04-13,10.9343
2020-04-14,10.9343
2020-04-15,10.9343
2020-04-16,10.9343
2020-04-17,10.9343
2020-04-18,10.9343
2020-04-19,10.9343
2020-04-20,10.9343
2020-04-21,10.9343
2020-04-22,10.9343
2020-04-23,10.9343
2020-04-24,10.9343
2020-04-25,10.9343
2020-04-26,10.9343
2020-04-27,10.9343
2020-04-28,10.9343
2020-04-29,10.9343
2020-04-30,10.9343
2020-05-01,10.9343
2020-05-02,10.9343
2020-05-03,10.9343
2020-05-04,10.9343
2020-05-05,10.9343
2020-05-06,10.9343
2020-05-07,10.9343
2020-05-08,10.9343
2020-05-09,10.9343
2020-05-10,10.9343
2020-05-11,10.9343
2020-05-12,10.9343
2020-05-13,10.9343
2020-05-14,10.9343
2020-05-15,10.9343
2020-05-16,10.9343
2020-05-17,10.9343
2020-05-18,10.9343
2020-05-19,10.9343
2020-05-20,10.9343
2020-05-21,10.9343
2020-05-22,10.9343
2020-05-23,10.9343
2020-05-24,10.9343
2020-05-25,10.9343
2020-05-26,10.9343
2020-05-27,10.9343
2020-05-28,10.9343
2020-05-29,10.9343
2020-05-30,10.9343
2020-05-31,10.9343
2020-06-01,10.9343
2020-06-02,10.9343
2020-06-03,10.9343
2020-06-04,10.9343
2020-06-05,10.9343
2020-06-06,10.9343
2020-06-07,10.9343
2020-06-08,10.9343
2020-06-09,10.9343
2020-06-10,10.9343
2020-06-11,10.9343
2020-06-12,10.9343
2020-06-13,10.9343
2020-06-14,10.9343
2020-06-15,10.9343
2020-06-16,10.9343
2020-06-17,10.9343
2020-06-18,10.9343
2020-06-19,10.9343
2020-06-20,10.9343
2020-06-21,10.9343
2020-06-22,10.9343
2020-06-23,10.9343
2020-06-24,10.9343
2020-06-25,10.9343
2020-06-26,10.9343
2020-06-27,10.9343
2020-06-28,10.9343
2020-06-29,10.9343
2020-06-30,9.1836
2020-07-01,9.1836
2020-07-02,9.1836
2020-07-03,9.1836
2020-07-04,9.1836
2020-07-05,9.1836
2020-07-06,9.1836
2020-07-07,9.1836
2020-07-08,9.1836
2020-07-09,9.1836
2020-07-10,9.1836
2020-07-11,9.1836
2020-07-12,9.1836
2020-07-13,9.1836
2020-07-14,9.1836
2020-07-15,9.1836
2020-07-16,9.1836
2020-07-17,9.1836
2020-07-18,9.1836
