,ATKR US Equity
,RETURN_COM_EQY
2020-01-01,74.1343
2020-01-02,74.1343
2020-01-03,74.1343
2020-01-04,74.1343
2020-01-05,74.1343
2020-01-06,74.1343
2020-01-07,74.1343
2020-01-08,74.1343
2020-01-09,74.1343
2020-01-10,74.1343
2020-01-11,74.1343
2020-01-12,74.1343
2020-01-13,74.1343
2020-01-14,74.1343
2020-01-15,74.1343
2020-01-16,74.1343
2020-01-17,74.1343
2020-01-18,74.1343
2020-01-19,74.1343
2020-01-20,74.1343
2020-01-21,74.1343
2020-01-22,74.1343
2020-01-23,74.1343
2020-01-24,74.1343
2020-01-25,74.1343
2020-01-26,74.1343
2020-01-27,74.1343
2020-01-28,74.1343
2020-01-29,74.1343
2020-01-30,74.1343
2020-01-31,74.1343
2020-02-01,74.1343
2020-02-02,74.1343
2020-02-03,74.1343
2020-02-04,74.1343
2020-02-05,74.1343
2020-02-06,74.1343
2020-02-07,74.1343
2020-02-08,74.1343
2020-02-09,74.1343
2020-02-10,74.1343
2020-02-11,74.1343
2020-02-12,74.1343
2020-02-13,74.1343
2020-02-14,74.1343
2020-02-15,74.1343
2020-02-16,74.1343
2020-02-17,74.1343
2020-02-18,74.1343
2020-02-19,74.1343
2020-02-20,74.1343
2020-02-21,74.1343
2020-02-22,74.1343
2020-02-23,74.1343
2020-02-24,74.1343
2020-02-25,74.1343
2020-02-26,74.1343
2020-02-27,74.1343
2020-02-28,74.1343
2020-02-29,74.1343
2020-03-01,74.1343
2020-03-02,74.1343
2020-03-03,74.1343
2020-03-04,74.1343
2020-03-05,74.1343
2020-03-06,74.1343
2020-03-07,74.1343
2020-03-08,74.1343
2020-03-09,74.1343
2020-03-10,74.1343
2020-03-11,74.1343
2020-03-12,74.1343
2020-03-13,74.1343
2020-03-14,74.1343
2020-03-15,74.1343
2020-03-16,74.1343
2020-03-17,74.1343
2020-03-18,74.1343
2020-03-19,74.1343
2020-03-20,74.1343
2020-03-21,74.1343
2020-03-22,74.1343
2020-03-23,74.1343
2020-03-24,74.1343
2020-03-25,74.1343
2020-03-26,74.1343
2020-03-27,68.9664
2020-03-28,68.9664
2020-03-29,68.9664
2020-03-30,68.9664
2020-03-31,68.9664
2020-04-01,68.9664
2020-04-02,68.9664
2020-04-03,68.9664
2020-04-04,68.9664
2020-04-05,68.9664
2020-04-06,68.9664
2020-04-07,68.9664
2020-04-08,68.9664
2020-04-09,68.9664
2020-04-10,68.9664
2020-04-11,68.9664
2020-04-12,68.9664
2020-04-13,68.9664
2020-04-14,68.9664
2020-04-15,68.9664
2020-04-16,68.9664
2020-04-17,68.9664
2020-04-18,68.9664
2020-04-19,68.9664
2020-04-20,68.9664
2020-04-21,68.9664
2020-04-22,68.9664
2020-04-23,68.9664
2020-04-24,68.9664
2020-04-25,68.9664
2020-04-26,68.9664
2020-04-27,68.9664
2020-04-28,68.9664
2020-04-29,68.9664
2020-04-30,68.9664
2020-05-01,68.9664
2020-05-02,68.9664
2020-05-03,68.9664
2020-05-04,68.9664
2020-05-05,68.9664
2020-05-06,68.9664
2020-05-07,68.9664
2020-05-08,68.9664
2020-05-09,68.9664
2020-05-10,68.9664
2020-05-11,68.9664
2020-05-12,68.9664
2020-05-13,68.9664
2020-05-14,68.9664
2020-05-15,68.9664
2020-05-16,68.9664
2020-05-17,68.9664
2020-05-18,68.9664
2020-05-19,68.9664
2020-05-20,68.9664
2020-05-21,68.9664
2020-05-22,68.9664
2020-05-23,68.9664
2020-05-24,68.9664
2020-05-25,68.9664
2020-05-26,68.9664
2020-05-27,68.9664
2020-05-28,68.9664
2020-05-29,68.9664
2020-05-30,68.9664
2020-05-31,68.9664
2020-06-01,68.9664
2020-06-02,68.9664
2020-06-03,68.9664
2020-06-04,68.9664
2020-06-05,68.9664
2020-06-06,68.9664
2020-06-07,68.9664
2020-06-08,68.9664
2020-06-09,68.9664
2020-06-10,68.9664
2020-06-11,68.9664
2020-06-12,68.9664
2020-06-13,68.9664
2020-06-14,68.9664
2020-06-15,68.9664
2020-06-16,68.9664
2020-06-17,68.9664
2020-06-18,68.9664
2020-06-19,68.9664
2020-06-20,68.9664
2020-06-21,68.9664
2020-06-22,68.9664
2020-06-23,68.9664
2020-06-24,68.9664
2020-06-25,68.9664
2020-06-26,54.7008
2020-06-27,54.7008
2020-06-28,54.7008
2020-06-29,54.7008
2020-06-30,54.7008
2020-07-01,54.7008
2020-07-02,54.7008
2020-07-03,54.7008
2020-07-04,54.7008
2020-07-05,54.7008
2020-07-06,54.7008
2020-07-07,54.7008
2020-07-08,54.7008
2020-07-09,54.7008
2020-07-10,54.7008
2020-07-11,54.7008
2020-07-12,54.7008
2020-07-13,54.7008
2020-07-14,54.7008
2020-07-15,54.7008
2020-07-16,54.7008
2020-07-17,54.7008
2020-07-18,54.7008
2020-07-19,54.7008
2020-07-20,54.7008
2020-07-21,54.7008
2020-07-22,54.7008
2020-07-23,54.7008
2020-07-24,54.7008
2020-07-25,54.7008
2020-07-26,54.7008
2020-07-27,54.7008
2020-07-28,54.7008
2020-07-29,54.7008
2020-07-30,54.7008
2020-07-31,54.7008
2020-08-01,54.7008
2020-08-02,54.7008
2020-08-03,54.7008
2020-08-04,54.7008
2020-08-05,54.7008
2020-08-06,54.7008
2020-08-07,54.7008
2020-08-08,54.7008
2020-08-09,54.7008
2020-08-10,54.7008
2020-08-11,54.7008
2020-08-12,54.7008
2020-08-13,54.7008
2020-08-14,54.7008
2020-08-15,54.7008
2020-08-16,54.7008
2020-08-17,54.7008
2020-08-18,54.7008
