,CAT US Equity
,RETURN_COM_EQY
2020-01-01,42.5682
2020-01-02,42.5682
2020-01-03,42.5682
2020-01-04,42.5682
2020-01-05,42.5682
2020-01-06,42.5682
2020-01-07,42.5682
2020-01-08,42.5682
2020-01-09,42.5682
2020-01-10,42.5682
2020-01-11,42.5682
2020-01-12,42.5682
2020-01-13,42.5682
2020-01-14,42.5682
2020-01-15,42.5682
2020-01-16,42.5682
2020-01-17,42.5682
2020-01-18,42.5682
2020-01-19,42.5682
2020-01-20,42.5682
2020-01-21,42.5682
2020-01-22,42.5682
2020-01-23,42.5682
2020-01-24,42.5682
2020-01-25,42.5682
2020-01-26,42.5682
2020-01-27,42.5682
2020-01-28,42.5682
2020-01-29,42.5682
2020-01-30,42.5682
2020-01-31,42.5682
2020-02-01,42.5682
2020-02-02,42.5682
2020-02-03,42.5682
2020-02-04,42.5682
2020-02-05,42.5682
2020-02-06,42.5682
2020-02-07,42.5682
2020-02-08,42.5682
2020-02-09,42.5682
2020-02-10,42.5682
2020-02-11,42.5682
2020-02-12,42.5682
2020-02-13,42.5682
2020-02-14,42.5682
2020-02-15,42.5682
2020-02-16,42.5682
2020-02-17,42.5682
2020-02-18,42.5682
2020-02-19,42.5682
2020-02-20,42.5682
2020-02-21,42.5682
2020-02-22,42.5682
2020-02-23,42.5682
2020-02-24,42.5682
2020-02-25,42.5682
2020-02-26,42.5682
2020-02-27,42.5682
2020-02-28,42.5682
2020-02-29,42.5682
2020-03-01,42.5682
2020-03-02,42.5682
2020-03-03,42.5682
2020-03-04,42.5682
2020-03-05,42.5682
2020-03-06,42.5682
2020-03-07,42.5682
2020-03-08,42.5682
2020-03-09,42.5682
2020-03-10,42.5682
2020-03-11,42.5682
2020-03-12,42.5682
2020-03-13,42.5682
2020-03-14,42.5682
2020-03-15,42.5682
2020-03-16,42.5682
2020-03-17,42.5682
2020-03-18,42.5682
2020-03-19,42.5682
2020-03-20,42.5682
2020-03-21,42.5682
2020-03-22,42.5682
2020-03-23,42.5682
2020-03-24,42.5682
2020-03-25,42.5682
2020-03-26,42.5682
2020-03-27,42.5682
2020-03-28,42.5682
2020-03-29,42.5682
2020-03-30,42.5682
2020-03-31,35.7967
2020-04-01,35.7967
2020-04-02,35.7967
2020-04-03,35.7967
2020-04-04,35.7967
2020-04-05,35.7967
2020-04-06,35.7967
2020-04-07,35.7967
2020-04-08,35.7967
2020-04-09,35.7967
2020-04-10,35.7967
2020-04-11,35.7967
2020-04-12,35.7967
2020-04-13,35.7967
2020-04-14,35.7967
2020-04-15,35.7967
2020-04-16,35.7967
2020-04-17,35.7967
2020-04-18,35.7967
2020-04-19,35.7967
2020-04-20,35.7967
2020-04-21,35.7967
2020-04-22,35.7967
2020-04-23,35.7967
2020-04-24,35.7967
2020-04-25,35.7967
2020-04-26,35.7967
2020-04-27,35.7967
2020-04-28,35.7967
2020-04-29,35.7967
2020-04-30,35.7967
2020-05-01,35.7967
2020-05-02,35.7967
2020-05-03,35.7967
2020-05-04,35.7967
2020-05-05,35.7967
2020-05-06,35.7967
2020-05-07,35.7967
2020-05-08,35.7967
2020-05-09,35.7967
2020-05-10,35.7967
2020-05-11,35.7967
2020-05-12,35.7967
2020-05-13,35.7967
2020-05-14,35.7967
2020-05-15,35.7967
2020-05-16,35.7967
2020-05-17,35.7967
2020-05-18,35.7967
2020-05-19,35.7967
2020-05-20,35.7967
2020-05-21,35.7967
2020-05-22,35.7967
2020-05-23,35.7967
2020-05-24,35.7967
2020-05-25,35.7967
2020-05-26,35.7967
2020-05-27,35.7967
2020-05-28,35.7967
2020-05-29,35.7967
2020-05-30,35.7967
2020-05-31,35.7967
2020-06-01,35.7967
2020-06-02,35.7967
2020-06-03,35.7967
2020-06-04,35.7967
2020-06-05,35.7967
2020-06-06,35.7967
2020-06-07,35.7967
2020-06-08,35.7967
2020-06-09,35.7967
2020-06-10,35.7967
2020-06-11,35.7967
2020-06-12,35.7967
2020-06-13,35.7967
2020-06-14,35.7967
2020-06-15,35.7967
2020-06-16,35.7967
2020-06-17,35.7967
2020-06-18,35.7967
2020-06-19,35.7967
2020-06-20,35.7967
2020-06-21,35.7967
2020-06-22,35.7967
2020-06-23,35.7967
2020-06-24,35.7967
2020-06-25,35.7967
2020-06-26,35.7967
2020-06-27,35.7967
2020-06-28,35.7967
2020-06-29,35.7967
2020-06-30,28.9944
2020-07-01,28.9944
2020-07-02,28.9944
2020-07-03,28.9944
2020-07-04,28.9944
2020-07-05,28.9944
2020-07-06,28.9944
2020-07-07,28.9944
2020-07-08,28.9944
2020-07-09,28.9944
2020-07-10,28.9944
2020-07-11,28.9944
2020-07-12,28.9944
2020-07-13,28.9944
2020-07-14,28.9944
2020-07-15,28.9944
2020-07-16,28.9944
2020-07-17,28.9944
2020-07-18,28.9944
2020-07-19,28.9944
2020-07-20,28.9944
2020-07-21,28.9944
2020-07-22,28.9944
2020-07-23,28.9944
2020-07-24,28.9944
2020-07-25,28.9944
2020-07-26,28.9944
2020-07-27,28.9944
2020-07-28,28.9944
2020-07-29,28.9944
2020-07-30,28.9944
2020-07-31,28.9944
2020-08-01,28.9944
2020-08-02,28.9944
2020-08-03,28.9944
2020-08-04,28.9944
2020-08-05,28.9944
2020-08-06,28.9944
2020-08-07,28.9944
2020-08-08,28.9944
