,SPB US Equity
,RETURN_COM_EQY
2020-01-01,39.9203
2020-01-02,39.9203
2020-01-03,39.9203
2020-01-04,39.9203
2020-01-05,39.9203
2020-01-06,39.9203
2020-01-07,39.9203
2020-01-08,39.9203
2020-01-09,39.9203
2020-01-10,39.9203
2020-01-11,39.9203
2020-01-12,39.9203
2020-01-13,39.9203
2020-01-14,39.9203
2020-01-15,39.9203
2020-01-16,39.9203
2020-01-17,39.9203
2020-01-18,39.9203
2020-01-19,39.9203
2020-01-20,39.9203
2020-01-21,39.9203
2020-01-22,39.9203
2020-01-23,39.9203
2020-01-24,39.9203
2020-01-25,39.9203
2020-01-26,39.9203
2020-01-27,39.9203
2020-01-28,39.9203
2020-01-29,39.9203
2020-01-30,39.9203
2020-01-31,39.9203
2020-02-01,39.9203
2020-02-02,39.9203
2020-02-03,39.9203
2020-02-04,39.9203
2020-02-05,39.9203
2020-02-06,39.9203
2020-02-07,39.9203
2020-02-08,39.9203
2020-02-09,39.9203
2020-02-10,39.9203
2020-02-11,39.9203
2020-02-12,39.9203
2020-02-13,39.9203
2020-02-14,39.9203
2020-02-15,39.9203
2020-02-16,39.9203
2020-02-17,39.9203
2020-02-18,39.9203
2020-02-19,39.9203
2020-02-20,39.9203
2020-02-21,39.9203
2020-02-22,39.9203
2020-02-23,39.9203
2020-02-24,39.9203
2020-02-25,39.9203
2020-02-26,39.9203
2020-02-27,39.9203
2020-02-28,39.9203
2020-02-29,39.9203
2020-03-01,39.9203
2020-03-02,39.9203
2020-03-03,39.9203
2020-03-04,39.9203
2020-03-05,39.9203
2020-03-06,39.9203
2020-03-07,39.9203
2020-03-08,39.9203
2020-03-09,39.9203
2020-03-10,39.9203
2020-03-11,39.9203
2020-03-12,39.9203
2020-03-13,39.9203
2020-03-14,39.9203
2020-03-15,39.9203
2020-03-16,39.9203
2020-03-17,39.9203
2020-03-18,39.9203
2020-03-19,39.9203
2020-03-20,39.9203
2020-03-21,39.9203
2020-03-22,39.9203
2020-03-23,39.9203
2020-03-24,39.9203
2020-03-25,39.9203
2020-03-26,39.9203
2020-03-27,39.9203
2020-03-28,39.9203
2020-03-29,-13.6857
2020-03-30,-13.6857
2020-03-31,-13.6857
2020-04-01,-13.6857
2020-04-02,-13.6857
2020-04-03,-13.6857
2020-04-04,-13.6857
2020-04-05,-13.6857
2020-04-06,-13.6857
2020-04-07,-13.6857
2020-04-08,-13.6857
2020-04-09,-13.6857
2020-04-10,-13.6857
2020-04-11,-13.6857
2020-04-12,-13.6857
2020-04-13,-13.6857
2020-04-14,-13.6857
2020-04-15,-13.6857
2020-04-16,-13.6857
2020-04-17,-13.6857
2020-04-18,-13.6857
2020-04-19,-13.6857
2020-04-20,-13.6857
2020-04-21,-13.6857
2020-04-22,-13.6857
2020-04-23,-13.6857
2020-04-24,-13.6857
2020-04-25,-13.6857
2020-04-26,-13.6857
2020-04-27,-13.6857
2020-04-28,-13.6857
2020-04-29,-13.6857
2020-04-30,-13.6857
2020-05-01,-13.6857
2020-05-02,-13.6857
2020-05-03,-13.6857
2020-05-04,-13.6857
2020-05-05,-13.6857
2020-05-06,-13.6857
2020-05-07,-13.6857
2020-05-08,-13.6857
2020-05-09,-13.6857
2020-05-10,-13.6857
2020-05-11,-13.6857
2020-05-12,-13.6857
2020-05-13,-13.6857
2020-05-14,-13.6857
2020-05-15,-13.6857
2020-05-16,-13.6857
2020-05-17,-13.6857
2020-05-18,-13.6857
2020-05-19,-13.6857
2020-05-20,-13.6857
2020-05-21,-13.6857
2020-05-22,-13.6857
2020-05-23,-13.6857
2020-05-24,-13.6857
2020-05-25,-13.6857
2020-05-26,-13.6857
2020-05-27,-13.6857
2020-05-28,-13.6857
2020-05-29,-13.6857
2020-05-30,-13.6857
2020-05-31,-13.6857
2020-06-01,-13.6857
2020-06-02,-13.6857
2020-06-03,-13.6857
2020-06-04,-13.6857
2020-06-05,-13.6857
2020-06-06,-13.6857
2020-06-07,-13.6857
2020-06-08,-13.6857
2020-06-09,-13.6857
2020-06-10,-13.6857
2020-06-11,-13.6857
2020-06-12,-13.6857
2020-06-13,-13.6857
2020-06-14,-13.6857
2020-06-15,-13.6857
2020-06-16,-13.6857
2020-06-17,-13.6857
2020-06-18,-13.6857
2020-06-19,-13.6857
2020-06-20,-13.6857
2020-06-21,-13.6857
2020-06-22,-13.6857
2020-06-23,-13.6857
2020-06-24,-13.6857
2020-06-25,-13.6857
2020-06-26,-13.6857
2020-06-27,-13.6857
2020-06-28,-2.6695
2020-06-29,-2.6695
2020-06-30,-2.6695
2020-07-01,-2.6695
2020-07-02,-2.6695
2020-07-03,-2.6695
2020-07-04,-2.6695
2020-07-05,-2.6695
2020-07-06,-2.6695
2020-07-07,-2.6695
2020-07-08,-2.6695
2020-07-09,-2.6695
2020-07-10,-2.6695
2020-07-11,-2.6695
2020-07-12,-2.6695
2020-07-13,-2.6695
2020-07-14,-2.6695
2020-07-15,-2.6695
2020-07-16,-2.6695
2020-07-17,-2.6695
2020-07-18,-2.6695
2020-07-19,-2.6695
2020-07-20,-2.6695
2020-07-21,-2.6695
2020-07-22,-2.6695
2020-07-23,-2.6695
2020-07-24,-2.6695
2020-07-25,-2.6695
2020-07-26,-2.6695
2020-07-27,-2.6695
2020-07-28,-2.6695
2020-07-29,-2.6695
2020-07-30,-2.6695
2020-07-31,-2.6695
