,LPLA US Equity
,RETURN_COM_EQY
2020-01-01,56.0456
2020-01-02,56.0456
2020-01-03,56.0456
2020-01-04,56.0456
2020-01-05,56.0456
2020-01-06,56.0456
2020-01-07,56.0456
2020-01-08,56.0456
2020-01-09,56.0456
2020-01-10,56.0456
2020-01-11,56.0456
2020-01-12,56.0456
2020-01-13,56.0456
2020-01-14,56.0456
2020-01-15,56.0456
2020-01-16,56.0456
2020-01-17,56.0456
2020-01-18,56.0456
2020-01-19,56.0456
2020-01-20,56.0456
2020-01-21,56.0456
2020-01-22,56.0456
2020-01-23,56.0456
2020-01-24,56.0456
2020-01-25,56.0456
2020-01-26,56.0456
2020-01-27,56.0456
2020-01-28,56.0456
2020-01-29,56.0456
2020-01-30,56.0456
2020-01-31,56.0456
2020-02-01,56.0456
2020-02-02,56.0456
2020-02-03,56.0456
2020-02-04,56.0456
2020-02-05,56.0456
2020-02-06,56.0456
2020-02-07,56.0456
2020-02-08,56.0456
2020-02-09,56.0456
2020-02-10,56.0456
2020-02-11,56.0456
2020-02-12,56.0456
2020-02-13,56.0456
2020-02-14,56.0456
2020-02-15,56.0456
2020-02-16,56.0456
2020-02-17,56.0456
2020-02-18,56.0456
2020-02-19,56.0456
2020-02-20,56.0456
2020-02-21,56.0456
2020-02-22,56.0456
2020-02-23,56.0456
2020-02-24,56.0456
2020-02-25,56.0456
2020-02-26,56.0456
2020-02-27,56.0456
2020-02-28,56.0456
2020-02-29,56.0456
2020-03-01,56.0456
2020-03-02,56.0456
2020-03-03,56.0456
2020-03-04,56.0456
2020-03-05,56.0456
2020-03-06,56.0456
2020-03-07,56.0456
2020-03-08,56.0456
2020-03-09,56.0456
2020-03-10,56.0456
2020-03-11,56.0456
2020-03-12,56.0456
2020-03-13,56.0456
2020-03-14,56.0456
2020-03-15,56.0456
2020-03-16,56.0456
2020-03-17,56.0456
2020-03-18,56.0456
2020-03-19,56.0456
2020-03-20,56.0456
2020-03-21,56.0456
2020-03-22,56.0456
2020-03-23,56.0456
2020-03-24,56.0456
2020-03-25,56.0456
2020-03-26,56.0456
2020-03-27,56.0456
2020-03-28,56.0456
2020-03-29,56.0456
2020-03-30,56.0456
2020-03-31,55.4289
2020-04-01,55.4289
2020-04-02,55.4289
2020-04-03,55.4289
2020-04-04,55.4289
2020-04-05,55.4289
2020-04-06,55.4289
2020-04-07,55.4289
2020-04-08,55.4289
2020-04-09,55.4289
2020-04-10,55.4289
2020-04-11,55.4289
2020-04-12,55.4289
2020-04-13,55.4289
2020-04-14,55.4289
2020-04-15,55.4289
2020-04-16,55.4289
2020-04-17,55.4289
2020-04-18,55.4289
2020-04-19,55.4289
2020-04-20,55.4289
2020-04-21,55.4289
2020-04-22,55.4289
2020-04-23,55.4289
2020-04-24,55.4289
2020-04-25,55.4289
2020-04-26,55.4289
2020-04-27,55.4289
2020-04-28,55.4289
2020-04-29,55.4289
2020-04-30,55.4289
2020-05-01,55.4289
2020-05-02,55.4289
2020-05-03,55.4289
2020-05-04,55.4289
2020-05-05,55.4289
2020-05-06,55.4289
2020-05-07,55.4289
2020-05-08,55.4289
2020-05-09,55.4289
2020-05-10,55.4289
2020-05-11,55.4289
2020-05-12,55.4289
2020-05-13,55.4289
2020-05-14,55.4289
2020-05-15,55.4289
2020-05-16,55.4289
2020-05-17,55.4289
2020-05-18,55.4289
2020-05-19,55.4289
2020-05-20,55.4289
2020-05-21,55.4289
2020-05-22,55.4289
2020-05-23,55.4289
2020-05-24,55.4289
2020-05-25,55.4289
2020-05-26,55.4289
2020-05-27,55.4289
2020-05-28,55.4289
2020-05-29,55.4289
2020-05-30,55.4289
2020-05-31,55.4289
2020-06-01,55.4289
2020-06-02,55.4289
2020-06-03,55.4289
2020-06-04,55.4289
2020-06-05,55.4289
2020-06-06,55.4289
2020-06-07,55.4289
2020-06-08,55.4289
2020-06-09,55.4289
2020-06-10,55.4289
2020-06-11,55.4289
2020-06-12,55.4289
2020-06-13,55.4289
2020-06-14,55.4289
2020-06-15,55.4289
2020-06-16,55.4289
2020-06-17,55.4289
2020-06-18,55.4289
2020-06-19,55.4289
2020-06-20,55.4289
2020-06-21,55.4289
2020-06-22,55.4289
2020-06-23,55.4289
2020-06-24,55.4289
2020-06-25,55.4289
2020-06-26,55.4289
2020-06-27,55.4289
2020-06-28,55.4289
2020-06-29,55.4289
2020-06-30,48.3623
2020-07-01,48.3623
2020-07-02,48.3623
2020-07-03,48.3623
2020-07-04,48.3623
2020-07-05,48.3623
2020-07-06,48.3623
2020-07-07,48.3623
2020-07-08,48.3623
2020-07-09,48.3623
2020-07-10,48.3623
2020-07-11,48.3623
2020-07-12,48.3623
2020-07-13,48.3623
2020-07-14,48.3623
2020-07-15,48.3623
2020-07-16,48.3623
2020-07-17,48.3623
2020-07-18,48.3623
2020-07-19,48.3623
2020-07-20,48.3623
2020-07-21,48.3623
2020-07-22,48.3623
2020-07-23,48.3623
2020-07-24,48.3623
2020-07-25,48.3623
2020-07-26,48.3623
2020-07-27,48.3623
2020-07-28,48.3623
2020-07-29,48.3623
2020-07-30,48.3623
2020-07-31,48.3623
2020-08-01,48.3623
2020-08-02,48.3623
2020-08-03,48.3623
2020-08-04,48.3623
2020-08-05,48.3623
2020-08-06,48.3623
2020-08-07,48.3623
2020-08-08,48.3623
2020-08-09,48.3623
2020-08-10,48.3623
