,LYB US Equity
,RETURN_COM_EQY
2020-01-01,36.9925
2020-01-02,36.9925
2020-01-03,36.9925
2020-01-04,36.9925
2020-01-05,36.9925
2020-01-06,36.9925
2020-01-07,36.9925
2020-01-08,36.9925
2020-01-09,36.9925
2020-01-10,36.9925
2020-01-11,36.9925
2020-01-12,36.9925
2020-01-13,36.9925
2020-01-14,36.9925
2020-01-15,36.9925
2020-01-16,36.9925
2020-01-17,36.9925
2020-01-18,36.9925
2020-01-19,36.9925
2020-01-20,36.9925
2020-01-21,36.9925
2020-01-22,36.9925
2020-01-23,36.9925
2020-01-24,36.9925
2020-01-25,36.9925
2020-01-26,36.9925
2020-01-27,36.9925
2020-01-28,36.9925
2020-01-29,36.9925
2020-01-30,36.9925
2020-01-31,36.9925
2020-02-01,36.9925
2020-02-02,36.9925
2020-02-03,36.9925
2020-02-04,36.9925
2020-02-05,36.9925
2020-02-06,36.9925
2020-02-07,36.9925
2020-02-08,36.9925
2020-02-09,36.9925
2020-02-10,36.9925
2020-02-11,36.9925
2020-02-12,36.9925
2020-02-13,36.9925
2020-02-14,36.9925
2020-02-15,36.9925
2020-02-16,36.9925
2020-02-17,36.9925
2020-02-18,36.9925
2020-02-19,36.9925
2020-02-20,36.9925
2020-02-21,36.9925
2020-02-22,36.9925
2020-02-23,36.9925
2020-02-24,36.9925
2020-02-25,36.9925
2020-02-26,36.9925
2020-02-27,36.9925
2020-02-28,36.9925
2020-02-29,36.9925
2020-03-01,36.9925
2020-03-02,36.9925
2020-03-03,36.9925
2020-03-04,36.9925
2020-03-05,36.9925
2020-03-06,36.9925
2020-03-07,36.9925
2020-03-08,36.9925
2020-03-09,36.9925
2020-03-10,36.9925
2020-03-11,36.9925
2020-03-12,36.9925
2020-03-13,36.9925
2020-03-14,36.9925
2020-03-15,36.9925
2020-03-16,36.9925
2020-03-17,36.9925
2020-03-18,36.9925
2020-03-19,36.9925
2020-03-20,36.9925
2020-03-21,36.9925
2020-03-22,36.9925
2020-03-23,36.9925
2020-03-24,36.9925
2020-03-25,36.9925
2020-03-26,36.9925
2020-03-27,36.9925
2020-03-28,36.9925
2020-03-29,36.9925
2020-03-30,36.9925
2020-03-31,31.0617
2020-04-01,31.0617
2020-04-02,31.0617
2020-04-03,31.0617
2020-04-04,31.0617
2020-04-05,31.0617
2020-04-06,31.0617
2020-04-07,31.0617
2020-04-08,31.0617
2020-04-09,31.0617
2020-04-10,31.0617
2020-04-11,31.0617
2020-04-12,31.0617
2020-04-13,31.0617
2020-04-14,31.0617
2020-04-15,31.0617
2020-04-16,31.0617
2020-04-17,31.0617
2020-04-18,31.0617
2020-04-19,31.0617
2020-04-20,31.0617
2020-04-21,31.0617
2020-04-22,31.0617
2020-04-23,31.0617
2020-04-24,31.0617
2020-04-25,31.0617
2020-04-26,31.0617
2020-04-27,31.0617
2020-04-28,31.0617
2020-04-29,31.0617
2020-04-30,31.0617
2020-05-01,31.0617
2020-05-02,31.0617
2020-05-03,31.0617
2020-05-04,31.0617
2020-05-05,31.0617
2020-05-06,31.0617
2020-05-07,31.0617
2020-05-08,31.0617
2020-05-09,31.0617
2020-05-10,31.0617
2020-05-11,31.0617
