,MTG US Equity
,RETURN_COM_EQY
2020-01-01,17.0765
2020-01-02,17.0765
2020-01-03,17.0765
2020-01-04,17.0765
2020-01-05,17.0765
2020-01-06,17.0765
2020-01-07,17.0765
2020-01-08,17.0765
2020-01-09,17.0765
2020-01-10,17.0765
2020-01-11,17.0765
2020-01-12,17.0765
2020-01-13,17.0765
2020-01-14,17.0765
2020-01-15,17.0765
2020-01-16,17.0765
2020-01-17,17.0765
2020-01-18,17.0765
2020-01-19,17.0765
2020-01-20,17.0765
2020-01-21,17.0765
2020-01-22,17.0765
2020-01-23,17.0765
2020-01-24,17.0765
2020-01-25,17.0765
2020-01-26,17.0765
2020-01-27,17.0765
2020-01-28,17.0765
2020-01-29,17.0765
2020-01-30,17.0765
2020-01-31,17.0765
2020-02-01,17.0765
2020-02-02,17.0765
2020-02-03,17.0765
2020-02-04,17.0765
2020-02-05,17.0765
2020-02-06,17.0765
2020-02-07,17.0765
2020-02-08,17.0765
2020-02-09,17.0765
2020-02-10,17.0765
2020-02-11,17.0765
2020-02-12,17.0765
2020-02-13,17.0765
2020-02-14,17.0765
2020-02-15,17.0765
2020-02-16,17.0765
2020-02-17,17.0765
2020-02-18,17.0765
2020-02-19,17.0765
2020-02-20,17.0765
2020-02-21,17.0765
2020-02-22,17.0765
2020-02-23,17.0765
2020-02-24,17.0765
2020-02-25,17.0765
2020-02-26,17.0765
2020-02-27,17.0765
2020-02-28,17.0765
2020-02-29,17.0765
2020-03-01,17.0765
2020-03-02,17.0765
2020-03-03,17.0765
2020-03-04,17.0765
2020-03-05,17.0765
2020-03-06,17.0765
2020-03-07,17.0765
2020-03-08,17.0765
2020-03-09,17.0765
2020-03-10,17.0765
2020-03-11,17.0765
2020-03-12,17.0765
2020-03-13,17.0765
2020-03-14,17.0765
2020-03-15,17.0765
2020-03-16,17.0765
2020-03-17,17.0765
2020-03-18,17.0765
2020-03-19,17.0765
2020-03-20,17.0765
2020-03-21,17.0765
2020-03-22,17.0765
2020-03-23,17.0765
2020-03-24,17.0765
2020-03-25,17.0765
2020-03-26,17.0765
2020-03-27,17.0765
2020-03-28,17.0765
2020-03-29,17.0765
2020-03-30,17.0765
2020-03-31,16.6698
2020-04-01,16.6698
2020-04-02,16.6698
2020-04-03,16.6698
2020-04-04,16.6698
2020-04-05,16.6698
2020-04-06,16.6698
2020-04-07,16.6698
2020-04-08,16.6698
2020-04-09,16.6698
2020-04-10,16.6698
2020-04-11,16.6698
2020-04-12,16.6698
2020-04-13,16.6698
2020-04-14,16.6698
2020-04-15,16.6698
2020-04-16,16.6698
2020-04-17,16.6698
2020-04-18,16.6698
2020-04-19,16.6698
2020-04-20,16.6698
2020-04-21,16.6698
2020-04-22,16.6698
2020-04-23,16.6698
2020-04-24,16.6698
2020-04-25,16.6698
2020-04-26,16.6698
2020-04-27,16.6698
2020-04-28,16.6698
2020-04-29,16.6698
2020-04-30,16.6698
2020-05-01,16.6698
2020-05-02,16.6698
2020-05-03,16.6698
2020-05-04,16.6698
2020-05-05,16.6698
2020-05-06,16.6698
2020-05-07,16.6698
2020-05-08,16.6698
2020-05-09,16.6698
2020-05-10,16.6698
2020-05-11,16.6698
2020-05-12,16.6698
2020-05-13,16.6698
2020-05-14,16.6698
2020-05-15,16.6698
2020-05-16,16.6698
2020-05-17,16.6698
2020-05-18,16.6698
2020-05-19,16.6698
2020-05-20,16.6698
2020-05-21,16.6698
2020-05-22,16.6698
2020-05-23,16.6698
2020-05-24,16.6698
2020-05-25,16.6698
2020-05-26,16.6698
2020-05-27,16.6698
2020-05-28,16.6698
2020-05-29,16.6698
2020-05-30,16.6698
2020-05-31,16.6698
2020-06-01,16.6698
2020-06-02,16.6698
2020-06-03,16.6698
2020-06-04,16.6698
2020-06-05,16.6698
2020-06-06,16.6698
2020-06-07,16.6698
2020-06-08,16.6698
2020-06-09,16.6698
2020-06-10,16.6698
2020-06-11,16.6698
2020-06-12,16.6698
2020-06-13,16.6698
2020-06-14,16.6698
2020-06-15,16.6698
2020-06-16,16.6698
2020-06-17,16.6698
2020-06-18,16.6698
2020-06-19,16.6698
2020-06-20,16.6698
2020-06-21,16.6698
2020-06-22,16.6698
2020-06-23,16.6698
2020-06-24,16.6698
2020-06-25,16.6698
2020-06-26,16.6698
2020-06-27,16.6698
2020-06-28,16.6698
2020-06-29,16.6698
2020-06-30,12.303
2020-07-01,12.303
2020-07-02,12.303
2020-07-03,12.303
2020-07-04,12.303
2020-07-05,12.303
2020-07-06,12.303
2020-07-07,12.303
2020-07-08,12.303
2020-07-09,12.303
2020-07-10,12.303
2020-07-11,12.303
2020-07-12,12.303
2020-07-13,12.303
2020-07-14,12.303
2020-07-15,12.303
2020-07-16,12.303
2020-07-17,12.303
2020-07-18,12.303
2020-07-19,12.303
2020-07-20,12.303
2020-07-21,12.303
2020-07-22,12.303
2020-07-23,12.303
2020-07-24,12.303
2020-07-25,12.303
2020-07-26,12.303
2020-07-27,12.303
2020-07-28,12.303
2020-07-29,12.303
2020-07-30,12.303
2020-07-31,12.303
2020-08-01,12.303
2020-08-02,12.303
2020-08-03,12.303
2020-08-04,12.303
2020-08-05,12.303
2020-08-06,12.303
2020-08-07,12.303
2020-08-08,12.303
2020-08-09,12.303
2020-08-10,12.303
2020-08-11,12.303
2020-08-12,12.303
2020-08-13,12.303
2020-08-14,12.303
2020-08-15,12.303
2020-08-16,12.303
2020-08-17,12.303
2020-08-18,12.303
2020-08-19,12.303
2020-08-20,12.303
2020-08-21,12.303
2020-08-22,12.303
2020-08-23,12.303
2020-08-24,12.303
2020-08-25,12.303
2020-08-26,12.303
2020-08-27,12.303
2020-08-28,12.303
2020-08-29,12.303
2020-08-30,12.303
2020-08-31,12.303
2020-09-01,12.303
2020-09-02,12.303
2020-09-03,12.303
2020-09-04,12.303
2020-09-05,12.303
2020-09-06,12.303
2020-09-07,12.303
2020-09-08,12.303
2020-09-09,12.303
2020-09-10,12.303
2020-09-11,12.303
2020-09-12,12.303
2020-09-13,12.303
2020-09-14,12.303
2020-09-15,12.303
2020-09-16,12.303
2020-09-17,12.303
2020-09-18,12.303
2020-09-19,12.303
2020-09-20,12.303
2020-09-21,12.303
2020-09-22,12.303
2020-09-23,12.303
2020-09-24,12.303
2020-09-25,12.303
2020-09-26,12.303
2020-09-27,12.303
2020-09-28,12.303
2020-09-29,12.303
2020-09-30,10.8788
2020-10-01,10.8788
2020-10-02,10.8788
2020-10-03,10.8788
2020-10-04,10.8788
2020-10-05,10.8788
2020-10-06,10.8788
2020-10-07,10.8788
2020-10-08,10.8788
2020-10-09,10.8788
2020-10-10,10.8788
2020-10-11,10.8788
2020-10-12,10.8788
2020-10-13,10.8788
2020-10-14,10.8788
2020-10-15,10.8788
2020-10-16,10.8788
2020-10-17,10.8788
2020-10-18,10.8788
2020-10-19,10.8788
2020-10-20,10.8788
2020-10-21,10.8788
2020-10-22,10.8788
2020-10-23,10.8788
2020-10-24,10.8788
2020-10-25,10.8788
2020-10-26,10.8788
2020-10-27,10.8788
2020-10-28,10.8788
2020-10-29,10.8788
2020-10-30,10.8788
2020-10-31,10.8788
2020-11-01,10.8788
2020-11-02,10.8788
2020-11-03,10.8788
2020-11-04,10.8788
2020-11-05,10.8788
2020-11-06,10.8788
2020-11-07,10.8788
2020-11-08,10.8788
2020-11-09,10.8788
2020-11-10,10.8788
2020-11-11,10.8788
2020-11-12,10.8788
2020-11-13,10.8788
2020-11-14,10.8788
2020-11-15,10.8788
2020-11-16,10.8788
2020-11-17,10.8788
2020-11-18,10.8788
2020-11-19,10.8788
2020-11-20,10.8788
2020-11-21,10.8788
2020-11-22,10.8788
2020-11-23,10.8788
2020-11-24,10.8788
2020-11-25,10.8788
2020-11-26,10.8788
2020-11-27,10.8788
2020-11-28,10.8788
2020-11-29,10.8788
2020-11-30,10.8788
2020-12-01,10.8788
2020-12-02,10.8788
