,HES US Equity
,RETURN_COM_EQY
2020-01-01,-4.6329
2020-01-02,-4.6329
2020-01-03,-4.6329
2020-01-04,-4.6329
2020-01-05,-4.6329
2020-01-06,-4.6329
2020-01-07,-4.6329
2020-01-08,-4.6329
2020-01-09,-4.6329
2020-01-10,-4.6329
2020-01-11,-4.6329
2020-01-12,-4.6329
2020-01-13,-4.6329
2020-01-14,-4.6329
2020-01-15,-4.6329
2020-01-16,-4.6329
2020-01-17,-4.6329
2020-01-18,-4.6329
2020-01-19,-4.6329
2020-01-20,-4.6329
2020-01-21,-4.6329
2020-01-22,-4.6329
2020-01-23,-4.6329
2020-01-24,-4.6329
2020-01-25,-4.6329
2020-01-26,-4.6329
2020-01-27,-4.6329
2020-01-28,-4.6329
2020-01-29,-4.6329
2020-01-30,-4.6329
2020-01-31,-4.6329
2020-02-01,-4.6329
2020-02-02,-4.6329
2020-02-03,-4.6329
2020-02-04,-4.6329
2020-02-05,-4.6329
2020-02-06,-4.6329
2020-02-07,-4.6329
2020-02-08,-4.6329
2020-02-09,-4.6329
2020-02-10,-4.6329
2020-02-11,-4.6329
2020-02-12,-4.6329
2020-02-13,-4.6329
2020-02-14,-4.6329
2020-02-15,-4.6329
2020-02-16,-4.6329
2020-02-17,-4.6329
2020-02-18,-4.6329
2020-02-19,-4.6329
2020-02-20,-4.6329
2020-02-21,-4.6329
2020-02-22,-4.6329
2020-02-23,-4.6329
2020-02-24,-4.6329
2020-02-25,-4.6329
2020-02-26,-4.6329
2020-02-27,-4.6329
2020-02-28,-4.6329
2020-02-29,-4.6329
2020-03-01,-4.6329
2020-03-02,-4.6329
2020-03-03,-4.6329
2020-03-04,-4.6329
2020-03-05,-4.6329
2020-03-06,-4.6329
2020-03-07,-4.6329
2020-03-08,-4.6329
2020-03-09,-4.6329
2020-03-10,-4.6329
2020-03-11,-4.6329
2020-03-12,-4.6329
2020-03-13,-4.6329
2020-03-14,-4.6329
2020-03-15,-4.6329
2020-03-16,-4.6329
2020-03-17,-4.6329
2020-03-18,-4.6329
2020-03-19,-4.6329
2020-03-20,-4.6329
2020-03-21,-4.6329
2020-03-22,-4.6329
2020-03-23,-4.6329
2020-03-24,-4.6329
2020-03-25,-4.6329
2020-03-26,-4.6329
2020-03-27,-4.6329
2020-03-28,-4.6329
2020-03-29,-4.6329
2020-03-30,-4.6329
2020-03-31,-34.7358
2020-04-01,-34.7358
2020-04-02,-34.7358
2020-04-03,-34.7358
2020-04-04,-34.7358
2020-04-05,-34.7358
2020-04-06,-34.7358
2020-04-07,-34.7358
2020-04-08,-34.7358
2020-04-09,-34.7358
2020-04-10,-34.7358
2020-04-11,-34.7358
2020-04-12,-34.7358
2020-04-13,-34.7358
2020-04-14,-34.7358
2020-04-15,-34.7358
2020-04-16,-34.7358
2020-04-17,-34.7358
2020-04-18,-34.7358
2020-04-19,-34.7358
2020-04-20,-34.7358
2020-04-21,-34.7358
2020-04-22,-34.7358
2020-04-23,-34.7358
2020-04-24,-34.7358
2020-04-25,-34.7358
2020-04-26,-34.7358
2020-04-27,-34.7358
2020-04-28,-34.7358
2020-04-29,-34.7358
2020-04-30,-34.7358
2020-05-01,-34.7358
2020-05-02,-34.7358
2020-05-03,-34.7358
2020-05-04,-34.7358
2020-05-05,-34.7358
2020-05-06,-34.7358
2020-05-07,-34.7358
2020-05-08,-34.7358
2020-05-09,-34.7358
2020-05-10,-34.7358
2020-05-11,-34.7358
2020-05-12,-34.7358
2020-05-13,-34.7358
2020-05-14,-34.7358
2020-05-15,-34.7358
2020-05-16,-34.7358
2020-05-17,-34.7358
2020-05-18,-34.7358
2020-05-19,-34.7358
2020-05-20,-34.7358
2020-05-21,-34.7358
2020-05-22,-34.7358
2020-05-23,-34.7358
2020-05-24,-34.7358
2020-05-25,-34.7358
2020-05-26,-34.7358
2020-05-27,-34.7358
2020-05-28,-34.7358
2020-05-29,-34.7358
2020-05-30,-34.7358
2020-05-31,-34.7358
2020-06-01,-34.7358
2020-06-02,-34.7358
2020-06-03,-34.7358
2020-06-04,-34.7358
2020-06-05,-34.7358
2020-06-06,-34.7358
2020-06-07,-34.7358
2020-06-08,-34.7358
2020-06-09,-34.7358
2020-06-10,-34.7358
2020-06-11,-34.7358
2020-06-12,-34.7358
2020-06-13,-34.7358
2020-06-14,-34.7358
2020-06-15,-34.7358
2020-06-16,-34.7358
2020-06-17,-34.7358
2020-06-18,-34.7358
2020-06-19,-34.7358
2020-06-20,-34.7358
2020-06-21,-34.7358
2020-06-22,-34.7358
2020-06-23,-34.7358
2020-06-24,-34.7358
2020-06-25,-34.7358
2020-06-26,-34.7358
2020-06-27,-34.7358
2020-06-28,-34.7358
2020-06-29,-34.7358
2020-06-30,-40.6272
2020-07-01,-40.6272
2020-07-02,-40.6272
2020-07-03,-40.6272
2020-07-04,-40.6272
2020-07-05,-40.6272
2020-07-06,-40.6272
2020-07-07,-40.6272
2020-07-08,-40.6272
2020-07-09,-40.6272
2020-07-10,-40.6272
2020-07-11,-40.6272
2020-07-12,-40.6272
2020-07-13,-40.6272
2020-07-14,-40.6272
2020-07-15,-40.6272
2020-07-16,-40.6272
2020-07-17,-40.6272
2020-07-18,-40.6272
2020-07-19,-40.6272
2020-07-20,-40.6272
2020-07-21,-40.6272
2020-07-22,-40.6272
2020-07-23,-40.6272
2020-07-24,-40.6272
2020-07-25,-40.6272
2020-07-26,-40.6272
2020-07-27,-40.6272
2020-07-28,-40.6272
2020-07-29,-40.6272
2020-07-30,-40.6272
2020-07-31,-40.6272
2020-08-01,-40.6272
2020-08-02,-40.6272
2020-08-03,-40.6272
2020-08-04,-40.6272
2020-08-05,-40.6272
2020-08-06,-40.6272
2020-08-07,-40.6272
2020-08-08,-40.6272
2020-08-09,-40.6272
2020-08-10,-40.6272
2020-08-11,-40.6272
2020-08-12,-40.6272
2020-08-13,-40.6272
2020-08-14,-40.6272
2020-08-15,-40.6272
2020-08-16,-40.6272
2020-08-17,-40.6272
2020-08-18,-40.6272
2020-08-19,-40.6272
2020-08-20,-40.6272
2020-08-21,-40.6272
2020-08-22,-40.6272
2020-08-23,-40.6272
2020-08-24,-40.6272
2020-08-25,-40.6272
2020-08-26,-40.6272
2020-08-27,-40.6272
2020-08-28,-40.6272
2020-08-29,-40.6272
2020-08-30,-40.6272
2020-08-31,-40.6272
2020-09-01,-40.6272
2020-09-02,-40.6272
2020-09-03,-40.6272
2020-09-04,-40.6272
2020-09-05,-40.6272
2020-09-06,-40.6272
2020-09-07,-40.6272
2020-09-08,-40.6272
2020-09-09,-40.6272
2020-09-10,-40.6272
2020-09-11,-40.6272
2020-09-12,-40.6272
2020-09-13,-40.6272
2020-09-14,-40.6272
2020-09-15,-40.6272
2020-09-16,-40.6272
2020-09-17,-40.6272
2020-09-18,-40.6272
2020-09-19,-40.6272
2020-09-20,-40.6272
2020-09-21,-40.6272
2020-09-22,-40.6272
2020-09-23,-40.6272
2020-09-24,-40.6272
2020-09-25,-40.6272
2020-09-26,-40.6272
2020-09-27,-40.6272
2020-09-28,-40.6272
2020-09-29,-40.6272
2020-09-30,-40.6272
2020-10-01,-40.6272
2020-10-02,-40.6272
2020-10-03,-40.6272
2020-10-04,-40.6272
2020-10-05,-40.6272
2020-10-06,-40.6272
2020-10-07,-40.6272
2020-10-08,-40.6272
2020-10-09,-40.6272
2020-10-10,-40.6272
2020-10-11,-40.6272
2020-10-12,-40.6272
2020-10-13,-40.6272
2020-10-14,-40.6272
2020-10-15,-40.6272
2020-10-16,-40.6272
2020-10-17,-40.6272
2020-10-18,-40.6272
2020-10-19,-40.6272
2020-10-20,-40.6272
2020-10-21,-40.6272
2020-10-22,-40.6272
2020-10-23,-40.6272
2020-10-24,-40.6272
2020-10-25,-40.6272
2020-10-26,-40.6272
2020-10-27,-40.6272
2020-10-28,-40.6272
2020-10-29,-40.6272
2020-10-30,-40.6272
2020-10-31,-40.6272
2020-11-01,-40.6272
2020-11-02,-40.6272
2020-11-03,-40.6272
2020-11-04,-40.6272
2020-11-05,-40.6272
2020-11-06,-40.6272
2020-11-07,-40.6272
2020-11-08,-40.6272
2020-11-09,-40.6272
2020-11-10,-40.6272
2020-11-11,-40.6272
2020-11-12,-40.6272
2020-11-13,-40.6272
2020-11-14,-40.6272
2020-11-15,-40.6272
2020-11-16,-40.6272
2020-11-17,-40.6272
2020-11-18,-40.6272
2020-11-19,-40.6272
2020-11-20,-40.6272
2020-11-21,-40.6272
2020-11-22,-40.6272
2020-11-23,-40.6272
2020-11-24,-40.6272
2020-11-25,-40.6272
2020-11-26,-40.6272
2020-11-27,-40.6272
2020-11-28,-40.6272
2020-11-29,-40.6272
2020-11-30,-40.6272
2020-12-01,-40.6272
2020-12-02,-40.6272
2020-12-03,-40.6272
2020-12-04,-40.6272
2020-12-05,-40.6272
2020-12-06,-40.6272
2020-12-07,-40.6272
2020-12-08,-40.6272
2020-12-09,-40.6272
2020-12-10,-40.6272
2020-12-11,-40.6272
2020-12-12,-40.6272
2020-12-13,-40.6272
2020-12-14,-40.6272
2020-12-15,-40.6272
2020-12-16,-40.6272
2020-12-17,-40.6272
2020-12-18,-40.6272
2020-12-19,-40.6272
2020-12-20,-40.6272
2020-12-21,-40.6272
2020-12-22,-40.6272
2020-12-23,-40.6272
2020-12-24,-40.6272
2020-12-25,-40.6272
2020-12-26,-40.6272
2020-12-27,-40.6272
2020-12-28,-40.6272
2020-12-29,-40.6272
2020-12-30,-40.6272
2020-12-31,-40.6272
2021-01-01,-40.6272
2021-01-02,-40.6272
2021-01-03,-40.6272
2021-01-04,-40.6272
2021-01-05,-40.6272
2021-01-06,-40.6272
2021-01-07,-40.6272
2021-01-08,-40.6272
2021-01-09,-40.6272
2021-01-10,-40.6272
2021-01-11,-40.6272
2021-01-12,-40.6272
2021-01-13,-40.6272
2021-01-14,-40.6272
2021-01-15,-40.6272
2021-01-16,-40.6272
2021-01-17,-40.6272
2021-01-18,-40.6272
2021-01-19,-40.6272
2021-01-20,-40.6272
2021-01-21,-40.6272
2021-01-22,-40.6272
2021-01-23,-40.6272
2021-01-24,-40.6272
2021-01-25,-40.6272
2021-01-26,-40.6272
2021-01-27,-40.6272
2021-01-28,-40.6272
2021-01-29,-40.6272
2021-01-30,-40.6272
2021-01-31,-40.6272
2021-02-01,-40.6272
2021-02-02,-40.6272
2021-02-03,-40.6272
2021-02-04,-40.6272
2021-02-05,-40.6272
2021-02-06,-40.6272
2021-02-07,-40.6272
2021-02-08,-40.6272
2021-02-09,-40.6272
2021-02-10,-40.6272
2021-02-11,-40.6272
2021-02-12,-40.6272
2021-02-13,-40.6272
2021-02-14,-40.6272
2021-02-15,-40.6272
2021-02-16,-40.6272
2021-02-17,-40.6272
2021-02-18,-40.6272
2021-02-19,-40.6272
2021-02-20,-40.6272
2021-02-21,-40.6272
2021-02-22,-40.6272
2021-02-23,-40.6272
2021-02-24,-40.6272
2021-02-25,-40.6272
2021-02-26,-40.6272
2021-02-27,-40.6272
2021-02-28,-40.6272
2021-03-01,-40.6272
2021-03-02,-40.6272
2021-03-03,-40.6272
2021-03-04,-40.6272
2021-03-05,-40.6272
2021-03-06,-40.6272
2021-03-07,-40.6272
2021-03-08,-40.6272
2021-03-09,-40.6272
2021-03-10,-40.6272
2021-03-11,-40.6272
2021-03-12,-40.6272
2021-03-13,-40.6272
2021-03-14,-40.6272
2021-03-15,-40.6272
2021-03-16,-40.6272
2021-03-17,-40.6272
2021-03-18,-40.6272
2021-03-19,-40.6272
2021-03-20,-40.6272
2021-03-21,-40.6272
2021-03-22,-40.6272
2021-03-23,-40.6272
2021-03-24,-40.6272
2021-03-25,-40.6272
2021-03-26,-40.6272
2021-03-27,-40.6272
2021-03-28,-40.6272
2021-03-29,-40.6272
2021-03-30,-40.6272
2021-03-31,-40.6272
2021-04-01,-40.6272
2021-04-02,-40.6272
2021-04-03,-40.6272
2021-04-04,-40.6272
2021-04-05,-40.6272
2021-04-06,-40.6272
2021-04-07,-40.6272
2021-04-08,-40.6272
2021-04-09,-40.6272
2021-04-10,-40.6272
2021-04-11,-40.6272
2021-04-12,-40.6272
2021-04-13,-40.6272
2021-04-14,-40.6272
2021-04-15,-40.6272
2021-04-16,-40.6272
2021-04-17,-40.6272
2021-04-18,-40.6272
2021-04-19,-40.6272
2021-04-20,-40.6272
2021-04-21,-40.6272
2021-04-22,-40.6272
2021-04-23,-40.6272
2021-04-24,-40.6272
2021-04-25,-40.6272
2021-04-26,-40.6272
2021-04-27,-40.6272
2021-04-28,-40.6272
2021-04-29,-40.6272
2021-04-30,-40.6272
2021-05-01,-40.6272
2021-05-02,-40.6272
2021-05-03,-40.6272
2021-05-04,-40.6272
2021-05-05,-40.6272
2021-05-06,-40.6272
2021-05-07,-40.6272
2021-05-08,-40.6272
2021-05-09,-40.6272
2021-05-10,-40.6272
2021-05-11,-40.6272
2021-05-12,-40.6272
2021-05-13,-40.6272
2021-05-14,-40.6272
2021-05-15,-40.6272
2021-05-16,-40.6272
2021-05-17,-40.6272
2021-05-18,-40.6272
2021-05-19,-40.6272
2021-05-20,-40.6272
2021-05-21,-40.6272
2021-05-22,-40.6272
2021-05-23,-40.6272
2021-05-24,-40.6272
2021-05-25,-40.6272
2021-05-26,-40.6272
2021-05-27,-40.6272
2021-05-28,-40.6272
2021-05-29,-40.6272
2021-05-30,-40.6272
2021-05-31,-40.6272
2021-06-01,-40.6272
2021-06-02,-40.6272
2021-06-03,-40.6272
2021-06-04,-40.6272
2021-06-05,-40.6272
2021-06-06,-40.6272
2021-06-07,-40.6272
2021-06-08,-40.6272
2021-06-09,-40.6272
2021-06-10,-40.6272
2021-06-11,-40.6272
2021-06-12,-40.6272
2021-06-13,-40.6272
2021-06-14,-40.6272
2021-06-15,-40.6272
2021-06-16,-40.6272
2021-06-17,-40.6272
2021-06-18,-40.6272
2021-06-19,-40.6272
2021-06-20,-40.6272
2021-06-21,-40.6272
2021-06-22,-40.6272
2021-06-23,-40.6272
2021-06-24,-40.6272
2021-06-25,-40.6272
2021-06-26,-40.6272
2021-06-27,-40.6272
2021-06-28,-40.6272
2021-06-29,-40.6272
2021-06-30,-40.6272
2021-07-01,-40.6272
2021-07-02,-40.6272
2021-07-03,-40.6272
2021-07-04,-40.6272
2021-07-05,-40.6272
2021-07-06,-40.6272
2021-07-07,-40.6272
2021-07-08,-40.6272
2021-07-09,-40.6272
2021-07-10,-40.6272
2021-07-11,-40.6272
2021-07-12,-40.6272
2021-07-13,-40.6272
2021-07-14,-40.6272
2021-07-15,-40.6272
2021-07-16,-40.6272
2021-07-17,-40.6272
2021-07-18,-40.6272
2021-07-19,-40.6272
2021-07-20,-40.6272
2021-07-21,-40.6272
2021-07-22,-40.6272
2021-07-23,-40.6272
2021-07-24,-40.6272
2021-07-25,-40.6272
2021-07-26,-40.6272
2021-07-27,-40.6272
2021-07-28,-40.6272
2021-07-29,-40.6272
2021-07-30,-40.6272
2021-07-31,-40.6272
2021-08-01,-40.6272
2021-08-02,-40.6272
2021-08-03,-40.6272
2021-08-04,-40.6272
2021-08-05,-40.6272
2021-08-06,-40.6272
2021-08-07,-40.6272
2021-08-08,-40.6272
2021-08-09,-40.6272
2021-08-10,-40.6272
2021-08-11,-40.6272
2021-08-12,-40.6272
2021-08-13,-40.6272
2021-08-14,-40.6272
2021-08-15,-40.6272
2021-08-16,-40.6272
2021-08-17,-40.6272
2021-08-18,-40.6272
2021-08-19,-40.6272
2021-08-20,-40.6272
2021-08-21,-40.6272
2021-08-22,-40.6272
2021-08-23,-40.6272
2021-08-24,-40.6272
2021-08-25,-40.6272
2021-08-26,-40.6272
2021-08-27,-40.6272
2021-08-28,-40.6272
2021-08-29,-40.6272
2021-08-30,-40.6272
2021-08-31,-40.6272
2021-09-01,-40.6272
2021-09-02,-40.6272
2021-09-03,-40.6272
2021-09-04,-40.6272
2021-09-05,-40.6272
2021-09-06,-40.6272
2021-09-07,-40.6272
2021-09-08,-40.6272
2021-09-09,-40.6272
2021-09-10,-40.6272
2021-09-11,-40.6272
2021-09-12,-40.6272
2021-09-13,-40.6272
2021-09-14,-40.6272
2021-09-15,-40.6272
2021-09-16,-40.6272
2021-09-17,-40.6272
2021-09-18,-40.6272
2021-09-19,-40.6272
2021-09-20,-40.6272
2021-09-21,-40.6272
2021-09-22,-40.6272
2021-09-23,-40.6272
2021-09-24,-40.6272
2021-09-25,-40.6272
2021-09-26,-40.6272
2021-09-27,-40.6272
2021-09-28,-40.6272
2021-09-29,-40.6272
2021-09-30,3.4187
2021-10-01,3.4187
2021-10-02,3.4187
2021-10-03,3.4187
2021-10-04,3.4187
2021-10-05,3.4187
2021-10-06,3.4187
2021-10-07,3.4187
2021-10-08,3.4187
2021-10-09,3.4187
2021-10-10,3.4187
2021-10-11,3.4187
2021-10-12,3.4187
2021-10-13,3.4187
2021-10-14,3.4187
2021-10-15,3.4187
2021-10-16,3.4187
2021-10-17,3.4187
2021-10-18,3.4187
2021-10-19,3.4187
2021-10-20,3.4187
2021-10-21,3.4187
2021-10-22,3.4187
2021-10-23,3.4187
2021-10-24,3.4187
2021-10-25,3.4187
2021-10-26,3.4187
2021-10-27,3.4187
2021-10-28,3.4187
2021-10-29,3.4187
2021-10-30,3.4187
2021-10-31,3.4187
2021-11-01,3.4187
2021-11-02,3.4187
2021-11-03,3.4187
2021-11-04,3.4187
2021-11-05,3.4187
2021-11-06,3.4187
2021-11-07,3.4187
2021-11-08,3.4187
2021-11-09,3.4187
2021-11-10,3.4187
2021-11-11,3.4187
2021-11-12,3.4187
2021-11-13,3.4187
2021-11-14,3.4187
2021-11-15,3.4187
2021-11-16,3.4187
2021-11-17,3.4187
2021-11-18,3.4187
2021-11-19,3.4187
2021-11-20,3.4187
2021-11-21,3.4187
2021-11-22,3.4187
2021-11-23,3.4187
2021-11-24,3.4187
2021-11-25,3.4187
2021-11-26,3.4187
2021-11-27,3.4187
2021-11-28,3.4187
2021-11-29,3.4187
2021-11-30,3.4187
2021-12-01,3.4187
2021-12-02,3.4187
2021-12-03,3.4187
2021-12-04,3.4187
2021-12-05,3.4187
2021-12-06,3.4187
2021-12-07,3.4187
2021-12-08,3.4187
2021-12-09,3.4187
2021-12-10,3.4187
2021-12-11,3.4187
2021-12-12,3.4187
2021-12-13,3.4187
2021-12-14,3.4187
2021-12-15,3.4187
2021-12-16,3.4187
2021-12-17,3.4187
2021-12-18,3.4187
2021-12-19,3.4187
2021-12-20,3.4187
2021-12-21,3.4187
2021-12-22,3.4187
2021-12-23,3.4187
2021-12-24,3.4187
2021-12-25,3.4187
2021-12-26,3.4187
2021-12-27,3.4187
2021-12-28,3.4187
2021-12-29,3.4187
2021-12-30,3.4187
2021-12-31,9.5834
2022-01-01,9.5834
2022-01-02,9.5834
2022-01-03,9.5834
2022-01-04,9.5834
2022-01-05,9.5834
2022-01-06,9.5834
2022-01-07,9.5834
2022-01-08,9.5834
2022-01-09,9.5834
2022-01-10,9.5834
2022-01-11,9.5834
2022-01-12,9.5834
2022-01-13,9.5834
2022-01-14,9.5834
2022-01-15,9.5834
2022-01-16,9.5834
2022-01-17,9.5834
2022-01-18,9.5834
2022-01-19,9.5834
2022-01-20,9.5834
2022-01-21,9.5834
2022-01-22,9.5834
2022-01-23,9.5834
2022-01-24,9.5834
2022-01-25,9.5834
2022-01-26,9.5834
2022-01-27,9.5834
2022-01-28,9.5834
2022-01-29,9.5834
2022-01-30,9.5834
2022-01-31,9.5834
2022-02-01,9.5834
2022-02-02,9.5834
2022-02-03,9.5834
2022-02-04,9.5834
2022-02-05,9.5834
2022-02-06,9.5834
2022-02-07,9.5834
2022-02-08,9.5834
2022-02-09,9.5834
2022-02-10,9.5834
2022-02-11,9.5834
2022-02-12,9.5834
2022-02-13,9.5834
2022-02-14,9.5834
2022-02-15,9.5834
2022-02-16,9.5834
2022-02-17,9.5834
2022-02-18,9.5834
2022-02-19,9.5834
2022-02-20,9.5834
2022-02-21,9.5834
2022-02-22,9.5834
2022-02-23,9.5834
2022-02-24,9.5834
2022-02-25,9.5834
2022-02-26,9.5834
2022-02-27,9.5834
2022-02-28,9.5834
2022-03-01,9.5834
2022-03-02,9.5834
2022-03-03,9.5834
2022-03-04,9.5834
2022-03-05,9.5834
2022-03-06,9.5834
2022-03-07,9.5834
2022-03-08,9.5834
2022-03-09,9.5834
2022-03-10,9.5834
2022-03-11,9.5834
2022-03-12,9.5834
2022-03-13,9.5834
2022-03-14,9.5834
2022-03-15,9.5834
2022-03-16,9.5834
2022-03-17,9.5834
2022-03-18,9.5834
2022-03-19,9.5834
2022-03-20,9.5834
2022-03-21,9.5834
2022-03-22,9.5834
2022-03-23,9.5834
2022-03-24,9.5834
2022-03-25,9.5834
2022-03-26,9.5834
2022-03-27,9.5834
2022-03-28,9.5834
2022-03-29,9.5834
2022-03-30,9.5834
2022-03-31,12.1436
2022-04-01,12.1436
2022-04-02,12.1436
2022-04-03,12.1436
2022-04-04,12.1436
2022-04-05,12.1436
2022-04-06,12.1436
2022-04-07,12.1436
2022-04-08,12.1436
2022-04-09,12.1436
2022-04-10,12.1436
2022-04-11,12.1436
2022-04-12,12.1436
2022-04-13,12.1436
2022-04-14,12.1436
2022-04-15,12.1436
2022-04-16,12.1436
2022-04-17,12.1436
2022-04-18,12.1436
2022-04-19,12.1436
2022-04-20,12.1436
2022-04-21,12.1436
2022-04-22,12.1436
2022-04-23,12.1436
2022-04-24,12.1436
2022-04-25,12.1436
2022-04-26,12.1436
2022-04-27,12.1436
2022-04-28,12.1436
2022-04-29,12.1436
2022-04-30,12.1436
2022-05-01,12.1436
2022-05-02,12.1436
2022-05-03,12.1436
2022-05-04,12.1436
2022-05-05,12.1436
2022-05-06,12.1436
2022-05-07,12.1436
2022-05-08,12.1436
2022-05-09,12.1436
2022-05-10,12.1436
2022-05-11,12.1436
2022-05-12,12.1436
2022-05-13,12.1436
2022-05-14,12.1436
2022-05-15,12.1436
2022-05-16,12.1436
2022-05-17,12.1436
2022-05-18,12.1436
2022-05-19,12.1436
2022-05-20,12.1436
2022-05-21,12.1436
2022-05-22,12.1436
2022-05-23,12.1436
2022-05-24,12.1436
2022-05-25,12.1436
2022-05-26,12.1436
2022-05-27,12.1436
2022-05-28,12.1436
2022-05-29,12.1436
2022-05-30,12.1436
2022-05-31,12.1436
2022-06-01,12.1436
2022-06-02,12.1436
2022-06-03,12.1436
2022-06-04,12.1436
2022-06-05,12.1436
2022-06-06,12.1436
2022-06-07,12.1436
2022-06-08,12.1436
2022-06-09,12.1436
2022-06-10,12.1436
2022-06-11,12.1436
2022-06-12,12.1436
2022-06-13,12.1436
2022-06-14,12.1436
2022-06-15,12.1436
2022-06-16,12.1436
2022-06-17,12.1436
2022-06-18,12.1436
2022-06-19,12.1436
2022-06-20,12.1436
2022-06-21,12.1436
2022-06-22,12.1436
2022-06-23,12.1436
2022-06-24,12.1436
2022-06-25,12.1436
2022-06-26,12.1436
2022-06-27,12.1436
2022-06-28,12.1436
2022-06-29,12.1436
2022-06-30,23.1939
2022-07-01,23.1939
2022-07-02,23.1939
2022-07-03,23.1939
2022-07-04,23.1939
2022-07-05,23.1939
2022-07-06,23.1939
2022-07-07,23.1939
2022-07-08,23.1939
2022-07-09,23.1939
2022-07-10,23.1939
