,CSGS US Equity
,RETURN_COM_EQY
2020-01-01,21.8481
2020-01-02,21.8481
2020-01-03,21.8481
2020-01-04,21.8481
2020-01-05,21.8481
2020-01-06,21.8481
2020-01-07,21.8481
2020-01-08,21.8481
2020-01-09,21.8481
2020-01-10,21.8481
2020-01-11,21.8481
2020-01-12,21.8481
2020-01-13,21.8481
2020-01-14,21.8481
2020-01-15,21.8481
2020-01-16,21.8481
2020-01-17,21.8481
2020-01-18,21.8481
2020-01-19,21.8481
2020-01-20,21.8481
2020-01-21,21.8481
2020-01-22,21.8481
2020-01-23,21.8481
2020-01-24,21.8481
2020-01-25,21.8481
2020-01-26,21.8481
2020-01-27,21.8481
2020-01-28,21.8481
2020-01-29,21.8481
2020-01-30,21.8481
2020-01-31,21.8481
2020-02-01,21.8481
2020-02-02,21.8481
2020-02-03,21.8481
2020-02-04,21.8481
2020-02-05,21.8481
2020-02-06,21.8481
2020-02-07,21.8481
2020-02-08,21.8481
2020-02-09,21.8481
2020-02-10,21.8481
2020-02-11,21.8481
2020-02-12,21.8481
2020-02-13,21.8481
2020-02-14,21.8481
2020-02-15,21.8481
2020-02-16,21.8481
2020-02-17,21.8481
2020-02-18,21.8481
2020-02-19,21.8481
2020-02-20,21.8481
2020-02-21,21.8481
2020-02-22,21.8481
2020-02-23,21.8481
2020-02-24,21.8481
2020-02-25,21.8481
2020-02-26,21.8481
2020-02-27,21.8481
2020-02-28,21.8481
2020-02-29,21.8481
2020-03-01,21.8481
2020-03-02,21.8481
2020-03-03,21.8481
2020-03-04,21.8481
2020-03-05,21.8481
2020-03-06,21.8481
2020-03-07,21.8481
2020-03-08,21.8481
2020-03-09,21.8481
2020-03-10,21.8481
2020-03-11,21.8481
2020-03-12,21.8481
2020-03-13,21.8481
2020-03-14,21.8481
2020-03-15,21.8481
2020-03-16,21.8481
2020-03-17,21.8481
2020-03-18,21.8481
2020-03-19,21.8481
2020-03-20,21.8481
2020-03-21,21.8481
2020-03-22,21.8481
2020-03-23,21.8481
2020-03-24,21.8481
2020-03-25,21.8481
2020-03-26,21.8481
2020-03-27,21.8481
2020-03-28,21.8481
2020-03-29,21.8481
2020-03-30,21.8481
2020-03-31,22.545
2020-04-01,22.545
2020-04-02,22.545
2020-04-03,22.545
2020-04-04,22.545
2020-04-05,22.545
2020-04-06,22.545
2020-04-07,22.545
2020-04-08,22.545
2020-04-09,22.545
2020-04-10,22.545
2020-04-11,22.545
2020-04-12,22.545
2020-04-13,22.545
2020-04-14,22.545
2020-04-15,22.545
2020-04-16,22.545
2020-04-17,22.545
2020-04-18,22.545
2020-04-19,22.545
2020-04-20,22.545
2020-04-21,22.545
2020-04-22,22.545
2020-04-23,22.545
2020-04-24,22.545
2020-04-25,22.545
2020-04-26,22.545
2020-04-27,22.545
2020-04-28,22.545
2020-04-29,22.545
2020-04-30,22.545
2020-05-01,22.545
2020-05-02,22.545
2020-05-03,22.545
2020-05-04,22.545
2020-05-05,22.545
2020-05-06,22.545
2020-05-07,22.545
2020-05-08,22.545
2020-05-09,22.545
2020-05-10,22.545
2020-05-11,22.545
2020-05-12,22.545
2020-05-13,22.545
2020-05-14,22.545
2020-05-15,22.545
2020-05-16,22.545
2020-05-17,22.545
2020-05-18,22.545
2020-05-19,22.545
2020-05-20,22.545
2020-05-21,22.545
2020-05-22,22.545
2020-05-23,22.545
2020-05-24,22.545
2020-05-25,22.545
2020-05-26,22.545
2020-05-27,22.545
2020-05-28,22.545
2020-05-29,22.545
2020-05-30,22.545
2020-05-31,22.545
2020-06-01,22.545
2020-06-02,22.545
2020-06-03,22.545
2020-06-04,22.545
2020-06-05,22.545
2020-06-06,22.545
2020-06-07,22.545
2020-06-08,22.545
2020-06-09,22.545
2020-06-10,22.545
2020-06-11,22.545
2020-06-12,22.545
2020-06-13,22.545
2020-06-14,22.545
2020-06-15,22.545
2020-06-16,22.545
2020-06-17,22.545
2020-06-18,22.545
2020-06-19,22.545
2020-06-20,22.545
2020-06-21,22.545
2020-06-22,22.545
2020-06-23,22.545
2020-06-24,22.545
2020-06-25,22.545
2020-06-26,22.545
2020-06-27,22.545
2020-06-28,22.545
2020-06-29,22.545
2020-06-30,19.6957
2020-07-01,19.6957
2020-07-02,19.6957
2020-07-03,19.6957
2020-07-04,19.6957
2020-07-05,19.6957
2020-07-06,19.6957
2020-07-07,19.6957
2020-07-08,19.6957
2020-07-09,19.6957
2020-07-10,19.6957
2020-07-11,19.6957
2020-07-12,19.6957
2020-07-13,19.6957
2020-07-14,19.6957
2020-07-15,19.6957
2020-07-16,19.6957
2020-07-17,19.6957
2020-07-18,19.6957
2020-07-19,19.6957
2020-07-20,19.6957
2020-07-21,19.6957
2020-07-22,19.6957
2020-07-23,19.6957
2020-07-24,19.6957
2020-07-25,19.6957
2020-07-26,19.6957
2020-07-27,19.6957
2020-07-28,19.6957
2020-07-29,19.6957
2020-07-30,19.6957
2020-07-31,19.6957
2020-08-01,19.6957
2020-08-02,19.6957
2020-08-03,19.6957
2020-08-04,19.6957
2020-08-05,19.6957
2020-08-06,19.6957
2020-08-07,19.6957
2020-08-08,19.6957
2020-08-09,19.6957
2020-08-10,19.6957
2020-08-11,19.6957
2020-08-12,19.6957
2020-08-13,19.6957
2020-08-14,19.6957
2020-08-15,19.6957
2020-08-16,19.6957
2020-08-17,19.6957
2020-08-18,19.6957
2020-08-19,19.6957
2020-08-20,19.6957
2020-08-21,19.6957
2020-08-22,19.6957
2020-08-23,19.6957
2020-08-24,19.6957
2020-08-25,19.6957
2020-08-26,19.6957
2020-08-27,19.6957
2020-08-28,19.6957
2020-08-29,19.6957
2020-08-30,19.6957
2020-08-31,19.6957
2020-09-01,19.6957
2020-09-02,19.6957
2020-09-03,19.6957
2020-09-04,19.6957
2020-09-05,19.6957
2020-09-06,19.6957
2020-09-07,19.6957
2020-09-08,19.6957
2020-09-09,19.6957
2020-09-10,19.6957
