,UNP US Equity
,RETURN_COM_EQY
2021-02-04,30.4908
2021-02-05,30.4908
2021-02-06,30.4908
2021-02-07,30.4908
2021-02-08,30.4908
2021-02-09,30.4908
2021-02-10,30.4908
2021-02-11,30.4908
2021-02-12,30.4908
2021-02-13,30.4908
2021-02-14,30.4908
2021-02-15,30.4908
2021-02-16,30.4908
2021-02-17,30.4908
2021-02-18,30.4908
2021-02-19,30.4908
2021-02-20,30.4908
2021-02-21,30.4908
2021-02-22,30.4908
2021-02-23,30.4908
2021-02-24,30.4908
2021-02-25,30.4908
2021-02-26,30.4908
2021-02-27,30.4908
2021-02-28,30.4908
2021-03-01,30.4908
2021-03-02,30.4908
2021-03-03,30.4908
2021-03-04,30.4908
2021-03-05,30.4908
2021-03-06,30.4908
2021-03-07,30.4908
2021-03-08,30.4908
2021-03-09,30.4908
2021-03-10,30.4908
2021-03-11,30.4908
2021-03-12,30.4908
2021-03-13,30.4908
2021-03-14,30.4908
2021-03-15,30.4908
2021-03-16,30.4908
2021-03-17,30.4908
2021-03-18,30.4908
2021-03-19,30.4908
2021-03-20,30.4908
2021-03-21,30.4908
2021-03-22,30.4908
2021-03-23,30.4908
2021-03-24,30.4908
2021-03-25,30.4908
2021-03-26,30.4908
2021-03-27,30.4908
2021-03-28,30.4908
2021-03-29,30.4908
2021-03-30,30.4908
2021-03-31,32.3523
2021-04-01,32.3523
2021-04-02,32.3523
2021-04-03,32.3523
2021-04-04,32.3523
2021-04-05,32.3523
2021-04-06,32.3523
2021-04-07,32.3523
2021-04-08,32.3523
2021-04-09,32.3523
2021-04-10,32.3523
2021-04-11,32.3523
2021-04-12,32.3523
2021-04-13,32.3523
2021-04-14,32.3523
2021-04-15,32.3523
2021-04-16,32.3523
2021-04-17,32.3523
2021-04-18,32.3523
2021-04-19,32.3523
2021-04-20,32.3523
2021-04-21,32.3523
2021-04-22,32.3523
2021-04-23,32.3523
2021-04-24,32.3523
2021-04-25,32.3523
2021-04-26,32.3523
2021-04-27,32.3523
2021-04-28,32.3523
2021-04-29,32.3523
2021-04-30,32.3523
2021-05-01,32.3523
2021-05-02,32.3523
2021-05-03,32.3523
2021-05-04,32.3523
2021-05-05,32.3523
2021-05-06,32.3523
2021-05-07,32.3523
2021-05-08,32.3523
2021-05-09,32.3523
2021-05-10,32.3523
2021-05-11,32.3523
2021-05-12,32.3523
2021-05-13,32.3523
2021-05-14,32.3523
2021-05-15,32.3523
2021-05-16,32.3523
2021-05-17,32.3523
2021-05-18,32.3523
2021-05-19,32.3523
2021-05-20,32.3523
2021-05-21,32.3523
2021-05-22,32.3523
2021-05-23,32.3523
2021-05-24,32.3523
2021-05-25,32.3523
2021-05-26,32.3523
2021-05-27,32.3523
2021-05-28,32.3523
2021-05-29,32.3523
2021-05-30,32.3523
2021-05-31,32.3523
2021-06-01,32.3523
2021-06-02,32.3523
2021-06-03,32.3523
2021-06-04,32.3523
2021-06-05,32.3523
2021-06-06,32.3523
2021-06-07,32.3523
2021-06-08,32.3523
2021-06-09,32.3523
2021-06-10,32.3523
2021-06-11,32.3523
2021-06-12,32.3523
2021-06-13,32.3523
2021-06-14,32.3523
2021-06-15,32.3523
2021-06-16,32.3523
2021-06-17,32.3523
2021-06-18,32.3523
2021-06-19,32.3523
2021-06-20,32.3523
2021-06-21,32.3523
2021-06-22,32.3523
2021-06-23,32.3523
2021-06-24,32.3523
2021-06-25,32.3523
2021-06-26,32.3523
2021-06-27,32.3523
2021-06-28,32.3523
2021-06-29,32.3523
2021-06-30,38.2507
2021-07-01,38.2507
2021-07-02,38.2507
2021-07-03,38.2507
2021-07-04,38.2507
2021-07-05,38.2507
2021-07-06,38.2507
2021-07-07,38.2507
2021-07-08,38.2507
2021-07-09,38.2507
2021-07-10,38.2507
2021-07-11,38.2507
2021-07-12,38.2507
2021-07-13,38.2507
2021-07-14,38.2507
2021-07-15,38.2507
2021-07-16,38.2507
2021-07-17,38.2507
2021-07-18,38.2507
2021-07-19,38.2507
2021-07-20,38.2507
2021-07-21,38.2507
2021-07-22,38.2507
2021-07-23,38.2507
2021-07-24,38.2507
2021-07-25,38.2507
2021-07-26,38.2507
2021-07-27,38.2507
2021-07-28,38.2507
2021-07-29,38.2507
2021-07-30,38.2507
2021-07-31,38.2507
