,MTD US Equity
,RETURN_COM_EQY
2020-01-01,111.018
2020-01-02,111.018
2020-01-03,111.018
2020-01-04,111.018
2020-01-05,111.018
2020-01-06,111.018
2020-01-07,111.018
2020-01-08,111.018
2020-01-09,111.018
2020-01-10,111.018
2020-01-11,111.018
2020-01-12,111.018
2020-01-13,111.018
2020-01-14,111.018
2020-01-15,111.018
2020-01-16,111.018
2020-01-17,111.018
2020-01-18,111.018
2020-01-19,111.018
2020-01-20,111.018
2020-01-21,111.018
2020-01-22,111.018
2020-01-23,111.018
2020-01-24,111.018
2020-01-25,111.018
2020-01-26,111.018
2020-01-27,111.018
2020-01-28,111.018
2020-01-29,111.018
2020-01-30,111.018
2020-01-31,111.018
2020-02-01,111.018
2020-02-02,111.018
2020-02-03,111.018
2020-02-04,111.018
2020-02-05,111.018
2020-02-06,111.018
2020-02-07,111.018
2020-02-08,111.018
2020-02-09,111.018
2020-02-10,111.018
2020-02-11,111.018
2020-02-12,111.018
2020-02-13,111.018
2020-02-14,111.018
2020-02-15,111.018
2020-02-16,111.018
2020-02-17,111.018
2020-02-18,111.018
2020-02-19,111.018
2020-02-20,111.018
2020-02-21,111.018
2020-02-22,111.018
2020-02-23,111.018
2020-02-24,111.018
2020-02-25,111.018
2020-02-26,111.018
2020-02-27,111.018
2020-02-28,111.018
2020-02-29,111.018
2020-03-01,111.018
2020-03-02,111.018
2020-03-03,111.018
2020-03-04,111.018
2020-03-05,111.018
2020-03-06,111.018
2020-03-07,111.018
2020-03-08,111.018
2020-03-09,111.018
2020-03-10,111.018
2020-03-11,111.018
2020-03-12,111.018
2020-03-13,111.018
2020-03-14,111.018
2020-03-15,111.018
2020-03-16,111.018
2020-03-17,111.018
2020-03-18,111.018
2020-03-19,111.018
2020-03-20,111.018
2020-03-21,111.018
2020-03-22,111.018
2020-03-23,111.018
2020-03-24,111.018
2020-03-25,111.018
2020-03-26,111.018
2020-03-27,111.018
2020-03-28,111.018
2020-03-29,111.018
2020-03-30,111.018
2020-03-31,126.1121
2020-04-01,126.1121
2020-04-02,126.1121
2020-04-03,126.1121
2020-04-04,126.1121
2020-04-05,126.1121
2020-04-06,126.1121
2020-04-07,126.1121
2020-04-08,126.1121
2020-04-09,126.1121
2020-04-10,126.1121
2020-04-11,126.1121
2020-04-12,126.1121
2020-04-13,126.1121
2020-04-14,126.1121
2020-04-15,126.1121
2020-04-16,126.1121
2020-04-17,126.1121
2020-04-18,126.1121
2020-04-19,126.1121
2020-04-20,126.1121
2020-04-21,126.1121
2020-04-22,126.1121
2020-04-23,126.1121
2020-04-24,126.1121
2020-04-25,126.1121
2020-04-26,126.1121
2020-04-27,126.1121
2020-04-28,126.1121
2020-04-29,126.1121
2020-04-30,126.1121
2020-05-01,126.1121
2020-05-02,126.1121
2020-05-03,126.1121
