,VSH US Equity
,RETURN_COM_EQY
2020-01-01,11.4332
2020-01-02,11.4332
2020-01-03,11.4332
2020-01-04,11.4332
2020-01-05,11.4332
2020-01-06,11.4332
2020-01-07,11.4332
2020-01-08,11.4332
2020-01-09,11.4332
2020-01-10,11.4332
2020-01-11,11.4332
2020-01-12,11.4332
2020-01-13,11.4332
2020-01-14,11.4332
2020-01-15,11.4332
2020-01-16,11.4332
2020-01-17,11.4332
2020-01-18,11.4332
2020-01-19,11.4332
2020-01-20,11.4332
2020-01-21,11.4332
2020-01-22,11.4332
2020-01-23,11.4332
2020-01-24,11.4332
2020-01-25,11.4332
2020-01-26,11.4332
2020-01-27,11.4332
2020-01-28,11.4332
2020-01-29,11.4332
2020-01-30,11.4332
2020-01-31,11.4332
2020-02-01,11.4332
2020-02-02,11.4332
2020-02-03,11.4332
2020-02-04,11.4332
2020-02-05,11.4332
2020-02-06,11.4332
2020-02-07,11.4332
2020-02-08,11.4332
2020-02-09,11.4332
2020-02-10,11.4332
2020-02-11,11.4332
2020-02-12,11.4332
2020-02-13,11.4332
2020-02-14,11.4332
2020-02-15,11.4332
2020-02-16,11.4332
2020-02-17,11.4332
2020-02-18,11.4332
2020-02-19,11.4332
2020-02-20,11.4332
2020-02-21,11.4332
2020-02-22,11.4332
2020-02-23,11.4332
2020-02-24,11.4332
2020-02-25,11.4332
2020-02-26,11.4332
2020-02-27,11.4332
2020-02-28,11.4332
2020-02-29,11.4332
2020-03-01,11.4332
2020-03-02,11.4332
2020-03-03,11.4332
2020-03-04,11.4332
2020-03-05,11.4332
2020-03-06,11.4332
2020-03-07,11.4332
2020-03-08,11.4332
2020-03-09,11.4332
2020-03-10,11.4332
2020-03-11,11.4332
2020-03-12,11.4332
2020-03-13,11.4332
2020-03-14,11.4332
2020-03-15,11.4332
2020-03-16,11.4332
2020-03-17,11.4332
2020-03-18,11.4332
2020-03-19,11.4332
2020-03-20,11.4332
2020-03-21,11.4332
2020-03-22,11.4332
2020-03-23,11.4332
2020-03-24,11.4332
2020-03-25,11.4332
2020-03-26,11.4332
2020-03-27,11.4332
2020-03-28,11.4332
2020-03-29,11.4332
2020-03-30,11.4332
2020-03-31,11.4332
2020-04-01,11.4332
2020-04-02,11.4332
2020-04-03,11.4332
2020-04-04,7.9345
2020-04-05,7.9345
2020-04-06,7.9345
2020-04-07,7.9345
2020-04-08,7.9345
2020-04-09,7.9345
2020-04-10,7.9345
2020-04-11,7.9345
2020-04-12,7.9345
2020-04-13,7.9345
2020-04-14,7.9345
2020-04-15,7.9345
2020-04-16,7.9345
2020-04-17,7.9345
2020-04-18,7.9345
2020-04-19,7.9345
2020-04-20,7.9345
2020-04-21,7.9345
2020-04-22,7.9345
2020-04-23,7.9345
2020-04-24,7.9345
2020-04-25,7.9345
2020-04-26,7.9345
2020-04-27,7.9345
2020-04-28,7.9345
2020-04-29,7.9345
2020-04-30,7.9345
2020-05-01,7.9345
2020-05-02,7.9345
2020-05-03,7.9345
2020-05-04,7.9345
2020-05-05,7.9345
2020-05-06,7.9345
2020-05-07,7.9345
2020-05-08,7.9345
2020-05-09,7.9345
2020-05-10,7.9345
2020-05-11,7.9345
2020-05-12,7.9345
2020-05-13,7.9345
2020-05-14,7.9345
2020-05-15,7.9345
2020-05-16,7.9345
2020-05-17,7.9345
2020-05-18,7.9345
2020-05-19,7.9345
2020-05-20,7.9345
2020-05-21,7.9345
2020-05-22,7.9345
2020-05-23,7.9345
2020-05-24,7.9345
2020-05-25,7.9345
2020-05-26,7.9345
2020-05-27,7.9345
2020-05-28,7.9345
2020-05-29,7.9345
2020-05-30,7.9345
2020-05-31,7.9345
2020-06-01,7.9345
2020-06-02,7.9345
2020-06-03,7.9345
2020-06-04,7.9345
2020-06-05,7.9345
2020-06-06,7.9345
2020-06-07,7.9345
2020-06-08,7.9345
2020-06-09,7.9345
2020-06-10,7.9345
2020-06-11,7.9345
2020-06-12,7.9345
2020-06-13,7.9345
2020-06-14,7.9345
2020-06-15,7.9345
2020-06-16,7.9345
2020-06-17,7.9345
2020-06-18,7.9345
2020-06-19,7.9345
2020-06-20,7.9345
2020-06-21,7.9345
2020-06-22,7.9345
2020-06-23,7.9345
2020-06-24,7.9345
2020-06-25,7.9345
2020-06-26,7.9345
2020-06-27,7.9345
2020-06-28,7.9345
2020-06-29,7.9345
2020-06-30,7.9345
2020-07-01,7.9345
2020-07-02,7.9345
2020-07-03,7.9345
2020-07-04,6.4207
2020-07-05,6.4207
2020-07-06,6.4207
2020-07-07,6.4207
2020-07-08,6.4207
2020-07-09,6.4207
2020-07-10,6.4207
2020-07-11,6.4207
2020-07-12,6.4207
2020-07-13,6.4207
2020-07-14,6.4207
2020-07-15,6.4207
2020-07-16,6.4207
2020-07-17,6.4207
2020-07-18,6.4207
2020-07-19,6.4207
2020-07-20,6.4207
2020-07-21,6.4207
2020-07-22,6.4207
2020-07-23,6.4207
2020-07-24,6.4207
2020-07-25,6.4207
2020-07-26,6.4207
2020-07-27,6.4207
2020-07-28,6.4207
2020-07-29,6.4207
2020-07-30,6.4207
2020-07-31,6.4207
2020-08-01,6.4207
2020-08-02,6.4207
2020-08-03,6.4207
2020-08-04,6.4207
2020-08-05,6.4207
2020-08-06,6.4207
2020-08-07,6.4207
2020-08-08,6.4207
2020-08-09,6.4207
2020-08-10,6.4207
2020-08-11,6.4207
2020-08-12,6.4207
2020-08-13,6.4207
2020-08-14,6.4207
2020-08-15,6.4207
2020-08-16,6.4207
2020-08-17,6.4207
2020-08-18,6.4207
2020-08-19,6.4207
2020-08-20,6.4207
2020-08-21,6.4207
2020-08-22,6.4207
2020-08-23,6.4207
2020-08-24,6.4207
2020-08-25,6.4207
2020-08-26,6.4207
2020-08-27,6.4207
2020-08-28,6.4207
2020-08-29,6.4207
2020-08-30,6.4207
2020-08-31,6.4207
2020-09-01,6.4207
2020-09-02,6.4207
2020-09-03,6.4207
2020-09-04,6.4207
2020-09-05,6.4207
2020-09-06,6.4207
2020-09-07,6.4207
2020-09-08,6.4207
2020-09-09,6.4207
2020-09-10,6.4207
2020-09-11,6.4207
2020-09-12,6.4207
2020-09-13,6.4207
2020-09-14,6.4207
2020-09-15,6.4207
2020-09-16,6.4207
2020-09-17,6.4207
2020-09-18,6.4207
2020-09-19,6.4207
2020-09-20,6.4207
2020-09-21,6.4207
2020-09-22,6.4207
2020-09-23,6.4207
2020-09-24,6.4207
2020-09-25,6.4207
2020-09-26,6.4207
2020-09-27,6.4207
2020-09-28,6.4207
2020-09-29,6.4207
2020-09-30,6.4207
2020-10-01,6.4207
2020-10-02,6.4207
2020-10-03,6.5727
2020-10-04,6.5727
2020-10-05,6.5727
2020-10-06,6.5727
2020-10-07,6.5727
2020-10-08,6.5727
2020-10-09,6.5727
2020-10-10,6.5727
2020-10-11,6.5727
2020-10-12,6.5727
2020-10-13,6.5727
2020-10-14,6.5727
2020-10-15,6.5727
2020-10-16,6.5727
2020-10-17,6.5727
2020-10-18,6.5727
2020-10-19,6.5727
2020-10-20,6.5727
2020-10-21,6.5727
2020-10-22,6.5727
2020-10-23,6.5727
2020-10-24,6.5727
2020-10-25,6.5727
2020-10-26,6.5727
2020-10-27,6.5727
2020-10-28,6.5727
2020-10-29,6.5727
2020-10-30,6.5727
2020-10-31,6.5727
2020-11-01,6.5727
2020-11-02,6.5727
2020-11-03,6.5727
2020-11-04,6.5727
2020-11-05,6.5727
2020-11-06,6.5727
2020-11-07,6.5727
2020-11-08,6.5727
2020-11-09,6.5727
2020-11-10,6.5727
2020-11-11,6.5727
2020-11-12,6.5727
2020-11-13,6.5727
2020-11-14,6.5727
2020-11-15,6.5727
2020-11-16,6.5727
2020-11-17,6.5727
2020-11-18,6.5727
2020-11-19,6.5727
2020-11-20,6.5727
2020-11-21,6.5727
2020-11-22,6.5727
2020-11-23,6.5727
2020-11-24,6.5727
2020-11-25,6.5727
2020-11-26,6.5727
2020-11-27,6.5727
2020-11-28,6.5727
2020-11-29,6.5727
2020-11-30,6.5727
2020-12-01,6.5727
2020-12-02,6.5727
2020-12-03,6.5727
2020-12-04,6.5727
2020-12-05,6.5727
2020-12-06,6.5727
2020-12-07,6.5727
2020-12-08,6.5727
2020-12-09,6.5727
2020-12-10,6.5727
2020-12-11,6.5727
2020-12-12,6.5727
2020-12-13,6.5727
2020-12-14,6.5727
2020-12-15,6.5727
2020-12-16,6.5727
2020-12-17,6.5727
2020-12-18,6.5727
2020-12-19,6.5727
2020-12-20,6.5727
2020-12-21,6.5727
2020-12-22,6.5727
2020-12-23,6.5727
2020-12-24,6.5727
2020-12-25,6.5727
2020-12-26,6.5727
2020-12-27,6.5727
2020-12-28,6.5727
2020-12-29,6.5727
2020-12-30,6.5727
2020-12-31,8.0297
2021-01-01,8.0297
2021-01-02,8.0297
2021-01-03,8.0297
2021-01-04,8.0297
2021-01-05,8.0297
2021-01-06,8.0297
2021-01-07,8.0297
2021-01-08,8.0297
2021-01-09,8.0297
2021-01-10,8.0297
2021-01-11,8.0297
2021-01-12,8.0297
2021-01-13,8.0297
2021-01-14,8.0297
2021-01-15,8.0297
2021-01-16,8.0297
2021-01-17,8.0297
2021-01-18,8.0297
2021-01-19,8.0297
2021-01-20,8.0297
2021-01-21,8.0297
2021-01-22,8.0297
2021-01-23,8.0297
2021-01-24,8.0297
2021-01-25,8.0297
2021-01-26,8.0297
2021-01-27,8.0297
2021-01-28,8.0297
2021-01-29,8.0297
2021-01-30,8.0297
2021-01-31,8.0297
2021-02-01,8.0297
2021-02-02,8.0297
2021-02-03,8.0297
2021-02-04,8.0297
2021-02-05,8.0297
2021-02-06,8.0297
2021-02-07,8.0297
2021-02-08,8.0297
2021-02-09,8.0297
2021-02-10,8.0297
2021-02-11,8.0297
2021-02-12,8.0297
2021-02-13,8.0297
2021-02-14,8.0297
2021-02-15,8.0297
2021-02-16,8.0297
2021-02-17,8.0297
2021-02-18,8.0297
2021-02-19,8.0297
2021-02-20,8.0297
2021-02-21,8.0297
2021-02-22,8.0297
2021-02-23,8.0297
2021-02-24,8.0297
2021-02-25,8.0297
2021-02-26,8.0297
2021-02-27,8.0297
2021-02-28,8.0297
2021-03-01,8.0297
2021-03-02,8.0297
2021-03-03,8.0297
2021-03-04,8.0297
2021-03-05,8.0297
2021-03-06,8.0297
2021-03-07,8.0297
2021-03-08,8.0297
2021-03-09,8.0297
2021-03-10,8.0297
2021-03-11,8.0297
2021-03-12,8.0297
2021-03-13,8.0297
2021-03-14,8.0297
2021-03-15,8.0297
2021-03-16,8.0297
2021-03-17,8.0297
2021-03-18,8.0297
2021-03-19,8.0297
2021-03-20,8.0297
