,IP US Equity
,RETURN_COM_EQY
2020-01-01,16.2521
2020-01-02,16.2521
2020-01-03,16.2521
2020-01-04,16.2521
2020-01-05,16.2521
2020-01-06,16.2521
2020-01-07,16.2521
2020-01-08,16.2521
2020-01-09,16.2521
2020-01-10,16.2521
2020-01-11,16.2521
2020-01-12,16.2521
2020-01-13,16.2521
2020-01-14,16.2521
2020-01-15,16.2521
2020-01-16,16.2521
2020-01-17,16.2521
2020-01-18,16.2521
2020-01-19,16.2521
2020-01-20,16.2521
2020-01-21,16.2521
2020-01-22,16.2521
2020-01-23,16.2521
2020-01-24,16.2521
2020-01-25,16.2521
2020-01-26,16.2521
2020-01-27,16.2521
2020-01-28,16.2521
2020-01-29,16.2521
2020-01-30,16.2521
2020-01-31,16.2521
2020-02-01,16.2521
2020-02-02,16.2521
2020-02-03,16.2521
2020-02-04,16.2521
2020-02-05,16.2521
2020-02-06,16.2521
2020-02-07,16.2521
2020-02-08,16.2521
2020-02-09,16.2521
2020-02-10,16.2521
2020-02-11,16.2521
2020-02-12,16.2521
2020-02-13,16.2521
2020-02-14,16.2521
2020-02-15,16.2521
2020-02-16,16.2521
2020-02-17,16.2521
2020-02-18,16.2521
2020-02-19,16.2521
2020-02-20,16.2521
2020-02-21,16.2521
2020-02-22,16.2521
2020-02-23,16.2521
2020-02-24,16.2521
2020-02-25,16.2521
2020-02-26,16.2521
2020-02-27,16.2521
2020-02-28,16.2521
2020-02-29,16.2521
2020-03-01,16.2521
2020-03-02,16.2521
2020-03-03,16.2521
2020-03-04,16.2521
2020-03-05,16.2521
2020-03-06,16.2521
2020-03-07,16.2521
2020-03-08,16.2521
2020-03-09,16.2521
2020-03-10,16.2521
2020-03-11,16.2521
2020-03-12,16.2521
2020-03-13,16.2521
2020-03-14,16.2521
2020-03-15,16.2521
2020-03-16,16.2521
2020-03-17,16.2521
2020-03-18,16.2521
2020-03-19,16.2521
2020-03-20,16.2521
2020-03-21,16.2521
2020-03-22,16.2521
2020-03-23,16.2521
2020-03-24,16.2521
2020-03-25,16.2521
2020-03-26,16.2521
2020-03-27,16.2521
2020-03-28,16.2521
2020-03-29,16.2521
2020-03-30,16.2521
2020-03-31,9.2288
2020-04-01,9.2288
2020-04-02,9.2288
2020-04-03,9.2288
2020-04-04,9.2288
2020-04-05,9.2288
2020-04-06,9.2288
2020-04-07,9.2288
2020-04-08,9.2288
2020-04-09,9.2288
2020-04-10,9.2288
2020-04-11,9.2288
2020-04-12,9.2288
2020-04-13,9.2288
2020-04-14,9.2288
2020-04-15,9.2288
2020-04-16,9.2288
2020-04-17,9.2288
2020-04-18,9.2288
2020-04-19,9.2288
2020-04-20,9.2288
2020-04-21,9.2288
2020-04-22,9.2288
2020-04-23,9.2288
2020-04-24,9.2288
2020-04-25,9.2288
2020-04-26,9.2288
2020-04-27,9.2288
2020-04-28,9.2288
2020-04-29,9.2288
2020-04-30,9.2288
2020-05-01,9.2288
2020-05-02,9.2288
