,NTAP US Equity
,RETURN_COM_EQY
2020-01-01,95.9342
2020-01-02,95.9342
2020-01-03,95.9342
2020-01-04,95.9342
2020-01-05,95.9342
2020-01-06,95.9342
2020-01-07,95.9342
2020-01-08,95.9342
2020-01-09,95.9342
2020-01-10,95.9342
2020-01-11,95.9342
2020-01-12,95.9342
2020-01-13,95.9342
2020-01-14,95.9342
2020-01-15,95.9342
2020-01-16,95.9342
2020-01-17,95.9342
2020-01-18,95.9342
2020-01-19,95.9342
2020-01-20,95.9342
2020-01-21,95.9342
2020-01-22,95.9342
2020-01-23,95.9342
2020-01-24,134.7884
2020-01-25,134.7884
2020-01-26,134.7884
2020-01-27,134.7884
2020-01-28,134.7884
2020-01-29,134.7884
2020-01-30,134.7884
2020-01-31,134.7884
2020-02-01,134.7884
2020-02-02,134.7884
2020-02-03,134.7884
2020-02-04,134.7884
2020-02-05,134.7884
2020-02-06,134.7884
2020-02-07,134.7884
2020-02-08,134.7884
2020-02-09,134.7884
2020-02-10,134.7884
2020-02-11,134.7884
2020-02-12,134.7884
2020-02-13,134.7884
2020-02-14,134.7884
2020-02-15,134.7884
2020-02-16,134.7884
2020-02-17,134.7884
2020-02-18,134.7884
2020-02-19,134.7884
2020-02-20,134.7884
2020-02-21,134.7884
2020-02-22,134.7884
2020-02-23,134.7884
2020-02-24,134.7884
2020-02-25,134.7884
2020-02-26,134.7884
2020-02-27,134.7884
2020-02-28,134.7884
2020-02-29,134.7884
2020-03-01,134.7884
2020-03-02,134.7884
2020-03-03,134.7884
2020-03-04,134.7884
2020-03-05,134.7884
2020-03-06,134.7884
2020-03-07,134.7884
2020-03-08,134.7884
2020-03-09,134.7884
2020-03-10,134.7884
2020-03-11,134.7884
2020-03-12,134.7884
2020-03-13,134.7884
2020-03-14,134.7884
2020-03-15,134.7884
2020-03-16,134.7884
2020-03-17,134.7884
2020-03-18,134.7884
2020-03-19,134.7884
2020-03-20,134.7884
2020-03-21,134.7884
2020-03-22,134.7884
2020-03-23,134.7884
2020-03-24,134.7884
2020-03-25,134.7884
2020-03-26,134.7884
2020-03-27,134.7884
2020-03-28,134.7884
2020-03-29,134.7884
2020-03-30,134.7884
2020-03-31,134.7884
2020-04-01,134.7884
2020-04-02,134.7884
2020-04-03,134.7884
2020-04-04,134.7884
2020-04-05,134.7884
2020-04-06,134.7884
2020-04-07,134.7884
2020-04-08,134.7884
2020-04-09,134.7884
2020-04-10,134.7884
2020-04-11,134.7884
2020-04-12,134.7884
2020-04-13,134.7884
2020-04-14,134.7884
2020-04-15,134.7884
2020-04-16,134.7884
2020-04-17,134.7884
2020-04-18,134.7884
2020-04-19,134.7884
2020-04-20,134.7884
2020-04-21,134.7884
2020-04-22,134.7884
2020-04-23,134.7884
2020-04-24,122.973
2020-04-25,122.973
2020-04-26,122.973
2020-04-27,122.973
2020-04-28,122.973
2020-04-29,122.973
2020-04-30,122.973
2020-05-01,122.973
2020-05-02,122.973
2020-05-03,122.973
2020-05-04,122.973
2020-05-05,122.973
2020-05-06,122.973
2020-05-07,122.973
2020-05-08,122.973
2020-05-09,122.973
2020-05-10,122.973
2020-05-11,122.973
2020-05-12,122.973
2020-05-13,122.973
2020-05-14,122.973
2020-05-15,122.973
2020-05-16,122.973
2020-05-17,122.973
2020-05-18,122.973
2020-05-19,122.973
2020-05-20,122.973
2020-05-21,122.973
2020-05-22,122.973
2020-05-23,122.973
2020-05-24,122.973
2020-05-25,122.973
2020-05-26,122.973
2020-05-27,122.973
2020-05-28,122.973
2020-05-29,122.973
2020-05-30,122.973
2020-05-31,122.973
2020-06-01,122.973
2020-06-02,122.973
2020-06-03,122.973
2020-06-04,122.973
2020-06-05,122.973
2020-06-06,122.973
2020-06-07,122.973
2020-06-08,122.973
2020-06-09,122.973
2020-06-10,122.973
2020-06-11,122.973
2020-06-12,122.973
2020-06-13,122.973
2020-06-14,122.973
2020-06-15,122.973
2020-06-16,122.973
2020-06-17,122.973
2020-06-18,122.973
2020-06-19,122.973
2020-06-20,122.973
2020-06-21,122.973
2020-06-22,122.973
2020-06-23,122.973
2020-06-24,122.973
2020-06-25,122.973
2020-06-26,122.973
2020-06-27,122.973
2020-06-28,122.973
2020-06-29,122.973
2020-06-30,122.973
2020-07-01,122.973
2020-07-02,122.973
2020-07-03,122.973
2020-07-04,122.973
2020-07-05,122.973
2020-07-06,122.973
2020-07-07,122.973
2020-07-08,122.973
2020-07-09,122.973
2020-07-10,122.973
2020-07-11,122.973
2020-07-12,122.973
2020-07-13,122.973
2020-07-14,122.973
2020-07-15,122.973
2020-07-16,122.973
2020-07-17,122.973
2020-07-18,122.973
2020-07-19,122.973
2020-07-20,122.973
2020-07-21,122.973
2020-07-22,122.973
2020-07-23,122.973
2020-07-24,122.973
2020-07-25,122.973
2020-07-26,122.973
2020-07-27,122.973
2020-07-28,122.973
2020-07-29,122.973
2020-07-30,122.973
2020-07-31,138.2738
2020-08-01,138.2738
2020-08-02,138.2738
2020-08-03,138.2738
2020-08-04,138.2738
2020-08-05,138.2738
2020-08-06,138.2738
2020-08-07,138.2738
2020-08-08,138.2738
2020-08-09,138.2738
2020-08-10,138.2738
2020-08-11,138.2738
2020-08-12,138.2738
2020-08-13,138.2738
2020-08-14,138.2738
2020-08-15,138.2738
2020-08-16,138.2738
2020-08-17,138.2738
2020-08-18,138.2738
2020-08-19,138.2738
2020-08-20,138.2738
2020-08-21,138.2738
2020-08-22,138.2738
2020-08-23,138.2738
2020-08-24,138.2738
2020-08-25,138.2738
2020-08-26,138.2738
2020-08-27,138.2738
2020-08-28,138.2738
2020-08-29,138.2738
2020-08-30,138.2738
2020-08-31,138.2738
2020-09-01,138.2738
2020-09-02,138.2738
2020-09-03,138.2738
2020-09-04,138.2738
2020-09-05,138.2738
2020-09-06,138.2738
2020-09-07,138.2738
2020-09-08,138.2738
2020-09-09,138.2738
2020-09-10,138.2738
2020-09-11,138.2738
2020-09-12,138.2738
2020-09-13,138.2738
2020-09-14,138.2738
2020-09-15,138.2738
2020-09-16,138.2738
2020-09-17,138.2738
2020-09-18,138.2738
2020-09-19,138.2738
2020-09-20,138.2738
2020-09-21,138.2738
2020-09-22,138.2738
2020-09-23,138.2738
2020-09-24,138.2738
2020-09-25,138.2738
2020-09-26,138.2738
2020-09-27,138.2738
2020-09-28,138.2738
2020-09-29,138.2738
2020-09-30,138.2738
2020-10-01,138.2738
2020-10-02,138.2738
2020-10-03,138.2738
2020-10-04,138.2738
2020-10-05,138.2738
2020-10-06,138.2738
2020-10-07,138.2738
2020-10-08,138.2738
2020-10-09,138.2738
2020-10-10,138.2738
2020-10-11,138.2738
2020-10-12,138.2738
2020-10-13,138.2738
2020-10-14,138.2738
2020-10-15,138.2738
2020-10-16,138.2738
2020-10-17,138.2738
2020-10-18,138.2738
2020-10-19,138.2738
2020-10-20,138.2738
2020-10-21,138.2738
2020-10-22,138.2738
2020-10-23,138.2738
2020-10-24,138.2738
2020-10-25,138.2738
2020-10-26,138.2738
2020-10-27,138.2738
2020-10-28,138.2738
2020-10-29,138.2738
2020-10-30,151.6556
2020-10-31,151.6556
2020-11-01,151.6556
2020-11-02,151.6556
2020-11-03,151.6556
2020-11-04,151.6556
2020-11-05,151.6556
2020-11-06,151.6556
2020-11-07,151.6556
2020-11-08,151.6556
2020-11-09,151.6556
2020-11-10,151.6556
2020-11-11,151.6556
2020-11-12,151.6556
2020-11-13,151.6556
2020-11-14,151.6556
2020-11-15,151.6556
2020-11-16,151.6556
2020-11-17,151.6556
2020-11-18,151.6556
2020-11-19,151.6556
2020-11-20,151.6556
2020-11-21,151.6556
2020-11-22,151.6556
2020-11-23,151.6556
2020-11-24,151.6556
2020-11-25,151.6556
2020-11-26,151.6556
2020-11-27,151.6556
2020-11-28,151.6556
2020-11-29,151.6556
2020-11-30,151.6556
2020-12-01,151.6556
2020-12-02,151.6556
2020-12-03,151.6556
2020-12-04,151.6556
2020-12-05,151.6556
2020-12-06,151.6556
2020-12-07,151.6556
2020-12-08,151.6556
2020-12-09,151.6556
2020-12-10,151.6556
2020-12-11,151.6556
2020-12-12,151.6556
2020-12-13,151.6556
2020-12-14,151.6556
2020-12-15,151.6556
2020-12-16,151.6556
2020-12-17,151.6556
2020-12-18,151.6556
2020-12-19,151.6556
2020-12-20,151.6556
2020-12-21,151.6556
2020-12-22,151.6556
2020-12-23,151.6556
2020-12-24,151.6556
2020-12-25,151.6556
2020-12-26,151.6556
2020-12-27,151.6556
2020-12-28,151.6556
2020-12-29,151.6556
2020-12-30,151.6556
2020-12-31,151.6556
2021-01-01,151.6556
2021-01-02,151.6556
2021-01-03,151.6556
2021-01-04,151.6556
2021-01-05,151.6556
2021-01-06,151.6556
2021-01-07,151.6556
2021-01-08,151.6556
2021-01-09,151.6556
2021-01-10,151.6556
2021-01-11,151.6556
2021-01-12,151.6556
2021-01-13,151.6556
2021-01-14,151.6556
2021-01-15,151.6556
2021-01-16,151.6556
2021-01-17,151.6556
2021-01-18,151.6556
2021-01-19,151.6556
2021-01-20,151.6556
2021-01-21,151.6556
2021-01-22,151.6556
2021-01-23,151.6556
2021-01-24,151.6556
2021-01-25,151.6556
2021-01-26,151.6556
2021-01-27,151.6556
2021-01-28,151.6556
2021-01-29,155.7895
2021-01-30,155.7895
2021-01-31,155.7895
2021-02-01,155.7895
2021-02-02,155.7895
2021-02-03,155.7895
2021-02-04,155.7895
2021-02-05,155.7895
2021-02-06,155.7895
2021-02-07,155.7895
2021-02-08,155.7895
2021-02-09,155.7895
2021-02-10,155.7895
2021-02-11,155.7895
2021-02-12,155.7895
2021-02-13,155.7895
2021-02-14,155.7895
2021-02-15,155.7895
2021-02-16,155.7895
2021-02-17,155.7895
2021-02-18,155.7895
2021-02-19,155.7895
2021-02-20,155.7895
2021-02-21,155.7895
2021-02-22,155.7895
2021-02-23,155.7895
2021-02-24,155.7895
2021-02-25,155.7895
2021-02-26,155.7895
2021-02-27,155.7895
2021-02-28,155.7895
2021-03-01,155.7895
2021-03-02,155.7895
2021-03-03,155.7895
2021-03-04,155.7895
2021-03-05,155.7895
2021-03-06,155.7895
2021-03-07,155.7895
2021-03-08,155.7895
2021-03-09,155.7895
2021-03-10,155.7895
2021-03-11,155.7895
2021-03-12,155.7895
2021-03-13,155.7895
2021-03-14,155.7895
2021-03-15,155.7895
2021-03-16,155.7895
2021-03-17,155.7895
2021-03-18,155.7895
2021-03-19,155.7895
2021-03-20,155.7895
2021-03-21,155.7895
2021-03-22,155.7895
2021-03-23,155.7895
2021-03-24,155.7895
2021-03-25,155.7895
2021-03-26,155.7895
2021-03-27,155.7895
2021-03-28,155.7895
2021-03-29,155.7895
2021-03-30,155.7895
2021-03-31,155.7895
2021-04-01,155.7895
2021-04-02,155.7895
2021-04-03,155.7895
2021-04-04,155.7895
2021-04-05,155.7895
2021-04-06,155.7895
2021-04-07,155.7895
2021-04-08,155.7895
2021-04-09,155.7895
2021-04-10,155.7895
2021-04-11,155.7895
2021-04-12,155.7895
2021-04-13,155.7895
2021-04-14,155.7895
2021-04-15,155.7895
2021-04-16,155.7895
2021-04-17,155.7895
2021-04-18,155.7895
2021-04-19,155.7895
2021-04-20,155.7895
2021-04-21,155.7895
2021-04-22,155.7895
2021-04-23,155.7895
2021-04-24,155.7895
2021-04-25,155.7895
2021-04-26,155.7895
2021-04-27,155.7895
2021-04-28,155.7895
2021-04-29,155.7895
2021-04-30,157.4973
2021-05-01,157.4973
2021-05-02,157.4973
2021-05-03,157.4973
2021-05-04,157.4973
2021-05-05,157.4973
2021-05-06,157.4973
2021-05-07,157.4973
2021-05-08,157.4973
2021-05-09,157.4973
2021-05-10,157.4973
2021-05-11,157.4973
2021-05-12,157.4973
2021-05-13,157.4973
2021-05-14,157.4973
2021-05-15,157.4973
2021-05-16,157.4973
2021-05-17,157.4973
2021-05-18,157.4973
2021-05-19,157.4973
2021-05-20,157.4973
2021-05-21,157.4973
2021-05-22,157.4973
2021-05-23,157.4973
2021-05-24,157.4973
2021-05-25,157.4973
