,IR US Equity
,RETURN_COM_EQY
2020-01-01,8.9737
2020-01-02,8.9737
2020-01-03,8.9737
2020-01-04,8.9737
2020-01-05,8.9737
2020-01-06,8.9737
2020-01-07,8.9737
2020-01-08,8.9737
2020-01-09,8.9737
2020-01-10,8.9737
2020-01-11,8.9737
2020-01-12,8.9737
2020-01-13,8.9737
2020-01-14,8.9737
2020-01-15,8.9737
2020-01-16,8.9737
2020-01-17,8.9737
2020-01-18,8.9737
2020-01-19,8.9737
2020-01-20,8.9737
2020-01-21,8.9737
2020-01-22,8.9737
2020-01-23,8.9737
2020-01-24,8.9737
2020-01-25,8.9737
2020-01-26,8.9737
2020-01-27,8.9737
2020-01-28,8.9737
2020-01-29,8.9737
2020-01-30,8.9737
2020-01-31,8.9737
2020-02-01,8.9737
2020-02-02,8.9737
2020-02-03,8.9737
2020-02-04,8.9737
2020-02-05,8.9737
2020-02-06,8.9737
2020-02-07,8.9737
2020-02-08,8.9737
2020-02-09,8.9737
2020-02-10,8.9737
2020-02-11,8.9737
2020-02-12,8.9737
2020-02-13,8.9737
2020-02-14,8.9737
2020-02-15,8.9737
2020-02-16,8.9737
2020-02-17,8.9737
2020-02-18,8.9737
2020-02-19,8.9737
2020-02-20,8.9737
2020-02-21,8.9737
2020-02-22,8.9737
2020-02-23,8.9737
2020-02-24,8.9737
2020-02-25,8.9737
2020-02-26,8.9737
2020-02-27,8.9737
2020-02-28,8.9737
2020-02-29,8.9737
2020-03-01,8.9737
2020-03-02,8.9737
2020-03-03,8.9737
2020-03-04,8.9737
2020-03-05,8.9737
2020-03-06,8.9737
2020-03-07,8.9737
2020-03-08,8.9737
2020-03-09,8.9737
2020-03-10,8.9737
2020-03-11,8.9737
2020-03-12,8.9737
2020-03-13,8.9737
2020-03-14,8.9737
2020-03-15,8.9737
2020-03-16,8.9737
2020-03-17,8.9737
2020-03-18,8.9737
2020-03-19,8.9737
2020-03-20,8.9737
2020-03-21,8.9737
2020-03-22,8.9737
2020-03-23,8.9737
2020-03-24,8.9737
2020-03-25,8.9737
2020-03-26,8.9737
2020-03-27,8.9737
2020-03-28,8.9737
2020-03-29,8.9737
2020-03-30,8.9737
2020-03-31,1.4428
2020-04-01,1.4428
2020-04-02,1.4428
2020-04-03,1.4428
2020-04-04,1.4428
2020-04-05,1.4428
2020-04-06,1.4428
2020-04-07,1.4428
2020-04-08,1.4428
2020-04-09,1.4428
2020-04-10,1.4428
2020-04-11,1.4428
2020-04-12,1.4428
2020-04-13,1.4428
2020-04-14,1.4428
2020-04-15,1.4428
2020-04-16,1.4428
2020-04-17,1.4428
2020-04-18,1.4428
2020-04-19,1.4428
2020-04-20,1.4428
2020-04-21,1.4428
2020-04-22,1.4428
2020-04-23,1.4428
2020-04-24,1.4428
2020-04-25,1.4428
2020-04-26,1.4428
2020-04-27,1.4428
2020-04-28,1.4428
2020-04-29,1.4428
2020-04-30,1.4428
2020-05-01,1.4428
2020-05-02,1.4428
2020-05-03,1.4428
2020-05-04,1.4428
2020-05-05,1.4428
2020-05-06,1.4428
2020-05-07,1.4428
2020-05-08,1.4428
2020-05-09,1.4428
2020-05-10,1.4428
2020-05-11,1.4428
2020-05-12,1.4428
2020-05-13,1.4428
2020-05-14,1.4428
2020-05-15,1.4428
2020-05-16,1.4428
2020-05-17,1.4428
2020-05-18,1.4428
2020-05-19,1.4428
2020-05-20,1.4428
2020-05-21,1.4428
2020-05-22,1.4428
2020-05-23,1.4428
2020-05-24,1.4428
2020-05-25,1.4428
2020-05-26,1.4428
2020-05-27,1.4428
2020-05-28,1.4428
2020-05-29,1.4428
2020-05-30,1.4428
2020-05-31,1.4428
2020-06-01,1.4428
2020-06-02,1.4428
2020-06-03,1.4428
2020-06-04,1.4428
2020-06-05,1.4428
2020-06-06,1.4428
2020-06-07,1.4428
2020-06-08,1.4428
2020-06-09,1.4428
2020-06-10,1.4428
2020-06-11,1.4428
2020-06-12,1.4428
2020-06-13,1.4428
2020-06-14,1.4428
2020-06-15,1.4428
2020-06-16,1.4428
2020-06-17,1.4428
2020-06-18,1.4428
2020-06-19,1.4428
2020-06-20,1.4428
2020-06-21,1.4428
2020-06-22,1.4428
2020-06-23,1.4428
2020-06-24,1.4428
2020-06-25,1.4428
2020-06-26,1.4428
2020-06-27,1.4428
2020-06-28,1.4428
2020-06-29,1.4428
2020-06-30,-2.8436
2020-07-01,-2.8436
2020-07-02,-2.8436
2020-07-03,-2.8436
2020-07-04,-2.8436
2020-07-05,-2.8436
2020-07-06,-2.8436
2020-07-07,-2.8436
2020-07-08,-2.8436
2020-07-09,-2.8436
2020-07-10,-2.8436
2020-07-11,-2.8436
2020-07-12,-2.8436
2020-07-13,-2.8436
2020-07-14,-2.8436
2020-07-15,-2.8436
2020-07-16,-2.8436
2020-07-17,-2.8436
2020-07-18,-2.8436
2020-07-19,-2.8436
2020-07-20,-2.8436
2020-07-21,-2.8436
2020-07-22,-2.8436
2020-07-23,-2.8436
2020-07-24,-2.8436
2020-07-25,-2.8436
2020-07-26,-2.8436
2020-07-27,-2.8436
2020-07-28,-2.8436
2020-07-29,-2.8436
2020-07-30,-2.8436
2020-07-31,-2.8436
2020-08-01,-2.8436
2020-08-02,-2.8436
2020-08-03,-2.8436
2020-08-04,-2.8436
2020-08-05,-2.8436
2020-08-06,-2.8436
2020-08-07,-2.8436
2020-08-08,-2.8436
2020-08-09,-2.8436
2020-08-10,-2.8436
2020-08-11,-2.8436
2020-08-12,-2.8436
2020-08-13,-2.8436
2020-08-14,-2.8436
2020-08-15,-2.8436
2020-08-16,-2.8436
2020-08-17,-2.8436
2020-08-18,-2.8436
2020-08-19,-2.8436
2020-08-20,-2.8436
2020-08-21,-2.8436
2020-08-22,-2.8436
2020-08-23,-2.8436
2020-08-24,-2.8436
2020-08-25,-2.8436
2020-08-26,-2.8436
2020-08-27,-2.8436
2020-08-28,-2.8436
2020-08-29,-2.8436
2020-08-30,-2.8436
2020-08-31,-2.8436
2020-09-01,-2.8436
2020-09-02,-2.8436
2020-09-03,-2.8436
2020-09-04,-2.8436
2020-09-05,-2.8436
2020-09-06,-2.8436
2020-09-07,-2.8436
2020-09-08,-2.8436
2020-09-09,-2.8436
2020-09-10,-2.8436
2020-09-11,-2.8436
2020-09-12,-2.8436
2020-09-13,-2.8436
2020-09-14,-2.8436
2020-09-15,-2.8436
2020-09-16,-2.8436
2020-09-17,-2.8436
2020-09-18,-2.8436
2020-09-19,-2.8436
2020-09-20,-2.8436
2020-09-21,-2.8436
2020-09-22,-2.8436
2020-09-23,-2.8436
