,HUBG US Equity
,RETURN_COM_EQY
2020-01-01,10.4246
2020-01-02,10.4246
2020-01-03,10.4246
2020-01-04,10.4246
2020-01-05,10.4246
2020-01-06,10.4246
2020-01-07,10.4246
2020-01-08,10.4246
2020-01-09,10.4246
2020-01-10,10.4246
2020-01-11,10.4246
2020-01-12,10.4246
2020-01-13,10.4246
2020-01-14,10.4246
2020-01-15,10.4246
2020-01-16,10.4246
2020-01-17,10.4246
2020-01-18,10.4246
2020-01-19,10.4246
2020-01-20,10.4246
2020-01-21,10.4246
2020-01-22,10.4246
2020-01-23,10.4246
2020-01-24,10.4246
2020-01-25,10.4246
2020-01-26,10.4246
2020-01-27,10.4246
2020-01-28,10.4246
2020-01-29,10.4246
2020-01-30,10.4246
2020-01-31,10.4246
2020-02-01,10.4246
2020-02-02,10.4246
2020-02-03,10.4246
2020-02-04,10.4246
2020-02-05,10.4246
2020-02-06,10.4246
2020-02-07,10.4246
2020-02-08,10.4246
2020-02-09,10.4246
2020-02-10,10.4246
2020-02-11,10.4246
2020-02-12,10.4246
2020-02-13,10.4246
2020-02-14,10.4246
2020-02-15,10.4246
2020-02-16,10.4246
2020-02-17,10.4246
2020-02-18,10.4246
2020-02-19,10.4246
2020-02-20,10.4246
2020-02-21,10.4246
2020-02-22,10.4246
2020-02-23,10.4246
2020-02-24,10.4246
2020-02-25,10.4246
2020-02-26,10.4246
2020-02-27,10.4246
2020-02-28,10.4246
2020-02-29,10.4246
2020-03-01,10.4246
2020-03-02,10.4246
2020-03-03,10.4246
2020-03-04,10.4246
2020-03-05,10.4246
2020-03-06,10.4246
2020-03-07,10.4246
2020-03-08,10.4246
2020-03-09,10.4246
2020-03-10,10.4246
2020-03-11,10.4246
2020-03-12,10.4246
2020-03-13,10.4246
2020-03-14,10.4246
2020-03-15,10.4246
2020-03-16,10.4246
2020-03-17,10.4246
2020-03-18,10.4246
2020-03-19,10.4246
2020-03-20,10.4246
2020-03-21,10.4246
2020-03-22,10.4246
2020-03-23,10.4246
2020-03-24,10.4246
2020-03-25,10.4246
2020-03-26,10.4246
2020-03-27,10.4246
2020-03-28,10.4246
2020-03-29,10.4246
2020-03-30,10.4246
2020-03-31,9.2103
2020-04-01,9.2103
2020-04-02,9.2103
2020-04-03,9.2103
2020-04-04,9.2103
2020-04-05,9.2103
2020-04-06,9.2103
2020-04-07,9.2103
2020-04-08,9.2103
2020-04-09,9.2103
2020-04-10,9.2103
2020-04-11,9.2103
2020-04-12,9.2103
2020-04-13,9.2103
2020-04-14,9.2103
2020-04-15,9.2103
2020-04-16,9.2103
2020-04-17,9.2103
2020-04-18,9.2103
2020-04-19,9.2103
2020-04-20,9.2103
2020-04-21,9.2103
2020-04-22,9.2103
2020-04-23,9.2103
2020-04-24,9.2103
2020-04-25,9.2103
2020-04-26,9.2103
2020-04-27,9.2103
2020-04-28,9.2103
2020-04-29,9.2103
2020-04-30,9.2103
2020-05-01,9.2103
2020-05-02,9.2103
2020-05-03,9.2103
2020-05-04,9.2103
2020-05-05,9.2103
2020-05-06,9.2103
2020-05-07,9.2103
2020-05-08,9.2103
2020-05-09,9.2103
2020-05-10,9.2103
2020-05-11,9.2103
2020-05-12,9.2103
2020-05-13,9.2103
2020-05-14,9.2103
2020-05-15,9.2103
2020-05-16,9.2103
2020-05-17,9.2103
2020-05-18,9.2103
2020-05-19,9.2103
2020-05-20,9.2103
2020-05-21,9.2103
2020-05-22,9.2103
2020-05-23,9.2103
2020-05-24,9.2103
2020-05-25,9.2103
2020-05-26,9.2103
2020-05-27,9.2103
2020-05-28,9.2103
2020-05-29,9.2103
2020-05-30,9.2103
2020-05-31,9.2103
2020-06-01,9.2103
2020-06-02,9.2103
2020-06-03,9.2103
2020-06-04,9.2103
2020-06-05,9.2103
2020-06-06,9.2103
2020-06-07,9.2103
2020-06-08,9.2103
2020-06-09,9.2103
2020-06-10,9.2103
2020-06-11,9.2103
2020-06-12,9.2103
2020-06-13,9.2103
2020-06-14,9.2103
2020-06-15,9.2103
2020-06-16,9.2103
2020-06-17,9.2103
2020-06-18,9.2103
2020-06-19,9.2103
2020-06-20,9.2103
2020-06-21,9.2103
2020-06-22,9.2103
2020-06-23,9.2103
2020-06-24,9.2103
2020-06-25,9.2103
2020-06-26,9.2103
2020-06-27,9.2103
2020-06-28,9.2103
2020-06-29,9.2103
2020-06-30,7.5243
2020-07-01,7.5243
2020-07-02,7.5243
2020-07-03,7.5243
2020-07-04,7.5243
2020-07-05,7.5243
2020-07-06,7.5243
2020-07-07,7.5243
2020-07-08,7.5243
2020-07-09,7.5243
2020-07-10,7.5243
2020-07-11,7.5243
2020-07-12,7.5243
2020-07-13,7.5243
2020-07-14,7.5243
2020-07-15,7.5243
2020-07-16,7.5243
2020-07-17,7.5243
2020-07-18,7.5243
2020-07-19,7.5243
2020-07-20,7.5243
2020-07-21,7.5243
2020-07-22,7.5243
2020-07-23,7.5243
2020-07-24,7.5243
2020-07-25,7.5243
2020-07-26,7.5243
2020-07-27,7.5243
2020-07-28,7.5243
2020-07-29,7.5243
2020-07-30,7.5243
2020-07-31,7.5243
2020-08-01,7.5243
2020-08-02,7.5243
2020-08-03,7.5243
2020-08-04,7.5243
2020-08-05,7.5243
2020-08-06,7.5243
2020-08-07,7.5243
2020-08-08,7.5243
2020-08-09,7.5243
2020-08-10,7.5243
2020-08-11,7.5243
2020-08-12,7.5243
2020-08-13,7.5243
2020-08-14,7.5243
2020-08-15,7.5243
2020-08-16,7.5243
2020-08-17,7.5243
2020-08-18,7.5243
2020-08-19,7.5243
2020-08-20,7.5243
2020-08-21,7.5243
2020-08-22,7.5243
2020-08-23,7.5243
2020-08-24,7.5243
2020-08-25,7.5243
2020-08-26,7.5243
2020-08-27,7.5243
2020-08-28,7.5243
2020-08-29,7.5243
2020-08-30,7.5243
2020-08-31,7.5243
2020-09-01,7.5243
2020-09-02,7.5243
2020-09-03,7.5243
2020-09-04,7.5243
2020-09-05,7.5243
2020-09-06,7.5243
2020-09-07,7.5243
2020-09-08,7.5243
2020-09-09,7.5243
2020-09-10,7.5243
2020-09-11,7.5243
2020-09-12,7.5243
2020-09-13,7.5243
2020-09-14,7.5243
2020-09-15,7.5243
2020-09-16,7.5243
2020-09-17,7.5243
2020-09-18,7.5243
2020-09-19,7.5243
2020-09-20,7.5243
2020-09-21,7.5243
2020-09-22,7.5243
2020-09-23,7.5243
2020-09-24,7.5243
2020-09-25,7.5243
2020-09-26,7.5243
2020-09-27,7.5243
2020-09-28,7.5243
2020-09-29,7.5243
2020-09-30,7.2607
2020-10-01,7.2607
2020-10-02,7.2607
2020-10-03,7.2607
2020-10-04,7.2607
2020-10-05,7.2607
2020-10-06,7.2607
2020-10-07,7.2607
