,AGM US Equity
,RETURN_COM_EQY
2020-01-01,16.9222
2020-01-02,16.9222
2020-01-03,16.9222
2020-01-04,16.9222
2020-01-05,16.9222
2020-01-06,16.9222
2020-01-07,16.9222
2020-01-08,16.9222
2020-01-09,16.9222
2020-01-10,16.9222
2020-01-11,16.9222
2020-01-12,16.9222
2020-01-13,16.9222
2020-01-14,16.9222
2020-01-15,16.9222
2020-01-16,16.9222
2020-01-17,16.9222
2020-01-18,16.9222
2020-01-19,16.9222
2020-01-20,16.9222
2020-01-21,16.9222
2020-01-22,16.9222
2020-01-23,16.9222
2020-01-24,16.9222
2020-01-25,16.9222
2020-01-26,16.9222
2020-01-27,16.9222
2020-01-28,16.9222
2020-01-29,16.9222
2020-01-30,16.9222
2020-01-31,16.9222
2020-02-01,16.9222
2020-02-02,16.9222
2020-02-03,16.9222
2020-02-04,16.9222
2020-02-05,16.9222
2020-02-06,16.9222
2020-02-07,16.9222
2020-02-08,16.9222
2020-02-09,16.9222
2020-02-10,16.9222
2020-02-11,16.9222
2020-02-12,16.9222
2020-02-13,16.9222
2020-02-14,16.9222
2020-02-15,16.9222
2020-02-16,16.9222
2020-02-17,16.9222
2020-02-18,16.9222
2020-02-19,16.9222
2020-02-20,16.9222
2020-02-21,16.9222
2020-02-22,16.9222
2020-02-23,16.9222
2020-02-24,16.9222
2020-02-25,16.9222
2020-02-26,16.9222
2020-02-27,16.9222
2020-02-28,16.9222
2020-02-29,16.9222
2020-03-01,16.9222
2020-03-02,16.9222
2020-03-03,16.9222
2020-03-04,16.9222
2020-03-05,16.9222
2020-03-06,16.9222
2020-03-07,16.9222
2020-03-08,16.9222
2020-03-09,16.9222
2020-03-10,16.9222
2020-03-11,16.9222
2020-03-12,16.9222
2020-03-13,16.9222
2020-03-14,16.9222
2020-03-15,16.9222
2020-03-16,16.9222
2020-03-17,16.9222
2020-03-18,16.9222
2020-03-19,16.9222
2020-03-20,16.9222
2020-03-21,16.9222
2020-03-22,16.9222
2020-03-23,16.9222
2020-03-24,16.9222
2020-03-25,16.9222
2020-03-26,16.9222
2020-03-27,16.9222
2020-03-28,16.9222
2020-03-29,16.9222
2020-03-30,16.9222
2020-03-31,15.9395
2020-04-01,15.9395
2020-04-02,15.9395
2020-04-03,15.9395
2020-04-04,15.9395
2020-04-05,15.9395
2020-04-06,15.9395
2020-04-07,15.9395
2020-04-08,15.9395
2020-04-09,15.9395
2020-04-10,15.9395
2020-04-11,15.9395
2020-04-12,15.9395
2020-04-13,15.9395
2020-04-14,15.9395
2020-04-15,15.9395
2020-04-16,15.9395
2020-04-17,15.9395
2020-04-18,15.9395
2020-04-19,15.9395
2020-04-20,15.9395
2020-04-21,15.9395
2020-04-22,15.9395
2020-04-23,15.9395
2020-04-24,15.9395
2020-04-25,15.9395
2020-04-26,15.9395
2020-04-27,15.9395
2020-04-28,15.9395
2020-04-29,15.9395
2020-04-30,15.9395
2020-05-01,15.9395
2020-05-02,15.9395
2020-05-03,15.9395
2020-05-04,15.9395
2020-05-05,15.9395
2020-05-06,15.9395
2020-05-07,15.9395
2020-05-08,15.9395
2020-05-09,15.9395
2020-05-10,15.9395
2020-05-11,15.9395
2020-05-12,15.9395
2020-05-13,15.9395
2020-05-14,15.9395
2020-05-15,15.9395
2020-05-16,15.9395
2020-05-17,15.9395
2020-05-18,15.9395
2020-05-19,15.9395
2020-05-20,15.9395
2020-05-21,15.9395
2020-05-22,15.9395
2020-05-23,15.9395
2020-05-24,15.9395
2020-05-25,15.9395
2020-05-26,15.9395
2020-05-27,15.9395
2020-05-28,15.9395
2020-05-29,15.9395
2020-05-30,15.9395
2020-05-31,15.9395
2020-06-01,15.9395
2020-06-02,15.9395
2020-06-03,15.9395
2020-06-04,15.9395
2020-06-05,15.9395
2020-06-06,15.9395
2020-06-07,15.9395
2020-06-08,15.9395
2020-06-09,15.9395
2020-06-10,15.9395
2020-06-11,15.9395
2020-06-12,15.9395
2020-06-13,15.9395
2020-06-14,15.9395
2020-06-15,15.9395
