,SSB US Equity
2020-07-17,1.1603
2020-07-18,1.1603
2020-07-19,1.1603
2020-07-20,1.1603
2020-07-21,1.1603
2020-07-22,1.1603
2020-07-23,1.1603
2020-07-24,1.1603
2020-07-25,1.1603
2020-07-26,1.1603
2020-07-27,1.1603
2020-07-28,1.1603
2020-07-29,1.1603
2020-07-30,1.1603
2020-07-31,1.1603
2020-08-01,1.1603
2020-08-02,1.1603
2020-08-03,1.1603
2020-08-04,1.1603
2020-08-05,1.1603
2020-08-06,1.1603
2020-08-07,1.1603
2020-08-08,1.1603
2020-08-09,1.1603
2020-08-10,1.1603
2020-08-11,1.1603
2020-08-12,1.1603
2020-08-13,1.1603
2020-08-14,1.1603
2020-08-15,1.1603
2020-08-16,1.1603
2020-08-17,1.1603
2020-08-18,1.1603
2020-08-19,1.1603
2020-08-20,1.1603
2020-08-21,1.1603
2020-08-22,1.1603
2020-08-23,1.1603
2020-08-24,1.1603
2020-08-25,1.1603
2020-08-26,1.1603
2020-08-27,1.1603
2020-08-28,1.1603
2020-08-29,1.1603
2020-08-30,1.1603
2020-08-31,1.1603
2020-09-01,1.1603
2020-09-02,1.1603
2020-09-03,1.1603
2020-09-04,1.1603
2020-09-05,1.1603
2020-09-06,1.1603
2020-09-07,1.1603
2020-09-08,1.1603
2020-09-09,1.1603
2020-09-10,1.1603
2020-09-11,1.1603
2020-09-12,1.1603
2020-09-13,1.1603
2020-09-14,1.1603
2020-09-15,1.1603
2020-09-16,1.1603
2020-09-17,1.1603
2020-09-18,1.1603
2020-09-19,1.1603
2020-09-20,1.1603
2020-09-21,1.1603
2020-09-22,1.1603
2020-09-23,1.1603
2020-09-24,1.1603
2020-09-25,1.1603
2020-09-26,1.1603
2020-09-27,1.1603
2020-09-28,1.1603
2020-09-29,1.1603
2020-09-30,2.4149
2020-10-01,2.4149
2020-10-02,2.4149
2020-10-03,2.4149
2020-10-04,2.4149
2020-10-05,2.4149
2020-10-06,2.4149
2020-10-07,2.4149
2020-10-08,2.4149
2020-10-09,2.4149
2020-10-10,2.4149
2020-10-11,2.4149
2020-10-12,2.4149
2020-10-13,2.4149
2020-10-14,2.4149
2020-10-15,2.4149
2020-10-16,2.4149
2020-10-17,2.4149
2020-10-18,2.4149
2020-10-19,2.4149
2020-10-20,2.4149
2020-10-21,2.4149
2020-10-22,2.4149
2020-10-23,2.4149
2020-10-24,2.4149
2020-10-25,2.4149
2020-10-26,2.4149
2020-10-27,2.4149
2020-10-28,2.4149
2020-10-29,2.4149
2020-10-30,2.4149
2020-10-31,2.4149
2020-11-01,2.4149
2020-11-02,2.4149
2020-11-03,2.4149
2020-11-04,2.4149
2020-11-05,2.4149
2020-11-06,2.4149
2020-11-07,2.4149
2020-11-08,2.4149
2020-11-09,2.4149
2020-11-10,2.4149
2020-11-11,2.4149
2020-11-12,2.4149
2020-11-13,2.4149
2020-11-14,2.4149
2020-11-15,2.4149
2020-11-16,2.4149
2020-11-17,2.4149
2020-11-18,2.4149
2020-11-19,2.4149
2020-11-20,2.4149
2020-11-21,2.4149
2020-11-22,2.4149
2020-11-23,2.4149
2020-11-24,2.4149
2020-11-25,2.4149
2020-11-26,2.4149
2020-11-27,2.4149
2020-11-28,2.4149
2020-11-29,2.4149
2020-11-30,2.4149
2020-12-01,2.4149
2020-12-02,2.4149
2020-12-03,2.4149
2020-12-04,2.4149
2020-12-05,2.4149
2020-12-06,2.4149
2020-12-07,2.4149
2020-12-08,2.4149
2020-12-09,2.4149
2020-12-10,2.4149
2020-12-11,2.4149
2020-12-12,2.4149
2020-12-13,2.4149
2020-12-14,2.4149
2020-12-15,2.4149
2020-12-16,2.4149
2020-12-17,2.4149
2020-12-18,2.4149
2020-12-19,2.4149
2020-12-20,2.4149
2020-12-21,2.4149
2020-12-22,2.4149
2020-12-23,2.4149
2020-12-24,2.4149
2020-12-25,2.4149
2020-12-26,2.4149
2020-12-27,2.4149
2020-12-28,2.4149
2020-12-29,2.4149
2020-12-30,2.4149
2020-12-31,3.4364
2021-01-01,3.4364
2021-01-02,3.4364
2021-01-03,3.4364
2021-01-04,3.4364
2021-01-05,3.4364
2021-01-06,3.4364
2021-01-07,3.4364
2021-01-08,3.4364
2021-01-09,3.4364
2021-01-10,3.4364
2021-01-11,3.4364
2021-01-12,3.4364
2021-01-13,3.4364
2021-01-14,3.4364
2021-01-15,3.4364
2021-01-16,3.4364
2021-01-17,3.4364
2021-01-18,3.4364
2021-01-19,3.4364
2021-01-20,3.4364
2021-01-21,3.4364
2021-01-22,3.4364
2021-01-23,3.4364
2021-01-24,3.4364
2021-01-25,3.4364
2021-01-26,3.4364
2021-01-27,3.4364
2021-01-28,3.4364
2021-01-29,3.4364
2021-01-30,3.4364
2021-01-31,3.4364
2021-02-01,3.4364
2021-02-02,3.4364
2021-02-03,3.4364
2021-02-04,3.4364
2021-02-05,3.4364
2021-02-06,3.4364
2021-02-07,3.4364
2021-02-08,3.4364
2021-02-09,3.4364
2021-02-10,3.4364
2021-02-11,3.4364
2021-02-12,3.4364
2021-02-13,3.4364
2021-02-14,3.4364
2021-02-15,3.4364
2021-02-16,3.4364
2021-02-17,3.4364
2021-02-18,3.4364
2021-02-19,3.4364
2021-02-20,3.4364
2021-02-21,3.4364
2021-02-22,3.4364
2021-02-23,3.4364
2021-02-24,3.4364
2021-02-25,3.4364
2021-02-26,3.4364
2021-02-27,3.4364
2021-02-28,3.4364
2021-03-01,3.4364
2021-03-02,3.4364
2021-03-03,3.4364
2021-03-04,3.4364
2021-03-05,3.4364
2021-03-06,3.4364
2021-03-07,3.4364
2021-03-08,3.4364
2021-03-09,3.4364
2021-03-10,3.4364
2021-03-11,3.4364
2021-03-12,3.4364
2021-03-13,3.4364
2021-03-14,3.4364
2021-03-15,3.4364
2021-03-16,3.4364
2021-03-17,3.4364
2021-03-18,3.4364
2021-03-19,3.4364
2021-03-20,3.4364
2021-03-21,3.4364
2021-03-22,3.4364
2021-03-23,3.4364
2021-03-24,3.4364
2021-03-25,3.4364
2021-03-26,3.4364
2021-03-27,3.4364
2021-03-28,3.4364
2021-03-29,3.4364
2021-03-30,3.4364
2021-03-31,6.9159
2021-04-01,6.9159
2021-04-02,6.9159
2021-04-03,6.9159
2021-04-04,6.9159
2021-04-05,6.9159
2021-04-06,6.9159
2021-04-07,6.9159
2021-04-08,6.9159
2021-04-09,6.9159
2021-04-10,6.9159
2021-04-11,6.9159
2021-04-12,6.9159
2021-04-13,6.9159
2021-04-14,6.9159
2021-04-15,6.9159
2021-04-16,6.9159
2021-04-17,6.9159
2021-04-18,6.9159
2021-04-19,6.9159
2021-04-20,6.9159
2021-04-21,6.9159
2021-04-22,6.9159
2021-04-23,6.9159
2021-04-24,6.9159
2021-04-25,6.9159
2021-04-26,6.9159
2021-04-27,6.9159
2021-04-28,6.9159
2021-04-29,6.9159
2021-04-30,6.9159
2021-05-01,6.9159
2021-05-02,6.9159
2021-05-03,6.9159
2021-05-04,6.9159
2021-05-05,6.9159
2021-05-06,6.9159
2021-05-07,6.9159
2021-05-08,6.9159
2021-05-09,6.9159
2021-05-10,6.9159
2021-05-11,6.9159
2021-05-12,6.9159
2021-05-13,6.9159
2021-05-14,6.9159
2021-05-15,6.9159
2021-05-16,6.9159
2021-05-17,6.9159
2021-05-18,6.9159
2021-05-19,6.9159
2021-05-20,6.9159
2021-05-21,6.9159
2021-05-22,6.9159
2021-05-23,6.9159
2021-05-24,6.9159
2021-05-25,6.9159
2021-05-26,6.9159
2021-05-27,6.9159
2021-05-28,6.9159
2021-05-29,6.9159
2021-05-30,6.9159
2021-05-31,6.9159
2021-06-01,6.9159
2021-06-02,6.9159
2021-06-03,6.9159
2021-06-04,6.9159
2021-06-05,6.9159
2021-06-06,6.9159
2021-06-07,6.9159
2021-06-08,6.9159
2021-06-09,6.9159
2021-06-10,6.9159
2021-06-11,6.9159
2021-06-12,6.9159
2021-06-13,6.9159
2021-06-14,6.9159
2021-06-15,6.9159
2021-06-16,6.9159
2021-06-17,6.9159
2021-06-18,6.9159
2021-06-19,6.9159
2021-06-20,6.9159
2021-06-21,6.9159
2021-06-22,6.9159
2021-06-23,6.9159
2021-06-24,6.9159
2021-06-25,6.9159
2021-06-26,6.9159
2021-06-27,6.9159
2021-06-28,6.9159
2021-06-29,6.9159
2021-06-30,9.2409
2021-07-01,9.2409
2021-07-02,9.2409
2021-07-03,9.2409
2021-07-04,9.2409
2021-07-05,9.2409
2021-07-06,9.2409
2021-07-07,9.2409
2021-07-08,9.2409
2021-07-09,9.2409
2021-07-10,9.2409
2021-07-11,9.2409
2021-07-12,9.2409
2021-07-13,9.2409
2021-07-14,9.2409
2021-07-15,9.2409
2021-07-16,9.2409
2021-07-17,9.2409
2021-07-18,9.2409
2021-07-19,9.2409
2021-07-20,9.2409
2021-07-21,9.2409
2021-07-22,9.2409
2021-07-23,9.2409
2021-07-24,9.2409
2021-07-25,9.2409
2021-07-26,9.2409
2021-07-27,9.2409
2021-07-28,9.2409
2021-07-29,9.2409
2021-07-30,9.2409
2021-07-31,9.2409
2021-08-01,9.2409
2021-08-02,9.2409
2021-08-03,9.2409
2021-08-04,9.2409
2021-08-05,9.2409
2021-08-06,9.2409
2021-08-07,9.2409
2021-08-08,9.2409
2021-08-09,9.2409
2021-08-10,9.2409
2021-08-11,9.2409
2021-08-12,9.2409
2021-08-13,9.2409
2021-08-14,9.2409
2021-08-15,9.2409
2021-08-16,9.2409
2021-08-17,9.2409
2021-08-18,9.2409
2021-08-19,9.2409
2021-08-20,9.2409
2021-08-21,9.2409
2021-08-22,9.2409
2021-08-23,9.2409
2021-08-24,9.2409
2021-08-25,9.2409
2021-08-26,9.2409
2021-08-27,9.2409
2021-08-28,9.2409
2021-08-29,9.2409
2021-08-30,9.2409
2021-08-31,9.2409
2021-09-01,9.2409
2021-09-02,9.2409
2021-09-03,9.2409
2021-09-04,9.2409
2021-09-05,9.2409
2021-09-06,9.2409
2021-09-07,9.2409
2021-09-08,9.2409
2021-09-09,9.2409
2021-09-10,9.2409
2021-09-11,9.2409
2021-09-12,9.2409
2021-09-13,9.2409
2021-09-14,9.2409
2021-09-15,9.2409
2021-09-16,9.2409
2021-09-17,9.2409
2021-09-18,9.2409
2021-09-19,9.2409
2021-09-20,9.2409
2021-09-21,9.2409
2021-09-22,9.2409
2021-09-23,9.2409
2021-09-24,9.2409
2021-09-25,9.2409
2021-09-26,9.2409
2021-09-27,9.2409
2021-09-28,9.2409
2021-09-29,9.2409
2021-09-30,9.7246
2021-10-01,9.7246
2021-10-02,9.7246
2021-10-03,9.7246
2021-10-04,9.7246
2021-10-05,9.7246
2021-10-06,9.7246
2021-10-07,9.7246
2021-10-08,9.7246
2021-10-09,9.7246
2021-10-10,9.7246
2021-10-11,9.7246
2021-10-12,9.7246
2021-10-13,9.7246
2021-10-14,9.7246
2021-10-15,9.7246
2021-10-16,9.7246
2021-10-17,9.7246
2021-10-18,9.7246
2021-10-19,9.7246
2021-10-20,9.7246
2021-10-21,9.7246
2021-10-22,9.7246
2021-10-23,9.7246
2021-10-24,9.7246
2021-10-25,9.7246
2021-10-26,9.7246
2021-10-27,9.7246
2021-10-28,9.7246
2021-10-29,9.7246
2021-10-30,9.7246
2021-10-31,9.7246
2021-11-01,9.7246
2021-11-02,9.7246
2021-11-03,9.7246
2021-11-04,9.7246
2021-11-05,9.7246
2021-11-06,9.7246
2021-11-07,9.7246
2021-11-08,9.7246
2021-11-09,9.7246
2021-11-10,9.7246
2021-11-11,9.7246
2021-11-12,9.7246
2021-11-13,9.7246
2021-11-14,9.7246
2021-11-15,9.7246
2021-11-16,9.7246
2021-11-17,9.7246
2021-11-18,9.7246
2021-11-19,9.7246
2021-11-20,9.7246
2021-11-21,9.7246
2021-11-22,9.7246
2021-11-23,9.7246
2021-11-24,9.7246
2021-11-25,9.7246
2021-11-26,9.7246
2021-11-27,9.7246
2021-11-28,9.7246
2021-11-29,9.7246
2021-11-30,9.7246
2021-12-01,9.7246
2021-12-02,9.7246
2021-12-03,9.7246
2021-12-04,9.7246
2021-12-05,9.7246
2021-12-06,9.7246
2021-12-07,9.7246
2021-12-08,9.7246
2021-12-09,9.7246
2021-12-10,9.7246
2021-12-11,9.7246
2021-12-12,9.7246
2021-12-13,9.7246
2021-12-14,9.7246
2021-12-15,9.7246
2021-12-16,9.7246
2021-12-17,9.7246
2021-12-18,9.7246
2021-12-19,9.7246
2021-12-20,9.7246
2021-12-21,9.7246
2021-12-22,9.7246
2021-12-23,9.7246
2021-12-24,9.7246
2021-12-25,9.7246
2021-12-26,9.7246
2021-12-27,9.7246
2021-12-28,9.7246
2021-12-29,9.7246
2021-12-30,9.7246
2021-12-31,10.0635
2022-01-01,10.0635
2022-01-02,10.0635
2022-01-03,10.0635
2022-01-04,10.0635
2022-01-05,10.0635
2022-01-06,10.0635
2022-01-07,10.0635
2022-01-08,10.0635
2022-01-09,10.0635
2022-01-10,10.0635
2022-01-11,10.0635
2022-01-12,10.0635
2022-01-13,10.0635
2022-01-14,10.0635
2022-01-15,10.0635
2022-01-16,10.0635
2022-01-17,10.0635
2022-01-18,10.0635
2022-01-19,10.0635
2022-01-20,10.0635
2022-01-21,10.0635
2022-01-22,10.0635
2022-01-23,10.0635
2022-01-24,10.0635
2022-01-25,10.0635
2022-01-26,10.0635
2022-01-27,10.0635
2022-01-28,10.0635
2022-01-29,10.0635
2022-01-30,10.0635
2022-01-31,10.0635
2022-02-01,10.0635
2022-02-02,10.0635
2022-02-03,10.0635
2022-02-04,10.0635
2022-02-05,10.0635
2022-02-06,10.0635
2022-02-07,10.0635
2022-02-08,10.0635
2022-02-09,10.0635
2022-02-10,10.0635
2022-02-11,10.0635
2022-02-12,10.0635
2022-02-13,10.0635
2022-02-14,10.0635
2022-02-15,10.0635
2022-02-16,10.0635
2022-02-17,10.0635
2022-02-18,10.0635
2022-02-19,10.0635
2022-02-20,10.0635
2022-02-21,10.0635
2022-02-22,10.0635
2022-02-23,10.0635
2022-02-24,10.0635
2022-02-25,10.0635
2022-02-26,10.0635
2022-02-27,10.0635
2022-02-28,10.0635
2022-03-01,10.0635
2022-03-02,10.0635
2022-03-03,10.0635
2022-03-04,10.0635
2022-03-05,10.0635
2022-03-06,10.0635
2022-03-07,10.0635
2022-03-08,10.0635
2022-03-09,10.0635
2022-03-10,10.0635
2022-03-11,10.0635
2022-03-12,10.0635
2022-03-13,10.0635
2022-03-14,10.0635
2022-03-15,10.0635
2022-03-16,10.0635
2022-03-17,10.0635
2022-03-18,10.0635
2022-03-19,10.0635
2022-03-20,10.0635
2022-03-21,10.0635
2022-03-22,10.0635
2022-03-23,10.0635
2022-03-24,10.0635
2022-03-25,10.0635
2022-03-26,10.0635
2022-03-27,10.0635
2022-03-28,10.0635
2022-03-29,10.0635
2022-03-30,10.0635
2022-03-31,8.6702
2022-04-01,8.6702
2022-04-02,8.6702
2022-04-03,8.6702
2022-04-04,8.6702
2022-04-05,8.6702
2022-04-06,8.6702
2022-04-07,8.6702
2022-04-08,8.6702
2022-04-09,8.6702
2022-04-10,8.6702
2022-04-11,8.6702
2022-04-12,8.6702
2022-04-13,8.6702
2022-04-14,8.6702
2022-04-15,8.6702
2022-04-16,8.6702
2022-04-17,8.6702
2022-04-18,8.6702
2022-04-19,8.6702
2022-04-20,8.6702
2022-04-21,8.6702
2022-04-22,8.6702
2022-04-23,8.6702
2022-04-24,8.6702
2022-04-25,8.6702
2022-04-26,8.6702
2022-04-27,8.6702
2022-04-28,8.6702
2022-04-29,8.6702
2022-04-30,8.6702
2022-05-01,8.6702
2022-05-02,8.6702
2022-05-03,8.6702
2022-05-04,8.6702
2022-05-05,8.6702
2022-05-06,8.6702
2022-05-07,8.6702
2022-05-08,8.6702
2022-05-09,8.6702
2022-05-10,8.6702
2022-05-11,8.6702
2022-05-12,8.6702
2022-05-13,8.6702
2022-05-14,8.6702
2022-05-15,8.6702
2022-05-16,8.6702
2022-05-17,8.6702
2022-05-18,8.6702
2022-05-19,8.6702
2022-05-20,8.6702
2022-05-21,8.6702
2022-05-22,8.6702
2022-05-23,8.6702
2022-05-24,8.6702
2022-05-25,8.6702
2022-05-26,8.6702
2022-05-27,8.6702
2022-05-28,8.6702
2022-05-29,8.6702
2022-05-30,8.6702
2022-05-31,8.6702
2022-06-01,8.6702
2022-06-02,8.6702
2022-06-03,8.6702
2022-06-04,8.6702
2022-06-05,8.6702
2022-06-06,8.6702
2022-06-07,8.6702
2022-06-08,8.6702
2022-06-09,8.6702
2022-06-10,8.6702
2022-06-11,8.6702
2022-06-12,8.6702
2022-06-13,8.6702
2022-06-14,8.6702
2022-06-15,8.6702
2022-06-16,8.6702
2022-06-17,8.6702
2022-06-18,8.6702
2022-06-19,8.6702
2022-06-20,8.6702
2022-06-21,8.6702
2022-06-22,8.6702
2022-06-23,8.6702
2022-06-24,8.6702
2022-06-25,8.6702
2022-06-26,8.6702
2022-06-27,8.6702
2022-06-28,8.6702
2022-06-29,8.6702
2022-06-30,9.1679
2022-07-01,9.1679
2022-07-02,9.1679
2022-07-03,9.1679
2022-07-04,9.1679
2022-07-05,9.1679
2022-07-06,9.1679
2022-07-07,9.1679
2022-07-08,9.1679
2022-07-09,9.1679
2022-07-10,9.1679
2022-07-11,9.1679
2022-07-12,9.1679
2022-07-13,9.1679
2022-07-14,9.1679
2022-07-15,9.1679
2022-07-16,9.1679
2022-07-17,9.1679
2022-07-18,9.1679
2022-07-19,9.1679
2022-07-20,9.1679
2022-07-21,9.1679
2022-07-22,9.1679
2022-07-23,9.1679
2022-07-24,9.1679
2022-07-25,9.1679
2022-07-26,9.1679
2022-07-27,9.1679
2022-07-28,9.1679
2022-07-29,9.1679
2022-07-30,9.1679
2022-07-31,9.1679
2022-08-01,9.1679
2022-08-02,9.1679
2022-08-03,9.1679
2022-08-04,9.1679
2022-08-05,9.1679
2022-08-06,9.1679
2022-08-07,9.1679
2022-08-08,9.1679
2022-08-09,9.1679
2022-08-10,9.1679
2022-08-11,9.1679
2022-08-12,9.1679
2022-08-13,9.1679
2022-08-14,9.1679
2022-08-15,9.1679
2022-08-16,9.1679
2022-08-17,9.1679
2022-08-18,9.1679
2022-08-19,9.1679
2022-08-20,9.1679
2022-08-21,9.1679
2022-08-22,9.1679
2022-08-23,9.1679
2022-08-24,9.1679
2022-08-25,9.1679
2022-08-26,9.1679
2022-08-27,9.1679
2022-08-28,9.1679
2022-08-29,9.1679
2022-08-30,9.1679
2022-08-31,9.1679
2022-09-01,9.1679
2022-09-02,9.1679
2022-09-03,9.1679
2022-09-04,9.1679
2022-09-05,9.1679
2022-09-06,9.1679
2022-09-07,9.1679
2022-09-08,9.1679
2022-09-09,9.1679
2022-09-10,9.1679
2022-09-11,9.1679
2022-09-12,9.1679
2022-09-13,9.1679
2022-09-14,9.1679
2022-09-15,9.1679
2022-09-16,9.1679
2022-09-17,9.1679
2022-09-18,9.1679
2022-09-19,9.1679
2022-09-20,9.1679
2022-09-21,9.1679
2022-09-22,9.1679
2022-09-23,9.1679
2022-09-24,9.1679
2022-09-25,9.1679
2022-09-26,9.1679
2022-09-27,9.1679
2022-09-28,9.1679
2022-09-29,9.1679
2022-09-30,9.4582
2022-10-01,9.4582
2022-10-02,9.4582
2022-10-03,9.4582
2022-10-04,9.4582
2022-10-05,9.4582
2022-10-06,9.4582
2022-10-07,9.4582
2022-10-08,9.4582
2022-10-09,9.4582
2022-10-10,9.4582
2022-10-11,9.4582
2022-10-12,9.4582
2022-10-13,9.4582
2022-10-14,9.4582
2022-10-15,9.4582
2022-10-16,9.4582
2022-10-17,9.4582
2022-10-18,9.4582
2022-10-19,9.4582
2022-10-20,9.4582
2022-10-21,9.4582
2022-10-22,9.4582
2022-10-23,9.4582
2022-10-24,9.4582
2022-10-25,9.4582
2022-10-26,9.4582
2022-10-27,9.4582
2022-10-28,9.4582
2022-10-29,9.4582
2022-10-30,9.4582
2022-10-31,9.4582
2022-11-01,9.4582
2022-11-02,9.4582
2022-11-03,9.4582
2022-11-04,9.4582
2022-11-05,9.4582
2022-11-06,9.4582
2022-11-07,9.4582
2022-11-08,9.4582
2022-11-09,9.4582
2022-11-10,9.4582
2022-11-11,9.4582
2022-11-12,9.4582
2022-11-13,9.4582
2022-11-14,9.4582
2022-11-15,9.4582
2022-11-16,9.4582
2022-11-17,9.4582
2022-11-18,9.4582
2022-11-19,9.4582
2022-11-20,9.4582
2022-11-21,9.4582
2022-11-22,9.4582
2022-11-23,9.4582
2022-11-24,9.4582
2022-11-25,9.4582
2022-11-26,9.4582
2022-11-27,9.4582
2022-11-28,9.4582
2022-11-29,9.4582
2022-11-30,9.4582
2022-12-01,9.4582
2022-12-02,9.4582
2022-12-03,9.4582
2022-12-04,9.4582
2022-12-05,9.4582
2022-12-06,9.4582
2022-12-07,9.4582
2022-12-08,9.4582
2022-12-09,9.4582
2022-12-10,9.4582
2022-12-11,9.4582
2022-12-12,9.4582
2022-12-13,9.4582
2022-12-14,9.4582
2022-12-15,9.4582
2022-12-16,9.4582
2022-12-17,9.4582
2022-12-18,9.4582
2022-12-19,9.4582
2022-12-20,9.4582
2022-12-21,9.4582
2022-12-22,9.4582
2022-12-23,9.4582
2022-12-24,9.4582
2022-12-25,9.4582
2022-12-26,9.4582
2022-12-27,9.4582
2022-12-28,9.4582
2022-12-29,9.4582
2022-12-30,9.4582
2022-12-31,10.0436
2023-01-01,10.0436
2023-01-02,10.0436
2023-01-03,10.0436
2023-01-04,10.0436
2023-01-05,10.0436
2023-01-06,10.0436
2023-01-07,10.0436
2023-01-08,10.0436
2023-01-09,10.0436
2023-01-10,10.0436
2023-01-11,10.0436
2023-01-12,10.0436
2023-01-13,10.0436
2023-01-14,10.0436
2023-01-15,10.0436
2023-01-16,10.0436
2023-01-17,10.0436
2023-01-18,10.0436
2023-01-19,10.0436
2023-01-20,10.0436
2023-01-21,10.0436
2023-01-22,10.0436
2023-01-23,10.0436
2023-01-24,10.0436
2023-01-25,10.0436
2023-01-26,10.0436
2023-01-27,10.0436
2023-01-28,10.0436
2023-01-29,10.0436
2023-01-30,10.0436
2023-01-31,10.0436
2023-02-01,10.0436
2023-02-02,10.0436
2023-02-03,10.0436
2023-02-04,10.0436
2023-02-05,10.0436
2023-02-06,10.0436
2023-02-07,10.0436
2023-02-08,10.0436
2023-02-09,10.0436
2023-02-10,10.0436
2023-02-11,10.0436
2023-02-12,10.0436
2023-02-13,10.0436
2023-02-14,10.0436
2023-02-15,10.0436
2023-02-16,10.0436
2023-02-17,10.0436
2023-02-18,10.0436
2023-02-19,10.0436
2023-02-20,10.0436
2023-02-21,10.0436
2023-02-22,10.0436
2023-02-23,10.0436
2023-02-24,10.0436
2023-02-25,10.0436
2023-02-26,10.0436
2023-02-27,10.0436
2023-02-28,10.0436
2023-03-01,10.0436
2023-03-02,10.0436
2023-03-03,10.0436
2023-03-04,10.0436
2023-03-05,10.0436
2023-03-06,10.0436
2023-03-07,10.0436
2023-03-08,10.0436
2023-03-09,10.0436
