,BALY US Equity
,RETURN_COM_EQY
2020-01-01,21.6166
2020-01-02,21.6166
2020-01-03,21.6166
2020-01-04,21.6166
2020-01-05,21.6166
2020-01-06,21.6166
2020-01-07,21.6166
2020-01-08,21.6166
2020-01-09,21.6166
2020-01-10,21.6166
2020-01-11,21.6166
2020-01-12,21.6166
2020-01-13,21.6166
2020-01-14,21.6166
2020-01-15,21.6166
2020-01-16,21.6166
2020-01-17,21.6166
2020-01-18,21.6166
2020-01-19,21.6166
2020-01-20,21.6166
2020-01-21,21.6166
2020-01-22,21.6166
2020-01-23,21.6166
2020-01-24,21.6166
2020-01-25,21.6166
2020-01-26,21.6166
2020-01-27,21.6166
2020-01-28,21.6166
2020-01-29,21.6166
2020-01-30,21.6166
2020-01-31,21.6166
2020-02-01,21.6166
2020-02-02,21.6166
2020-02-03,21.6166
2020-02-04,21.6166
2020-02-05,21.6166
2020-02-06,21.6166
2020-02-07,21.6166
2020-02-08,21.6166
2020-02-09,21.6166
2020-02-10,21.6166
2020-02-11,21.6166
2020-02-12,21.6166
2020-02-13,21.6166
2020-02-14,21.6166
2020-02-15,21.6166
2020-02-16,21.6166
2020-02-17,21.6166
2020-02-18,21.6166
2020-02-19,21.6166
2020-02-20,21.6166
2020-02-21,21.6166
2020-02-22,21.6166
2020-02-23,21.6166
2020-02-24,21.6166
2020-02-25,21.6166
2020-02-26,21.6166
2020-02-27,21.6166
2020-02-28,21.6166
2020-02-29,21.6166
2020-03-01,21.6166
2020-03-02,21.6166
2020-03-03,21.6166
2020-03-04,21.6166
2020-03-05,21.6166
2020-03-06,21.6166
2020-03-07,21.6166
2020-03-08,21.6166
2020-03-09,21.6166
2020-03-10,21.6166
2020-03-11,21.6166
2020-03-12,21.6166
2020-03-13,21.6166
2020-03-14,21.6166
2020-03-15,21.6166
2020-03-16,21.6166
2020-03-17,21.6166
2020-03-18,21.6166
2020-03-19,21.6166
2020-03-20,21.6166
2020-03-21,21.6166
2020-03-22,21.6166
2020-03-23,21.6166
2020-03-24,21.6166
2020-03-25,21.6166
2020-03-26,21.6166
2020-03-27,21.6166
2020-03-28,21.6166
2020-03-29,21.6166
2020-03-30,21.6166
2020-03-31,9.9882
2020-04-01,9.9882
2020-04-02,9.9882
2020-04-03,9.9882
2020-04-04,9.9882
2020-04-05,9.9882
2020-04-06,9.9882
2020-04-07,9.9882
2020-04-08,9.9882
2020-04-09,9.9882
2020-04-10,9.9882
2020-04-11,9.9882
2020-04-12,9.9882
2020-04-13,9.9882
2020-04-14,9.9882
2020-04-15,9.9882
2020-04-16,9.9882
2020-04-17,9.9882
2020-04-18,9.9882
2020-04-19,9.9882
2020-04-20,9.9882
2020-04-21,9.9882
2020-04-22,9.9882
2020-04-23,9.9882
2020-04-24,9.9882
2020-04-25,9.9882
2020-04-26,9.9882
2020-04-27,9.9882
2020-04-28,9.9882
2020-04-29,9.9882
2020-04-30,9.9882
2020-05-01,9.9882
2020-05-02,9.9882
2020-05-03,9.9882
2020-05-04,9.9882
2020-05-05,9.9882
2020-05-06,9.9882
2020-05-07,9.9882
2020-05-08,9.9882
2020-05-09,9.9882
2020-05-10,9.9882
2020-05-11,9.9882
2020-05-12,9.9882
2020-05-13,9.9882
2020-05-14,9.9882
2020-05-15,9.9882
2020-05-16,9.9882
