,IPG US Equity
,RETURN_COM_EQY
2020-01-01,25.3816
2020-01-02,25.3816
2020-01-03,25.3816
2020-01-04,25.3816
2020-01-05,25.3816
2020-01-06,25.3816
2020-01-07,25.3816
2020-01-08,25.3816
2020-01-09,25.3816
2020-01-10,25.3816
2020-01-11,25.3816
2020-01-12,25.3816
2020-01-13,25.3816
2020-01-14,25.3816
2020-01-15,25.3816
2020-01-16,25.3816
2020-01-17,25.3816
2020-01-18,25.3816
2020-01-19,25.3816
2020-01-20,25.3816
2020-01-21,25.3816
2020-01-22,25.3816
2020-01-23,25.3816
2020-01-24,25.3816
2020-01-25,25.3816
2020-01-26,25.3816
2020-01-27,25.3816
2020-01-28,25.3816
2020-01-29,25.3816
2020-01-30,25.3816
2020-01-31,25.3816
2020-02-01,25.3816
2020-02-02,25.3816
2020-02-03,25.3816
2020-02-04,25.3816
2020-02-05,25.3816
2020-02-06,25.3816
2020-02-07,25.3816
2020-02-08,25.3816
2020-02-09,25.3816
2020-02-10,25.3816
2020-02-11,25.3816
2020-02-12,25.3816
2020-02-13,25.3816
2020-02-14,25.3816
2020-02-15,25.3816
2020-02-16,25.3816
2020-02-17,25.3816
2020-02-18,25.3816
2020-02-19,25.3816
2020-02-20,25.3816
2020-02-21,25.3816
2020-02-22,25.3816
2020-02-23,25.3816
2020-02-24,25.3816
2020-02-25,25.3816
2020-02-26,25.3816
2020-02-27,25.3816
2020-02-28,25.3816
2020-02-29,25.3816
2020-03-01,25.3816
2020-03-02,25.3816
2020-03-03,25.3816
2020-03-04,25.3816
2020-03-05,25.3816
2020-03-06,25.3816
2020-03-07,25.3816
2020-03-08,25.3816
2020-03-09,25.3816
2020-03-10,25.3816
2020-03-11,25.3816
2020-03-12,25.3816
2020-03-13,25.3816
2020-03-14,25.3816
2020-03-15,25.3816
2020-03-16,25.3816
2020-03-17,25.3816
2020-03-18,25.3816
2020-03-19,25.3816
2020-03-20,25.3816
2020-03-21,25.3816
2020-03-22,25.3816
2020-03-23,25.3816
2020-03-24,25.3816
2020-03-25,25.3816
2020-03-26,25.3816
2020-03-27,25.3816
2020-03-28,25.3816
2020-03-29,25.3816
2020-03-30,25.3816
2020-03-31,27.5878
2020-04-01,27.5878
2020-04-02,27.5878
2020-04-03,27.5878
2020-04-04,27.5878
2020-04-05,27.5878
2020-04-06,27.5878
2020-04-07,27.5878
2020-04-08,27.5878
2020-04-09,27.5878
2020-04-10,27.5878
2020-04-11,27.5878
2020-04-12,27.5878
2020-04-13,27.5878
2020-04-14,27.5878
2020-04-15,27.5878
2020-04-16,27.5878
2020-04-17,27.5878
2020-04-18,27.5878
2020-04-19,27.5878
2020-04-20,27.5878
2020-04-21,27.5878
2020-04-22,27.5878
2020-04-23,27.5878
2020-04-24,27.5878
2020-04-25,27.5878
2020-04-26,27.5878
2020-04-27,27.5878
2020-04-28,27.5878
2020-04-29,27.5878
2020-04-30,27.5878
2020-05-01,27.5878
2020-05-02,27.5878
2020-05-03,27.5878
2020-05-04,27.5878
2020-05-05,27.5878
2020-05-06,27.5878
2020-05-07,27.5878
2020-05-08,27.5878
2020-05-09,27.5878
2020-05-10,27.5878
2020-05-11,27.5878
2020-05-12,27.5878
2020-05-13,27.5878
2020-05-14,27.5878
2020-05-15,27.5878
2020-05-16,27.5878
2020-05-17,27.5878
2020-05-18,27.5878
2020-05-19,27.5878
2020-05-20,27.5878
2020-05-21,27.5878
2020-05-22,27.5878
2020-05-23,27.5878
2020-05-24,27.5878
2020-05-25,27.5878
2020-05-26,27.5878
2020-05-27,27.5878
2020-05-28,27.5878
2020-05-29,27.5878
2020-05-30,27.5878
2020-05-31,27.5878
2020-06-01,27.5878
2020-06-02,27.5878
2020-06-03,27.5878
2020-06-04,27.5878
2020-06-05,27.5878
2020-06-06,27.5878
2020-06-07,27.5878
2020-06-08,27.5878
2020-06-09,27.5878
2020-06-10,27.5878
2020-06-11,27.5878
2020-06-12,27.5878
2020-06-13,27.5878
2020-06-14,27.5878
2020-06-15,27.5878
2020-06-16,27.5878
2020-06-17,27.5878
2020-06-18,27.5878
2020-06-19,27.5878
2020-06-20,27.5878
2020-06-21,27.5878
2020-06-22,27.5878
2020-06-23,27.5878
2020-06-24,27.5878
2020-06-25,27.5878
2020-06-26,27.5878
2020-06-27,27.5878
2020-06-28,27.5878
2020-06-29,27.5878
2020-06-30,18.6119
2020-07-01,18.6119
2020-07-02,18.6119
2020-07-03,18.6119
2020-07-04,18.6119
2020-07-05,18.6119
2020-07-06,18.6119
2020-07-07,18.6119
2020-07-08,18.6119
2020-07-09,18.6119
2020-07-10,18.6119
2020-07-11,18.6119
2020-07-12,18.6119
2020-07-13,18.6119
2020-07-14,18.6119
2020-07-15,18.6119
2020-07-16,18.6119
2020-07-17,18.6119
2020-07-18,18.6119
