,LAUR US Equity
,RETURN_COM_EQY
2020-01-01,38.4602
2020-01-02,38.4602
2020-01-03,38.4602
2020-01-04,38.4602
2020-01-05,38.4602
2020-01-06,38.4602
2020-01-07,38.4602
2020-01-08,38.4602
2020-01-09,38.4602
2020-01-10,38.4602
2020-01-11,38.4602
2020-01-12,38.4602
2020-01-13,38.4602
2020-01-14,38.4602
2020-01-15,38.4602
2020-01-16,38.4602
2020-01-17,38.4602
2020-01-18,38.4602
2020-01-19,38.4602
2020-01-20,38.4602
2020-01-21,38.4602
2020-01-22,38.4602
2020-01-23,38.4602
2020-01-24,38.4602
2020-01-25,38.4602
2020-01-26,38.4602
2020-01-27,38.4602
2020-01-28,38.4602
2020-01-29,38.4602
2020-01-30,38.4602
2020-01-31,38.4602
2020-02-01,38.4602
2020-02-02,38.4602
2020-02-03,38.4602
2020-02-04,38.4602
2020-02-05,38.4602
2020-02-06,38.4602
2020-02-07,38.4602
2020-02-08,38.4602
2020-02-09,38.4602
2020-02-10,38.4602
2020-02-11,38.4602
2020-02-12,38.4602
2020-02-13,38.4602
2020-02-14,38.4602
2020-02-15,38.4602
2020-02-16,38.4602
2020-02-17,38.4602
2020-02-18,38.4602
2020-02-19,38.4602
2020-02-20,38.4602
2020-02-21,38.4602
2020-02-22,38.4602
2020-02-23,38.4602
2020-02-24,38.4602
2020-02-25,38.4602
2020-02-26,38.4602
2020-02-27,38.4602
2020-02-28,38.4602
2020-02-29,38.4602
2020-03-01,38.4602
2020-03-02,38.4602
2020-03-03,38.4602
2020-03-04,38.4602
2020-03-05,38.4602
2020-03-06,38.4602
2020-03-07,38.4602
2020-03-08,38.4602
2020-03-09,38.4602
2020-03-10,38.4602
2020-03-11,38.4602
2020-03-12,38.4602
2020-03-13,38.4602
2020-03-14,38.4602
2020-03-15,38.4602
2020-03-16,38.4602
2020-03-17,38.4602
2020-03-18,38.4602
2020-03-19,38.4602
2020-03-20,38.4602
2020-03-21,38.4602
2020-03-22,38.4602
2020-03-23,38.4602
2020-03-24,38.4602
2020-03-25,38.4602
2020-03-26,38.4602
2020-03-27,38.4602
2020-03-28,38.4602
