,SNDR US Equity
,RETURN_COM_EQY
2020-01-01,6.7297
2020-01-02,6.7297
2020-01-03,6.7297
2020-01-04,6.7297
2020-01-05,6.7297
2020-01-06,6.7297
2020-01-07,6.7297
2020-01-08,6.7297
2020-01-09,6.7297
2020-01-10,6.7297
2020-01-11,6.7297
2020-01-12,6.7297
2020-01-13,6.7297
2020-01-14,6.7297
2020-01-15,6.7297
2020-01-16,6.7297
2020-01-17,6.7297
2020-01-18,6.7297
2020-01-19,6.7297
2020-01-20,6.7297
2020-01-21,6.7297
2020-01-22,6.7297
2020-01-23,6.7297
2020-01-24,6.7297
2020-01-25,6.7297
2020-01-26,6.7297
2020-01-27,6.7297
2020-01-28,6.7297
2020-01-29,6.7297
2020-01-30,6.7297
2020-01-31,6.7297
2020-02-01,6.7297
2020-02-02,6.7297
2020-02-03,6.7297
2020-02-04,6.7297
2020-02-05,6.7297
2020-02-06,6.7297
2020-02-07,6.7297
2020-02-08,6.7297
2020-02-09,6.7297
2020-02-10,6.7297
2020-02-11,6.7297
2020-02-12,6.7297
2020-02-13,6.7297
2020-02-14,6.7297
2020-02-15,6.7297
2020-02-16,6.7297
2020-02-17,6.7297
2020-02-18,6.7297
2020-02-19,6.7297
2020-02-20,6.7297
2020-02-21,6.7297
2020-02-22,6.7297
2020-02-23,6.7297
2020-02-24,6.7297
2020-02-25,6.7297
2020-02-26,6.7297
2020-02-27,6.7297
2020-02-28,6.7297
2020-02-29,6.7297
2020-03-01,6.7297
2020-03-02,6.7297
2020-03-03,6.7297
2020-03-04,6.7297
2020-03-05,6.7297
2020-03-06,6.7297
2020-03-07,6.7297
2020-03-08,6.7297
2020-03-09,6.7297
2020-03-10,6.7297
2020-03-11,6.7297
2020-03-12,6.7297
2020-03-13,6.7297
2020-03-14,6.7297
2020-03-15,6.7297
2020-03-16,6.7297
2020-03-17,6.7297
2020-03-18,6.7297
2020-03-19,6.7297
2020-03-20,6.7297
2020-03-21,6.7297
2020-03-22,6.7297
2020-03-23,6.7297
2020-03-24,6.7297
2020-03-25,6.7297
2020-03-26,6.7297
2020-03-27,6.7297
2020-03-28,6.7297
2020-03-29,6.7297
2020-03-30,6.7297
2020-03-31,6.9504
2020-04-01,6.9504
2020-04-02,6.9504
2020-04-03,6.9504
2020-04-04,6.9504
2020-04-05,6.9504
2020-04-06,6.9504
2020-04-07,6.9504
2020-04-08,6.9504
2020-04-09,6.9504
2020-04-10,6.9504
2020-04-11,6.9504
2020-04-12,6.9504
2020-04-13,6.9504
2020-04-14,6.9504
2020-04-15,6.9504
2020-04-16,6.9504
2020-04-17,6.9504
2020-04-18,6.9504
2020-04-19,6.9504
2020-04-20,6.9504
2020-04-21,6.9504
2020-04-22,6.9504
2020-04-23,6.9504
2020-04-24,6.9504
2020-04-25,6.9504
2020-04-26,6.9504
2020-04-27,6.9504
2020-04-28,6.9504
2020-04-29,6.9504
2020-04-30,6.9504
2020-05-01,6.9504
2020-05-02,6.9504
2020-05-03,6.9504
2020-05-04,6.9504
2020-05-05,6.9504
2020-05-06,6.9504
2020-05-07,6.9504
2020-05-08,6.9504
2020-05-09,6.9504
2020-05-10,6.9504
2020-05-11,6.9504
2020-05-12,6.9504
2020-05-13,6.9504
2020-05-14,6.9504
2020-05-15,6.9504
2020-05-16,6.9504
2020-05-17,6.9504
2020-05-18,6.9504
2020-05-19,6.9504
2020-05-20,6.9504
2020-05-21,6.9504
2020-05-22,6.9504
2020-05-23,6.9504
2020-05-24,6.9504
2020-05-25,6.9504
2020-05-26,6.9504
2020-05-27,6.9504
2020-05-28,6.9504
2020-05-29,6.9504
2020-05-30,6.9504
2020-05-31,6.9504
2020-06-01,6.9504
2020-06-02,6.9504
2020-06-03,6.9504
2020-06-04,6.9504
2020-06-05,6.9504
2020-06-06,6.9504
2020-06-07,6.9504
2020-06-08,6.9504
2020-06-09,6.9504
2020-06-10,6.9504
2020-06-11,6.9504
2020-06-12,6.9504
2020-06-13,6.9504
2020-06-14,6.9504
2020-06-15,6.9504
2020-06-16,6.9504
2020-06-17,6.9504
2020-06-18,6.9504
2020-06-19,6.9504
2020-06-20,6.9504
2020-06-21,6.9504
2020-06-22,6.9504
2020-06-23,6.9504
2020-06-24,6.9504
2020-06-25,6.9504
2020-06-26,6.9504
2020-06-27,6.9504
2020-06-28,6.9504
2020-06-29,6.9504
2020-06-30,7.3878
2020-07-01,7.3878
2020-07-02,7.3878
2020-07-03,7.3878
2020-07-04,7.3878
2020-07-05,7.3878
2020-07-06,7.3878
2020-07-07,7.3878
2020-07-08,7.3878
2020-07-09,7.3878
2020-07-10,7.3878
2020-07-11,7.3878
2020-07-12,7.3878
2020-07-13,7.3878
2020-07-14,7.3878
2020-07-15,7.3878
2020-07-16,7.3878
2020-07-17,7.3878
2020-07-18,7.3878
2020-07-19,7.3878
2020-07-20,7.3878
2020-07-21,7.3878
2020-07-22,7.3878
2020-07-23,7.3878
2020-07-24,7.3878
2020-07-25,7.3878
2020-07-26,7.3878
2020-07-27,7.3878
2020-07-28,7.3878
2020-07-29,7.3878
2020-07-30,7.3878
2020-07-31,7.3878
2020-08-01,7.3878
2020-08-02,7.3878
2020-08-03,7.3878
2020-08-04,7.3878
2020-08-05,7.3878
2020-08-06,7.3878
2020-08-07,7.3878
2020-08-08,7.3878
2020-08-09,7.3878
2020-08-10,7.3878
2020-08-11,7.3878
2020-08-12,7.3878
2020-08-13,7.3878
2020-08-14,7.3878
2020-08-15,7.3878
2020-08-16,7.3878
2020-08-17,7.3878
2020-08-18,7.3878
2020-08-19,7.3878
2020-08-20,7.3878
2020-08-21,7.3878
2020-08-22,7.3878
2020-08-23,7.3878
2020-08-24,7.3878
2020-08-25,7.3878
2020-08-26,7.3878
2020-08-27,7.3878
2020-08-28,7.3878
2020-08-29,7.3878
2020-08-30,7.3878
2020-08-31,7.3878
2020-09-01,7.3878
2020-09-02,7.3878
2020-09-03,7.3878
2020-09-04,7.3878
2020-09-05,7.3878
2020-09-06,7.3878
2020-09-07,7.3878
2020-09-08,7.3878
2020-09-09,7.3878
2020-09-10,7.3878
2020-09-11,7.3878
2020-09-12,7.3878
2020-09-13,7.3878
2020-09-14,7.3878
2020-09-15,7.3878
2020-09-16,7.3878
2020-09-17,7.3878
2020-09-18,7.3878
2020-09-19,7.3878
2020-09-20,7.3878
2020-09-21,7.3878
2020-09-22,7.3878
2020-09-23,7.3878
2020-09-24,7.3878
2020-09-25,7.3878
2020-09-26,7.3878
2020-09-27,7.3878
2020-09-28,7.3878
2020-09-29,7.3878
2020-09-30,8.4107
2020-10-01,8.4107
2020-10-02,8.4107
2020-10-03,8.4107
2020-10-04,8.4107
2020-10-05,8.4107
2020-10-06,8.4107
2020-10-07,8.4107
2020-10-08,8.4107
2020-10-09,8.4107
2020-10-10,8.4107
2020-10-11,8.4107
2020-10-12,8.4107
2020-10-13,8.4107
2020-10-14,8.4107
2020-10-15,8.4107
2020-10-16,8.4107
2020-10-17,8.4107
2020-10-18,8.4107
2020-10-19,8.4107
2020-10-20,8.4107
2020-10-21,8.4107
