,KO US Equity
,RETURN_COM_EQY
2021-06-30,37.4783
2021-07-01,37.4783
2021-07-02,40.6664
2021-07-03,40.6664
2021-07-04,40.6664
2021-07-05,40.6664
2021-07-06,40.6664
2021-07-07,40.6664
2021-07-08,40.6664
2021-07-09,40.6664
2021-07-10,40.6664
2021-07-11,40.6664
2021-07-12,40.6664
2021-07-13,40.6664
2021-07-14,40.6664
2021-07-15,40.6664
2021-07-16,40.6664
2021-07-17,40.6664
2021-07-18,40.6664
2021-07-19,40.6664
2021-07-20,40.6664
2021-07-21,40.6664
2021-07-22,40.6664
2021-07-23,40.6664
2021-07-24,40.6664
2021-07-25,40.6664
2021-07-26,40.6664
2021-07-27,40.6664
2021-07-28,40.6664
2021-07-29,40.6664
2021-07-30,40.6664
2021-07-31,40.6664
2021-08-01,40.6664
2021-08-02,40.6664
2021-08-03,40.6664
2021-08-04,40.6664
2021-08-05,40.6664
2021-08-06,40.6664
2021-08-07,40.6664
2021-08-08,40.6664
2021-08-09,40.6664
2021-08-10,40.6664
2021-08-11,40.6664
2021-08-12,40.6664
2021-08-13,40.6664
2021-08-14,40.6664
2021-08-15,40.6664
2021-08-16,40.6664
2021-08-17,40.6664
2021-08-18,40.6664
2021-08-19,40.6664
2021-08-20,40.6664
2021-08-21,40.6664
2021-08-22,40.6664
2021-08-23,40.6664
2021-08-24,40.6664
2021-08-25,40.6664
2021-08-26,40.6664
2021-08-27,40.6664
2021-08-28,40.6664
2021-08-29,40.6664
2021-08-30,40.6664
2021-08-31,40.6664
2021-09-01,40.6664
2021-09-02,40.6664
2021-09-03,40.6664
2021-09-04,40.6664
2021-09-05,40.6664
2021-09-06,40.6664
2021-09-07,40.6664
2021-09-08,40.6664
2021-09-09,40.6664
2021-09-10,40.6664
2021-09-11,40.6664
2021-09-12,40.6664
2021-09-13,40.6664
2021-09-14,40.6664
2021-09-15,40.6664
2021-09-16,40.6664
2021-09-17,40.6664
2021-09-18,40.6664
2021-09-19,40.6664
2021-09-20,40.6664
2021-09-21,40.6664
2021-09-22,40.6664
2021-09-23,40.6664
2021-09-24,40.6664
2021-09-25,40.6664
2021-09-26,40.6664
2021-09-27,40.6664
2021-09-28,40.6664
2021-09-29,40.6664
2021-09-30,40.6664
2021-10-01,43.2158
2021-10-02,43.2158
2021-10-03,43.2158
2021-10-04,43.2158
2021-10-05,43.2158
2021-10-06,43.2158
2021-10-07,43.2158
2021-10-08,43.2158
2021-10-09,43.2158
2021-10-10,43.2158
2021-10-11,43.2158
2021-10-12,43.2158
2021-10-13,43.2158
2021-10-14,43.2158
2021-10-15,43.2158
2021-10-16,43.2158
2021-10-17,43.2158
2021-10-18,43.2158
2021-10-19,43.2158
2021-10-20,43.2158
