,TPIC US Equity
,RETURN_COM_EQY
2020-01-01,-7.3745
2020-01-02,-7.3745
2020-01-03,-7.3745
2020-01-04,-7.3745
2020-01-05,-7.3745
2020-01-06,-7.3745
2020-01-07,-7.3745
2020-01-08,-7.3745
2020-01-09,-7.3745
2020-01-10,-7.3745
2020-01-11,-7.3745
2020-01-12,-7.3745
2020-01-13,-7.3745
2020-01-14,-7.3745
2020-01-15,-7.3745
2020-01-16,-7.3745
2020-01-17,-7.3745
2020-01-18,-7.3745
2020-01-19,-7.3745
2020-01-20,-7.3745
2020-01-21,-7.3745
2020-01-22,-7.3745
2020-01-23,-7.3745
2020-01-24,-7.3745
2020-01-25,-7.3745
2020-01-26,-7.3745
2020-01-27,-7.3745
2020-01-28,-7.3745
2020-01-29,-7.3745
2020-01-30,-7.3745
2020-01-31,-7.3745
2020-02-01,-7.3745
2020-02-02,-7.3745
2020-02-03,-7.3745
2020-02-04,-7.3745
2020-02-05,-7.3745
2020-02-06,-7.3745
2020-02-07,-7.3745
2020-02-08,-7.3745
2020-02-09,-7.3745
2020-02-10,-7.3745
2020-02-11,-7.3745
2020-02-12,-7.3745
2020-02-13,-7.3745
2020-02-14,-7.3745
2020-02-15,-7.3745
2020-02-16,-7.3745
2020-02-17,-7.3745
2020-02-18,-7.3745
2020-02-19,-7.3745
2020-02-20,-7.3745
2020-02-21,-7.3745
2020-02-22,-7.3745
2020-02-23,-7.3745
2020-02-24,-7.3745
2020-02-25,-7.3745
2020-02-26,-7.3745
2020-02-27,-7.3745
2020-02-28,-7.3745
2020-02-29,-7.3745
2020-03-01,-7.3745
2020-03-02,-7.3745
2020-03-03,-7.3745
2020-03-04,-7.3745
2020-03-05,-7.3745
2020-03-06,-7.3745
2020-03-07,-7.3745
2020-03-08,-7.3745
2020-03-09,-7.3745
2020-03-10,-7.3745
2020-03-11,-7.3745
2020-03-12,-7.3745
2020-03-13,-7.3745
2020-03-14,-7.3745
2020-03-15,-7.3745
2020-03-16,-7.3745
2020-03-17,-7.3745
2020-03-18,-7.3745
2020-03-19,-7.3745
2020-03-20,-7.3745
2020-03-21,-7.3745
2020-03-22,-7.3745
2020-03-23,-7.3745
2020-03-24,-7.3745
2020-03-25,-7.3745
2020-03-26,-7.3745
2020-03-27,-7.3745
2020-03-28,-7.3745
2020-03-29,-7.3745
2020-03-30,-7.3745
2020-03-31,-2.0261
2020-04-01,-2.0261
2020-04-02,-2.0261
2020-04-03,-2.0261
2020-04-04,-2.0261
2020-04-05,-2.0261
2020-04-06,-2.0261
2020-04-07,-2.0261
2020-04-08,-2.0261
2020-04-09,-2.0261
2020-04-10,-2.0261
2020-04-11,-2.0261
2020-04-12,-2.0261
2020-04-13,-2.0261
2020-04-14,-2.0261
2020-04-15,-2.0261
2020-04-16,-2.0261
2020-04-17,-2.0261
2020-04-18,-2.0261
2020-04-19,-2.0261
2020-04-20,-2.0261
2020-04-21,-2.0261
2020-04-22,-2.0261
2020-04-23,-2.0261
2020-04-24,-2.0261
2020-04-25,-2.0261
2020-04-26,-2.0261
2020-04-27,-2.0261
2020-04-28,-2.0261
2020-04-29,-2.0261
2020-04-30,-2.0261
2020-05-01,-2.0261
2020-05-02,-2.0261
2020-05-03,-2.0261
2020-05-04,-2.0261
