,HON US Equity
,RETURN_COM_EQY
2020-01-01,33.5006
2020-01-02,33.5006
2020-01-03,33.5006
2020-01-04,33.5006
2020-01-05,33.5006
2020-01-06,33.5006
2020-01-07,33.5006
2020-01-08,33.5006
2020-01-09,33.5006
2020-01-10,33.5006
2020-01-11,33.5006
2020-01-12,33.5006
2020-01-13,33.5006
2020-01-14,33.5006
2020-01-15,33.5006
2020-01-16,33.5006
2020-01-17,33.5006
2020-01-18,33.5006
2020-01-19,33.5006
2020-01-20,33.5006
2020-01-21,33.5006
2020-01-22,33.5006
2020-01-23,33.5006
2020-01-24,33.5006
2020-01-25,33.5006
2020-01-26,33.5006
2020-01-27,33.5006
2020-01-28,33.5006
2020-01-29,33.5006
2020-01-30,33.5006
2020-01-31,33.5006
2020-02-01,33.5006
2020-02-02,33.5006
2020-02-03,33.5006
2020-02-04,33.5006
2020-02-05,33.5006
2020-02-06,33.5006
2020-02-07,33.5006
2020-02-08,33.5006
2020-02-09,33.5006
2020-02-10,33.5006
2020-02-11,33.5006
2020-02-12,33.5006
2020-02-13,33.5006
2020-02-14,33.5006
2020-02-15,33.5006
2020-02-16,33.5006
2020-02-17,33.5006
2020-02-18,33.5006
2020-02-19,33.5006
2020-02-20,33.5006
2020-02-21,33.5006
2020-02-22,33.5006
2020-02-23,33.5006
2020-02-24,33.5006
2020-02-25,33.5006
2020-02-26,33.5006
2020-02-27,33.5006
2020-02-28,33.5006
2020-02-29,33.5006
2020-03-01,33.5006
2020-03-02,33.5006
2020-03-03,33.5006
2020-03-04,33.5006
2020-03-05,33.5006
2020-03-06,33.5006
2020-03-07,33.5006
2020-03-08,33.5006
2020-03-09,33.5006
2020-03-10,33.5006
2020-03-11,33.5006
2020-03-12,33.5006
2020-03-13,33.5006
2020-03-14,33.5006
2020-03-15,33.5006
2020-03-16,33.5006
2020-03-17,33.5006
2020-03-18,33.5006
2020-03-19,33.5006
2020-03-20,33.5006
2020-03-21,33.5006
2020-03-22,33.5006
2020-03-23,33.5006
2020-03-24,33.5006
2020-03-25,33.5006
2020-03-26,33.5006
2020-03-27,33.5006
2020-03-28,33.5006
2020-03-29,33.5006
2020-03-30,33.5006
2020-03-31,34.6489
2020-04-01,34.6489
2020-04-02,34.6489
2020-04-03,34.6489
2020-04-04,34.6489
2020-04-05,34.6489
2020-04-06,34.6489
2020-04-07,34.6489
2020-04-08,34.6489
2020-04-09,34.6489
2020-04-10,34.6489
2020-04-11,34.6489
2020-04-12,34.6489
2020-04-13,34.6489
2020-04-14,34.6489
2020-04-15,34.6489
2020-04-16,34.6489
2020-04-17,34.6489
2020-04-18,34.6489
2020-04-19,34.6489
2020-04-20,34.6489
2020-04-21,34.6489
2020-04-22,34.6489
2020-04-23,34.6489
2020-04-24,34.6489
2020-04-25,34.6489
2020-04-26,34.6489
2020-04-27,34.6489
2020-04-28,34.6489
2020-04-29,34.6489
2020-04-30,34.6489
2020-05-01,34.6489
2020-05-02,34.6489
2020-05-03,34.6489
2020-05-04,34.6489
2020-05-05,34.6489
2020-05-06,34.6489
2020-05-07,34.6489
2020-05-08,34.6489
2020-05-09,34.6489
2020-05-10,34.6489
2020-05-11,34.6489
2020-05-12,34.6489
2020-05-13,34.6489
