,ULH US Equity
,RETURN_COM_EQY
2020-01-01,18.1349
2020-01-02,18.1349
2020-01-03,18.1349
2020-01-04,18.1349
2020-01-05,18.1349
2020-01-06,18.1349
2020-01-07,18.1349
2020-01-08,18.1349
2020-01-09,18.1349
2020-01-10,18.1349
2020-01-11,18.1349
2020-01-12,18.1349
2020-01-13,18.1349
2020-01-14,18.1349
2020-01-15,18.1349
2020-01-16,18.1349
2020-01-17,18.1349
2020-01-18,18.1349
2020-01-19,18.1349
2020-01-20,18.1349
2020-01-21,18.1349
2020-01-22,18.1349
2020-01-23,18.1349
2020-01-24,18.1349
2020-01-25,18.1349
2020-01-26,18.1349
2020-01-27,18.1349
2020-01-28,18.1349
2020-01-29,18.1349
2020-01-30,18.1349
2020-01-31,18.1349
2020-02-01,18.1349
2020-02-02,18.1349
2020-02-03,18.1349
2020-02-04,18.1349
2020-02-05,18.1349
2020-02-06,18.1349
2020-02-07,18.1349
2020-02-08,18.1349
2020-02-09,18.1349
2020-02-10,18.1349
2020-02-11,18.1349
2020-02-12,18.1349
2020-02-13,18.1349
2020-02-14,18.1349
2020-02-15,18.1349
2020-02-16,18.1349
2020-02-17,18.1349
2020-02-18,18.1349
2020-02-19,18.1349
2020-02-20,18.1349
2020-02-21,18.1349
2020-02-22,18.1349
2020-02-23,18.1349
2020-02-24,18.1349
2020-02-25,18.1349
2020-02-26,18.1349
2020-02-27,18.1349
2020-02-28,18.1349
2020-02-29,18.1349
2020-03-01,18.1349
2020-03-02,18.1349
2020-03-03,18.1349
2020-03-04,18.1349
2020-03-05,18.1349
2020-03-06,18.1349
2020-03-07,18.1349
2020-03-08,18.1349
2020-03-09,18.1349
2020-03-10,18.1349
2020-03-11,18.1349
2020-03-12,18.1349
2020-03-13,18.1349
2020-03-14,18.1349
2020-03-15,18.1349
2020-03-16,18.1349
2020-03-17,18.1349
2020-03-18,18.1349
2020-03-19,18.1349
2020-03-20,18.1349
2020-03-21,18.1349
2020-03-22,18.1349
2020-03-23,18.1349
2020-03-24,18.1349
2020-03-25,18.1349
2020-03-26,18.1349
2020-03-27,18.1349
2020-03-28,18.1349
2020-03-29,18.1349
2020-03-30,18.1349
2020-03-31,18.1349
2020-04-01,18.1349
2020-04-02,18.1349
2020-04-03,18.1349
2020-04-04,15.118
2020-04-05,15.118
2020-04-06,15.118
2020-04-07,15.118
2020-04-08,15.118
2020-04-09,15.118
2020-04-10,15.118
2020-04-11,15.118
2020-04-12,15.118
2020-04-13,15.118
2020-04-14,15.118
2020-04-15,15.118
2020-04-16,15.118
2020-04-17,15.118
2020-04-18,15.118
2020-04-19,15.118
2020-04-20,15.118
2020-04-21,15.118
2020-04-22,15.118
2020-04-23,15.118
2020-04-24,15.118
2020-04-25,15.118
2020-04-26,15.118
2020-04-27,15.118
2020-04-28,15.118
2020-04-29,15.118
2020-04-30,15.118
2020-05-01,15.118
2020-05-02,15.118
2020-05-03,15.118
2020-05-04,15.118
2020-05-05,15.118
2020-05-06,15.118
2020-05-07,15.118
2020-05-08,15.118
2020-05-09,15.118
2020-05-10,15.118
2020-05-11,15.118
2020-05-12,15.118
2020-05-13,15.118
2020-05-14,15.118
2020-05-15,15.118
2020-05-16,15.118
2020-05-17,15.118
2020-05-18,15.118
2020-05-19,15.118
2020-05-20,15.118
2020-05-21,15.118
2020-05-22,15.118
2020-05-23,15.118
2020-05-24,15.118
2020-05-25,15.118
2020-05-26,15.118
2020-05-27,15.118
2020-05-28,15.118
2020-05-29,15.118
2020-05-30,15.118
2020-05-31,15.118
2020-06-01,15.118
2020-06-02,15.118
2020-06-03,15.118
2020-06-04,15.118
2020-06-05,15.118
2020-06-06,15.118
2020-06-07,15.118
2020-06-08,15.118
2020-06-09,15.118
2020-06-10,15.118
2020-06-11,15.118
2020-06-12,15.118
2020-06-13,15.118
2020-06-14,15.118
2020-06-15,15.118
2020-06-16,15.118
2020-06-17,15.118
2020-06-18,15.118
2020-06-19,15.118
2020-06-20,15.118
2020-06-21,15.118
2020-06-22,15.118
2020-06-23,15.118
2020-06-24,15.118
2020-06-25,15.118
2020-06-26,15.118
2020-06-27,15.118
2020-06-28,15.118
2020-06-29,15.118
2020-06-30,15.118
2020-07-01,15.118
2020-07-02,15.118
2020-07-03,15.118
2020-07-04,8.2164
2020-07-05,8.2164
2020-07-06,8.2164
2020-07-07,8.2164
2020-07-08,8.2164
2020-07-09,8.2164
2020-07-10,8.2164
2020-07-11,8.2164
2020-07-12,8.2164
2020-07-13,8.2164
2020-07-14,8.2164
2020-07-15,8.2164
2020-07-16,8.2164
2020-07-17,8.2164
2020-07-18,8.2164
2020-07-19,8.2164
2020-07-20,8.2164
2020-07-21,8.2164
2020-07-22,8.2164
2020-07-23,8.2164
2020-07-24,8.2164
2020-07-25,8.2164
2020-07-26,8.2164
2020-07-27,8.2164
2020-07-28,8.2164
2020-07-29,8.2164
2020-07-30,8.2164
2020-07-31,8.2164
2020-08-01,8.2164
2020-08-02,8.2164
2020-08-03,8.2164
2020-08-04,8.2164
2020-08-05,8.2164
2020-08-06,8.2164
2020-08-07,8.2164
2020-08-08,8.2164
2020-08-09,8.2164
2020-08-10,8.2164
2020-08-11,8.2164
2020-08-12,8.2164
2020-08-13,8.2164
2020-08-14,8.2164
2020-08-15,8.2164
2020-08-16,8.2164
2020-08-17,8.2164
2020-08-18,8.2164
2020-08-19,8.2164
2020-08-20,8.2164
2020-08-21,8.2164
2020-08-22,8.2164
2020-08-23,8.2164
2020-08-24,8.2164
2020-08-25,8.2164
2020-08-26,8.2164
2020-08-27,8.2164
2020-08-28,8.2164
2020-08-29,8.2164
2020-08-30,8.2164
2020-08-31,8.2164
2020-09-01,8.2164
2020-09-02,8.2164
2020-09-03,8.2164
2020-09-04,8.2164
2020-09-05,8.2164
2020-09-06,8.2164
2020-09-07,8.2164
2020-09-08,8.2164
2020-09-09,8.2164
2020-09-10,8.2164
2020-09-11,8.2164
2020-09-12,8.2164
2020-09-13,8.2164
2020-09-14,8.2164
2020-09-15,8.2164
2020-09-16,8.2164
2020-09-17,8.2164
2020-09-18,8.2164
2020-09-19,8.2164
2020-09-20,8.2164
2020-09-21,8.2164
2020-09-22,8.2164
2020-09-23,8.2164
2020-09-24,8.2164
2020-09-25,8.2164
2020-09-26,8.2164
2020-09-27,8.2164
2020-09-28,8.2164
2020-09-29,8.2164
2020-09-30,8.2164
2020-10-01,8.2164
2020-10-02,8.2164
2020-10-03,19.1031
2020-10-04,19.1031
2020-10-05,19.1031
2020-10-06,19.1031
2020-10-07,19.1031
2020-10-08,19.1031
2020-10-09,19.1031
2020-10-10,19.1031
2020-10-11,19.1031
2020-10-12,19.1031
2020-10-13,19.1031
