,CBRL US Equity
,RETURN_COM_EQY
2020-01-01,36.3887
2020-01-02,36.3887
2020-01-03,36.3887
2020-01-04,36.3887
2020-01-05,36.3887
2020-01-06,36.3887
2020-01-07,36.3887
2020-01-08,36.3887
2020-01-09,36.3887
2020-01-10,36.3887
2020-01-11,36.3887
2020-01-12,36.3887
2020-01-13,36.3887
2020-01-14,36.3887
2020-01-15,36.3887
2020-01-16,36.3887
2020-01-17,36.3887
2020-01-18,36.3887
2020-01-19,36.3887
2020-01-20,36.3887
2020-01-21,36.3887
2020-01-22,36.3887
2020-01-23,36.3887
2020-01-24,36.3887
2020-01-25,36.3887
2020-01-26,36.3887
2020-01-27,36.3887
2020-01-28,36.3887
2020-01-29,36.3887
2020-01-30,36.3887
2020-01-31,34.9339
2020-02-01,34.9339
2020-02-02,34.9339
2020-02-03,34.9339
2020-02-04,34.9339
2020-02-05,34.9339
2020-02-06,34.9339
2020-02-07,34.9339
2020-02-08,34.9339
2020-02-09,34.9339
2020-02-10,34.9339
2020-02-11,34.9339
2020-02-12,34.9339
2020-02-13,34.9339
2020-02-14,34.9339
2020-02-15,34.9339
2020-02-16,34.9339
2020-02-17,34.9339
2020-02-18,34.9339
2020-02-19,34.9339
2020-02-20,34.9339
2020-02-21,34.9339
2020-02-22,34.9339
2020-02-23,34.9339
2020-02-24,34.9339
2020-02-25,34.9339
2020-02-26,34.9339
2020-02-27,34.9339
2020-02-28,34.9339
2020-02-29,34.9339
2020-03-01,34.9339
2020-03-02,34.9339
2020-03-03,34.9339
2020-03-04,34.9339
2020-03-05,34.9339
2020-03-06,34.9339
2020-03-07,34.9339
2020-03-08,34.9339
2020-03-09,34.9339
2020-03-10,34.9339
2020-03-11,34.9339
2020-03-12,34.9339
2020-03-13,34.9339
2020-03-14,34.9339
2020-03-15,34.9339
2020-03-16,34.9339
2020-03-17,34.9339
2020-03-18,34.9339
2020-03-19,34.9339
2020-03-20,34.9339
2020-03-21,34.9339
2020-03-22,34.9339
2020-03-23,34.9339
2020-03-24,34.9339
2020-03-25,34.9339
2020-03-26,34.9339
2020-03-27,34.9339
2020-03-28,34.9339
2020-03-29,34.9339
2020-03-30,34.9339
2020-03-31,34.9339
2020-04-01,34.9339
2020-04-02,34.9339
2020-04-03,34.9339
2020-04-04,34.9339
2020-04-05,34.9339
2020-04-06,34.9339
2020-04-07,34.9339
2020-04-08,34.9339
2020-04-09,34.9339
2020-04-10,34.9339
2020-04-11,34.9339
2020-04-12,34.9339
2020-04-13,34.9339
2020-04-14,34.9339
2020-04-15,34.9339
2020-04-16,34.9339
2020-04-17,34.9339
2020-04-18,34.9339
2020-04-19,34.9339
2020-04-20,34.9339
2020-04-21,34.9339
2020-04-22,34.9339
2020-04-23,34.9339
2020-04-24,34.9339
2020-04-25,34.9339
2020-04-26,34.9339
2020-04-27,34.9339
2020-04-28,34.9339
2020-04-29,34.9339
2020-04-30,34.9339
2020-05-01,1.4389
2020-05-02,1.4389
2020-05-03,1.4389
2020-05-04,1.4389
2020-05-05,1.4389
2020-05-06,1.4389
2020-05-07,1.4389
2020-05-08,1.4389
2020-05-09,1.4389
2020-05-10,1.4389
2020-05-11,1.4389
2020-05-12,1.4389
2020-05-13,1.4389
