,OGE US Equity
,RSI_30D
2020-01-01,60.1835
2020-01-02,56.5076
2020-01-03,56.5746
2020-01-04,56.5746
2020-01-05,56.5746
2020-01-06,55.2553
2020-01-07,56.1716
2020-01-08,54.5708
2020-01-09,56.0066
2020-01-10,59.5549
2020-01-11,59.5549
2020-01-12,59.5549
2020-01-13,62.3965
2020-01-14,64.3915
2020-01-15,65.7137
2020-01-16,66.9821
2020-01-17,67.2711
2020-01-18,67.2711
2020-01-19,67.2711
2020-01-20,67.2711
2020-01-21,66.7672
2020-01-22,64.9554
2020-01-23,67.0132
2020-01-24,64.1865
2020-01-25,64.1865
2020-01-26,64.1865
2020-01-27,63.898
2020-01-28,65.5018
2020-01-29,65.7119
2020-01-30,67.9812
2020-01-31,63.8067
2020-02-01,63.8067
2020-02-02,63.8067
2020-02-03,64.2295
2020-02-04,62.5295
2020-02-05,63.8493
2020-02-06,63.9587
2020-02-07,63.3634
2020-02-08,63.3634
2020-02-09,63.3634
2020-02-10,64.3919
2020-02-11,62.673
2020-02-12,61.3768
2020-02-13,60.7767
2020-02-14,62.9621
2020-02-15,62.9621
2020-02-16,62.9621
2020-02-17,62.9621
2020-02-18,62.1434
2020-02-19,54.4525
2020-02-20,52.2238
2020-02-21,53.0055
2020-02-22,53.0055
2020-02-23,53.0055
2020-02-24,49.0088
2020-02-25,44.7298
2020-02-26,40.6103
2020-02-27,30.2331
2020-02-28,24.3772
2020-02-29,24.3772
2020-03-01,24.3772
2020-03-02,32.2192
2020-03-03,30.2885
2020-03-04,36.874
2020-03-05,34.2092
2020-03-06,31.6495
2020-03-07,31.6495
2020-03-08,31.6495
2020-03-09,25.0632
2020-03-10,30.9163
2020-03-11,29.042
2020-03-12,26.5268
2020-03-13,29.9897
2020-03-14,29.9897
2020-03-15,29.9897
2020-03-16,26.8414
2020-03-17,26.626
2020-03-18,23.8252
2020-03-19,23.2606
2020-03-20,21.9766
2020-03-21,21.9766
2020-03-22,21.9766
2020-03-23,20.3212
2020-03-24,29.3843
2020-03-25,34.0712
2020-03-26,38.8491
2020-03-27,40.0933
2020-03-28,40.0933
2020-03-29,40.0933
2020-03-30,39.9488
2020-03-31,38.4247
2020-04-01,36.3988
2020-04-02,36.4828
2020-04-03,33.5708
2020-04-04,33.5708
2020-04-05,33.5708
2020-04-06,38.3413
2020-04-07,39.8984
2020-04-08,43.3107
2020-04-09,45.4004
2020-04-10,45.4004
2020-04-11,45.4004
2020-04-12,45.4004
2020-04-13,44.6392
2020-04-14,46.2659
2020-04-15,43.7974
2020-04-16,43.2344
2020-04-17,44.9429
2020-04-18,44.9429
2020-04-19,44.9429
2020-04-20,42.9506
2020-04-21,41.9107
2020-04-22,44.091
2020-04-23,44.1087
2020-04-24,45.1297
2020-04-25,45.1297
2020-04-26,45.1297
2020-04-27,46.7709
2020-04-28,47.1752
2020-04-29,47.3191
2020-04-30,45.724
2020-05-01,43.8547
2020-05-02,43.8547
2020-05-03,43.8547
2020-05-04,44.1476
2020-05-05,43.9264
2020-05-06,42.2526
2020-05-07,42.3376
2020-05-08,45.957
2020-05-09,45.957
2020-05-10,45.957
2020-05-11,45.0919
2020-05-12,44.1172
2020-05-13,42.3823
2020-05-14,43.4056
2020-05-15,42.1004
2020-05-16,42.1004
2020-05-17,42.1004
2020-05-18,46.7242
2020-05-19,45.6561
2020-05-20,47.5365
2020-05-21,46.777
2020-05-22,47.0158
2020-05-23,47.0158
2020-05-24,47.0158
2020-05-25,47.0158
2020-05-26,49.0461
2020-05-27,48.2842
2020-05-28,49.2197
2020-05-29,48.1275
2020-05-30,48.1275
2020-05-31,48.1275
2020-06-01,49.7857
2020-06-02,49.8666
2020-06-03,51.5223
2020-06-04,50.8026
2020-06-05,52.6926
2020-06-06,52.6926
2020-06-07,52.6926
2020-06-08,54.9767
2020-06-09,52.2165
2020-06-10,50.5622
2020-06-11,46.1738
2020-06-12,47.0952
2020-06-13,47.0952
2020-06-14,47.0952
2020-06-15,47.8341
2020-06-16,47.9803
2020-06-17,47.3335
2020-06-18,47.378
2020-06-19,46.4847
2020-06-20,46.4847
2020-06-21,46.4847
2020-06-22,47.1871
2020-06-23,46.6383
2020-06-24,46.126
2020-06-25,45.5226
2020-06-26,44.0533
2020-06-27,44.0533
2020-06-28,44.0533
2020-06-29,46.7093
2020-06-30,46.6204
2020-07-01,47.0376
2020-07-02,47.3303
2020-07-03,47.3303
2020-07-04,47.3303
2020-07-05,47.3303
2020-07-06,47.0612
2020-07-07,47.897
2020-07-08,47.8189
2020-07-09,46.6695
2020-07-10,49.5414
2020-07-11,49.5414
2020-07-12,49.5414
2020-07-13,50.5705
2020-07-14,51.8874
2020-07-15,52.3525
2020-07-16,52.1073
2020-07-17,53.4603
2020-07-18,53.4603
2020-07-19,53.4603
2020-07-20,50.4211
2020-07-21,52.9638
2020-07-22,55.284
2020-07-23,55.0002
2020-07-24,54.5815
2020-07-25,54.5815
2020-07-26,54.5815
2020-07-27,52.7288
2020-07-28,53.8192
2020-07-29,54.5149
2020-07-30,54.3793
2020-07-31,54.0663
2020-08-01,54.0663
2020-08-02,54.0663
2020-08-03,52.2012
2020-08-04,54.0534
2020-08-05,51.4822
2020-08-06,53.6719
2020-08-07,54.6579
2020-08-08,54.6579
2020-08-09,54.6579
2020-08-10,56.1074
2020-08-11,52.7871
2020-08-12,54.4266
2020-08-13,53.252
2020-08-14,51.8625
2020-08-15,51.8625
2020-08-16,51.8625
2020-08-17,51.2695
2020-08-18,51.3015
2020-08-19,50.0435
2020-08-20,50.4174
2020-08-21,49.6829
2020-08-22,49.6829
2020-08-23,49.6829
2020-08-24,51.493
2020-08-25,50.305
2020-08-26,47.2306
2020-08-27,48.2128
2020-08-28,49.12
2020-08-29,49.12
2020-08-30,49.12
2020-08-31,49.3768
2020-09-01,47.7041
2020-09-02,51.1294
2020-09-03,49.2822
2020-09-04,48.3441
2020-09-05,48.3441
2020-09-06,48.3441
2020-09-07,48.3441
2020-09-08,46.0277
2020-09-09,46.9049
2020-09-10,44.5905
2020-09-11,43.9273
2020-09-12,43.9273
2020-09-13,43.9273
2020-09-14,44.2134
2020-09-15,41.8467
2020-09-16,42.9007
2020-09-17,41.8034
2020-09-18,40.1931
2020-09-19,40.1931
2020-09-20,40.1931
2020-09-21,39.7153
2020-09-22,40.9409
2020-09-23,41.3973
2020-09-24,41.5375
2020-09-25,42.5799
2020-09-26,42.5799
2020-09-27,42.5799
2020-09-28,44.2167
2020-09-29,44.2637
2020-09-30,45.7748
2020-10-01,46.7549
2020-10-02,50.5418
2020-10-03,50.5418
2020-10-04,50.5418
2020-10-05,54.3315
2020-10-06,55.6014
2020-10-07,54.09
2020-10-08,56.6025
2020-10-09,55.1683
2020-10-10,55.1683
2020-10-11,55.1683
2020-10-12,55.4989
2020-10-13,51.2817
2020-10-14,50.3834
2020-10-15,52.4588
2020-10-16,52.8819
2020-10-17,52.8819
2020-10-18,52.8819
2020-10-19,52.7935
2020-10-20,55.378
2020-10-21,52.8324
2020-10-22,55.9557
2020-10-23,58.212
2020-10-24,58.212
2020-10-25,58.212
2020-10-26,57.1275
2020-10-27,55.2208
2020-10-28,49.6047
2020-10-29,49.1645
2020-10-30,48.46
2020-10-31,48.46
2020-11-01,48.46
2020-11-02,52.1897
2020-11-03,54.6992
2020-11-04,53.6366
2020-11-05,52.5799
2020-11-06,51.4536
2020-11-07,51.4536
2020-11-08,51.4536
2020-11-09,54.8356
2020-11-10,59.4837
2020-11-11,58.4075
2020-11-12,53.853
2020-11-13,57.3238
2020-11-14,57.3238
2020-11-15,57.3238
2020-11-16,59.2321
2020-11-17,57.4717
2020-11-18,54.303
2020-11-19,54.8567
2020-11-20,55.5531
2020-11-21,55.5531
2020-11-22,55.5531
2020-11-23,56.4973
2020-11-24,58.3547
2020-11-25,57.9098
2020-11-26,57.9098
2020-11-27,54.3727
2020-11-28,54.3727
2020-11-29,54.3727
2020-11-30,50.3255
2020-12-01,51.249
2020-12-02,52.1981
2020-12-03,50.9164
2020-12-04,51.7136
2020-12-05,51.7136
2020-12-06,51.7136
2020-12-07,51.8071
2020-12-08,50.5588
2020-12-09,51.442
2020-12-10,49.8388
2020-12-11,49.2309
2020-12-12,49.2309
2020-12-13,49.2309
2020-12-14,48.9564
2020-12-15,49.8603
2020-12-16,48.5788
2020-12-17,47.0163
2020-12-18,45.7313
2020-12-19,45.7313
2020-12-20,45.7313
2020-12-21,43.6217
2020-12-22,44.4376
2020-12-23,45.4181
2020-12-24,46.3164
2020-12-25,46.3164
2020-12-26,46.3164
2020-12-27,46.3164
2020-12-28,47.2954
2020-12-29,45.9588
2020-12-30,48.1309
2020-12-31,49.3624
2021-01-01,49.3624
2021-01-02,49.3624
2021-01-03,49.3624
2021-01-04,49.6813
2021-01-05,49.7632
2021-01-06,53.5168
2021-01-07,50.5844
2021-01-08,51.6351
2021-01-09,51.6351
2021-01-10,51.6351
2021-01-11,49.8641
2021-01-12,48.0432
2021-01-13,48.0046
2021-01-14,46.3488
2021-01-15,48.8124
2021-01-16,48.8124
2021-01-17,48.8124
2021-01-18,48.8124
2021-01-19,47.9871
2021-01-20,49.1311
2021-01-21,48.8839
2021-01-22,49.1485
2021-01-23,49.1485
2021-01-24,49.1485
2021-01-25,51.1542
2021-01-26,50.0445
2021-01-27,46.4967
2021-01-28,47.5821
2021-01-29,45.8192
2021-01-30,45.8192
2021-01-31,45.8192
2021-02-01,47.1542
2021-02-02,49.0786
2021-02-03,47.2968
2021-02-04,49.7962
2021-02-05,50.0113
2021-02-06,50.0113
2021-02-07,50.0113
2021-02-08,48.2573
