,ECPG US Equity
,RSI_30D
2020-01-01,50.2761
2020-01-02,52.4618
2020-01-03,50.5591
2020-01-04,50.5591
2020-01-05,50.5591
2020-01-06,49.9346
2020-01-07,48.6525
2020-01-08,50.1375
2020-01-09,51.3951
2020-01-10,50.3684
2020-01-11,50.3684
2020-01-12,50.3684
2020-01-13,51.7058
2020-01-14,53.2238
2020-01-15,53.7825
2020-01-16,56.3141
2020-01-17,56.127
2020-01-18,56.127
2020-01-19,56.127
2020-01-20,56.127
2020-01-21,54.5796
2020-01-22,54.8527
2020-01-23,55.834
2020-01-24,51.4817
2020-01-25,51.4817
2020-01-26,51.4817
2020-01-27,49.2832
2020-01-28,50.5846
2020-01-29,47.647
2020-01-30,47.4885
2020-01-31,43.5543
2020-02-01,43.5543
2020-02-02,43.5543
2020-02-03,44.3716
2020-02-04,48.6844
2020-02-05,52.5642
2020-02-06,51.8555
2020-02-07,50.8313
2020-02-08,50.8313
2020-02-09,50.8313
2020-02-10,50.4743
2020-02-11,52.9794
2020-02-12,53.8933
2020-02-13,55.0853
2020-02-14,50.7274
2020-02-15,50.7274
2020-02-16,50.7274
2020-02-17,50.7274
2020-02-18,47.7071
2020-02-19,46.0803
2020-02-20,47.8419
2020-02-21,45.5173
2020-02-22,45.5173
2020-02-23,45.5173
2020-02-24,41.639
2020-02-25,37.0053
2020-02-26,36.2021
2020-02-27,48.5975
2020-02-28,54.8442
2020-02-29,54.8442
2020-03-01,54.8442
2020-03-02,57.8568
2020-03-03,56.6964
2020-03-04,60.2802
2020-03-05,58.3824
2020-03-06,56.5661
2020-03-07,56.5661
2020-03-08,56.5661
2020-03-09,55.6703
2020-03-10,53.3001
2020-03-11,48.6947
2020-03-12,44.7532
2020-03-13,49.314
2020-03-14,49.314
2020-03-15,49.314
2020-03-16,47.5288
2020-03-17,41.1253
2020-03-18,29.0142
2020-03-19,27.7493
2020-03-20,33.0541
2020-03-21,33.0541
2020-03-22,33.0541
2020-03-23,30.6442
2020-03-24,39.5748
2020-03-25,45.0183
2020-03-26,46.9271
2020-03-27,45.0843
2020-03-28,45.0843
2020-03-29,45.0843
2020-03-30,44.5137
2020-03-31,41.5354
2020-04-01,39.906
2020-04-02,38.3071
2020-04-03,36.7689
2020-04-04,36.7689
2020-04-05,36.7689
2020-04-06,40.8384
2020-04-07,44.0085
2020-04-08,46.1571
2020-04-09,48.7792
2020-04-10,48.7792
2020-04-11,48.7792
2020-04-12,48.7792
2020-04-13,46.9612
2020-04-14,46.7309
2020-04-15,46.0631
2020-04-16,45.1005
2020-04-17,47.8483
2020-04-18,47.8483
2020-04-19,47.8483
2020-04-20,47.2143
2020-04-21,46.0387
2020-04-22,43.9574
2020-04-23,44.8346
2020-04-24,45.231
2020-04-25,45.231
2020-04-26,45.231
2020-04-27,46.3232
2020-04-28,47.9342
2020-04-29,50.5054
2020-04-30,47.7572
2020-05-01,45.6425
2020-05-02,45.6425
2020-05-03,45.6425
2020-05-04,45.3591
2020-05-05,45.5287
2020-05-06,44.7828
2020-05-07,46.4239
2020-05-08,53.138
2020-05-09,53.138
2020-05-10,53.138
2020-05-11,50.8554
2020-05-12,52.5375
2020-05-13,52.8145
2020-05-14,53.1591
2020-05-15,52.8825
2020-05-16,52.8825
2020-05-17,52.8825
2020-05-18,54.4667
2020-05-19,53.241
2020-05-20,53.6983
2020-05-21,53.4555
2020-05-22,53.5148
2020-05-23,53.5148
2020-05-24,53.5148
2020-05-25,53.5148
2020-05-26,54.2386
2020-05-27,54.9937
2020-05-28,54.2894
2020-05-29,52.9959
2020-05-30,52.9959
2020-05-31,52.9959
2020-06-01,53.5088
2020-06-02,53.7863
2020-06-03,54.7256
2020-06-04,55.7879
2020-06-05,58.8858
2020-06-06,58.8858
2020-06-07,58.8858
2020-06-08,58.2623
2020-06-09,58.0311
2020-06-10,55.8395
2020-06-11,55.5134
2020-06-12,56.4288
2020-06-13,56.4288
2020-06-14,56.4288
2020-06-15,58.4414
2020-06-16,57.9998
2020-06-17,58.0111
2020-06-18,56.8231
2020-06-19,55.985
2020-06-20,55.985
2020-06-21,55.985
2020-06-22,56.0229
2020-06-23,53.9983
2020-06-24,52.9612
2020-06-25,53.5762
2020-06-26,50.3642
2020-06-27,50.3642
2020-06-28,50.3642
2020-06-29,52.6768
2020-06-30,52.8159
2020-07-01,51.9782
2020-07-02,52.2296
2020-07-03,52.2296
2020-07-04,52.2296
2020-07-05,52.2296
2020-07-06,52.9195
2020-07-07,50.0428
2020-07-08,51.3414
2020-07-09,47.5651
2020-07-10,49.3971
2020-07-11,49.3971
2020-07-12,49.3971
2020-07-13,49.9187
2020-07-14,51.2933
2020-07-15,54.2522
2020-07-16,55.2401
2020-07-17,52.9562
2020-07-18,52.9562
2020-07-19,52.9562
2020-07-20,53.669
2020-07-21,53.136
2020-07-22,53.2411
2020-07-23,53.8679
2020-07-24,52.9544
2020-07-25,52.9544
2020-07-26,52.9544
2020-07-27,53.4666
2020-07-28,54.0648
2020-07-29,55.7506
2020-07-30,54.0659
2020-07-31,55.3961
2020-08-01,55.3961
2020-08-02,55.3961
2020-08-03,54.6856
2020-08-04,54.7356
2020-08-05,59.6258
2020-08-06,67.4781
2020-08-07,61.5808
2020-08-08,61.5808
2020-08-09,61.5808
2020-08-10,62.8444
2020-08-11,61.8521
2020-08-12,62.486
2020-08-13,62.5931
2020-08-14,62.5008
2020-08-15,62.5008
2020-08-16,62.5008
2020-08-17,62.2159
2020-08-18,61.2152
2020-08-19,64.1198
2020-08-20,61.9753
2020-08-21,63.0721
2020-08-22,63.0721
2020-08-23,63.0721
2020-08-24,63.6534
2020-08-25,62.9242
2020-08-26,61.4674
2020-08-27,62.4399
2020-08-28,63.1259
2020-08-29,63.1259
2020-08-30,63.1259
2020-08-31,61.4556
2020-09-01,64.4135
2020-09-02,63.9851
2020-09-03,60.9119
2020-09-04,60.9496
2020-09-05,60.9496
2020-09-06,60.9496
2020-09-07,60.9496
2020-09-08,59.3082
2020-09-09,52.9302
2020-09-10,51.0935
2020-09-11,50.9831
2020-09-12,50.9831
2020-09-13,50.9831
2020-09-14,52.1597
2020-09-15,49.494
2020-09-16,49.7802
2020-09-17,48.9513
2020-09-18,48.327
2020-09-19,48.327
2020-09-20,48.327
2020-09-21,47.9699
2020-09-22,50.2677
2020-09-23,48.1031
2020-09-24,46.308
2020-09-25,44.6887
2020-09-26,44.6887
2020-09-27,44.6887
2020-09-28,48.8717
2020-09-29,47.6696
2020-09-30,47.561
2020-10-01,48.7179
2020-10-02,48.3555
2020-10-03,48.3555
2020-10-04,48.3555
2020-10-05,49.6068
2020-10-06,47.1437
2020-10-07,45.9788
2020-10-08,47.6114
2020-10-09,47.6482
2020-10-10,47.6482
2020-10-11,47.6482
2020-10-12,46.8152
2020-10-13,48.0238
2020-10-14,47.7919
2020-10-15,51.151
2020-10-16,51.9549
2020-10-17,51.9549
2020-10-18,51.9549
2020-10-19,50.7454
2020-10-20,51.7957
2020-10-21,49.2965
2020-10-22,49.8506
2020-10-23,49.2933
2020-10-24,49.2933
2020-10-25,49.2933
2020-10-26,46.4062
2020-10-27,44.7885
2020-10-28,41.4307
2020-10-29,38.702
2020-10-30,37.466
2020-10-31,37.466
2020-11-01,37.466
2020-11-02,41.2826
2020-11-03,38.0445
2020-11-04,40.4981
2020-11-05,40.8499
2020-11-06,39.0203
2020-11-07,39.0203
2020-11-08,39.0203
2020-11-09,39.2447
2020-11-10,41.2964
2020-11-11,40.2929
2020-11-12,37.9855
2020-11-13,39.0235
2020-11-14,39.0235
2020-11-15,39.0235
2020-11-16,40.7073
2020-11-17,41.1379
2020-11-18,45.505
2020-11-19,43.8667
2020-11-20,43.5542
2020-11-21,43.5542
2020-11-22,43.5542
2020-11-23,48.4068
2020-11-24,49.5125
2020-11-25,47.6709
2020-11-26,47.6709
2020-11-27,46.2473
2020-11-28,46.2473
2020-11-29,46.2473
2020-11-30,46.9597
2020-12-01,50.1867
2020-12-02,50.6143
2020-12-03,51.2635
2020-12-04,53.0163
2020-12-05,53.0163
2020-12-06,53.0163
2020-12-07,53.2278
2020-12-08,54.3396
2020-12-09,55.9639
2020-12-10,57.4084
2020-12-11,54.385
2020-12-12,54.385
2020-12-13,54.385
2020-12-14,52.5627
2020-12-15,55.3129
2020-12-16,51.3155
2020-12-17,51.7781
2020-12-18,52.1511
2020-12-19,52.1511
2020-12-20,52.1511
2020-12-21,50.1782
2020-12-22,50.1262
2020-12-23,51.3621
2020-12-24,51.7626
2020-12-25,51.7626
2020-12-26,51.7626
2020-12-27,51.7626
2020-12-28,50.8398
2020-12-29,50.2909
2020-12-30,53.4801
2020-12-31,53.7732
2021-01-01,53.7732
2021-01-02,53.7732
2021-01-03,53.7732
2021-01-04,50.4474
2021-01-05,51.5468
2021-01-06,51.45
2021-01-07,48.6703
2021-01-08,44.1621
2021-01-09,44.1621
2021-01-10,44.1621
2021-01-11,42.589
2021-01-12,41.9762
2021-01-13,43.6535
2021-01-14,44.1424
2021-01-15,41.8867
2021-01-16,41.8867
2021-01-17,41.8867
2021-01-18,41.8867
2021-01-19,43.4842
2021-01-20,43.9397
2021-01-21,44.2985
2021-01-22,40.0405
2021-01-23,40.0405
2021-01-24,40.0405
2021-01-25,39.9387
2021-01-26,41.4997
2021-01-27,41.6984
2021-01-28,41.4074
2021-01-29,39.6731
2021-01-30,39.6731
2021-01-31,39.6731
2021-02-01,41.8238
2021-02-02,43.5693
2021-02-03,44.7564
2021-02-04,45.7833
2021-02-05,46.9552
2021-02-06,46.9552
2021-02-07,46.9552
2021-02-08,48.6973
2021-02-09,47.6509
2021-02-10,47.3333
2021-02-11,47.9169
2021-02-12,48.0086
2021-02-13,48.0086
2021-02-14,48.0086
2021-02-15,48.0086
2021-02-16,48.0559
2021-02-17,46.8221
2021-02-18,45.6951
2021-02-19,46.7157
2021-02-20,46.7157
2021-02-21,46.7157
2021-02-22,48.9488
2021-02-23,48.1828
2021-02-24,50.721
2021-02-25,47.9883
2021-02-26,48.5953
2021-02-27,48.5953
2021-02-28,48.5953
2021-03-01,49.8309
2021-03-02,50.0015
2021-03-03,52.8681
2021-03-04,56.1162
2021-03-05,58.7274
2021-03-06,58.7274
2021-03-07,58.7274
2021-03-08,62.7022
2021-03-09,62.0098
2021-03-10,63.5165
2021-03-11,64.019
2021-03-12,64.3995
2021-03-13,64.3995
2021-03-14,64.3995
2021-03-15,65.4696
2021-03-16,61.1622
2021-03-17,61.9855
2021-03-18,58.9266
2021-03-19,58.617
2021-03-20,58.617
2021-03-21,58.617
2021-03-22,59.9062
2021-03-23,59.9425
2021-03-24,57.879
2021-03-25,58.4821
2021-03-26,61.0852
2021-03-27,61.0852
2021-03-28,61.0852
2021-03-29,59.8377
2021-03-30,58.5997
2021-03-31,57.1853
2021-04-01,57.4509
2021-04-02,57.4509
2021-04-03,57.4509
2021-04-04,57.4509
2021-04-05,56.2025
2021-04-06,52.999
2021-04-07,53.4526
2021-04-08,52.7937
2021-04-09,53.2704
2021-04-10,53.2704
2021-04-11,53.2704
2021-04-12,53.6337
2021-04-13,52.3427
2021-04-14,51.125
2021-04-15,50.6815
2021-04-16,52.8248
2021-04-17,52.8248
2021-04-18,52.8248
2021-04-19,52.1304
2021-04-20,51.9245
2021-04-21,53.8897
2021-04-22,51.2194
2021-04-23,52.4384
2021-04-24,52.4384
2021-04-25,52.4384
2021-04-26,53.1383
2021-04-27,51.9222
2021-04-28,53.007
2021-04-29,52.9436
2021-04-30,54.0517
2021-05-01,54.0517
2021-05-02,54.0517
2021-05-03,57.056
2021-05-04,57.467
2021-05-05,58.7929
2021-05-06,63.1977
2021-05-07,63.2608
2021-05-08,63.2608
2021-05-09,63.2608
2021-05-10,59.1977
2021-05-11,57.0728
2021-05-12,55.7666
2021-05-13,59.5077
2021-05-14,61.103
2021-05-15,61.103
2021-05-16,61.103
2021-05-17,59.8031
2021-05-18,60.7321
2021-05-19,62.0202
2021-05-20,60.7694
2021-05-21,61.7612
2021-05-22,61.7612
2021-05-23,61.7612
2021-05-24,61.8696
2021-05-25,62.3554
2021-05-26,65.5536
2021-05-27,66.7962
2021-05-28,66.2345
2021-05-29,66.2345
2021-05-30,66.2345
2021-05-31,66.2345
2021-06-01,68.7703
2021-06-02,67.35
2021-06-03,67.6591
2021-06-04,67.2331
2021-06-05,67.2331
2021-06-06,67.2331
2021-06-07,68.821
2021-06-08,69.2689
2021-06-09,69.8425
2021-06-10,69.5487
2021-06-11,70.573
2021-06-12,70.573
2021-06-13,70.573
2021-06-14,68.4052
2021-06-15,68.6009
2021-06-16,69.1152
2021-06-17,68.3578
2021-06-18,62.2171
2021-06-19,62.2171
2021-06-20,62.2171
2021-06-21,63.7425
2021-06-22,62.6874
2021-06-23,62.3317
2021-06-24,63.9765
2021-06-25,63.0409
2021-06-26,63.0409
2021-06-27,63.0409
2021-06-28,61.7015
2021-06-29,60.1003
2021-06-30,59.5013
2021-07-01,60.9507
2021-07-02,58.9697
2021-07-03,58.9697
2021-07-04,58.9697
2021-07-05,58.9697
2021-07-06,57.0514
2021-07-07,57.9467
2021-07-08,54.9644
2021-07-09,56.6794
2021-07-10,56.6794
2021-07-11,56.6794
2021-07-12,58.43
2021-07-13,57.0078
2021-07-14,55.2046
2021-07-15,55.9552
2021-07-16,53.7918
2021-07-17,53.7918
2021-07-18,53.7918
2021-07-19,51.2137
2021-07-20,54.1414
2021-07-21,55.0615
2021-07-22,52.0309
2021-07-23,51.0617
2021-07-24,51.0617
2021-07-25,51.0617
2021-07-26,52.7871
2021-07-27,55.3902
2021-07-28,55.247
2021-07-29,55.4851
2021-07-30,55.5157
2021-07-31,55.5157
2021-08-01,55.5157
2021-08-02,54.2801
2021-08-03,56.8567
2021-08-04,53.0208
2021-08-05,53.2425
2021-08-06,57.2673
2021-08-07,57.2673
2021-08-08,57.2673
2021-08-09,55.0173
2021-08-10,57.2321
2021-08-11,56.0398
2021-08-12,52.4436
2021-08-13,51.2448
2021-08-14,51.2448
2021-08-15,51.2448
2021-08-16,52.2518
2021-08-17,54.3504
2021-08-18,53.1257
2021-08-19,50.9483
2021-08-20,52.9724
2021-08-21,52.9724
2021-08-22,52.9724
2021-08-23,50.5566
2021-08-24,50.7425
2021-08-25,50.9334
2021-08-26,50.7976
2021-08-27,54.9292
2021-08-28,54.9292
2021-08-29,54.9292
2021-08-30,53.5989
2021-08-31,57.9764
2021-09-01,54.2251
2021-09-02,55.3199
2021-09-03,54.5951
2021-09-04,54.5951
2021-09-05,54.5951
2021-09-06,54.5951
2021-09-07,53.027
2021-09-08,53.143
2021-09-09,51.6902
2021-09-10,51.814
2021-09-11,51.814
2021-09-12,51.814
2021-09-13,55.8006
2021-09-14,52.7468
2021-09-15,53.1504
2021-09-16,50.5653
2021-09-17,52.3985
2021-09-18,52.3985
2021-09-19,52.3985
2021-09-20,53.7716
2021-09-21,53.5386
2021-09-22,53.3677
2021-09-23,53.2974
2021-09-24,51.4039
2021-09-25,51.4039
2021-09-26,51.4039
2021-09-27,56.8643
2021-09-28,55.3762
2021-09-29,56.7644
2021-09-30,55.7098
2021-10-01,57.9971
2021-10-02,57.9971
2021-10-03,57.9971
2021-10-04,57.2416
2021-10-05,57.1682
2021-10-06,57.7563
2021-10-07,58.348
2021-10-08,58.6334
2021-10-09,58.6334
2021-10-10,58.6334
2021-10-11,59.7185
2021-10-12,59.8332
2021-10-13,60.7299
2021-10-14,61.1639
2021-10-15,60.5182
2021-10-16,60.5182
2021-10-17,60.5182
2021-10-18,62.199
2021-10-19,57.9874
2021-10-20,59.9852
2021-10-21,62.6456
2021-10-22,58.6922
2021-10-23,58.6922
2021-10-24,58.6922
2021-10-25,62.0319
2021-10-26,60.4519
2021-10-27,62.4081
2021-10-28,63.7466
2021-10-29,64.4586
2021-10-30,64.4586
2021-10-31,64.4586
2021-11-01,62.3343
2021-11-02,61.8075
2021-11-03,63.4071
2021-11-04,72.4024
2021-11-05,73.4914
2021-11-06,73.4914
2021-11-07,73.4914
2021-11-08,73.8961
2021-11-09,70.4827
2021-11-10,68.4215
2021-11-11,69.8074
2021-11-12,68.2924
2021-11-13,68.2924
