,GBDC US Equity
,RSI_30D
2020-01-01,69.8656
2020-01-02,65.6797
2020-01-03,64.1647
2020-01-04,64.1647
2020-01-05,64.1647
2020-01-06,62.3062
2020-01-07,60.4937
2020-01-08,59.4208
2020-01-09,60.3898
2020-01-10,62.0312
2020-01-11,62.0312
2020-01-12,62.0312
2020-01-13,64.0145
2020-01-14,62.5132
2020-01-15,63.1831
2020-01-16,62.0362
2020-01-17,63.4104
2020-01-18,63.4104
2020-01-19,63.4104
2020-01-20,63.4104
2020-01-21,64.0828
2020-01-22,63.4794
2020-01-23,64.7388
2020-01-24,63.1016
2020-01-25,63.1016
2020-01-26,63.1016
2020-01-27,61.8873
2020-01-28,62.1386
2020-01-29,62.395
2020-01-30,61.1105
2020-01-31,61.6549
2020-02-01,61.6549
2020-02-02,61.6549
2020-02-03,62.9947
2020-02-04,57.9662
2020-02-05,59.6329
2020-02-06,59.228
2020-02-07,59.7928
2020-02-08,59.7928
2020-02-09,59.7928
2020-02-10,51.8108
2020-02-11,54.0256
2020-02-12,55.5745
2020-02-13,58.5921
2020-02-14,59.3375
2020-02-15,59.3375
2020-02-16,59.3375
2020-02-17,59.3375
2020-02-18,57.8999
2020-02-19,56.1411
2020-02-20,58.4891
2020-02-21,56.0738
2020-02-22,56.0738
2020-02-23,56.0738
2020-02-24,51.6601
2020-02-25,36.8654
2020-02-26,37.9314
2020-02-27,30.5319
2020-02-28,26.6975
2020-02-29,26.6975
2020-03-01,26.6975
2020-03-02,35.5945
2020-03-03,36.3556
2020-03-04,41.3723
2020-03-05,41.007
2020-03-06,42.7496
2020-03-07,42.7496
2020-03-08,42.7496
2020-03-09,38.302
2020-03-10,36.3462
2020-03-11,32.1456
2020-03-12,24.3433
2020-03-13,30.5694
2020-03-14,30.5694
2020-03-15,30.5694
2020-03-16,22.3004
2020-03-17,19.0619
2020-03-18,15.0524
2020-03-19,26.7596
2020-03-20,25.7643
2020-03-21,25.7643
2020-03-22,25.7643
2020-03-23,22.8726
2020-03-24,29.2425
2020-03-25,35.5468
2020-03-26,38.3087
2020-03-27,38.6287
2020-03-28,38.6287
2020-03-29,38.6287
2020-03-30,38.2766
2020-03-31,38.0969
2020-04-01,36.2211
2020-04-02,30.5345
2020-04-03,30.8704
2020-04-04,30.8704
2020-04-05,30.8704
2020-04-06,32.51
2020-04-07,37.1371
2020-04-08,36.8044
2020-04-09,42.9459
2020-04-10,42.9459
2020-04-11,42.9459
2020-04-12,42.9459
2020-04-13,42.038
2020-04-14,43.0192
2020-04-15,42.2788
2020-04-16,39.7855
2020-04-17,39.6755
2020-04-18,39.6755
2020-04-19,39.6755
2020-04-20,38.8421
2020-04-21,38.07
2020-04-22,37.9585
2020-04-23,38.6096
2020-04-24,41.3821
2020-04-25,41.3821
2020-04-26,41.3821
2020-04-27,41.3821
2020-04-28,39.9728
2020-04-29,39.4419
2020-04-30,38.9851
2020-05-01,38.1343
2020-05-02,38.1343
2020-05-03,38.1343
2020-05-04,37.05
2020-05-05,37.0189
2020-05-06,38.9801
2020-05-07,41.7684
2020-05-08,42.9933
2020-05-09,42.9933
2020-05-10,42.9933
2020-05-11,44.8185
2020-05-12,43.455
2020-05-13,42.3805
2020-05-14,43.0337
2020-05-15,43.7442
2020-05-16,43.7442
2020-05-17,43.7442
2020-05-18,45.7441
2020-05-19,45.7021
2020-05-20,46.814
2020-05-21,47.0181
2020-05-22,47.744
2020-05-23,47.744
2020-05-24,47.744
2020-05-25,47.744
2020-05-26,49.6799
2020-05-27,50.6992
2020-05-28,50.1609
2020-05-29,50.5232
2020-05-30,50.5232
2020-05-31,50.5232
2020-06-01,52.0182
2020-06-02,51.5184
2020-06-03,51.7847
2020-06-04,52.057
2020-06-05,52.2245
2020-06-06,52.2245
2020-06-07,52.2245
2020-06-08,54.8424
2020-06-09,53.9318
2020-06-10,52.8934
2020-06-11,49.1605
2020-06-12,51.3164
2020-06-13,51.3164
2020-06-14,51.3164
2020-06-15,51.6887
2020-06-16,52.1834
2020-06-17,49.7648
2020-06-18,49.0413
2020-06-19,48.1956
2020-06-20,48.1956
2020-06-21,48.1956
2020-06-22,47.9512
2020-06-23,47.4534
2020-06-24,46.5166
2020-06-25,47.3763
2020-06-26,46.4747
2020-06-27,46.4747
2020-06-28,46.4747
2020-06-29,47.1436
2020-06-30,48.9053
2020-07-01,50.6767
2020-07-02,50.3158
2020-07-03,50.3158
2020-07-04,50.3158
2020-07-05,50.3158
2020-07-06,49.7296
2020-07-07,48.0641
2020-07-08,47.8479
2020-07-09,46.4081
2020-07-10,47.7103
2020-07-11,47.7103
2020-07-12,47.7103
2020-07-13,47.6728
2020-07-14,49.3586
2020-07-15,52.232
2020-07-16,52.1493
2020-07-17,51.8942
2020-07-18,51.8942
2020-07-19,51.8942
2020-07-20,50.3651
2020-07-21,51.5146
2020-07-22,52.0074
2020-07-23,51.3327
2020-07-24,49.9041
2020-07-25,49.9041
2020-07-26,49.9041
2020-07-27,49.2396
2020-07-28,50.6006
2020-07-29,50.8731
2020-07-30,50.6803
2020-07-31,50.2859
2020-08-01,50.2859
2020-08-02,50.2859
2020-08-03,51.6481
2020-08-04,52.9808
2020-08-05,53.4547
2020-08-06,54.4057
2020-08-07,55.716
2020-08-08,55.716
2020-08-09,55.716
2020-08-10,56.9945
2020-08-11,54.9998
2020-08-12,55.6608
2020-08-13,56.6028
2020-08-14,55.7452
2020-08-15,55.7452
2020-08-16,55.7452
2020-08-17,56.4282
2020-08-18,56.4282
