,LAUR US Equity
,RSI_30D
2020-01-01,60.7196
2020-01-02,62.1811
2020-01-03,62.7353
2020-01-04,62.7353
2020-01-05,62.7353
2020-01-06,63.7377
2020-01-07,64.3772
2020-01-08,65.2025
2020-01-09,63.4479
2020-01-10,59.6821
2020-01-11,59.6821
2020-01-12,59.6821
2020-01-13,60.6069
2020-01-14,60.7502
2020-01-15,60.072
2020-01-16,61.9049
2020-01-17,62.2633
2020-01-18,62.2633
2020-01-19,62.2633
2020-01-20,62.2633
2020-01-21,59.9302
2020-01-22,57.6938
2020-01-23,56.9789
2020-01-24,56.0396
2020-01-25,56.0396
2020-01-26,56.0396
2020-01-27,56.4762
2020-01-28,72.3004
2020-01-29,74.571
2020-01-30,76.0482
2020-01-31,69.2826
2020-02-01,69.2826
2020-02-02,69.2826
2020-02-03,65.7527
2020-02-04,64.3732
2020-02-05,63.4061
2020-02-06,63.6235
2020-02-07,61.071
2020-02-08,61.071
2020-02-09,61.071
2020-02-10,60.7006
2020-02-11,63.8744
2020-02-12,65.4812
2020-02-13,65.7238
2020-02-14,67.1947
2020-02-15,67.1947
2020-02-16,67.1947
2020-02-17,67.1947
2020-02-18,65.7742
2020-02-19,66.7831
2020-02-20,66.8236
2020-02-21,64.8617
2020-02-22,64.8617
2020-02-23,64.8617
2020-02-24,62.4892
2020-02-25,62.8175
2020-02-26,56.333
2020-02-27,49.7649
2020-02-28,48.8543
2020-02-29,48.8543
2020-03-01,48.8543
2020-03-02,52.845
2020-03-03,51.0556
2020-03-04,54.4633
2020-03-05,47.8407
2020-03-06,47.0114
2020-03-07,47.0114
2020-03-08,47.0114
2020-03-09,41.1478
2020-03-10,43.6516
2020-03-11,41.0788
2020-03-12,33.513
2020-03-13,37.9567
2020-03-14,37.9567
2020-03-15,37.9567
2020-03-16,31.5943
2020-03-17,29.593
2020-03-18,25.7058
2020-03-19,34.6225
2020-03-20,32.1344
2020-03-21,32.1344
2020-03-22,32.1344
2020-03-23,31.9657
2020-03-24,35.1647
2020-03-25,36.0494
2020-03-26,37.4172
2020-03-27,36.773
2020-03-28,36.773
2020-03-29,36.773
2020-03-30,37.5053
2020-03-31,37.2908
2020-04-01,36.7296
2020-04-02,36.024
2020-04-03,35.0073
2020-04-04,35.0073
2020-04-05,35.0073
2020-04-06,37.1949
2020-04-07,39.4879
2020-04-08,38.0321
2020-04-09,39.5086
2020-04-10,39.5086
2020-04-11,39.5086
2020-04-12,39.5086
2020-04-13,38.9683
2020-04-14,40.0057
2020-04-15,38.331
2020-04-16,37.5574
2020-04-17,37.7241
2020-04-18,37.7241
2020-04-19,37.7241
2020-04-20,36.5728
2020-04-21,36.024
2020-04-22,35.953
2020-04-23,35.7862
2020-04-24,36.1311
2020-04-25,36.1311
2020-04-26,36.1311
2020-04-27,38.3022
2020-04-28,40.6105
2020-04-29,40.9371
2020-04-30,40.3254
2020-05-01,39.6612
2020-05-02,39.6612
2020-05-03,39.6612
2020-05-04,40.2679
2020-05-05,41.1953
2020-05-06,40.5033
2020-05-07,39.0118
2020-05-08,40.2937
2020-05-09,40.2937
2020-05-10,40.2937
2020-05-11,38.7708
2020-05-12,38.0014
2020-05-13,36.4778
2020-05-14,39.2943
2020-05-15,40.0443
2020-05-16,40.0443
2020-05-17,40.0443
