,RUSHA US Equity
,RSI_30D
2020-01-01,59.5045
2020-01-02,57.639
2020-01-03,57.7508
2020-01-04,57.7508
2020-01-05,57.7508
2020-01-06,55.8072
2020-01-07,55.9875
2020-01-08,55.7132
2020-01-09,53.4308
2020-01-10,53.5642
2020-01-11,53.5642
2020-01-12,53.5642
2020-01-13,54.0072
2020-01-14,54.7965
2020-01-15,54.8662
2020-01-16,56.9594
2020-01-17,57.6259
2020-01-18,57.6259
2020-01-19,57.6259
2020-01-20,57.6259
2020-01-21,51.7035
2020-01-22,51.0957
2020-01-23,49.4058
2020-01-24,47.7364
2020-01-25,47.7364
2020-01-26,47.7364
2020-01-27,46.0902
2020-01-28,48.9204
2020-01-29,50.1806
2020-01-30,50.1054
2020-01-31,45.6783
2020-02-01,45.6783
2020-02-02,45.6783
2020-02-03,48.1792
2020-02-04,48.2539
2020-02-05,53.2069
2020-02-06,49.7061
2020-02-07,48.3064
2020-02-08,48.3064
2020-02-09,48.3064
2020-02-10,49.5705
2020-02-11,51.9366
2020-02-12,54.2496
2020-02-13,42.2252
2020-02-14,46.3541
2020-02-15,46.3541
2020-02-16,46.3541
2020-02-17,46.3541
2020-02-18,48.9987
2020-02-19,47.7921
2020-02-20,51.5674
2020-02-21,51.6619
2020-02-22,51.6619
2020-02-23,51.6619
2020-02-24,48.2198
2020-02-25,46.8235
2020-02-26,45.8112
2020-02-27,47.507
2020-02-28,45.5558
2020-02-29,45.5558
2020-03-01,45.5558
2020-03-02,48.6269
2020-03-03,45.4078
2020-03-04,46.5532
2020-03-05,44.7176
2020-03-06,43.1595
2020-03-07,43.1595
2020-03-08,43.1595
2020-03-09,33.222
2020-03-10,37.3989
2020-03-11,36.5791
2020-03-12,31.5183
2020-03-13,36.7746
2020-03-14,36.7746
2020-03-15,36.7746
2020-03-16,33.4518
2020-03-17,36.8034
2020-03-18,33.8242
2020-03-19,33.0729
2020-03-20,34.2737
2020-03-21,34.2737
2020-03-22,34.2737
2020-03-23,34.9325
2020-03-24,38.7598
2020-03-25,39.0334
2020-03-26,43.2608
2020-03-27,41.4957
2020-03-28,41.4957
2020-03-29,41.4957
2020-03-30,40.7205
2020-03-31,40.82
2020-04-01,38.3258
2020-04-02,38.7559
2020-04-03,37.6794
2020-04-04,37.6794
2020-04-05,37.6794
2020-04-06,40.8878
2020-04-07,42.2368
2020-04-08,44.0723
2020-04-09,47.5508
2020-04-10,47.5508
2020-04-11,47.5508
2020-04-12,47.5508
2020-04-13,45.4771
2020-04-14,45.8369
2020-04-15,44.0334
2020-04-16,44.0966
2020-04-17,47.0065
2020-04-18,47.0065
2020-04-19,47.0065
2020-04-20,45.294
2020-04-21,43.8058
2020-04-22,44.1725
2020-04-23,47.5593
2020-04-24,48.5572
2020-04-25,48.5572
2020-04-26,48.5572
2020-04-27,50.1448
2020-04-28,51.1235
2020-04-29,54.1973
2020-04-30,52.2301
2020-05-01,50.5756
2020-05-02,50.5756
2020-05-03,50.5756
2020-05-04,51.0222
2020-05-05,51.1648
2020-05-06,50.1191
2020-05-07,51.3853
2020-05-08,53.6341
2020-05-09,53.6341
2020-05-10,53.6341
2020-05-11,52.8449
2020-05-12,49.6519
2020-05-13,48.6961
2020-05-14,48.5325
2020-05-15,49.6459
2020-05-16,49.6459
2020-05-17,49.6459
2020-05-18,54.0659
2020-05-19,53.1361
2020-05-20,55.0788
2020-05-21,55.0925
2020-05-22,53.137
2020-05-23,53.137
2020-05-24,53.137
2020-05-25,53.137
2020-05-26,55.8656
2020-05-27,58.5164
2020-05-28,57.1405
2020-05-29,57.0377
2020-05-30,57.0377
2020-05-31,57.0377
2020-06-01,55.9617
2020-06-02,56.6575
2020-06-03,58.5185
2020-06-04,60.0155
2020-06-05,61.301
2020-06-06,61.301
2020-06-07,61.301
2020-06-08,62.42
2020-06-09,59.9771
2020-06-10,56.3249
2020-06-11,49.9547
2020-06-12,51.4201
2020-06-13,51.4201
2020-06-14,51.4201
2020-06-15,52.3377
2020-06-16,53.5261
2020-06-17,51.9892
2020-06-18,51.1843
2020-06-19,48.9763
2020-06-20,48.9763
2020-06-21,48.9763
2020-06-22,49.7726
2020-06-23,49.8176
2020-06-24,48.5134
2020-06-25,50.3078
2020-06-26,50.5842
2020-06-27,50.5842
2020-06-28,50.5842
2020-06-29,52.3661
2020-06-30,53.9659
2020-07-01,52.7224
2020-07-02,53.2643
2020-07-03,53.2643
2020-07-04,53.2643
2020-07-05,53.2643
2020-07-06,55.1553
2020-07-07,53.3413
2020-07-08,53.4175
2020-07-09,52.1661
2020-07-10,53.7907
2020-07-11,53.7907
2020-07-12,53.7907
2020-07-13,54.0103
2020-07-14,55.8552
2020-07-15,58.8542
2020-07-16,57.9769
2020-07-17,57.8778
2020-07-18,57.8778
2020-07-19,57.8778
2020-07-20,56.3425
2020-07-21,58.0037
2020-07-22,57.4738
2020-07-23,62.7065
2020-07-24,62.6033
2020-07-25,62.6033
2020-07-26,62.6033
2020-07-27,63.3277
2020-07-28,61.9368
2020-07-29,62.2273
2020-07-30,61.8059
2020-07-31,59.8635
2020-08-01,59.8635
2020-08-02,59.8635
2020-08-03,61.3486
2020-08-04,60.3054
2020-08-05,60.8476
2020-08-06,60.0427
2020-08-07,61.4299
2020-08-08,61.4299
2020-08-09,61.4299
2020-08-10,62.7672
2020-08-11,63.3389
2020-08-12,63.7847
2020-08-13,63.5269
2020-08-14,63.4208
2020-08-15,63.4208
2020-08-16,63.4208
2020-08-17,63.531
2020-08-18,61.3192
2020-08-19,61.6601
2020-08-20,60.3127
2020-08-21,61.9959
2020-08-22,61.9959
2020-08-23,61.9959
2020-08-24,60.8829
2020-08-25,58.9931
2020-08-26,58.7742
2020-08-27,58.1605
2020-08-28,58.9664
2020-08-29,58.9664
2020-08-30,58.9664
2020-08-31,56.009
2020-09-01,58.4111
2020-09-02,58.4111
2020-09-03,55.0061
2020-09-04,57.3711
2020-09-05,57.3711
2020-09-06,57.3711
2020-09-07,57.3711
2020-09-08,57.0474
2020-09-09,57.6651
2020-09-10,54.2232
2020-09-11,55.1958
2020-09-12,55.1958
2020-09-13,55.1958
2020-09-14,57.0019
2020-09-15,56.6722
2020-09-16,58.3545
2020-09-17,59.4797
2020-09-18,59.701
2020-09-19,59.701
2020-09-20,59.701
2020-09-21,53.0051
2020-09-22,55.4628
2020-09-23,53.3416
2020-09-24,52.4252
2020-09-25,52.3517
2020-09-26,52.3517
2020-09-27,52.3517
2020-09-28,56.416
2020-09-29,56.2617
2020-09-30,56.7916
2020-10-01,57.7687
2020-10-02,60.1388
2020-10-03,60.1388
2020-10-04,60.1388
2020-10-05,64.301
2020-10-06,65.3846
2020-10-07,67.6721
2020-10-08,66.9003
2020-10-09,64.2879
2020-10-10,64.2879
2020-10-11,64.2879
2020-10-12,65.4146
2020-10-13,63.1873
2020-10-14,59.7572
2020-10-15,60.2393
2020-10-16,61.8086
2020-10-17,61.8086
2020-10-18,61.8086
2020-10-19,59.0165
2020-10-20,58.252
2020-10-21,57.2234
2020-10-22,60.5754
2020-10-23,63.954
2020-10-24,63.954
2020-10-25,63.954
2020-10-26,59.3007
2020-10-27,56.9764
2020-10-28,56.4285
2020-10-29,55.9052
2020-10-30,54.4045
2020-10-31,54.4045
2020-11-01,54.4045
2020-11-02,58.0278
2020-11-03,60.223
2020-11-04,58.5083
2020-11-05,58.9271
2020-11-06,54.4567
2020-11-07,54.4567
2020-11-08,54.4567
2020-11-09,57.4414
2020-11-10,60.4424
2020-11-11,58.8293
2020-11-12,55.8613
2020-11-13,55.3795
2020-11-14,55.3795
2020-11-15,55.3795
2020-11-16,57.1125
2020-11-17,55.9163
2020-11-18,57.1614
2020-11-19,57.1007
2020-11-20,57.6127
2020-11-21,57.6127
2020-11-22,57.6127
2020-11-23,58.0831
2020-11-24,60.8055
2020-11-25,59.5166
2020-11-26,59.5166
2020-11-27,57.325
2020-11-28,57.325
2020-11-29,57.325
2020-11-30,56.0379
2020-12-01,56.3347
2020-12-02,56.3601
2020-12-03,57.2352
2020-12-04,60.5116
2020-12-05,60.5116
2020-12-06,60.5116
2020-12-07,57.9775
2020-12-08,59.3624
2020-12-09,60.8988
2020-12-10,61.1002
2020-12-11,62.2184
2020-12-12,62.2184
2020-12-13,62.2184
2020-12-14,61.5594
2020-12-15,61.6527
2020-12-16,60.1415
2020-12-17,60.8367
2020-12-18,61.0375
2020-12-19,61.0375
2020-12-20,61.0375
2020-12-21,58.5152
2020-12-22,58.209
2020-12-23,61.0555
2020-12-24,59.8069
2020-12-25,59.8069
2020-12-26,59.8069
2020-12-27,59.8069
2020-12-28,59.86
2020-12-29,58.3456
2020-12-30,59.3807
2020-12-31,60.1829
2021-01-01,60.1829
2021-01-02,60.1829
2021-01-03,60.1829
2021-01-04,56.3332
2021-01-05,58.6198
2021-01-06,64.5471
2021-01-07,66.0175
2021-01-08,62.6659
2021-01-09,62.6659
2021-01-10,62.6659
2021-01-11,63.0075
2021-01-12,63.9251
2021-01-13,61.5734
2021-01-14,63.6894
2021-01-15,63.8784
2021-01-16,63.8784
2021-01-17,63.8784
2021-01-18,63.8784
2021-01-19,64.6812
2021-01-20,65.6174
2021-01-21,63.7905
2021-01-22,66.3477
2021-01-23,66.3477
2021-01-24,66.3477
2021-01-25,62.5518
2021-01-26,61.5961
2021-01-27,56.6854
2021-01-28,57.4908
2021-01-29,52.2578
2021-01-30,52.2578
2021-01-31,52.2578
2021-02-01,53.7584
2021-02-02,55.0289
2021-02-03,54.129
2021-02-04,54.5998
2021-02-05,54.2361
2021-02-06,54.2361
2021-02-07,54.2361
2021-02-08,56.6974
2021-02-09,54.5514
2021-02-10,51.7165
2021-02-11,50.5789
2021-02-12,49.7234
2021-02-13,49.7234
2021-02-14,49.7234
2021-02-15,49.7234
2021-02-16,47.4982
2021-02-17,47.3661
2021-02-18,44.6432
2021-02-19,49.3333
2021-02-20,49.3333
2021-02-21,49.3333
2021-02-22,50.797
2021-02-23,52.7631
2021-02-24,56.6189
2021-02-25,52.2345
2021-02-26,52.3953
2021-02-27,52.3953
2021-02-28,52.3953
2021-03-01,53.9754
2021-03-02,53.3909
2021-03-03,54.5706
2021-03-04,55.0323
2021-03-05,58.9985
2021-03-06,58.9985
2021-03-07,58.9985
2021-03-08,59.698
2021-03-09,60.4165
2021-03-10,62.2721
2021-03-11,65.0197
2021-03-12,67.2492
2021-03-13,67.2492
2021-03-14,67.2492
2021-03-15,65.3777
2021-03-16,64.9486
2021-03-17,65.7785
2021-03-18,66.803
2021-03-19,63.1111
2021-03-20,63.1111
2021-03-21,63.1111
2021-03-22,60.0804
2021-03-23,57.1855
2021-03-24,56.2681
2021-03-25,58.436
2021-03-26,60.794
2021-03-27,60.794
2021-03-28,60.794
2021-03-29,61.0245
2021-03-30,64.0363
2021-03-31,60.5737
2021-04-01,60.3627
2021-04-02,60.3627
2021-04-03,60.3627
2021-04-04,60.3627
2021-04-05,61.9894
2021-04-06,61.0885
2021-04-07,58.4266
2021-04-08,59.5214
2021-04-09,60.82
2021-04-10,60.82
2021-04-11,60.82
2021-04-12,61.3125
2021-04-13,59.894
2021-04-14,59.337
2021-04-15,60.5881
2021-04-16,60.038
2021-04-17,60.038
2021-04-18,60.038
2021-04-19,58.2806
2021-04-20,54.5441
2021-04-21,55.569
2021-04-22,52.2193
2021-04-23,56.2118
2021-04-24,56.2118
2021-04-25,56.2118
2021-04-26,57.1145
2021-04-27,57.134
2021-04-28,56.367
2021-04-29,56.34
2021-04-30,54.5571
2021-05-01,54.5571
2021-05-02,54.5571
2021-05-03,57.4288
2021-05-04,55.5078
2021-05-05,55.0055
2021-05-06,55.6177
2021-05-07,54.7339
2021-05-08,54.7339
2021-05-09,54.7339
2021-05-10,55.9556
2021-05-11,52.9186
2021-05-12,50.0813
2021-05-13,54.7024
2021-05-14,57.5074
2021-05-15,57.5074
2021-05-16,57.5074
2021-05-17,58.2975
2021-05-18,54.8319
2021-05-19,52.2919
2021-05-20,48.8152
2021-05-21,51.5899
2021-05-22,51.5899
2021-05-23,51.5899
2021-05-24,49.7307
2021-05-25,48.4854
2021-05-26,49.5808
2021-05-27,50.2749
2021-05-28,49.0266
2021-05-29,49.0266
2021-05-30,49.0266
2021-05-31,49.0266
2021-06-01,51.5574
2021-06-02,48.0988
2021-06-03,47.4519
2021-06-04,47.2726
2021-06-05,47.2726
2021-06-06,47.2726
2021-06-07,46.7446
2021-06-08,46.7238
2021-06-09,46.7971
2021-06-10,45.5642
2021-06-11,46.8601
2021-06-12,46.8601
2021-06-13,46.8601
2021-06-14,45.3279
2021-06-15,45.5385
2021-06-16,45.1117
2021-06-17,41.9242
2021-06-18,37.4588
2021-06-19,37.4588
2021-06-20,37.4588
2021-06-21,39.2493
2021-06-22,38.3409
2021-06-23,38.8756
2021-06-24,41.2875
2021-06-25,38.4884
2021-06-26,38.4884
2021-06-27,38.4884
2021-06-28,40.4813
