,PCAR US Equity
,RSI_30D
2020-01-01,63.3188
2020-01-02,64.1945
2020-01-03,61.3137
2020-01-04,61.3137
2020-01-05,61.3137
2020-01-06,60.2733
2020-01-07,58.4342
2020-01-08,60.9025
2020-01-09,59.1215
2020-01-10,56.9591
2020-01-11,56.9591
2020-01-12,56.9591
2020-01-13,57.586
2020-01-14,57.9409
2020-01-15,55.4061
2020-01-16,58.2169
2020-01-17,58.0792
2020-01-18,58.0792
2020-01-19,58.0792
2020-01-20,58.0792
2020-01-21,54.7942
2020-01-22,52.8991
2020-01-23,54.6826
2020-01-24,52.1744
2020-01-25,52.1744
2020-01-26,52.1744
2020-01-27,47.6395
2020-01-28,51.9103
2020-01-29,50.1695
2020-01-30,50.038
2020-01-31,45.4756
2020-02-01,45.4756
2020-02-02,45.4756
2020-02-03,45.8346
2020-02-04,50.5975
2020-02-05,54.655
2020-02-06,53.6477
2020-02-07,48.5979
2020-02-08,48.5979
2020-02-09,48.5979
2020-02-10,49.1001
2020-02-11,49.9058
2020-02-12,51.9298
2020-02-13,48.0678
2020-02-14,47.8762
2020-02-15,47.8762
2020-02-16,47.8762
2020-02-17,47.8762
2020-02-18,46.9301
2020-02-19,46.778
2020-02-20,49.921
2020-02-21,49.5054
2020-02-22,49.5054
2020-02-23,49.5054
2020-02-24,43.9727
2020-02-25,39.2456
2020-02-26,38.3582
2020-02-27,35.9256
2020-02-28,34.7245
2020-02-29,34.7245
2020-03-01,34.7245
2020-03-02,41.2208
2020-03-03,38.207
2020-03-04,42.1125
2020-03-05,36.9166
2020-03-06,36.0175
2020-03-07,36.0175
2020-03-08,36.0175
2020-03-09,32.3038
2020-03-10,38.9736
2020-03-11,36.8069
2020-03-12,33.8508
2020-03-13,42.4768
2020-03-14,42.4768
2020-03-15,42.4768
2020-03-16,38.1635
2020-03-17,37.7636
2020-03-18,34.8056
2020-03-19,35.1808
2020-03-20,32.5959
2020-03-21,32.5959
2020-03-22,32.5959
2020-03-23,31.0821
2020-03-24,39.6789
2020-03-25,41.7771
2020-03-26,43.292
2020-03-27,42.5442
2020-03-28,42.5442
2020-03-29,42.5442
2020-03-30,45.3712
2020-03-31,44.4435
2020-04-01,43.626
2020-04-02,44.4115
2020-04-03,45.191
2020-04-04,45.191
2020-04-05,45.191
2020-04-06,48.5494
2020-04-07,49.1208
2020-04-08,50.0259
2020-04-09,50.8142
2020-04-10,50.8142
2020-04-11,50.8142
2020-04-12,50.8142
2020-04-13,49.4785
2020-04-14,50.3649
2020-04-15,48.922
2020-04-16,49.7653
2020-04-17,51.2655
2020-04-18,51.2655
2020-04-19,51.2655
2020-04-20,50.782
2020-04-21,49.2081
2020-04-22,49.6622
2020-04-23,49.4089
2020-04-24,51.1674
2020-04-25,51.1674
2020-04-26,51.1674
2020-04-27,52.6108
2020-04-28,52.9891
2020-04-29,53.4612
2020-04-30,53.0002
2020-05-01,51.7938
2020-05-02,51.7938
2020-05-03,51.7938
2020-05-04,51.8902
2020-05-05,51.4775
2020-05-06,51.7846
2020-05-07,52.189
2020-05-08,53.5033
2020-05-09,53.5033
2020-05-10,53.5033
2020-05-11,52.8013
2020-05-12,49.9318
2020-05-13,48.7744
2020-05-14,49.6512
2020-05-15,49.9706
2020-05-16,49.9706
2020-05-17,49.9706
2020-05-18,54.2562
2020-05-19,52.1657
2020-05-20,52.8016
2020-05-21,51.5607
2020-05-22,51.881
2020-05-23,51.881
2020-05-24,51.881
2020-05-25,51.881
2020-05-26,57.1339
2020-05-27,59.9035
2020-05-28,58.2729
2020-05-29,58.0483
2020-05-30,58.0483
2020-05-31,58.0483
2020-06-01,56.8903
2020-06-02,57.2598
2020-06-03,58.678
2020-06-04,59.894
2020-06-05,62.3385
2020-06-06,62.3385
2020-06-07,62.3385
2020-06-08,63.241
2020-06-09,63.3649
2020-06-10,59.6407
2020-06-11,53.2822
2020-06-12,53.9917
2020-06-13,53.9917
2020-06-14,53.9917
2020-06-15,54.6557
2020-06-16,55.6077
2020-06-17,55.2885
2020-06-18,55.5024
2020-06-19,56.1282
2020-06-20,56.1282
2020-06-21,56.1282
2020-06-22,55.7311
2020-06-23,55.7985
2020-06-24,52.1052
2020-06-25,53.1461
2020-06-26,51.8525
2020-06-27,51.8525
2020-06-28,51.8525
2020-06-29,53.6395
2020-06-30,55.2602
2020-07-01,54.254
2020-07-02,56.2195
2020-07-03,56.2195
2020-07-04,56.2195
2020-07-05,56.2195
2020-07-06,58.1448
2020-07-07,55.7623
2020-07-08,55.24
2020-07-09,53.5173
2020-07-10,54.6674
2020-07-11,54.6674
2020-07-12,54.6674
2020-07-13,55.2333
2020-07-14,57.1822
2020-07-15,59.3505
2020-07-16,60.2605
2020-07-17,60.2223
2020-07-18,60.2223
2020-07-19,60.2223
2020-07-20,60.5458
2020-07-21,65.206
2020-07-22,66.8254
