,GVA US Equity
,RSI_30D
2020-01-01,42.3087
2020-01-02,42.1483
2020-01-03,43.124
2020-01-04,43.124
2020-01-05,43.124
2020-01-06,43.3781
2020-01-07,42.7633
2020-01-08,42.3861
2020-01-09,42.6631
2020-01-10,42.6948
2020-01-11,42.6948
2020-01-12,42.6948
2020-01-13,39.2004
2020-01-14,41.6393
2020-01-15,42.9612
2020-01-16,43.6368
2020-01-17,41.8199
2020-01-18,41.8199
2020-01-19,41.8199
2020-01-20,41.8199
2020-01-21,41.8841
2020-01-22,41.3648
2020-01-23,43.3146
2020-01-24,42.4726
2020-01-25,42.4726
2020-01-26,42.4726
2020-01-27,42.6423
2020-01-28,43.2652
2020-01-29,45.6729
2020-01-30,45.5883
2020-01-31,43.9334
2020-02-01,43.9334
2020-02-02,43.9334
2020-02-03,43.6004
2020-02-04,45.1069
2020-02-05,48.0788
2020-02-06,44.4451
2020-02-07,44.5475
2020-02-08,44.5475
2020-02-09,44.5475
2020-02-10,45.9226
2020-02-11,47.6352
2020-02-12,49.3908
2020-02-13,48.8574
2020-02-14,48.8253
2020-02-15,48.8253
2020-02-16,48.8253
2020-02-17,48.8253
2020-02-18,48.2354
2020-02-19,45.4873
2020-02-20,43.5972
2020-02-21,41.8273
2020-02-22,41.8273
2020-02-23,41.8273
2020-02-24,39.287
2020-02-25,36.1494
2020-02-26,32.8852
2020-02-27,31.9041
2020-02-28,29.7555
2020-02-29,29.7555
2020-03-01,29.7555
2020-03-02,29.1496
2020-03-03,28.5801
2020-03-04,29.4358
2020-03-05,26.5946
2020-03-06,25.8808
2020-03-07,25.8808
2020-03-08,25.8808
2020-03-09,23.6842
2020-03-10,22.9249
2020-03-11,22.6153
2020-03-12,19.2448
2020-03-13,23.0305
2020-03-14,23.0305
2020-03-15,23.0305
2020-03-16,21.4968
2020-03-17,20.4912
2020-03-18,24.2256
2020-03-19,33.1248
2020-03-20,30.5488
2020-03-21,30.5488
2020-03-22,30.5488
2020-03-23,31.9753
2020-03-24,34.8689
2020-03-25,34.6304
2020-03-26,36.3568
2020-03-27,35.1192
2020-03-28,35.1192
2020-03-29,35.1192
2020-03-30,35.7099
2020-03-31,39.7098
2020-04-01,40.2557
2020-04-02,40.4498
2020-04-03,38.2188
2020-04-04,38.2188
2020-04-05,38.2188
2020-04-06,41.3714
2020-04-07,42.2327
2020-04-08,44.0482
2020-04-09,44.4596
2020-04-10,44.4596
2020-04-11,44.4596
2020-04-12,44.4596
2020-04-13,44.1054
2020-04-14,43.9529
2020-04-15,42.126
2020-04-16,40.6833
2020-04-17,44.654
2020-04-18,44.654
2020-04-19,44.654
2020-04-20,41.9297
2020-04-21,43.2262
2020-04-22,43.0275
2020-04-23,43.9485
2020-04-24,43.9732
2020-04-25,43.9732
2020-04-26,43.9732
2020-04-27,46.5283
2020-04-28,47.2863
2020-04-29,49.618
2020-04-30,46.3034
2020-05-01,44.4003
2020-05-02,44.4003
2020-05-03,44.4003
2020-05-04,44.4967
2020-05-05,44.1996
2020-05-06,42.9345
2020-05-07,44.0476
2020-05-08,45.9988
2020-05-09,45.9988
2020-05-10,45.9988
2020-05-11,44.6394
2020-05-12,43.0402
2020-05-13,41.5396
2020-05-14,41.6217
2020-05-15,42.7844
2020-05-16,42.7844
2020-05-17,42.7844
2020-05-18,46.7304
2020-05-19,46.9809
2020-05-20,47.7686
2020-05-21,48.8589
2020-05-22,48.6148
2020-05-23,48.6148
2020-05-24,48.6148
2020-05-25,48.6148
2020-05-26,51.2839
2020-05-27,53.1141
2020-05-28,50.8554
2020-05-29,51.462
2020-05-30,51.462
2020-05-31,51.462
2020-06-01,52.0013
2020-06-02,53.531
2020-06-03,54.8081
2020-06-04,57.0898
2020-06-05,60.0637
2020-06-06,60.0637
2020-06-07,60.0637
2020-06-08,60.3793
2020-06-09,57.2492
2020-06-10,52.9991
2020-06-11,48.1041
2020-06-12,49.4261
2020-06-13,49.4261
2020-06-14,49.4261
2020-06-15,50.7028
2020-06-16,56.3254
2020-06-17,53.1771
2020-06-18,53.2155
2020-06-19,52.7238
2020-06-20,52.7238
2020-06-21,52.7238
2020-06-22,51.779
2020-06-23,51.9698
2020-06-24,49.6659
2020-06-25,51.2866
2020-06-26,51.0339
2020-06-27,51.0339
2020-06-28,51.0339
2020-06-29,53.0286
2020-06-30,52.8329
2020-07-01,49.9709
2020-07-02,50.571
2020-07-03,50.571
2020-07-04,50.571
2020-07-05,50.571
2020-07-06,51.0384
2020-07-07,49.4424
2020-07-08,49.9089
2020-07-09,47.5899
2020-07-10,49.2983
2020-07-11,49.2983
2020-07-12,49.2983
2020-07-13,49.0551
2020-07-14,49.8739
2020-07-15,52.514
2020-07-16,52.354
2020-07-17,53.1415
2020-07-18,53.1415
2020-07-19,53.1415
2020-07-20,52.5241
2020-07-21,53.189
2020-07-22,52.2286
2020-07-23,52.8689
2020-07-24,50.8988
2020-07-25,50.8988
2020-07-26,50.8988
2020-07-27,51.0958
2020-07-28,48.0481
2020-07-29,49.3621
2020-07-30,47.9134
2020-07-31,46.7134
2020-08-01,46.7134
2020-08-02,46.7134
2020-08-03,48.7069
2020-08-04,49.0653
2020-08-05,50.8133
2020-08-06,50.2091
2020-08-07,52.7382
2020-08-08,52.7382
2020-08-09,52.7382
2020-08-10,54.629
2020-08-11,56.078
2020-08-12,53.9396
2020-08-13,52.8343
2020-08-14,53.6484
2020-08-15,53.6484
2020-08-16,53.6484
2020-08-17,52.5483
2020-08-18,51.2377
2020-08-19,50.9811
2020-08-20,50.5229
2020-08-21,48.6804
2020-08-22,48.6804
2020-08-23,48.6804
2020-08-24,50.8596
2020-08-25,50.1364
2020-08-26,49.7373
2020-08-27,51.4045
2020-08-28,51.6369
2020-08-29,51.6369
2020-08-30,51.6369
2020-08-31,50.6001
2020-09-01,52.1757
2020-09-02,51.3652
2020-09-03,49.2084
2020-09-04,51.2213
2020-09-05,51.2213
2020-09-06,51.2213
2020-09-07,51.2213
2020-09-08,47.8808
2020-09-09,48.3478
2020-09-10,46.3325
2020-09-11,46.6343
2020-09-12,46.6343
2020-09-13,46.6343
2020-09-14,47.6245
2020-09-15,46.8293
2020-09-16,49.5209
2020-09-17,50.8265
2020-09-18,50.4143
2020-09-19,50.4143
2020-09-20,50.4143
2020-09-21,46.9751
2020-09-22,46.7346
