,PII US Equity
,RSI_30D
2020-01-01,59.8998
2020-01-02,61.3738
2020-01-03,58.0542
2020-01-04,58.0542
2020-01-05,58.0542
2020-01-06,52.2771
2020-01-07,49.6012
2020-01-08,49.0739
2020-01-09,49.6017
2020-01-10,46.3007
2020-01-11,46.3007
2020-01-12,46.3007
2020-01-13,49.3301
2020-01-14,49.8245
2020-01-15,48.4819
2020-01-16,49.092
2020-01-17,47.4005
2020-01-18,47.4005
2020-01-19,47.4005
2020-01-20,47.4005
2020-01-21,45.7222
2020-01-22,47.3976
2020-01-23,47.3976
2020-01-24,46.0415
2020-01-25,46.0415
2020-01-26,46.0415
2020-01-27,44.9838
2020-01-28,52.0022
2020-01-29,49.8995
2020-01-30,49.8495
2020-01-31,46.6382
2020-02-01,46.6382
2020-02-02,46.6382
2020-02-03,46.5449
2020-02-04,46.9973
2020-02-05,50.4912
2020-02-06,47.6337
2020-02-07,45.3314
2020-02-08,45.3314
2020-02-09,45.3314
2020-02-10,45.3449
2020-02-11,48.7277
2020-02-12,51.1663
2020-02-13,50.7584
2020-02-14,49.7998
2020-02-15,49.7998
2020-02-16,49.7998
2020-02-17,49.7998
2020-02-18,49.7493
2020-02-19,48.7523
2020-02-20,50.6415
2020-02-21,46.811
2020-02-22,46.811
2020-02-23,46.811
2020-02-24,41.6249
2020-02-25,39.1705
2020-02-26,38.714
2020-02-27,38.8274
2020-02-28,38.6132
2020-02-29,38.6132
2020-03-01,38.6132
2020-03-02,42.2528
2020-03-03,41.6296
2020-03-04,51.2617
2020-03-05,45.0719
2020-03-06,44.7002
2020-03-07,44.7002
2020-03-08,44.7002
2020-03-09,36.0013
2020-03-10,38.9575
2020-03-11,36.6503
2020-03-12,30.7048
2020-03-13,37.7595
2020-03-14,37.7595
2020-03-15,37.7595
2020-03-16,32.2416
2020-03-17,32.0427
2020-03-18,30.4656
2020-03-19,32.4925
2020-03-20,30.9793
2020-03-21,30.9793
2020-03-22,30.9793
2020-03-23,28.7913
2020-03-24,32.574
2020-03-25,33.5297
2020-03-26,36.8298
2020-03-27,34.7343
2020-03-28,34.7343
2020-03-29,34.7343
2020-03-30,34.6369
2020-03-31,35.3181
2020-04-01,34.5466
2020-04-02,34.0239
2020-04-03,31.9443
2020-04-04,31.9443
2020-04-05,31.9443
2020-04-06,35.4025
2020-04-07,38.6286
2020-04-08,41.2337
2020-04-09,43.0972
2020-04-10,43.0972
2020-04-11,43.0972
2020-04-12,43.0972
2020-04-13,42.233
2020-04-14,43.6548
2020-04-15,42.796
2020-04-16,43.317
2020-04-17,46.1267
2020-04-18,46.1267
2020-04-19,46.1267
2020-04-20,45.6236
2020-04-21,45.6665
2020-04-22,45.7551
2020-04-23,47.1617
2020-04-24,48.3282
2020-04-25,48.3282
2020-04-26,48.3282
2020-04-27,50.8509
2020-04-28,52.2864
2020-04-29,55.0516
2020-04-30,52.4823
2020-05-01,49.4328
2020-05-02,49.4328
2020-05-03,49.4328
2020-05-04,50.5454
2020-05-05,51.3728
2020-05-06,50.8849
2020-05-07,50.8605
2020-05-08,53.559
2020-05-09,53.559
2020-05-10,53.559
2020-05-11,53.8274
2020-05-12,51.2359
2020-05-13,48.9482
2020-05-14,52.1069
2020-05-15,53.7239
2020-05-16,53.7239
2020-05-17,53.7239
2020-05-18,56.588
2020-05-19,56.4849
2020-05-20,58.0615
2020-05-21,58.2918
2020-05-22,58.6219
2020-05-23,58.6219
2020-05-24,58.6219
2020-05-25,58.6219
2020-05-26,59.8135
2020-05-27,62.0731
2020-05-28,60.5551
2020-05-29,59.467
2020-05-30,59.467
2020-05-31,59.467
2020-06-01,60.4152
2020-06-02,60.3999
2020-06-03,61.9809
2020-06-04,63.8603
2020-06-05,64.3673
2020-06-06,64.3673
2020-06-07,64.3673
2020-06-08,66.7331
2020-06-09,64.7863
2020-06-10,61.8231
2020-06-11,59.1786
2020-06-12,60.2478
2020-06-13,60.2478
2020-06-14,60.2478
2020-06-15,60.7719
2020-06-16,61.4935
2020-06-17,60.9413
2020-06-18,58.9769
