,EXC US Equity
,RSI_30D
2020-01-01,55.5079
2020-01-02,54.5141
2020-01-03,55.2395
2020-01-04,55.2395
2020-01-05,55.2395
2020-01-06,55.5798
2020-01-07,55.8203
2020-01-08,57.5381
2020-01-09,58.2867
2020-01-10,58.8559
2020-01-11,58.8559
2020-01-12,58.8559
2020-01-13,58.3319
2020-01-14,55.5542
2020-01-15,59.4446
2020-01-16,60.3661
2020-01-17,63.3159
2020-01-18,63.3159
2020-01-19,63.3159
2020-01-20,63.3159
2020-01-21,64.1233
2020-01-22,64.464
2020-01-23,65.6859
2020-01-24,63.96
2020-01-25,63.96
2020-01-26,63.96
2020-01-27,60.5203
2020-01-28,62.6009
2020-01-29,62.9522
2020-01-30,64.0439
2020-01-31,60.5724
2020-02-01,60.5724
2020-02-02,60.5724
2020-02-03,63.2472
2020-02-04,62.4568
2020-02-05,63.4867
2020-02-06,62.9655
2020-02-07,62.4353
2020-02-08,62.4353
2020-02-09,62.4353
2020-02-10,62.988
2020-02-11,67.2648
2020-02-12,66.646
2020-02-13,67.8322
2020-02-14,68.5416
2020-02-15,68.5416
2020-02-16,68.5416
2020-02-17,68.5416
2020-02-18,70.721
2020-02-19,67.5913
2020-02-20,68.4983
2020-02-21,67.4824
2020-02-22,67.4824
2020-02-23,67.4824
2020-02-24,61.0029
2020-02-25,53.9211
2020-02-26,50.9395
2020-02-27,42.8649
2020-02-28,36.5031
2020-02-29,36.5031
2020-03-01,36.5031
2020-03-02,45.9815
2020-03-03,42.4758
2020-03-04,50.7196
2020-03-05,48.8207
2020-03-06,46.3245
2020-03-07,46.3245
2020-03-08,46.3245
2020-03-09,39.2708
2020-03-10,42.6253
2020-03-11,36.8632
2020-03-12,30.9305
2020-03-13,33.5852
2020-03-14,33.5852
2020-03-15,33.5852
2020-03-16,27.6787
2020-03-17,38.2257
2020-03-18,35.3503
2020-03-19,34.7744
2020-03-20,33.5103
2020-03-21,33.5103
2020-03-22,33.5103
2020-03-23,32.6229
2020-03-24,39.9313
2020-03-25,39.9907
2020-03-26,42.969
2020-03-27,41.8217
2020-03-28,41.8217
2020-03-29,41.8217
2020-03-30,44.2651
2020-03-31,43.8031
2020-04-01,40.3489
2020-04-02,42.0524
2020-04-03,40.145
2020-04-04,40.145
2020-04-05,40.145
2020-04-06,44.9251
2020-04-07,44.3808
2020-04-08,46.6518
2020-04-09,48.5358
2020-04-10,48.5358
2020-04-11,48.5358
2020-04-12,48.5358
2020-04-13,46.995
2020-04-14,48.5869
2020-04-15,46.3609
2020-04-16,46.448
2020-04-17,48.1162
2020-04-18,48.1162
2020-04-19,48.1162
2020-04-20,46.5815
2020-04-21,45.0725
2020-04-22,47.0142
2020-04-23,46.0395
2020-04-24,46.4052
2020-04-25,46.4052
2020-04-26,46.4052
2020-04-27,48.0003
2020-04-28,48.0199
2020-04-29,48.6604
2020-04-30,47.1092
2020-05-01,45.5583
2020-05-02,45.5583
2020-05-03,45.5583
2020-05-04,45.1379
2020-05-05,45.7592
2020-05-06,44.0454
2020-05-07,44.9099
2020-05-08,48.3984
2020-05-09,48.3984
2020-05-10,48.3984
2020-05-11,48.2002
2020-05-12,47.5954
2020-05-13,46.0673
2020-05-14,47.3019
2020-05-15,46.1976
2020-05-16,46.1976
2020-05-17,46.1976
2020-05-18,49.58
2020-05-19,48.4184
2020-05-20,48.8071
2020-05-21,48.0437
2020-05-22,48.686
2020-05-23,48.686
2020-05-24,48.686
2020-05-25,48.686
2020-05-26,49.8589
2020-05-27,50.3907
2020-05-28,50.8977
2020-05-29,50.9787
2020-05-30,50.9787
2020-05-31,50.9787
2020-06-01,51.8496
2020-06-02,51.9994
2020-06-03,53.6245
2020-06-04,51.8995
2020-06-05,54.1629
2020-06-06,54.1629
2020-06-07,54.1629
2020-06-08,56.4663
2020-06-09,53.9425
2020-06-10,53.0165
2020-06-11,49.6454
2020-06-12,49.4121
2020-06-13,49.4121
2020-06-14,49.4121
2020-06-15,50.1052
2020-06-16,50.5955
2020-06-17,50.3396
2020-06-18,49.8738
2020-06-19,48.6263
2020-06-20,48.6263
2020-06-21,48.6263
2020-06-22,48.7056
2020-06-23,48.0917
2020-06-24,46.6103
2020-06-25,44.6932
2020-06-26,43.4433
2020-06-27,43.4433
2020-06-28,43.4433
2020-06-29,46.2469
2020-06-30,46.8853
2020-07-01,49.115
2020-07-02,49.3617
2020-07-03,49.3617
2020-07-04,49.3617
2020-07-05,49.3617
2020-07-06,49.1972
2020-07-07,48.3638
2020-07-08,48.7009
2020-07-09,47.5659
2020-07-10,49.3404
2020-07-11,49.3404
2020-07-12,49.3404
2020-07-13,49.524
2020-07-14,50.4528
2020-07-15,50.8736
2020-07-16,50.8976
2020-07-17,53.9972
2020-07-18,53.9972
2020-07-19,53.9972
2020-07-20,51.2997
2020-07-21,52.241
2020-07-22,52.8276
2020-07-23,51.9348
2020-07-24,49.8142
2020-07-25,49.8142
2020-07-26,49.8142
2020-07-27,49.2691
2020-07-28,50.267
2020-07-29,51.7523
2020-07-30,51.5096
2020-07-31,51.8729
2020-08-01,51.8729
2020-08-02,51.8729
2020-08-03,50.1516
2020-08-04,52.1644
2020-08-05,49.3695
2020-08-06,49.8552
2020-08-07,52.5498
2020-08-08,52.5498
2020-08-09,52.5498
2020-08-10,50.8483
2020-08-11,49.7465
2020-08-12,51.8777
2020-08-13,50.8008
2020-08-14,50.7727
2020-08-15,50.7727
2020-08-16,50.7727
2020-08-17,49.1125
2020-08-18,48.3639
2020-08-19,48.2231
2020-08-20,46.2451
2020-08-21,46.9114
2020-08-22,46.9114
2020-08-23,46.9114
2020-08-24,50.451
2020-08-25,48.8387
2020-08-26,49.2729
2020-08-27,48.1504
2020-08-28,48.6222
2020-08-29,48.6222
2020-08-30,48.6222
2020-08-31,48.2288
2020-09-01,46.4925
2020-09-02,51.7584
2020-09-03,49.562
2020-09-04,48.9809
2020-09-05,48.9809
2020-09-06,48.9809
2020-09-07,48.9809
2020-09-08,47.0683
2020-09-09,47.8542
2020-09-10,45.5322
2020-09-11,45.5047
2020-09-12,45.5047
2020-09-13,45.5047
2020-09-14,46.9315
2020-09-15,46.6523
2020-09-16,46.9786
2020-09-17,45.9683
2020-09-18,43.4494
2020-09-19,43.4494
2020-09-20,43.4494
2020-09-21,42.5519
2020-09-22,44.264
2020-09-23,42.1994
2020-09-24,43.4332
2020-09-25,45.999
2020-09-26,45.999
2020-09-27,45.999
2020-09-28,46.7728
2020-09-29,45.4855
2020-09-30,47.0645
2020-10-01,47.3156
2020-10-02,47.7188
2020-10-03,47.7188
2020-10-04,47.7188
2020-10-05,50.7328
2020-10-06,52.0123
2020-10-07,54.2134
2020-10-08,58.4732
2020-10-09,58.0174
2020-10-10,58.0174
2020-10-11,58.0174
2020-10-12,60.1083
2020-10-13,62.5801
2020-10-14,62.6997
2020-10-15,63.5901
2020-10-16,65.1931
2020-10-17,65.1931
2020-10-18,65.1931
2020-10-19,64.2182
