,SKYW US Equity
,RSI_30D
2020-01-01,63.6838
2020-01-02,64.6004
2020-01-03,60.6601
2020-01-04,60.6601
2020-01-05,60.6601
2020-01-06,60.8538
2020-01-07,59.4161
2020-01-08,60.656
2020-01-09,61.8137
2020-01-10,59.6131
2020-01-11,59.6131
2020-01-12,59.6131
2020-01-13,59.5361
2020-01-14,59.3381
2020-01-15,61.334
2020-01-16,63.6707
2020-01-17,64.7381
2020-01-18,64.7381
2020-01-19,64.7381
2020-01-20,64.7381
2020-01-21,59.4363
2020-01-22,56.9009
2020-01-23,59.2799
2020-01-24,54.2088
2020-01-25,54.2088
2020-01-26,54.2088
2020-01-27,49.2812
2020-01-28,50.5636
2020-01-29,47.0272
2020-01-30,48.7209
2020-01-31,36.5248
2020-02-01,36.5248
2020-02-02,36.5248
2020-02-03,36.9866
2020-02-04,42.777
2020-02-05,46.8484
2020-02-06,42.5885
2020-02-07,42.6496
2020-02-08,42.6496
2020-02-09,42.6496
2020-02-10,41.8212
2020-02-11,43.5641
2020-02-12,44.3332
2020-02-13,46.6893
2020-02-14,44.6662
2020-02-15,44.6662
2020-02-16,44.6662
2020-02-17,44.6662
2020-02-18,44.1548
2020-02-19,43.1494
2020-02-20,42.8022
2020-02-21,40.9988
2020-02-22,40.9988
2020-02-23,40.9988
2020-02-24,37.1478
2020-02-25,33.9605
2020-02-26,30.2162
2020-02-27,29.6649
2020-02-28,28.9582
2020-02-29,28.9582
2020-03-01,28.9582
2020-03-02,27.3411
2020-03-03,26.8415
2020-03-04,31.7986
2020-03-05,26.881
2020-03-06,29.572
2020-03-07,29.572
2020-03-08,29.572
2020-03-09,25.5242
2020-03-10,30.1373
2020-03-11,28.7716
2020-03-12,23.5005
2020-03-13,25.3341
2020-03-14,25.3341
2020-03-15,25.3341
2020-03-16,23.264
2020-03-17,22.7963
2020-03-18,19.1775
2020-03-19,25.7358
2020-03-20,29.0039
2020-03-21,29.0039
2020-03-22,29.0039
2020-03-23,29.6686
2020-03-24,34.2933
2020-03-25,34.973
2020-03-26,38.8598
2020-03-27,37.312
2020-03-28,37.312
2020-03-29,37.312
2020-03-30,36.8152
2020-03-31,36.8452
2020-04-01,34.291
2020-04-02,34.2263
2020-04-03,33.3895
2020-04-04,33.3895
2020-04-05,33.3895
2020-04-06,36.0266
