,GLW US Equity
,RSI_30D
2020-01-01,51.3419
2020-01-02,55.9232
2020-01-03,53.6091
2020-01-04,53.6091
2020-01-05,53.6091
2020-01-06,54.0129
2020-01-07,55.1241
2020-01-08,55.8268
2020-01-09,56.728
2020-01-10,56.0057
2020-01-11,56.0057
2020-01-12,56.0057
2020-01-13,57.4822
2020-01-14,55.5535
2020-01-15,52.7741
2020-01-16,54.5902
2020-01-17,54.8543
2020-01-18,54.8543
2020-01-19,54.8543
2020-01-20,54.8543
2020-01-21,52.6374
2020-01-22,52.2628
2020-01-23,51.6294
2020-01-24,50.4281
2020-01-25,50.4281
2020-01-26,50.4281
2020-01-27,45.7875
2020-01-28,42.9269
2020-01-29,45.1428
2020-01-30,41.9645
2020-01-31,37.7939
2020-02-01,37.7939
2020-02-02,37.7939
2020-02-03,39.1698
2020-02-04,43.1325
2020-02-05,46.9229
2020-02-06,46.3824
2020-02-07,44.2301
2020-02-08,44.2301
2020-02-09,44.2301
2020-02-10,43.7586
2020-02-11,46.2896
2020-02-12,50.2332
2020-02-13,49.6207
2020-02-14,49.0497
2020-02-15,49.0497
2020-02-16,49.0497
2020-02-17,49.0497
2020-02-18,46.2074
2020-02-19,46.1628
2020-02-20,47.8814
2020-02-21,46.3507
2020-02-22,46.3507
2020-02-23,46.3507
2020-02-24,42.2831
2020-02-25,37.7175
2020-02-26,36.2315
2020-02-27,33.3169
2020-02-28,32.8522
2020-02-29,32.8522
2020-03-01,32.8522
2020-03-02,37.1721
2020-03-03,34.9333
2020-03-04,40.6246
2020-03-05,39.1771
2020-03-06,40.4317
2020-03-07,40.4317
2020-03-08,40.4317
2020-03-09,34.9914
2020-03-10,40.4374
2020-03-11,37.912
2020-03-12,32.456
2020-03-13,40.1964
2020-03-14,40.1964
2020-03-15,40.1964
2020-03-16,33.7703
2020-03-17,40.3631
2020-03-18,40.2636
2020-03-19,39.8737
2020-03-20,36.0866
2020-03-21,36.0866
2020-03-22,36.0866
2020-03-23,34.5243
2020-03-24,40.0181
2020-03-25,40.5411
2020-03-26,43.9685
2020-03-27,42.2408
2020-03-28,42.2408
2020-03-29,42.2408
2020-03-30,43.4019
2020-03-31,42.1993
2020-04-01,39.9846
2020-04-02,39.3717
2020-04-03,38.2045
2020-04-04,38.2045
2020-04-05,38.2045
2020-04-06,42.2406
2020-04-07,42.1931
2020-04-08,44.1221
2020-04-09,45.4136
2020-04-10,45.4136
2020-04-11,45.4136
2020-04-12,45.4136
2020-04-13,44.0831
2020-04-14,44.7141
2020-04-15,43.4716
2020-04-16,43.2092
2020-04-17,45.2162
2020-04-18,45.2162
2020-04-19,45.2162
2020-04-20,44.6963
2020-04-21,42.8748
2020-04-22,44.1463
2020-04-23,44.2652
2020-04-24,46.0463
2020-04-25,46.0463
2020-04-26,46.0463
2020-04-27,47.9949
2020-04-28,49.135
2020-04-29,49.8927
2020-04-30,48.8521
2020-05-01,46.0013
2020-05-02,46.0013
2020-05-03,46.0013
2020-05-04,45.4526
2020-05-05,46.1418
2020-05-06,46.2422
2020-05-07,46.857
2020-05-08,48.5562
2020-05-09,48.5562
2020-05-10,48.5562
2020-05-11,47.8011
2020-05-12,45.7538
2020-05-13,44.0437
2020-05-14,44.8905
2020-05-15,44.2425
2020-05-16,44.2425
2020-05-17,44.2425
2020-05-18,47.7912
2020-05-19,47.4833
2020-05-20,49.4028
2020-05-21,48.7551
2020-05-22,48.915
2020-05-23,48.915
2020-05-24,48.915
2020-05-25,48.915
2020-05-26,51.7691
2020-05-27,53.831
2020-05-28,53.6618
2020-05-29,52.9166
2020-05-30,52.9166
2020-05-31,52.9166
2020-06-01,52.7708
2020-06-02,55.6526
2020-06-03,58.5662
2020-06-04,57.3388
2020-06-05,61.3789
2020-06-06,61.3789
2020-06-07,61.3789
2020-06-08,62.5019
2020-06-09,63.1777
2020-06-10,63.5926
2020-06-11,58.3389
2020-06-12,59.9109
2020-06-13,59.9109
2020-06-14,59.9109
2020-06-15,60.2885
2020-06-16,61.3585
2020-06-17,60.0868
2020-06-18,60.2945
2020-06-19,58.2566
2020-06-20,58.2566
2020-06-21,58.2566
2020-06-22,57.7595
2020-06-23,58.5373
2020-06-24,55.2268
2020-06-25,55.2268
2020-06-26,54.005
2020-06-27,54.005
2020-06-28,54.005
2020-06-29,54.7047
2020-06-30,55.2782
2020-07-01,54.4995
2020-07-02,55.4199
2020-07-03,55.4199
2020-07-04,55.4199
2020-07-05,55.4199
2020-07-06,57.5616
2020-07-07,56.4329
2020-07-08,56.3982
2020-07-09,56.4812
2020-07-10,56.9333
2020-07-11,56.9333
2020-07-12,56.9333
2020-07-13,57.0775
2020-07-14,58.8993
2020-07-15,60.7826
2020-07-16,62.5575
2020-07-17,63.2458
2020-07-18,63.2458
2020-07-19,63.2458
2020-07-20,63.2458
2020-07-21,63.93
2020-07-22,64.661
2020-07-23,65.1647
2020-07-24,62.8034
2020-07-25,62.8034
2020-07-26,62.8034
2020-07-27,66.1384
2020-07-28,64.4
2020-07-29,67.5039
2020-07-30,65.3943
2020-07-31,64.8806
2020-08-01,64.8806
2020-08-02,64.8806
2020-08-03,64.4442
2020-08-04,65.1475
2020-08-05,66.7655
2020-08-06,66.5801
2020-08-07,66.6041
2020-08-08,66.6041
2020-08-09,66.6041
2020-08-10,67.3315
2020-08-11,67.6955
2020-08-12,68.7287
2020-08-13,67.6358
2020-08-14,66.5926
2020-08-15,66.5926
2020-08-16,66.5926
2020-08-17,66.6192
2020-08-18,65.4321
2020-08-19,65.7762
2020-08-20,63.805
2020-08-21,65.5833
2020-08-22,65.5833
2020-08-23,65.5833
2020-08-24,68.0213
2020-08-25,65.4628
2020-08-26,64.8843
2020-08-27,62.6307
2020-08-28,64.2154
2020-08-29,64.2154
2020-08-30,64.2154
2020-08-31,63.1697
2020-09-01,64.3411
2020-09-02,66.7271
2020-09-03,58.1966
2020-09-04,58.6522
2020-09-05,58.6522
2020-09-06,58.6522
2020-09-07,58.6522
2020-09-08,57.4008
2020-09-09,61.2631
2020-09-10,56.4533
2020-09-11,56.6309
2020-09-12,56.6309
2020-09-13,56.6309
2020-09-14,58.9406
2020-09-15,59.1655
2020-09-16,58.4205
2020-09-17,58.9552
2020-09-18,57.3447
2020-09-19,57.3447
2020-09-20,57.3447
2020-09-21,53.3017
2020-09-22,53.9277
2020-09-23,50.1915
2020-09-24,50.539
2020-09-25,52.2952
2020-09-26,52.2952
2020-09-27,52.2952
2020-09-28,54.9859
2020-09-29,54.7549
2020-09-30,56.1521
2020-10-01,56.5308
2020-10-02,57.4186
2020-10-03,57.4186
2020-10-04,57.4186
2020-10-05,59.6126
2020-10-06,59.8799
2020-10-07,63.8412
2020-10-08,64.272
2020-10-09,62.2413
2020-10-10,62.2413
2020-10-11,62.2413
2020-10-12,61.5705
2020-10-13,62.244
2020-10-14,60.5515
2020-10-15,61.8845
2020-10-16,62.5112
2020-10-17,62.5112
2020-10-18,62.5112
2020-10-19,59.8283
2020-10-20,60.553
2020-10-21,61.0378
2020-10-22,62.4403
2020-10-23,62.7063
2020-10-24,62.7063
2020-10-25,62.7063
2020-10-26,56.665
2020-10-27,51.2105
2020-10-28,47.4319
2020-10-29,48.7249
2020-10-30,48.2932
2020-10-31,48.2932
2020-11-01,48.2932
2020-11-02,50.054
2020-11-03,53.9475
2020-11-04,53.5517
2020-11-05,56.3529
2020-11-06,56.9877
2020-11-07,56.9877
2020-11-08,56.9877
2020-11-09,59.6635
2020-11-10,60.5533
2020-11-11,60.3912
2020-11-12,57.0146
2020-11-13,59.547
2020-11-14,59.547
2020-11-15,59.547
2020-11-16,62.4107
2020-11-17,60.4849
2020-11-18,59.0155
2020-11-19,59.6397
2020-11-20,59.5224
2020-11-21,59.5224
2020-11-22,59.5224
2020-11-23,60.408
2020-11-24,62.6372
2020-11-25,61.8095
2020-11-26,61.8095
2020-11-27,60.935
2020-11-28,60.935
2020-11-29,60.935
2020-11-30,61.8133
2020-12-01,61.6395
2020-12-02,62.7762
2020-12-03,59.808
2020-12-04,62.0724
2020-12-05,62.0724
2020-12-06,62.0724
2020-12-07,60.5005
2020-12-08,61.4557
2020-12-09,60.2922
2020-12-10,58.2227
2020-12-11,52.4119
2020-12-12,52.4119
2020-12-13,52.4119
2020-12-14,55.8942
2020-12-15,56.4854
2020-12-16,53.7186
2020-12-17,54.7475
2020-12-18,53.5167
2020-12-19,53.5167
2020-12-20,53.5167
2020-12-21,52.5049
2020-12-22,52.8862
2020-12-23,53.7818
2020-12-24,53.4813
2020-12-25,53.4813
2020-12-26,53.4813
2020-12-27,53.4813
2020-12-28,53.174
2020-12-29,51.0861
2020-12-30,52.2499
2020-12-31,52.3565
2021-01-01,52.3565
2021-01-02,52.3565
2021-01-03,52.3565
2021-01-04,48.3377
2021-01-05,51.0376
2021-01-06,55.0252
2021-01-07,55.2703
2021-01-08,55.1537
2021-01-09,55.1537
2021-01-10,55.1537
2021-01-11,56.9993
2021-01-12,56.6721
2021-01-13,55.4781
2021-01-14,58.1811
2021-01-15,57.22
2021-01-16,57.22
2021-01-17,57.22
2021-01-18,57.22
2021-01-19,59.421
2021-01-20,59.0764
2021-01-21,56.9004
2021-01-22,55.4908
2021-01-23,55.4908
2021-01-24,55.4908
2021-01-25,58.2004
2021-01-26,53.177
2021-01-27,46.8819
2021-01-28,50.6512
2021-01-29,48.9582
2021-01-30,48.9582
2021-01-31,48.9582
2021-02-01,49.0509
2021-02-02,50.3873
2021-02-03,50.4185
2021-02-04,53.2833
2021-02-05,53.6955
2021-02-06,53.6955
2021-02-07,53.6955
2021-02-08,54.4673
2021-02-09,49.9914
2021-02-10,51.8412
2021-02-11,51.2624
2021-02-12,51.6348
2021-02-13,51.6348
2021-02-14,51.6348
2021-02-15,51.6348
2021-02-16,56.5572
2021-02-17,54.2016
2021-02-18,53.1375
2021-02-19,54.5365
2021-02-20,54.5365
2021-02-21,54.5365
2021-02-22,54.1685
2021-02-23,53.1564
2021-02-24,55.9384
2021-02-25,53.5727
2021-02-26,55.1156
2021-02-27,55.1156
2021-02-28,55.1156
2021-03-01,58.32
2021-03-02,55.8711
2021-03-03,55.3768
2021-03-04,50.3676
2021-03-05,51.7525
2021-03-06,51.7525
2021-03-07,51.7525
2021-03-08,52.1667
2021-03-09,54.3558
2021-03-10,55.7773
2021-03-11,58.2938
2021-03-12,60.008
2021-03-13,60.008
2021-03-14,60.008
2021-03-15,61.8259
2021-03-16,59.8167
2021-03-17,60.5245
2021-03-18,60.7258
2021-03-19,60.3017
2021-03-20,60.3017
2021-03-21,60.3017
2021-03-22,59.1969
2021-03-23,55.4668
2021-03-24,56.4475
2021-03-25,58.8411
2021-03-26,63.5232
2021-03-27,63.5232
2021-03-28,63.5232
2021-03-29,63.4891
2021-03-30,63.8903
2021-03-31,63.5651
2021-04-01,64.5603
2021-04-02,64.5603
2021-04-03,64.5603
2021-04-04,64.5603
2021-04-05,67.4182
2021-04-06,64.528
2021-04-07,63.1625
2021-04-08,63.7325
2021-04-09,64.1019
2021-04-10,64.1019
2021-04-11,64.1019
2021-04-12,64.7214
2021-04-13,64.4912
2021-04-14,65.0275
2021-04-15,66.413
2021-04-16,66.0032
2021-04-17,66.0032
2021-04-18,66.0032
2021-04-19,66.5582
2021-04-20,64.4643
2021-04-21,65.9917
2021-04-22,63.2996
2021-04-23,64.7857
2021-04-24,64.7857
2021-04-25,64.7857
2021-04-26,64.0539
2021-04-27,58.1638
2021-04-28,57.6366
2021-04-29,59.6301
2021-04-30,56.3652
2021-05-01,56.3652
2021-05-02,56.3652
2021-05-03,57.8632
2021-05-04,58.3149
2021-05-05,59.3906
2021-05-06,60.0357
2021-05-07,60.8522
2021-05-08,60.8522
2021-05-09,60.8522
2021-05-10,58.0277
2021-05-11,57.6633
2021-05-12,50.1974
2021-05-13,52.1024
2021-05-14,54.1054
2021-05-15,54.1054
2021-05-16,54.1054
2021-05-17,53.826
2021-05-18,51.3566
2021-05-19,50.7912
2021-05-20,52.251
2021-05-21,51.7219
2021-05-22,51.7219
2021-05-23,51.7219
2021-05-24,53.1087
2021-05-25,52.4592
2021-05-26,52.3929
2021-05-27,51.6128
2021-05-28,52.597
2021-05-29,52.597
2021-05-30,52.597
2021-05-31,52.597
2021-06-01,50.8372
2021-06-02,50.0224
2021-06-03,51.0372
2021-06-04,51.8131
2021-06-05,51.8131
2021-06-06,51.8131
2021-06-07,48.9849
2021-06-08,50.4025
2021-06-09,49.5343
2021-06-10,50.5218
2021-06-11,50.9473
2021-06-12,50.9473
2021-06-13,50.9473
2021-06-14,45.2445
2021-06-15,43.9279
2021-06-16,42.0026
2021-06-17,39.2658
2021-06-18,37.7347
2021-06-19,37.7347
2021-06-20,37.7347
2021-06-21,40.4098
2021-06-22,43.1908
2021-06-23,45.6424
2021-06-24,46.1167
2021-06-25,45.8213
2021-06-26,45.8213
2021-06-27,45.8213
2021-06-28,46.1425
2021-06-29,45.7064
2021-06-30,45.8953
2021-07-01,46.5875
2021-07-02,47.0546
2021-07-03,47.0546
2021-07-04,47.0546
2021-07-05,47.0546
2021-07-06,44.4412
2021-07-07,45.3668
2021-07-08,43.5711
2021-07-09,47.225
2021-07-10,47.225
2021-07-11,47.225
2021-07-12,46.8538
2021-07-13,45.6721
2021-07-14,46.4308
2021-07-15,45.7696
2021-07-16,43.2541
2021-07-17,43.2541
2021-07-18,43.2541
2021-07-19,41.7049
2021-07-20,44.9516
2021-07-21,47.841
2021-07-22,46.3966
2021-07-23,49.3055
2021-07-24,49.3055
2021-07-25,49.3055
2021-07-26,48.7512
2021-07-27,46.91
2021-07-28,48.1114
2021-07-29,51.5825
2021-07-30,51.7188
2021-07-31,51.7188
2021-08-01,51.7188
2021-08-02,49.0058
2021-08-03,51.1007
2021-08-04,50.7057
2021-08-05,48.25
2021-08-06,48.3609
2021-08-07,48.3609
2021-08-08,48.3609
2021-08-09,47.7611
2021-08-10,48.4229
2021-08-11,48.5023
2021-08-12,46.3611
2021-08-13,46.1793
2021-08-14,46.1793
2021-08-15,46.1793
2021-08-16,46.5264
2021-08-17,46.4489
2021-08-18,47.4447
2021-08-19,48.788
