,HON US Equity
,RSI_30D
2020-01-01,60.6101
2020-01-02,64.8895
2020-01-03,61.3768
2020-01-04,61.3768
2020-01-05,61.3768
2020-01-06,59.0632
2020-01-07,59.1811
2020-01-08,59.3627
2020-01-09,60.9331
2020-01-10,60.2164
2020-01-11,60.2164
2020-01-12,60.2164
2020-01-13,63.1907
2020-01-14,61.6804
2020-01-15,62.0012
2020-01-16,63.7182
2020-01-17,64.7625
2020-01-18,64.7625
2020-01-19,64.7625
2020-01-20,64.7625
2020-01-21,60.4918
2020-01-22,58.9531
2020-01-23,58.136
2020-01-24,54.0933
2020-01-25,54.0933
2020-01-26,54.0933
2020-01-27,48.9351
2020-01-28,51.4941
2020-01-29,51.7676
2020-01-30,55.0975
2020-01-31,48.4606
2020-02-01,48.4606
2020-02-02,48.4606
2020-02-03,46.3188
2020-02-04,50.9138
2020-02-05,52.7322
2020-02-06,52.0826
2020-02-07,50.8227
2020-02-08,50.8227
2020-02-09,50.8227
2020-02-10,52.6712
2020-02-11,54.9776
2020-02-12,56.9788
2020-02-13,55.6428
2020-02-14,56.3323
2020-02-15,56.3323
2020-02-16,56.3323
2020-02-17,56.3323
2020-02-18,54.5648
2020-02-19,56.0429
2020-02-20,55.8341
2020-02-21,54.7527
2020-02-22,54.7527
2020-02-23,54.7527
2020-02-24,49.2097
2020-02-25,42.0704
2020-02-26,41.5528
2020-02-27,36.4848
2020-02-28,39.4585
2020-02-29,39.4585
2020-03-01,39.4585
2020-03-02,41.6898
2020-03-03,39.9602
2020-03-04,48.6771
2020-03-05,44.2013
2020-03-06,43.6125
2020-03-07,43.6125
2020-03-08,43.6125
2020-03-09,37.1815
2020-03-10,43.9414
2020-03-11,39.779
2020-03-12,32.6354
2020-03-13,41.2122
2020-03-14,41.2122
2020-03-15,41.2122
2020-03-16,36.5385
2020-03-17,35.516
2020-03-18,32.2376
2020-03-19,32.0743
2020-03-20,30.4864
2020-03-21,30.4864
2020-03-22,30.4864
2020-03-23,28.5321
2020-03-24,36.1962
2020-03-25,40.4748
2020-03-26,43.4719
2020-03-27,41.7518
2020-03-28,41.7518
2020-03-29,41.7518
2020-03-30,41.9379
2020-03-31,42.7422
2020-04-01,41.5513
2020-04-02,42.8039
2020-04-03,41.2237
2020-04-04,41.2237
2020-04-05,41.2237
2020-04-06,43.8444
2020-04-07,44.3304
2020-04-08,45.8972
2020-04-09,47.4907
2020-04-10,47.4907
2020-04-11,47.4907
2020-04-12,47.4907
2020-04-13,45.6633
2020-04-14,46.6877
2020-04-15,44.7923
2020-04-16,43.9859
2020-04-17,46.3695
2020-04-18,46.3695
2020-04-19,46.3695
2020-04-20,45.4935
2020-04-21,44.2717
2020-04-22,44.6994
2020-04-23,45.3939
2020-04-24,45.7527
2020-04-25,45.7527
2020-04-26,45.7527
2020-04-27,47.6013
2020-04-28,48.7937
2020-04-29,50.1784
2020-04-30,48.4793
2020-05-01,46.6939
2020-05-02,46.6939
2020-05-03,46.6939
2020-05-04,45.9226
2020-05-05,45.7966
2020-05-06,45.0871
2020-05-07,44.9886
2020-05-08,46.964
2020-05-09,46.964
2020-05-10,46.964
2020-05-11,45.8761
2020-05-12,43.2405
2020-05-13,41.5358
2020-05-14,44.0151
2020-05-15,43.3883
2020-05-16,43.3883
2020-05-17,43.3883
2020-05-18,48.323
2020-05-19,46.7027
2020-05-20,48.4853
2020-05-21,49.2004
2020-05-22,49.8468
2020-05-23,49.8468
2020-05-24,49.8468
2020-05-25,49.8468
2020-05-26,52.2756
