,FIBK US Equity
,RSI_30D
2020-01-01,50.5156
2020-01-02,49.2737
2020-01-03,48.0516
2020-01-04,48.0516
2020-01-05,48.0516
2020-01-06,48.7437
2020-01-07,46.0164
2020-01-08,47.4316
2020-01-09,45.8764
2020-01-10,43.4589
2020-01-11,43.4589
2020-01-12,43.4589
2020-01-13,44.8521
2020-01-14,43.9095
2020-01-15,41.9163
2020-01-16,46.9681
2020-01-17,46.8494
2020-01-18,46.8494
2020-01-19,46.8494
2020-01-20,46.8494
2020-01-21,42.1631
2020-01-22,41.7564
2020-01-23,41.2929
2020-01-24,37.3386
2020-01-25,37.3386
2020-01-26,37.3386
2020-01-27,34.6505
2020-01-28,34.7999
2020-01-29,31.7578
2020-01-30,40.1736
2020-01-31,37.909
2020-02-01,37.909
2020-02-02,37.909
2020-02-03,38.9943
2020-02-04,42.2435
2020-02-05,45.3105
2020-02-06,43.7098
2020-02-07,42.8779
2020-02-08,42.8779
2020-02-09,42.8779
2020-02-10,43.9267
2020-02-11,43.7517
2020-02-12,45.4923
2020-02-13,46.9708
2020-02-14,46.2025
2020-02-15,46.2025
2020-02-16,46.2025
2020-02-17,46.2025
2020-02-18,44.736
2020-02-19,45.1139
2020-02-20,49.1277
2020-02-21,48.6204
2020-02-22,48.6204
2020-02-23,48.6204
2020-02-24,42.9735
2020-02-25,39.6791
2020-02-26,39.1675
2020-02-27,33.7633
2020-02-28,30.401
2020-02-29,30.401
2020-03-01,30.401
2020-03-02,39.5055
2020-03-03,34.8856
2020-03-04,36.069
2020-03-05,31.3534
2020-03-06,30.614
2020-03-07,30.614
2020-03-08,30.614
2020-03-09,25.3179
2020-03-10,27.7311
2020-03-11,25.5063
2020-03-12,23.7809
2020-03-13,32.0533
2020-03-14,32.0533
2020-03-15,32.0533
2020-03-16,29.2124
2020-03-17,39.6715
2020-03-18,38.1979
2020-03-19,41.414
2020-03-20,35.4257
2020-03-21,35.4257
2020-03-22,35.4257
2020-03-23,35.8333
2020-03-24,38.6761
2020-03-25,37.2571
2020-03-26,41.0849
2020-03-27,39.6958
2020-03-28,39.6958
2020-03-29,39.6958
2020-03-30,40.8955
2020-03-31,42.3378
2020-04-01,40.8624
2020-04-02,42.4952
2020-04-03,40.2355
2020-04-04,40.2355
2020-04-05,40.2355
2020-04-06,43.3854
2020-04-07,42.7144
2020-04-08,45.4036
2020-04-09,48.7039
2020-04-10,48.7039
2020-04-11,48.7039
2020-04-12,48.7039
2020-04-13,45.7857
2020-04-14,45.3613
2020-04-15,42.6999
2020-04-16,41.7259
2020-04-17,45.0335
2020-04-18,45.0335
2020-04-19,45.0335
2020-04-20,44.93
2020-04-21,45.5607
2020-04-22,45.0272
2020-04-23,45.8513
2020-04-24,46.3101
2020-04-25,46.3101
2020-04-26,46.3101
2020-04-27,50.2356
2020-04-28,51.7232
2020-04-29,54.3472
2020-04-30,53.3367
2020-05-01,50.2647
2020-05-02,50.2647
2020-05-03,50.2647
2020-05-04,50.9398
2020-05-05,50.0668
2020-05-06,48.9006
2020-05-07,48.6077
2020-05-08,51.2591
2020-05-09,51.2591
2020-05-10,51.2591
2020-05-11,49.1449
2020-05-12,46.8313
2020-05-13,45.4934
2020-05-14,44.8519
2020-05-15,44.8519
2020-05-16,44.8519
2020-05-17,44.8519
2020-05-18,48.8003
2020-05-19,46.197
2020-05-20,48.4096
2020-05-21,48.5705
2020-05-22,47.8451
2020-05-23,47.8451
2020-05-24,47.8451
2020-05-25,47.8451
2020-05-26,51.0776
2020-05-27,54.1902
2020-05-28,51.5613
2020-05-29,50.6222
2020-05-30,50.6222
2020-05-31,50.6222
2020-06-01,50.6065
2020-06-02,50.0154
2020-06-03,52.4682
2020-06-04,53.0713
2020-06-05,55.7161
2020-06-06,55.7161
2020-06-07,55.7161
2020-06-08,56.054
2020-06-09,55.5606
2020-06-10,52.4814
2020-06-11,48.4726
2020-06-12,49.8155
2020-06-13,49.8155
2020-06-14,49.8155
2020-06-15,50.4442
2020-06-16,52.1946
2020-06-17,49.4295
2020-06-18,49.984
2020-06-19,49.887
2020-06-20,49.887
2020-06-21,49.887
2020-06-22,50.0208
2020-06-23,48.8734
2020-06-24,46.4424
2020-06-25,48.4751
2020-06-26,46.2638
2020-06-27,46.2638
2020-06-28,46.2638
2020-06-29,49.1761
2020-06-30,49.6411
2020-07-01,47.8614
2020-07-02,48.0017
2020-07-03,48.0017
2020-07-04,48.0017
2020-07-05,48.0017
2020-07-06,48.4144
2020-07-07,46.5371
2020-07-08,45.7734
2020-07-09,43.9175
2020-07-10,46.286
2020-07-11,46.286
2020-07-12,46.286
2020-07-13,46.927
2020-07-14,46.6896
2020-07-15,49.3938
2020-07-16,50.0174
2020-07-17,48.8633
2020-07-18,48.8633
2020-07-19,48.8633
2020-07-20,46.9936
2020-07-21,50.2916
2020-07-22,48.8621
2020-07-23,50.0195
2020-07-24,49.5773
2020-07-25,49.5773
2020-07-26,49.5773
2020-07-27,48.379
2020-07-28,47.8089
2020-07-29,48.8744
2020-07-30,47.9759
2020-07-31,47.4764
2020-08-01,47.4764
2020-08-02,47.4764
2020-08-03,47.7792
2020-08-04,47.7589
2020-08-05,49.473
2020-08-06,49.6077
2020-08-07,51.9085
2020-08-08,51.9085
2020-08-09,51.9085
2020-08-10,53.8171
