,HUBG US Equity
,RSI_30D
2020-01-01,54.4725
2020-01-02,57.7866
2020-01-03,57.1766
2020-01-04,57.1766
2020-01-05,57.1766
2020-01-06,57.7198
2020-01-07,56.6239
2020-01-08,59.2425
2020-01-09,57.4937
2020-01-10,56.0729
2020-01-11,56.0729
2020-01-12,56.0729
2020-01-13,59.8617
2020-01-14,61.6214
2020-01-15,57.7626
2020-01-16,61.472
2020-01-17,61.4376
2020-01-18,61.4376
2020-01-19,61.4376
2020-01-20,61.4376
2020-01-21,59.7908
2020-01-22,58.3102
2020-01-23,59.0102
2020-01-24,58.1053
2020-01-25,58.1053
2020-01-26,58.1053
2020-01-27,55.9545
2020-01-28,56.2998
2020-01-29,57.4156
2020-01-30,56.7729
2020-01-31,53.2771
2020-02-01,53.2771
2020-02-02,53.2771
2020-02-03,52.2973
2020-02-04,55.355
2020-02-05,59.5744
2020-02-06,59.644
2020-02-07,67.8689
2020-02-08,67.8689
2020-02-09,67.8689
2020-02-10,59.1456
2020-02-11,56.1847
2020-02-12,57.5818
2020-02-13,58.8845
2020-02-14,55.3665
2020-02-15,55.3665
2020-02-16,55.3665
2020-02-17,55.3665
2020-02-18,55.3548
2020-02-19,55.2943
2020-02-20,55.7943
2020-02-21,53.9952
2020-02-22,53.9952
2020-02-23,53.9952
2020-02-24,49.2076
2020-02-25,44.1547
2020-02-26,40.8581
2020-02-27,37.956
2020-02-28,37.815
2020-02-29,37.815
2020-03-01,37.815
2020-03-02,43.3664
2020-03-03,41.9534
2020-03-04,45.4713
2020-03-05,41.2703
2020-03-06,39.9876
2020-03-07,39.9876
2020-03-08,39.9876
2020-03-09,35.3167
2020-03-10,37.9477
2020-03-11,35.8672
2020-03-12,34.7589
2020-03-13,36.1785
2020-03-14,36.1785
2020-03-15,36.1785
2020-03-16,32.6104
2020-03-17,40.133
2020-03-18,40.2855
2020-03-19,44.1709
2020-03-20,42.2843
2020-03-21,42.2843
2020-03-22,42.2843
2020-03-23,44.2548
2020-03-24,44.1323
