,HGV US Equity
,RSI_30D
2020-01-01,49.5814
2020-01-02,53.4828
2020-01-03,52.287
2020-01-04,52.287
2020-01-05,52.287
2020-01-06,51.5209
2020-01-07,50.5838
2020-01-08,51.5777
2020-01-09,51.6615
2020-01-10,49.1113
2020-01-11,49.1113
2020-01-12,49.1113
2020-01-13,49.5555
2020-01-14,49.9172
2020-01-15,47.621
2020-01-16,51.2772
2020-01-17,52.935
2020-01-18,52.935
2020-01-19,52.935
2020-01-20,52.935
2020-01-21,48.1089
2020-01-22,46.3451
2020-01-23,47.8082
2020-01-24,44.6242
2020-01-25,44.6242
2020-01-26,44.6242
2020-01-27,36.737
2020-01-28,42.539
2020-01-29,40.6124
2020-01-30,44.0152
2020-01-31,37.6862
2020-02-01,37.6862
2020-02-02,37.6862
2020-02-03,36.031
2020-02-04,37.9116
2020-02-05,41.1705
2020-02-06,39.1688
2020-02-07,36.852
2020-02-08,36.852
2020-02-09,36.852
2020-02-10,37.363
2020-02-11,41.7517
2020-02-12,43.8434
2020-02-13,46.2193
2020-02-14,47.0618
2020-02-15,47.0618
2020-02-16,47.0618
2020-02-17,47.0618
2020-02-18,44.1548
2020-02-19,42.7267
2020-02-20,42.783
2020-02-21,40.7522
2020-02-22,40.7522
2020-02-23,40.7522
2020-02-24,37.0402
2020-02-25,33.0258
2020-02-26,28.1979
2020-02-27,31.1066
2020-02-28,28.6406
2020-02-29,28.6406
2020-03-01,28.6406
2020-03-02,28.4753
2020-03-03,26.9086
2020-03-04,29.6795
2020-03-05,26.2314
2020-03-06,25.7024
2020-03-07,25.7024
2020-03-08,25.7024
2020-03-09,21.3726
2020-03-10,22.7589
2020-03-11,19.2004
2020-03-12,16.9774
2020-03-13,27.8253
2020-03-14,27.8253
2020-03-15,27.8253
2020-03-16,23.1673
2020-03-17,22.7778
2020-03-18,20.3259
2020-03-19,23.0338
2020-03-20,27.6288
2020-03-21,27.6288
2020-03-22,27.6288
2020-03-23,27.0363
2020-03-24,32.734
2020-03-25,35.3654
2020-03-26,38.7793
2020-03-27,37.6166
2020-03-28,37.6166
2020-03-29,37.6166
2020-03-30,36.3084
2020-03-31,35.8707
2020-04-01,34.8349
2020-04-02,34.0048
2020-04-03,33.1657
2020-04-04,33.1657
2020-04-05,33.1657
2020-04-06,37.6925
2020-04-07,38.565
2020-04-08,41.5566
2020-04-09,41.4122
2020-04-10,41.4122
2020-04-11,41.4122
2020-04-12,41.4122
2020-04-13,41.7736
2020-04-14,41.7315
2020-04-15,41.3869
2020-04-16,41.491
2020-04-17,45.0466
2020-04-18,45.0466
2020-04-19,45.0466
2020-04-20,43.8561
2020-04-21,42.674
2020-04-22,43.0657
2020-04-23,44.1259
2020-04-24,45.0801
2020-04-25,45.0801
2020-04-26,45.0801
2020-04-27,46.4779
2020-04-28,47.0722
2020-04-29,49.3781
2020-04-30,48.7476
2020-05-01,45.8138
2020-05-02,45.8138
2020-05-03,45.8138
2020-05-04,44.6159
2020-05-05,43.2921
2020-05-06,42.0029
2020-05-07,43.3017
2020-05-08,47.0454
2020-05-09,47.0454
2020-05-10,47.0454
2020-05-11,45.4663
2020-05-12,43.7286
2020-05-13,43.3954
2020-05-14,44.5535
2020-05-15,45.1449
