,TRN US Equity
,RSI_30D
2020-01-01,62.8465
2020-01-02,62.7656
2020-01-03,62.0214
2020-01-04,62.0214
2020-01-05,62.0214
2020-01-06,60.779
2020-01-07,57.8234
2020-01-08,57.2012
2020-01-09,55.8795
2020-01-10,55.1812
2020-01-11,55.1812
2020-01-12,55.1812
2020-01-13,56.3719
2020-01-14,55.1643
2020-01-15,52.5258
2020-01-16,57.4764
2020-01-17,53.2407
2020-01-18,53.2407
2020-01-19,53.2407
2020-01-20,53.2407
2020-01-21,49.8886
2020-01-22,50.7522
2020-01-23,52.7382
2020-01-24,52.3412
2020-01-25,52.3412
2020-01-26,52.3412
2020-01-27,52.403
2020-01-28,53.2185
2020-01-29,53.5981
2020-01-30,54.1117
2020-01-31,48.8663
2020-02-01,48.8663
2020-02-02,48.8663
2020-02-03,50.4561
2020-02-04,54.0865
2020-02-05,56.8057
2020-02-06,54.7519
2020-02-07,52.6514
2020-02-08,52.6514
2020-02-09,52.6514
2020-02-10,53.7974
2020-02-11,55.9483
2020-02-12,57.9722
2020-02-13,57.4819
2020-02-14,55.2046
2020-02-15,55.2046
2020-02-16,55.2046
2020-02-17,55.2046
2020-02-18,57.4755
2020-02-19,57.6305
2020-02-20,63.3045
2020-02-21,60.2508
2020-02-22,60.2508
2020-02-23,60.2508
2020-02-24,54.1283
2020-02-25,49.3941
2020-02-26,50.1698
2020-02-27,47.3985
2020-02-28,46.8539
2020-02-29,46.8539
2020-03-01,46.8539
2020-03-02,50.0684
2020-03-03,49.0301
2020-03-04,53.2263
2020-03-05,50.9167
2020-03-06,46.8008
2020-03-07,46.8008
2020-03-08,46.8008
2020-03-09,36.9006
2020-03-10,37.566
2020-03-11,37.0009
2020-03-12,34.4245
2020-03-13,41.8849
2020-03-14,41.8849
2020-03-15,41.8849
2020-03-16,38.1894
2020-03-17,42.0492
2020-03-18,38.8001
2020-03-19,42.0116
2020-03-20,40.0184
2020-03-21,40.0184
2020-03-22,40.0184
2020-03-23,38.1261
2020-03-24,41.0116
2020-03-25,44.4087
2020-03-26,44.6401
2020-03-27,41.4078
2020-03-28,41.4078
2020-03-29,41.4078
2020-03-30,41.3864
2020-03-31,41.7906
2020-04-01,39.8446
2020-04-02,42.7864
2020-04-03,39.8574
2020-04-04,39.8574
2020-04-05,39.8574
2020-04-06,43.1813
2020-04-07,45.373
2020-04-08,47.695
2020-04-09,47.2515
2020-04-10,47.2515
2020-04-11,47.2515
2020-04-12,47.2515
2020-04-13,46.8012
2020-04-14,47.134
2020-04-15,44.0016
2020-04-16,43.8645
2020-04-17,45.1029
2020-04-18,45.1029
2020-04-19,45.1029
2020-04-20,44.0731
2020-04-21,44.3786
2020-04-22,44.0303
2020-04-23,45.7301
2020-04-24,46.6915
2020-04-25,46.6915
2020-04-26,46.6915
2020-04-27,48.7808
2020-04-28,49.4638
2020-04-29,51.1627
2020-04-30,54.5424
2020-05-01,52.8047
2020-05-02,52.8047
2020-05-03,52.8047
2020-05-04,51.2059
2020-05-05,51.9857
2020-05-06,51.6805
2020-05-07,50.455
2020-05-08,53.4255
2020-05-09,53.4255
2020-05-10,53.4255
2020-05-11,54.0016
2020-05-12,52.9688
2020-05-13,50.6814
2020-05-14,49.9478
2020-05-15,50.777
2020-05-16,50.777
2020-05-17,50.777
2020-05-18,54.8993
2020-05-19,54.2788
2020-05-20,55.4039
2020-05-21,55.8426
2020-05-22,55.3847
2020-05-23,55.3847
2020-05-24,55.3847
2020-05-25,55.3847
2020-05-26,57.3867
2020-05-27,59.05
2020-05-28,55.8973
2020-05-29,54.5952
2020-05-30,54.5952
2020-05-31,54.5952
2020-06-01,54.6527
2020-06-02,57.0449
2020-06-03,59.3667
2020-06-04,61.0785
2020-06-05,61.4147
2020-06-06,61.4147
2020-06-07,61.4147
2020-06-08,64.4974
2020-06-09,61.3295
2020-06-10,59.4805
2020-06-11,54.6916
2020-06-12,56.7399
2020-06-13,56.7399
2020-06-14,56.7399
2020-06-15,57.3645
2020-06-16,58.5087
2020-06-17,57.7077
2020-06-18,57.3019
2020-06-19,55.8463
2020-06-20,55.8463
2020-06-21,55.8463
2020-06-22,56.6152
2020-06-23,56.058
2020-06-24,51.8058
2020-06-25,53.3934
2020-06-26,51.4521
2020-06-27,51.4521
2020-06-28,51.4521
2020-06-29,52.5742
2020-06-30,53.2618
2020-07-01,51.2749
2020-07-02,51.9331
2020-07-03,51.9331
2020-07-04,51.9331
2020-07-05,51.9331
2020-07-06,53.8108
2020-07-07,50.7354
2020-07-08,50.5486
2020-07-09,48.1639
2020-07-10,50.3092
2020-07-11,50.3092
2020-07-12,50.3092
2020-07-13,51.3358
2020-07-14,53.263
2020-07-15,55.0752
2020-07-16,55.2993
2020-07-17,53.7056
2020-07-18,53.7056
2020-07-19,53.7056
2020-07-20,52.5476
2020-07-21,52.9489
2020-07-22,53.1381
2020-07-23,47.565
2020-07-24,46.6662
2020-07-25,46.6662
2020-07-26,46.6662
2020-07-27,47.08
2020-07-28,48.0869
2020-07-29,50.5695
2020-07-30,47.9717
2020-07-31,47.5042
2020-08-01,47.5042
2020-08-02,47.5042
2020-08-03,47.7501
2020-08-04,46.97
2020-08-05,48.4933
2020-08-06,47.984
2020-08-07,49.3772
2020-08-08,49.3772
2020-08-09,49.3772
2020-08-10,52.4621
2020-08-11,53.0606
2020-08-12,52.6416
2020-08-13,52.4469
2020-08-14,52.951
2020-08-15,52.951
2020-08-16,52.951
2020-08-17,51.9739
2020-08-18,50.2938
2020-08-19,51.2258
2020-08-20,50.2511
2020-08-21,49.5601
2020-08-22,49.5601
2020-08-23,49.5601
2020-08-24,51.7794
2020-08-25,51.5236
2020-08-26,51.3486
2020-08-27,52.1471
2020-08-28,52.1005
2020-08-29,52.1005
2020-08-30,52.1005
2020-08-31,50.2891
2020-09-01,52.1003
2020-09-02,51.7671
2020-09-03,50.6192
2020-09-04,52.3059
2020-09-05,52.3059
2020-09-06,52.3059
2020-09-07,52.3059
2020-09-08,49.7408
2020-09-09,49.3697
2020-09-10,45.1455
2020-09-11,45.6907
2020-09-12,45.6907
2020-09-13,45.6907
2020-09-14,46.8335
2020-09-15,46.4379
2020-09-16,49.4326
2020-09-17,51.2804
2020-09-18,49.0996
2020-09-19,49.0996
2020-09-20,49.0996
2020-09-21,44.4783
2020-09-22,46.8557
2020-09-23,46.0557
2020-09-24,46.2929
2020-09-25,46.4876
2020-09-26,46.4876
2020-09-27,46.4876
2020-09-28,48.0935
2020-09-29,46.9884
2020-09-30,46.9437
2020-10-01,46.8058
2020-10-02,46.2896
2020-10-03,46.2896
2020-10-04,46.2896
2020-10-05,51.0139
2020-10-06,49.7959
2020-10-07,51.7045
2020-10-08,52.8178
2020-10-09,51.4378
2020-10-10,51.4378
2020-10-11,51.4378
2020-10-12,52.6235
2020-10-13,51.8896
2020-10-14,52.87
2020-10-15,53.7954
2020-10-16,56.7975
2020-10-17,56.7975
2020-10-18,56.7975
2020-10-19,56.3315
2020-10-20,56.5619
2020-10-21,55.5909
2020-10-22,49.7881
2020-10-23,54.4279
2020-10-24,54.4279
2020-10-25,54.4279
2020-10-26,48.2337
2020-10-27,46.986
2020-10-28,43.2798
2020-10-29,44.46
2020-10-30,44.7454
2020-10-31,44.7454
2020-11-01,44.7454
2020-11-02,49.3667
2020-11-03,50.4082
2020-11-04,47.0075
2020-11-05,49.2572
2020-11-06,49.3808
2020-11-07,49.3808
2020-11-08,49.3808
2020-11-09,57.2403
2020-11-10,58.6358
2020-11-11,58.5499
2020-11-12,56.9943
2020-11-13,59.4698
2020-11-14,59.4698
2020-11-15,59.4698
2020-11-16,60.952
2020-11-17,58.8985
2020-11-18,58.379
2020-11-19,57.162
2020-11-20,52.9607
2020-11-21,52.9607
2020-11-22,52.9607
2020-11-23,56.134
2020-11-24,60.6209
2020-11-25,59.1348
2020-11-26,59.1348
2020-11-27,59.3248
2020-11-28,59.3248
2020-11-29,59.3248
2020-11-30,55.7253
2020-12-01,54.9186
2020-12-02,55.2234
2020-12-03,55.1077
2020-12-04,58.2995
2020-12-05,58.2995
2020-12-06,58.2995
2020-12-07,59.0105
2020-12-08,60.0533
2020-12-09,61.8963
2020-12-10,62.1355
2020-12-11,63.956
2020-12-12,63.956
2020-12-13,63.956
2020-12-14,60.8023
2020-12-15,62.9266
2020-12-16,60.7662
2020-12-17,61.4766
2020-12-18,62.942
2020-12-19,62.942
2020-12-20,62.942
2020-12-21,62.6824
2020-12-22,63.462
2020-12-23,62.7836
2020-12-24,63.3244
2020-12-25,63.3244
2020-12-26,63.3244
2020-12-27,63.3244
2020-12-28,63.5163
2020-12-29,60.9698
2020-12-30,62.1332
2020-12-31,61.7051
2021-01-01,61.7051
2021-01-02,61.7051
2021-01-03,61.7051
2021-01-04,60.933
2021-01-05,62.4226
2021-01-06,66.6388
2021-01-07,65.0987
2021-01-08,65.46
2021-01-09,65.46
2021-01-10,65.46
2021-01-11,64.4737
2021-01-12,65.9084
2021-01-13,63.4067
2021-01-14,64.4009
2021-01-15,62.0279
2021-01-16,62.0279
2021-01-17,62.0279
2021-01-18,62.0279
2021-01-19,64.1475
2021-01-20,64.4982
2021-01-21,62.3626
2021-01-22,62.3918
2021-01-23,62.3918
2021-01-24,62.3918
2021-01-25,63.9023
2021-01-26,64.637
2021-01-27,66.6107
2021-01-28,58.1886
2021-01-29,58.3967
2021-01-30,58.3967
2021-01-31,58.3967
2021-02-01,59.7586
2021-02-02,61.7307
2021-02-03,62.0876
2021-02-04,65.5636
2021-02-05,66.9024
2021-02-06,66.9024
2021-02-07,66.9024
2021-02-08,68.4554
2021-02-09,66.5889
2021-02-10,66.7718
2021-02-11,65.4288
2021-02-12,67.8722
2021-02-13,67.8722
2021-02-14,67.8722
2021-02-15,67.8722
2021-02-16,69.4924
2021-02-17,68.7472
2021-02-18,63.793
2021-02-19,65.3388
2021-02-20,65.3388
2021-02-21,65.3388
2021-02-22,65.0814
2021-02-23,64.6423
2021-02-24,58.6277
2021-02-25,60.1163
2021-02-26,62.1198
2021-02-27,62.1198
2021-02-28,62.1198
2021-03-01,63.9911
2021-03-02,58.9686
2021-03-03,57.1803
2021-03-04,50.9688
2021-03-05,52.1923
2021-03-06,52.1923
2021-03-07,52.1923
2021-03-08,51.0185
2021-03-09,50.2206
2021-03-10,51.2626
2021-03-11,52.486
2021-03-12,53.6621
2021-03-13,53.6621
2021-03-14,53.6621
2021-03-15,50.5894
2021-03-16,48.9136
2021-03-17,49.5002
2021-03-18,47.4701
2021-03-19,46.8626
2021-03-20,46.8626
2021-03-21,46.8626
2021-03-22,48.02
2021-03-23,45.1082
2021-03-24,45.8453
2021-03-25,48.8423
2021-03-26,50.9553
2021-03-27,50.9553
2021-03-28,50.9553
2021-03-29,48.1111
2021-03-30,49.5812
2021-03-31,49.7832
2021-04-01,49.7832
2021-04-02,49.7832
2021-04-03,49.7832
2021-04-04,49.7832
2021-04-05,51.6205
2021-04-06,50.7225
2021-04-07,48.8142
2021-04-08,49.776
2021-04-09,50.3981
2021-04-10,50.3981
2021-04-11,50.3981
2021-04-12,51.5163
2021-04-13,49.7129
2021-04-14,51.0832
2021-04-15,51.1472
2021-04-16,51.3778
2021-04-17,51.3778
2021-04-18,51.3778
2021-04-19,50.881
2021-04-20,46.8326
2021-04-21,49.674
2021-04-22,44.971
2021-04-23,47.3993
2021-04-24,47.3993
2021-04-25,47.3993
2021-04-26,49.0341
2021-04-27,48.4352
2021-04-28,49.9222
2021-04-29,50.6119
2021-04-30,48.0303
2021-05-01,48.0303
2021-05-02,48.0303
2021-05-03,50.4556
2021-05-04,50.3294
2021-05-05,51.2132
2021-05-06,53.3007
2021-05-07,55.0279
2021-05-08,55.0279
2021-05-09,55.0279
2021-05-10,54.0122
2021-05-11,52.525
2021-05-12,49.3538
2021-05-13,49.5487
2021-05-14,52.2422
2021-05-15,52.2422
2021-05-16,52.2422
2021-05-17,49.3559
2021-05-18,46.6596
2021-05-19,47.826
2021-05-20,48.6965
2021-05-21,49.2801
2021-05-22,49.2801
2021-05-23,49.2801
2021-05-24,49.8051
2021-05-25,47.0646
2021-05-26,46.9418
2021-05-27,47.7877
2021-05-28,48.3204
2021-05-29,48.3204
2021-05-30,48.3204
2021-05-31,48.3204
2021-06-01,50.7134
2021-06-02,50.4333
2021-06-03,50.2897
2021-06-04,50.5809
2021-06-05,50.5809
2021-06-06,50.5809
2021-06-07,49.5302
2021-06-08,53.4923
2021-06-09,54.5562
2021-06-10,54.4354
2021-06-11,55.2216
2021-06-12,55.2216
2021-06-13,55.2216
2021-06-14,52.6866
2021-06-15,53.4356
2021-06-16,53.0221
2021-06-17,44.9604
2021-06-18,40.7798
2021-06-19,40.7798
2021-06-20,40.7798
2021-06-21,46.0412
2021-06-22,45.3374
2021-06-23,45.3374
2021-06-24,47.6006
2021-06-25,46.5434
2021-06-26,46.5434
2021-06-27,46.5434
2021-06-28,44.7233
2021-06-29,43.3377
2021-06-30,46.4547
2021-07-01,48.1778
2021-07-02,46.6835
2021-07-03,46.6835
2021-07-04,46.6835
2021-07-05,46.6835
2021-07-06,44.5126
2021-07-07,44.1493
2021-07-08,42.7608
2021-07-09,47.0664
2021-07-10,47.0664
2021-07-11,47.0664
2021-07-12,49.0335
2021-07-13,48.2556
2021-07-14,47.5596
2021-07-15,46.9205
2021-07-16,45.3591
2021-07-17,45.3591
