,AMP US Equity
,RSI_30D
2020-01-01,69.2958
2020-01-02,71.5779
2020-01-03,67.4486
2020-01-04,67.4486
2020-01-05,67.4486
2020-01-06,67.9472
2020-01-07,64.2103
2020-01-08,65.6518
2020-01-09,67.2367
2020-01-10,67.4968
2020-01-11,67.4968
2020-01-12,67.4968
2020-01-13,68.0131
2020-01-14,65.538
2020-01-15,65.2941
2020-01-16,68.6883
2020-01-17,69.0983
2020-01-18,69.0983
2020-01-19,69.0983
2020-01-20,69.0983
2020-01-21,65.0936
2020-01-22,65.9276
2020-01-23,66.1532
2020-01-24,59.6657
2020-01-25,59.6657
2020-01-26,59.6657
2020-01-27,52.4458
2020-01-28,55.3841
2020-01-29,56.3283
2020-01-30,60.5269
2020-01-31,54.3587
2020-02-01,54.3587
2020-02-02,54.3587
2020-02-03,56.2141
2020-02-04,60.8843
2020-02-05,62.8427
2020-02-06,62.6676
2020-02-07,61.9649
2020-02-08,61.9649
2020-02-09,61.9649
2020-02-10,62.2985
2020-02-11,63.661
2020-02-12,64.384
2020-02-13,64.9089
2020-02-14,65.214
2020-02-15,65.214
2020-02-16,65.214
2020-02-17,65.214
2020-02-18,63.1449
2020-02-19,64.4785
2020-02-20,64.9877
2020-02-21,59.4275
2020-02-22,59.4275
2020-02-23,59.4275
2020-02-24,48.468
2020-02-25,42.3882
2020-02-26,42.2352
2020-02-27,36.4284
2020-02-28,34.0236
2020-02-29,34.0236
2020-03-01,34.0236
2020-03-02,41.8085
2020-03-03,36.9492
2020-03-04,39.6947
2020-03-05,35.6031
2020-03-06,32.8209
2020-03-07,32.8209
2020-03-08,32.8209
2020-03-09,27.8487
2020-03-10,33.87
2020-03-11,31.5864
2020-03-12,27.4508
2020-03-13,37.1504
2020-03-14,37.1504
2020-03-15,37.1504
2020-03-16,31.5234
2020-03-17,35.8424
2020-03-18,35.0479
2020-03-19,35.6048
2020-03-20,34.4781
2020-03-21,34.4781
2020-03-22,34.4781
2020-03-23,33.132
2020-03-24,39.2019
2020-03-25,40.3559
2020-03-26,42.6679
2020-03-27,40.9643
2020-03-28,40.9643
2020-03-29,40.9643
2020-03-30,42.7883
2020-03-31,41.2763
2020-04-01,39.5073
2020-04-02,39.4517
2020-04-03,38.6436
2020-04-04,38.6436
2020-04-05,38.6436
2020-04-06,42.6384
2020-04-07,42.9206
2020-04-08,45.4531
2020-04-09,48.0053
2020-04-10,48.0053
2020-04-11,48.0053
2020-04-12,48.0053
2020-04-13,46.5801
2020-04-14,46.4209
2020-04-15,43.8801
2020-04-16,43.286
2020-04-17,46.126
2020-04-18,46.126
2020-04-19,46.126
2020-04-20,45.9103
2020-04-21,44.2141
2020-04-22,44.6776
2020-04-23,44.5308
2020-04-24,45.565
2020-04-25,45.565
2020-04-26,45.565
2020-04-27,47.1827
2020-04-28,47.517
2020-04-29,48.9895
2020-04-30,48.0435
2020-05-01,46.9236
2020-05-02,46.9236
2020-05-03,46.9236
2020-05-04,47.5423
2020-05-05,46.8116
2020-05-06,45.7348
2020-05-07,50.6529
2020-05-08,51.8647
2020-05-09,51.8647
2020-05-10,51.8647
2020-05-11,51.2805
2020-05-12,50.3632
2020-05-13,49.1004
2020-05-14,50.8638
2020-05-15,51.006
2020-05-16,51.006
2020-05-17,51.006
2020-05-18,54.251
2020-05-19,53.0135
2020-05-20,54.0029
2020-05-21,54.1612
2020-05-22,54.2742
2020-05-23,54.2742
2020-05-24,54.2742
2020-05-25,54.2742
2020-05-26,56.7337
2020-05-27,58.6114
2020-05-28,57.5331
2020-05-29,56.0569
2020-05-30,56.0569
2020-05-31,56.0569
2020-06-01,57.2859
2020-06-02,58.0573
2020-06-03,59.6154
2020-06-04,60.1103
2020-06-05,60.8517
2020-06-06,60.8517
2020-06-07,60.8517
2020-06-08,62.9261
2020-06-09,61.4567
2020-06-10,58.9212
2020-06-11,52.8324
2020-06-12,55.2469
2020-06-13,55.2469
2020-06-14,55.2469
2020-06-15,56.3311
2020-06-16,57.3369
2020-06-17,55.8114
2020-06-18,56.0773
2020-06-19,55.186
2020-06-20,55.186
2020-06-21,55.186
2020-06-22,55.1568
2020-06-23,55.2719
2020-06-24,52.8684
2020-06-25,55.8855
2020-06-26,54.0037
2020-06-27,54.0037
2020-06-28,54.0037
2020-06-29,54.4704
2020-06-30,55.0661
2020-07-01,53.2596
2020-07-02,53.0969
2020-07-03,53.0969
2020-07-04,53.0969
2020-07-05,53.0969
2020-07-06,54.8788
2020-07-07,53.091
2020-07-08,53.9602
2020-07-09,51.7334
2020-07-10,53.7724
2020-07-11,53.7724
2020-07-12,53.7724
2020-07-13,53.5116
2020-07-14,54.2163
2020-07-15,55.8608
2020-07-16,55.2828
2020-07-17,55.4719
2020-07-18,55.4719
2020-07-19,55.4719
2020-07-20,55.878
2020-07-21,57.0612
2020-07-22,57.3141
2020-07-23,56.6837
2020-07-24,55.8275
2020-07-25,55.8275
2020-07-26,55.8275
2020-07-27,56.3032
2020-07-28,55.0038
2020-07-29,56.3066
2020-07-30,53.5741
2020-07-31,54.3228
2020-08-01,54.3228
2020-08-02,54.3228
2020-08-03,55.2892
2020-08-04,53.9872
2020-08-05,55.3062
2020-08-06,55.116
2020-08-07,57.508
2020-08-08,57.508
2020-08-09,57.508
2020-08-10,57.9642
2020-08-11,58.7598
2020-08-12,57.7927
2020-08-13,56.4331
2020-08-14,56.7669
2020-08-15,56.7669
2020-08-16,56.7669
2020-08-17,55.546
2020-08-18,54.6621
2020-08-19,54.8577
2020-08-20,53.6873
2020-08-21,53.2543
2020-08-22,53.2543
2020-08-23,53.2543
2020-08-24,55.1606
2020-08-25,54.6364
2020-08-26,53.732
2020-08-27,55.768
2020-08-28,55.6098
2020-08-29,55.6098
2020-08-30,55.6098
2020-08-31,54.0315
2020-09-01,54.2628
2020-09-02,55.9015
2020-09-03,53.2959
2020-09-04,53.4284
2020-09-05,53.4284
2020-09-06,53.4284
2020-09-07,53.4284
2020-09-08,48.4327
2020-09-09,48.848
2020-09-10,48.8273
2020-09-11,50.3003
2020-09-12,50.3003
2020-09-13,50.3003
2020-09-14,53.0091
2020-09-15,51.4015
2020-09-16,53.7827
2020-09-17,53.4572
2020-09-18,53.9334
2020-09-19,53.9334
2020-09-20,53.9334
2020-09-21,48.6275
2020-09-22,47.5048
2020-09-23,45.3754
2020-09-24,44.914
2020-09-25,46.5329
2020-09-26,46.5329
2020-09-27,46.5329
2020-09-28,49.9212
2020-09-29,49.1731
2020-09-30,51.7115
2020-10-01,52.501
2020-10-02,54.7582
2020-10-03,54.7582
2020-10-04,54.7582
2020-10-05,57.0317
2020-10-06,54.8898
2020-10-07,57.8072
2020-10-08,60.1239
2020-10-09,60.6448
2020-10-10,60.6448
2020-10-11,60.6448
2020-10-12,61.5035
2020-10-13,57.4531
2020-10-14,57.6379
2020-10-15,59.7192
2020-10-16,58.9302
2020-10-17,58.9302
2020-10-18,58.9302
2020-10-19,58.2271
2020-10-20,57.4095
2020-10-21,56.4413
2020-10-22,58.5245
2020-10-23,58.5647
2020-10-24,58.5647
2020-10-25,58.5647
2020-10-26,54.8122
2020-10-27,52.4694
2020-10-28,49.6469
2020-10-29,51.5109
2020-10-30,51.3185
2020-10-31,51.3185
2020-11-01,51.3185
2020-11-02,53.6348
2020-11-03,55.4519
2020-11-04,56.0166
2020-11-05,58.4755
2020-11-06,57.0291
2020-11-07,57.0291
2020-11-08,57.0291
2020-11-09,63.5861
2020-11-10,63.6863
2020-11-11,62.2459
2020-11-12,59.2792
2020-11-13,62.7587
2020-11-14,62.7587
2020-11-15,62.7587
2020-11-16,63.2262
2020-11-17,61.9423
2020-11-18,61.2765
2020-11-19,61.4195
2020-11-20,58.5633
2020-11-21,58.5633
2020-11-22,58.5633
2020-11-23,60.5267
2020-11-24,64.4476
2020-11-25,62.6556
2020-11-26,62.6556
2020-11-27,62.8966
2020-11-28,62.8966
2020-11-29,62.8966
2020-11-30,59.0198
2020-12-01,61.2655
2020-12-02,62.6149
2020-12-03,63.1437
2020-12-04,63.7986
2020-12-05,63.7986
2020-12-06,63.7986
2020-12-07,62.4533
2020-12-08,61.0562
2020-12-09,61.3941
2020-12-10,61.1011
2020-12-11,60.2544
2020-12-12,60.2544
2020-12-13,60.2544
2020-12-14,59.6764
2020-12-15,59.5032
2020-12-16,58.6783
2020-12-17,58.8559
2020-12-18,56.343
