,RNST US Equity
,RSI_30D
2020-01-01,46.9795
2020-01-02,48.8807
2020-01-03,47.415
2020-01-04,47.415
2020-01-05,47.415
2020-01-06,46.7265
2020-01-07,43.0195
2020-01-08,42.9548
2020-01-09,42.0393
2020-01-10,41.1325
2020-01-11,41.1325
2020-01-12,41.1325
2020-01-13,43.819
2020-01-14,45.1988
2020-01-15,44.8428
2020-01-16,50.2728
2020-01-17,50.0446
2020-01-18,50.0446
2020-01-19,50.0446
2020-01-20,50.0446
2020-01-21,47.235
2020-01-22,47.1629
2020-01-23,44.4276
2020-01-24,37.7988
2020-01-25,37.7988
2020-01-26,37.7988
2020-01-27,34.6981
2020-01-28,33.7436
2020-01-29,31.2384
2020-01-30,33.6229
2020-01-31,31.5908
2020-02-01,31.5908
2020-02-02,31.5908
2020-02-03,33.7418
2020-02-04,36.0157
2020-02-05,41.2804
2020-02-06,40.4486
2020-02-07,38.151
2020-02-08,38.151
2020-02-09,38.151
2020-02-10,38.0221
2020-02-11,38.3811
2020-02-12,38.748
2020-02-13,40.1492
2020-02-14,37.1851
2020-02-15,37.1851
2020-02-16,37.1851
2020-02-17,37.1851
2020-02-18,36.3607
2020-02-19,36.2295
2020-02-20,38.0786
2020-02-21,37.0146
2020-02-22,37.0146
2020-02-23,37.0146
2020-02-24,32.4474
2020-02-25,28.6298
2020-02-26,26.6866
2020-02-27,25.7067
2020-02-28,25.08
2020-02-29,25.08
2020-03-01,25.08
2020-03-02,34.0605
2020-03-03,32.1694
2020-03-04,34.4632
2020-03-05,29.4901
2020-03-06,28.2132
2020-03-07,28.2132
2020-03-08,28.2132
2020-03-09,23.0952
2020-03-10,26.751
2020-03-11,24.2542
2020-03-12,21.983
2020-03-13,30.9425
2020-03-14,30.9425
2020-03-15,30.9425
2020-03-16,27.3949
2020-03-17,36.8295
2020-03-18,33.3036
2020-03-19,37.3943
2020-03-20,33.9899
2020-03-21,33.9899
2020-03-22,33.9899
2020-03-23,31.5402
2020-03-24,33.9432
2020-03-25,34.227
2020-03-26,37.7538
2020-03-27,36.9107
2020-03-28,36.9107
2020-03-29,36.9107
2020-03-30,38.1356
2020-03-31,38.9307
2020-04-01,38.5065
2020-04-02,40.3158
2020-04-03,39.7879
2020-04-04,39.7879
2020-04-05,39.7879
2020-04-06,42.0282
2020-04-07,42.6877
2020-04-08,44.0943
2020-04-09,47.5118
2020-04-10,47.5118
2020-04-11,47.5118
2020-04-12,47.5118
2020-04-13,45.3475
2020-04-14,44.8543
2020-04-15,42.5464
2020-04-16,41.1667
2020-04-17,44.3512
2020-04-18,44.3512
2020-04-19,44.3512
2020-04-20,44.2487
2020-04-21,43.2658
2020-04-22,43.9884
2020-04-23,44.1723
2020-04-24,44.9436
2020-04-25,44.9436
2020-04-26,44.9436
2020-04-27,49.211
2020-04-28,51.091
2020-04-29,50.2225
2020-04-30,51.143
2020-05-01,48.6606
2020-05-02,48.6606
2020-05-03,48.6606
2020-05-04,47.4108
2020-05-05,45.6584
2020-05-06,43.6064
2020-05-07,43.6765
2020-05-08,47.1237
2020-05-09,47.1237
2020-05-10,47.1237
2020-05-11,44.4746
2020-05-12,42.16
2020-05-13,40.7777
2020-05-14,41.9815
2020-05-15,41.3956
2020-05-16,41.3956
2020-05-17,41.3956
2020-05-18,45.7587
2020-05-19,43.6552
2020-05-20,46.4323
2020-05-21,46.3612
2020-05-22,45.6205
2020-05-23,45.6205
2020-05-24,45.6205
2020-05-25,45.6205
2020-05-26,49.8271
2020-05-27,52.4261
2020-05-28,50.4096
2020-05-29,49.6823
2020-05-30,49.6823
2020-05-31,49.6823
2020-06-01,49.2862
2020-06-02,49.5438
2020-06-03,52.1548
2020-06-04,52.9386
2020-06-05,55.8928
2020-06-06,55.8928
2020-06-07,55.8928
2020-06-08,55.762
2020-06-09,55.3818
2020-06-10,51.9349
2020-06-11,47.3608
2020-06-12,48.2256
2020-06-13,48.2256
2020-06-14,48.2256
2020-06-15,49.5628
2020-06-16,51.7251
2020-06-17,49.6766
2020-06-18,50.1009
2020-06-19,49.3188
2020-06-20,49.3188
2020-06-21,49.3188
2020-06-22,49.7046
2020-06-23,48.7548
2020-06-24,47.2639
2020-06-25,49.0477
2020-06-26,47.3702
2020-06-27,47.3702
2020-06-28,47.3702
2020-06-29,49.7411
2020-06-30,51.3209
2020-07-01,48.4144
2020-07-02,48.0431
2020-07-03,48.0431
2020-07-04,48.0431
2020-07-05,48.0431
2020-07-06,47.903
2020-07-07,46.5982
2020-07-08,46.0591
2020-07-09,44.0293
2020-07-10,46.9148
2020-07-11,46.9148
2020-07-12,46.9148
2020-07-13,48.076
2020-07-14,47.2333
2020-07-15,49.5751
2020-07-16,49.1027
2020-07-17,47.9848
2020-07-18,47.9848
2020-07-19,47.9848
2020-07-20,47.0264
2020-07-21,50.2904
2020-07-22,49.6923
2020-07-23,50.5485
2020-07-24,50.455
2020-07-25,50.455
2020-07-26,50.455
2020-07-27,49.7411
2020-07-28,51.0313
2020-07-29,52.2866
2020-07-30,49.8055
2020-07-31,48.6413
2020-08-01,48.6413
2020-08-02,48.6413
2020-08-03,49.1929
2020-08-04,49.3973
2020-08-05,51.0528
2020-08-06,50.7358
2020-08-07,53.6391
2020-08-08,53.6391
2020-08-09,53.6391
2020-08-10,55.76
2020-08-11,56.8477
2020-08-12,55.8334
2020-08-13,54.6517
2020-08-14,54.9404
2020-08-15,54.9404
2020-08-16,54.9404
2020-08-17,54.2555
2020-08-18,52.3475
2020-08-19,53.005
2020-08-20,51.6197
2020-08-21,51.3833
2020-08-22,51.3833
2020-08-23,51.3833
2020-08-24,54.1277
2020-08-25,54.7039
2020-08-26,53.1348
2020-08-27,53.3287
2020-08-28,52.5575
2020-08-29,52.5575
2020-08-30,52.5575
2020-08-31,52.5247
2020-09-01,53.3071
2020-09-02,54.0897
2020-09-03,55.0489
2020-09-04,57.2164
2020-09-05,57.2164
2020-09-06,57.2164
2020-09-07,57.2164
2020-09-08,53.1184
2020-09-09,49.3955
2020-09-10,48.0665
2020-09-11,47.771
2020-09-12,47.771
2020-09-13,47.771
2020-09-14,49.035
2020-09-15,46.3906
2020-09-16,47.161
2020-09-17,46.2053
2020-09-18,45.083
2020-09-19,45.083
2020-09-20,45.083
2020-09-21,42.313
2020-09-22,41.6709
2020-09-23,40.5567
2020-09-24,41.0613
2020-09-25,43.3202
2020-09-26,43.3202
2020-09-27,43.3202
2020-09-28,45.8666
2020-09-29,46.418
2020-09-30,46.1201
2020-10-01,47.1902
2020-10-02,53.1927
2020-10-03,53.1927
2020-10-04,53.1927
2020-10-05,56.3144
2020-10-06,57.6427
2020-10-07,58.8592
2020-10-08,59.5746
2020-10-09,57.8283
2020-10-10,57.8283
2020-10-11,57.8283
2020-10-12,60.0453
2020-10-13,58.0271
2020-10-14,57.0178
2020-10-15,58.1474
2020-10-16,57.9224
2020-10-17,57.9224
2020-10-18,57.9224
2020-10-19,57.3487
2020-10-20,58.5108
2020-10-21,59.2944
2020-10-22,62.7749
2020-10-23,63.4978
2020-10-24,63.4978
2020-10-25,63.4978
2020-10-26,64.0751
2020-10-27,60.6828
2020-10-28,59.7647
2020-10-29,60.0906
2020-10-30,59.7983
2020-10-31,59.7983
2020-11-01,59.7983
2020-11-02,61.1661
2020-11-03,63.1763
2020-11-04,55.8213
2020-11-05,58.9661
2020-11-06,57.3341
2020-11-07,57.3341
2020-11-08,57.3341
2020-11-09,65.3909
2020-11-10,66.4255
2020-11-11,61.8842
2020-11-12,59.5092
2020-11-13,60.9421
2020-11-14,60.9421
2020-11-15,60.9421
2020-11-16,63.4701
2020-11-17,62.5296
2020-11-18,60.5244
2020-11-19,60.3451
2020-11-20,60.6864
2020-11-21,60.6864
2020-11-22,60.6864
2020-11-23,60.276
2020-11-24,62.1111
2020-11-25,60.411
2020-11-26,60.411
2020-11-27,59.178
2020-11-28,59.178
2020-11-29,59.178
2020-11-30,56.1964
2020-12-01,58.1123
2020-12-02,59.2695
2020-12-03,59.0196
2020-12-04,61.0173
2020-12-05,61.0173
2020-12-06,61.0173
2020-12-07,60.4016
2020-12-08,61.3362
2020-12-09,61.8235
2020-12-10,62.6491
2020-12-11,61.8158
2020-12-12,61.8158
2020-12-13,61.8158
2020-12-14,62.0712
2020-12-15,63.3289
2020-12-16,62.3902
2020-12-17,61.4794
2020-12-18,58.4627
2020-12-19,58.4627
2020-12-20,58.4627
2020-12-21,56.4702
2020-12-22,55.1734
2020-12-23,57.7612
2020-12-24,58.6186
2020-12-25,58.6186
2020-12-26,58.6186
2020-12-27,58.6186
2020-12-28,59.4942
2020-12-29,56.7948
2020-12-30,57.3999
2020-12-31,58.8766
2021-01-01,58.8766
2021-01-02,58.8766
2021-01-03,58.8766
2021-01-04,58.4719
2021-01-05,59.9225
2021-01-06,65.6041
2021-01-07,66.4122
2021-01-08,63.0551
2021-01-09,63.0551
2021-01-10,63.0551
2021-01-11,63.7556
2021-01-12,64.8898
2021-01-13,65.547
2021-01-14,66.6431
2021-01-15,65.4884
2021-01-16,65.4884
2021-01-17,65.4884
2021-01-18,65.4884
2021-01-19,65.5502
2021-01-20,65.8452
2021-01-21,63.2825
2021-01-22,65.7395
2021-01-23,65.7395
2021-01-24,65.7395
2021-01-25,65.9052
2021-01-26,65.9052
2021-01-27,66.9317
2021-01-28,58.8045
2021-01-29,54.3789
2021-01-30,54.3789
2021-01-31,54.3789
2021-02-01,56.4899
2021-02-02,55.5014
2021-02-03,54.8804
2021-02-04,57.924
2021-02-05,58.3196
2021-02-06,58.3196
2021-02-07,58.3196
2021-02-08,60.6601
2021-02-09,63.0734
2021-02-10,61.8325
2021-02-11,61.3935
2021-02-12,60.6736
2021-02-13,60.6736
2021-02-14,60.6736
2021-02-15,60.6736
2021-02-16,62.7805
2021-02-17,60.8867
2021-02-18,60.2036
2021-02-19,61.4345
2021-02-20,61.4345
2021-02-21,61.4345
2021-02-22,62.985
2021-02-23,62.6593
2021-02-24,64.8138
2021-02-25,60.7643
2021-02-26,58.5592
2021-02-27,58.5592
2021-02-28,58.5592
2021-03-01,60.7996
2021-03-02,60.1727
2021-03-03,61.7612
2021-03-04,61.9098
2021-03-05,64.2897
2021-03-06,64.2897
2021-03-07,64.2897
2021-03-08,66.5628
2021-03-09,66.4552
2021-03-10,68.36
2021-03-11,69.1814
2021-03-12,71.1129
2021-03-13,71.1129
2021-03-14,71.1129
2021-03-15,67.9358
2021-03-16,66.9464
2021-03-17,67.0174
2021-03-18,67.5047
2021-03-19,66.7864
2021-03-20,66.7864
2021-03-21,66.7864
2021-03-22,61.4141
2021-03-23,57.2202
2021-03-24,54.9438
2021-03-25,57.0729
2021-03-26,59.1342
2021-03-27,59.1342
2021-03-28,59.1342
2021-03-29,54.1686
2021-03-30,55.5492
2021-03-31,54.0748
2021-04-01,54.8931
2021-04-02,54.8931
2021-04-03,54.8931
2021-04-04,54.8931
2021-04-05,55.5791
2021-04-06,55.2706
2021-04-07,53.8918
2021-04-08,53.8068
2021-04-09,55.1249
2021-04-10,55.1249
2021-04-11,55.1249
2021-04-12,54.7657
2021-04-13,52.1856
2021-04-14,53.6985
2021-04-15,52.7044
2021-04-16,53.67
2021-04-17,53.67
2021-04-18,53.67
2021-04-19,53.1241
2021-04-20,48.8158
2021-04-21,51.0461
2021-04-22,50.1366
2021-04-23,54.1095
2021-04-24,54.1095
2021-04-25,54.1095
2021-04-26,54.0807
2021-04-27,55.5708
2021-04-28,53.4246
2021-04-29,55.1668
2021-04-30,54.0186
2021-05-01,54.0186
2021-05-02,54.0186
2021-05-03,55.9168
2021-05-04,58.9719
2021-05-05,59.5055
2021-05-06,60.3172
2021-05-07,59.9573
2021-05-08,59.9573
2021-05-09,59.9573
2021-05-10,57.5982
2021-05-11,56.2495
2021-05-12,52.6047
2021-05-13,56.9668
2021-05-14,58.8015
2021-05-15,58.8015
2021-05-16,58.8015
2021-05-17,58.3577
2021-05-18,55.7187
2021-05-19,55.8775
2021-05-20,55.9941
2021-05-21,57.9482
2021-05-22,57.9482
2021-05-23,57.9482
2021-05-24,55.6909
2021-05-25,51.2821
2021-05-26,53.5412
2021-05-27,54.3932
2021-05-28,54.8791
2021-05-29,54.8791
2021-05-30,54.8791
2021-05-31,54.8791
2021-06-01,56.1225
2021-06-02,54.595
2021-06-03,54.0494
2021-06-04,53.4963
2021-06-05,53.4963
2021-06-06,53.4963
2021-06-07,53.8562
2021-06-08,53.7947
2021-06-09,52.492
2021-06-10,49.649
2021-06-11,49.5623
2021-06-12,49.5623
2021-06-13,49.5623
2021-06-14,49.0011
2021-06-15,51.5242
2021-06-16,52.9295
2021-06-17,46.5732
2021-06-18,42.8054
2021-06-19,42.8054
2021-06-20,42.8054
2021-06-21,46.4369
2021-06-22,46.819
2021-06-23,46.1861
2021-06-24,48.0309
2021-06-25,49.2579
2021-06-26,49.2579
2021-06-27,49.2579
2021-06-28,44.7854
2021-06-29,43.8016
2021-06-30,44.7714
2021-07-01,45.203
2021-07-02,43.2453
2021-07-03,43.2453
2021-07-04,43.2453
2021-07-05,43.2453
2021-07-06,40.0813
2021-07-07,40.3254
2021-07-08,39.0498
2021-07-09,42.7938
2021-07-10,42.7938
2021-07-11,42.7938
2021-07-12,43.971
2021-07-13,41.7594
2021-07-14,41.296
2021-07-15,42.9917
2021-07-16,41.4699
2021-07-17,41.4699
2021-07-18,41.4699
2021-07-19,38.64
2021-07-20,39.734
2021-07-21,42.2205
2021-07-22,39.718
2021-07-23,40.1912
2021-07-24,40.1912
2021-07-25,40.1912
2021-07-26,40.9701
2021-07-27,41.0617
2021-07-28,38.6225
2021-07-29,39.2552
2021-07-30,38.3954
2021-07-31,38.3954
2021-08-01,38.3954
2021-08-02,37.6639
2021-08-03,38.7371
2021-08-04,37.4449
2021-08-05,39.2702
2021-08-06,42.1482
2021-08-07,42.1482
2021-08-08,42.1482
2021-08-09,42.1801
2021-08-10,44.0598
2021-08-11,45.3981
2021-08-12,44.7795
2021-08-13,44.8119
2021-08-14,44.8119
2021-08-15,44.8119
2021-08-16,43.8273
2021-08-17,43.0602
2021-08-18,40.9386
2021-08-19,38.4366
2021-08-20,41.0053
2021-08-21,41.0053
2021-08-22,41.0053
2021-08-23,41.9323
2021-08-24,42.2798
2021-08-25,43.4353
2021-08-26,41.9098
2021-08-27,45.1078
2021-08-28,45.1078
2021-08-29,45.1078
2021-08-30,42.5294
2021-08-31,42.9046
2021-09-01,42.2561
2021-09-02,41.6569
2021-09-03,41.4454
2021-09-04,41.4454
2021-09-05,41.4454
2021-09-06,41.4454
2021-09-07,40.829
2021-09-08,39.2282
2021-09-09,38.9691
2021-09-10,38.0589
2021-09-11,38.0589
2021-09-12,38.0589
2021-09-13,39.027
2021-09-14,38.0637
2021-09-15,39.4894
2021-09-16,38.5166
2021-09-17,40.2567
2021-09-18,40.2567
2021-09-19,40.2567
2021-09-20,38.5631
2021-09-21,37.9846
2021-09-22,40.3646
2021-09-23,45.5306
2021-09-24,48.936
2021-09-25,48.936
2021-09-26,48.936
2021-09-27,52.0986
2021-09-28,50.8032
2021-09-29,52.5856
2021-09-30,51.3367
2021-10-01,53.4687
2021-10-02,53.4687
2021-10-03,53.4687
2021-10-04,53.3286
2021-10-05,54.2585
2021-10-06,53.9619
2021-10-07,56.5715
2021-10-08,56.9575
2021-10-09,56.9575
2021-10-10,56.9575
2021-10-11,55.5815
2021-10-12,56.994
2021-10-13,55.9536
2021-10-14,58.3151
2021-10-15,58.0263
2021-10-16,58.0263
2021-10-17,58.0263
2021-10-18,55.7808
2021-10-19,54.7057
2021-10-20,56.1624
2021-10-21,55.7094
2021-10-22,57.4834
2021-10-23,57.4834
2021-10-24,57.4834
2021-10-25,58.3003
2021-10-26,55.8661
2021-10-27,51.8216
2021-10-28,55.1177
2021-10-29,52.2265
2021-10-30,52.2265
2021-10-31,52.2265
