,LGND US Equity
,RSI_30D
2020-01-01,48.0683
2020-01-02,48.5009
2020-01-03,45.3974
2020-01-04,45.3974
2020-01-05,45.3974
2020-01-06,45.5689
2020-01-07,43.6014
2020-01-08,42.351
2020-01-09,41.002
2020-01-10,38.9683
2020-01-11,38.9683
2020-01-12,38.9683
2020-01-13,37.0467
2020-01-14,37.6893
2020-01-15,38.2713
2020-01-16,39.7727
2020-01-17,38.1791
2020-01-18,38.1791
2020-01-19,38.1791
2020-01-20,38.1791
2020-01-21,37.7188
2020-01-22,39.445
2020-01-23,38.4796
2020-01-24,37.4268
2020-01-25,37.4268
2020-01-26,37.4268
2020-01-27,35.9723
2020-01-28,37.8221
2020-01-29,39.4127
2020-01-30,40.011
2020-01-31,38.4093
2020-02-01,38.4093
2020-02-02,38.4093
2020-02-03,40.5036
2020-02-04,41.3769
2020-02-05,43.7041
2020-02-06,44.0441
2020-02-07,47.2166
2020-02-08,47.2166
2020-02-09,47.2166
2020-02-10,48.3778
2020-02-11,46.805
2020-02-12,47.1984
2020-02-13,47.8481
2020-02-14,49.5931
2020-02-15,49.5931
2020-02-16,49.5931
2020-02-17,49.5931
2020-02-18,50.4995
2020-02-19,53.986
2020-02-20,53.9389
2020-02-21,53.1953
2020-02-22,53.1953
2020-02-23,53.1953
2020-02-24,52.4116
2020-02-25,51.6248
2020-02-26,55.0505
2020-02-27,55.8015
2020-02-28,45.4416
2020-02-29,45.4416
2020-03-01,45.4416
2020-03-02,53.797
2020-03-03,53.4195
2020-03-04,57.5536
2020-03-05,56.3772
2020-03-06,57.0457
2020-03-07,57.0457
2020-03-08,57.0457
2020-03-09,46.6452
2020-03-10,49.242
2020-03-11,45.1668
2020-03-12,39.9136
2020-03-13,39.5543
2020-03-14,39.5543
2020-03-15,39.5543
2020-03-16,32.1484
2020-03-17,41.9321
2020-03-18,40.5127
2020-03-19,43.5247
2020-03-20,40.4555
2020-03-21,40.4555
2020-03-22,40.4555
2020-03-23,39.6281
2020-03-24,41.5598
2020-03-25,40.0064
2020-03-26,41.5982
2020-03-27,39.396
2020-03-28,39.396
2020-03-29,39.396
2020-03-30,41.6982
2020-03-31,42.4706
2020-04-01,40.8255
2020-04-02,42.7226
2020-04-03,43.3776
2020-04-04,43.3776
2020-04-05,43.3776
2020-04-06,45.4982
2020-04-07,45.8915
2020-04-08,48.2302
2020-04-09,49.8306
2020-04-10,49.8306
2020-04-11,49.8306
2020-04-12,49.8306
2020-04-13,51.4646
2020-04-14,51.965
2020-04-15,50.6319
2020-04-16,50.7369
2020-04-17,53.2514
2020-04-18,53.2514
2020-04-19,53.2514
2020-04-20,54.7395
2020-04-21,54.2225
2020-04-22,54.4701
2020-04-23,52.2916
2020-04-24,54.5152
2020-04-25,54.5152
2020-04-26,54.5152
2020-04-27,53.8268
2020-04-28,52.1035
2020-04-29,55.7512
2020-04-30,54.3754
2020-05-01,51.5034
2020-05-02,51.5034
2020-05-03,51.5034
2020-05-04,52.7908
2020-05-05,54.6284
2020-05-06,55.3347
2020-05-07,56.0512
2020-05-08,56.0056
2020-05-09,56.0056
2020-05-10,56.0056
2020-05-11,57.6114
2020-05-12,55.3585
2020-05-13,52.9145
2020-05-14,50.7034
2020-05-15,52.9397
2020-05-16,52.9397
2020-05-17,52.9397
2020-05-18,55.2476
2020-05-19,53.4487
2020-05-20,54.7044
2020-05-21,55.904
2020-05-22,57.0546
2020-05-23,57.0546
2020-05-24,57.0546
2020-05-25,57.0546
2020-05-26,55.4946
2020-05-27,54.8783
2020-05-28,52.6879
2020-05-29,53.0677
2020-05-30,53.0677
2020-05-31,53.0677
2020-06-01,53.4001
2020-06-02,57.3758
2020-06-03,60.3578
2020-06-04,61.0785
2020-06-05,61.8877
2020-06-06,61.8877
2020-06-07,61.8877
2020-06-08,62.3352
2020-06-09,62.5275
2020-06-10,58.6884
2020-06-11,54.6777
2020-06-12,53.9111
2020-06-13,53.9111
2020-06-14,53.9111
2020-06-15,54.9899
2020-06-16,54.7
2020-06-17,54.8015
2020-06-18,53.67
2020-06-19,57.0155
2020-06-20,57.0155
