,DRI US Equity
,RSI_30D
2020-01-01,44.8839
2020-01-02,50.4374
2020-01-03,50.6274
2020-01-04,50.6274
2020-01-05,50.6274
2020-01-06,51.8061
2020-01-07,50.1816
2020-01-08,52.8615
2020-01-09,54.9708
2020-01-10,55.2044
2020-01-11,55.2044
2020-01-12,55.2044
2020-01-13,52.8974
2020-01-14,51.129
2020-01-15,49.6113
2020-01-16,52.3471
2020-01-17,53.1277
2020-01-18,53.1277
2020-01-19,53.1277
2020-01-20,53.1277
2020-01-21,54.6787
2020-01-22,55.3173
2020-01-23,58.9874
2020-01-24,57.998
2020-01-25,57.998
2020-01-26,57.998
2020-01-27,56.6806
2020-01-28,58.1622
2020-01-29,60.4631
2020-01-30,58.5698
2020-01-31,55.3768
2020-02-01,55.3768
2020-02-02,55.3768
2020-02-03,52.8485
2020-02-04,53.7739
2020-02-05,56.4277
2020-02-06,61.2467
2020-02-07,59.8999
2020-02-08,59.8999
2020-02-09,59.8999
2020-02-10,61.1093
2020-02-11,61.5975
2020-02-12,61.8452
2020-02-13,61.5094
2020-02-14,60.4529
2020-02-15,60.4529
2020-02-16,60.4529
2020-02-17,60.4529
2020-02-18,58.2001
2020-02-19,58.4496
2020-02-20,58.4496
2020-02-21,59.028
2020-02-22,59.028
2020-02-23,59.028
2020-02-24,53.1752
2020-02-25,44.4536
2020-02-26,39.3629
2020-02-27,32.9351
2020-02-28,31.6454
2020-02-29,31.6454
2020-03-01,31.6454
2020-03-02,33.5274
2020-03-03,31.1459
2020-03-04,30.9828
2020-03-05,26.8471
2020-03-06,27.1301
2020-03-07,27.1301
2020-03-08,27.1301
2020-03-09,22.3377
2020-03-10,28.6277
2020-03-11,23.8407
2020-03-12,20.6568
2020-03-13,26.3268
2020-03-14,26.3268
2020-03-15,26.3268
2020-03-16,22.0557
2020-03-17,20.5009
2020-03-18,19.0205
2020-03-19,24.9782
2020-03-20,24.2152
2020-03-21,24.2152
2020-03-22,24.2152
2020-03-23,25.6106
2020-03-24,33.6205
2020-03-25,36.1426
2020-03-26,37.2833
2020-03-27,35.4515
2020-03-28,35.4515
2020-03-29,35.4515
2020-03-30,36.6467
2020-03-31,35.8963
2020-04-01,33.398
2020-04-02,32.9179
2020-04-03,33.5936
2020-04-04,33.5936
2020-04-05,33.5936
2020-04-06,37.4491
2020-04-07,40.8186
2020-04-08,43.0489
2020-04-09,43.4174
2020-04-10,43.4174
2020-04-11,43.4174
2020-04-12,43.4174
2020-04-13,42.1533
2020-04-14,42.2843
2020-04-15,41.4039
2020-04-16,41.1001
2020-04-17,43.9224
2020-04-18,43.9224
2020-04-19,43.9224
2020-04-20,43.2989
2020-04-21,44.104
2020-04-22,46.6543
2020-04-23,46.0304
2020-04-24,47.0296
2020-04-25,47.0296
2020-04-26,47.0296
2020-04-27,48.8289
2020-04-28,50.0066
2020-04-29,51.6424
2020-04-30,49.4718
2020-05-01,47.6259
2020-05-02,47.6259
2020-05-03,47.6259
2020-05-04,48.0181
2020-05-05,47.2435
2020-05-06,46.8692
2020-05-07,48.1335
2020-05-08,50.3412
2020-05-09,50.3412
2020-05-10,50.3412
2020-05-11,49.9267
2020-05-12,48.0562
2020-05-13,45.8697
2020-05-14,46.3137
2020-05-15,47.9826
2020-05-16,47.9826
2020-05-17,47.9826
2020-05-18,51.0961
2020-05-19,51.2872
2020-05-20,52.5823
2020-05-21,51.9536
2020-05-22,51.041
2020-05-23,51.041
2020-05-24,51.041
2020-05-25,51.041
2020-05-26,52.5801
2020-05-27,54.2006
2020-05-28,52.9526
2020-05-29,51.3841
2020-05-30,51.3841
2020-05-31,51.3841
2020-06-01,52.1888
2020-06-02,52.072
2020-06-03,56.2378
2020-06-04,56.2931
2020-06-05,55.9934
2020-06-06,55.9934
2020-06-07,55.9934
2020-06-08,55.4169
2020-06-09,52.8663
2020-06-10,50.9024
2020-06-11,48.0384
2020-06-12,49.8536
2020-06-13,49.8536
2020-06-14,49.8536
2020-06-15,50.1884
2020-06-16,50.3172
2020-06-17,48.7533
2020-06-18,48.716
2020-06-19,46.3561
2020-06-20,46.3561
2020-06-21,46.3561
2020-06-22,47.0978
2020-06-23,49.7595
2020-06-24,46.984
2020-06-25,49.4142
2020-06-26,48.4181
2020-06-27,48.4181
2020-06-28,48.4181
2020-06-29,50.724
2020-06-30,50.1816
2020-07-01,50.3985
2020-07-02,49.526
2020-07-03,49.526
2020-07-04,49.526
2020-07-05,49.526
2020-07-06,49.6683
2020-07-07,47.8088
2020-07-08,48.4716
2020-07-09,47.2826
2020-07-10,47.8403
2020-07-11,47.8403
2020-07-12,47.8403
2020-07-13,48.4496
